"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2021-03-23",64.290001,65.730003,63.59,65.440002,3606900,63.225494
"2021-03-24",64.949997,66.169998,64.849998,65.580002,3371400,63.36076
"2021-03-25",65.970001,66.57,65.330002,66,3475400,63.766548
"2021-03-26",65.82,66.370003,65.129997,66.309998,2644600,64.066048
"2021-03-29",66.209999,67.25,65.599998,67,2379000,64.732712
"2021-03-30",66.400002,66.68,65.519997,66.010002,2284400,63.776218
"2021-03-31",66.040001,66.809998,65.860001,66.510002,3856600,64.259293
"2021-04-01",66.510002,66.809998,65.959999,66.790001,2728600,64.529816
"2021-04-05",66.980003,68.720001,66.730003,68.110001,3538400,65.805138
"2021-04-06",67.639999,68.330002,67.32,68.160004,2180300,65.853455
"2021-04-07",68.040001,68.540001,67.739998,68.050003,2343300,65.747177
"2021-04-08",68.279999,68.440002,67.650002,67.720001,2395000,65.428352
"2021-04-09",67.809998,68.290001,67.349998,67.43,2560200,65.148148
"2021-04-12",67.300003,67.989998,67.300003,67.910004,2887400,65.611908
"2021-04-13",67.559998,68.75,67.459999,68.480003,2544900,66.162628
"2021-04-14",68.379997,68.739998,67.529999,68.68,2726700,66.355858
"2021-04-15",68.559998,70.129997,68.529999,69.959999,4373700,67.592545
"2021-04-16",70.279999,70.919998,69.82,70.370003,12014700,67.98867
"2021-04-19",70.510002,70.790001,69.82,70.489998,3278800,68.104599
"2021-04-20",70.709999,71.800003,70.239998,71.550003,2643800,69.128731
"2021-04-21",71.699997,72.230003,70.93,71.32,2548900,68.906509
"2021-04-22",71.209999,71.540001,70.790001,71.120003,2943200,68.713287
"2021-04-23",71.18,71.68,70.93,71.080002,3001400,68.674644
"2021-04-26",70.980003,71.099998,70.419998,70.599998,2361200,68.210876
"2021-04-27",70.839996,71.260002,69.919998,70,2159400,67.631187
"2021-04-28",70.080002,70.269997,69.419998,69.809998,2209600,67.447609
"2021-04-29",69.949997,70.879997,69.540001,70.559998,1915300,68.172226
"2021-04-30",70.57,71.370003,70.080002,71.300003,2633500,68.887207
"2021-05-03",71.309998,72.160004,71.18,71.620003,1760400,69.196358
"2021-05-04",71.019997,72.150002,71.019997,71.839996,3609800,69.40892
"2021-05-05",71.730003,71.75,70.150002,70.75,2443900,68.355812
"2021-05-06",70.860001,71.940002,70.769997,71.550003,2332800,69.128731
"2021-05-07",71.800003,72.190002,71.32,71.32,1962600,68.906509
"2021-05-10",71.690002,72.860001,71.620003,72.589996,2883700,70.133537
"2021-05-11",72.529999,72.940002,70.480003,71.029999,2737400,68.626328
"2021-05-12",71.190002,71.389999,69.980003,70.169998,3151400,67.795433
"2021-05-13",69.599998,71.550003,69.510002,71.120003,2798700,68.713287
"2021-05-14",71.25,71.910004,71.150002,71.720001,3328600,69.292976
"2021-05-17",70.790001,72.099998,70.589996,70.800003,3787500,68.404114
"2021-05-18",70.760002,71.169998,70.449997,70.809998,2168200,68.41378
"2021-05-19",70.699997,70.809998,69.779999,70.57,2823900,68.181892
"2021-05-20",70.5,71.910004,70.5,71.580002,3152100,69.157715
"2021-05-21",71.769997,72.25,71.400002,72.040001,2551900,69.60215
"2021-05-24",72.529999,72.559998,71.610001,71.669998,2116300,69.244667
"2021-05-25",71.709999,71.940002,71.019997,71.239998,2084500,68.829216
"2021-05-26",71.199997,71.339996,70.860001,71,1787800,68.597343
"2021-05-27",71.080002,71.129997,70.25,70.269997,3383200,67.892052
"2021-05-28",71.25,71.379997,70.68,70.879997,2716200,68.481407
"2021-06-01",71.169998,71.190002,69.849998,70,2362500,67.631187
"2021-06-02",70.25,70.879997,69.910004,70.239998,2396700,67.86306
"2021-06-03",69.709999,70.790001,69.5,70.480003,4166200,68.094948
"2021-06-04",70.779999,70.900002,69.959999,70.080002,2218200,67.708473
"2021-06-07",70.199997,70.330002,69.959999,70.120003,2803800,67.747116
"2021-06-08",69.970001,70.199997,68.470001,68.800003,2203000,66.471802
"2021-06-09",68.82,69.580002,68.620003,69.349998,2819300,67.003181
"2021-06-10",69.449997,69.860001,69.139999,69.629997,2127900,67.273705
"2021-06-11",69.559998,69.75,69.050003,69.540001,2211400,67.186752
"2021-06-14",68.989998,69.279999,68.559998,69.080002,1716800,67.184807
"2021-06-15",69.220001,69.5,69,69.190002,2138300,67.291794
"2021-06-16",69.389999,69.519997,67.720001,67.760002,2550500,65.901016
"2021-06-17",67.699997,68.68,67.349998,68.349998,2643100,66.474831
"2021-06-18",68.120003,68.129997,66.459999,66.599998,4431800,64.772842
"2021-06-21",66.760002,67.309998,66.279999,67.139999,2059000,65.298027
"2021-06-22",67.139999,67.400002,66.650002,66.75,1769900,64.918724
"2021-06-23",66.419998,66.720001,66.110001,66.230003,2435500,64.413002
"2021-06-24",66.230003,66.43,65.849998,66.260002,1583100,64.442177
"2021-06-25",66.300003,67.150002,66.120003,67.099998,1956800,65.259117
"2021-06-28",67.260002,67.690002,66.839996,67.059998,1826000,65.22023
"2021-06-29",66.790001,67.199997,65.57,65.709999,2329200,63.907261
"2021-06-30",65.709999,66.129997,65.480003,65.879997,2410200,64.072586
"2021-07-01",66.099998,67.18,65.620003,67.029999,3240200,65.191048
"2021-07-02",67.209999,67.400002,66.610001,66.82,1672700,64.986809
