"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"2021-02-03",185.190002,186.929993,183.699997,185.110001,2135400,181.068298
"2021-02-04",185.869995,188.740005,184.550003,188.589996,2309500,184.472321
"2021-02-05",189.490005,190.330002,187.889999,188.860001,2218900,184.73642
"2021-02-08",192.339996,194.479996,190.490005,193.949997,3076400,189.715271
"2021-02-09",194.130005,196.25,193.889999,194.289993,2868600,190.047836
"2021-02-10",193.889999,194.449997,190.119995,192.440002,2713500,188.238251
"2021-02-11",192.039993,193.169998,190.339996,190.410004,1862300,186.252563
"2021-02-12",191.050003,191.869995,190.199997,191.429993,1821500,187.250305
"2021-02-16",191.139999,192.580002,190.149994,190.589996,2500300,187.093246
"2021-02-17",189.199997,194.220001,189.100006,193.600006,3459300,190.048019
"2021-02-18",188.270004,191.559998,188,191.410004,2983500,187.898193
"2021-02-19",191.949997,192.449997,188.360001,188.820007,3120100,185.355728
"2021-02-22",188.119995,190.410004,187.619995,188.990005,2152600,185.522598
"2021-02-23",188.089996,188.729996,184.110001,186.360001,2828100,182.940826
"2021-02-24",186.020004,187.729996,184.300003,187.080002,3738400,183.647644
"2021-02-25",188.520004,190.300003,184.580002,185.080002,4355600,181.684326
"2021-02-26",186.149994,186.830002,182.179993,183.440002,4340400,180.074417
"2021-03-01",185.949997,187.580002,184.850006,186.089996,3683500,182.675781
"2021-03-02",188.009995,193.580002,172.169998,173.490005,22090500,170.306976
"2021-03-03",175,176.869995,172.589996,173.610001,8285300,170.424789
"2021-03-04",172.369995,174.610001,166.830002,169.820007,7111700,166.704315
"2021-03-05",170.279999,174.979996,167.050003,172.610001,6008100,169.443115
"2021-03-08",175.270004,178.470001,173.600006,176.869995,4558600,173.624954
"2021-03-09",178.320007,180.740005,177.199997,179.179993,3752400,175.892578
"2021-03-10",179.970001,181.630005,178.089996,178.580002,3314800,175.303589
"2021-03-11",179.149994,180.089996,177.399994,179.320007,3045200,176.030014
"2021-03-12",179.899994,180.350006,178.559998,180.009995,2441900,176.707352
"2021-03-15",180.440002,181.789993,178.570007,181.100006,3453100,177.777359
"2021-03-16",179.960007,180.690002,178.119995,180.210007,3437300,176.903687
"2021-03-17",179.509995,179.660004,177.869995,178.399994,2929300,175.126892
"2021-03-18",177.240005,181.149994,176.679993,179.610001,2859300,176.314667
"2021-03-19",179.889999,188.300003,179.630005,187.550003,7745200,184.109024
"2021-03-22",187.100006,190.380005,186.740005,188.039993,3952200,184.590027
"2021-03-23",187.770004,190.789993,187.429993,188.919998,2920200,185.453873
"2021-03-24",188.910004,189.460007,187.380005,188.279999,2489700,184.825623
"2021-03-25",188.089996,193.369995,187.669998,192.699997,3444700,189.16452
"2021-03-26",194.300003,201.229996,194.029999,200.949997,6046100,197.263168
"2021-03-29",200.089996,201.960007,197.509995,198.210007,3231800,194.573456
"2021-03-30",198.080002,201.360001,197.610001,199.649994,2810800,195.987015
"2021-03-31",200.039993,201.330002,198.029999,198.070007,3556600,194.436005
"2021-04-01",198.139999,201.470001,196.360001,200.720001,2730200,197.037369
"2021-04-05",202,205.800003,202,205.350006,2833000,201.582443
"2021-04-06",204.399994,207.380005,202.949997,205.429993,2494900,201.66095
"2021-04-07",205.75,206,204.080002,204.449997,2100400,200.698944
"2021-04-08",204.350006,204.809998,202.419998,203.460007,3032600,199.727112
"2021-04-09",204,205.669998,203.539993,205.360001,2900500,201.592239
"2021-04-12",205.279999,206.350006,203.479996,205.100006,3191300,201.337036
"2021-04-13",205.559998,206,203.509995,204.940002,2393400,201.179947
"2021-04-14",204.279999,206,203.029999,205.710007,2171300,201.935822
"2021-04-15",206.020004,206.210007,203.529999,205.759995,3370300,201.984924
"2021-04-16",206,209.490005,205.830002,208.550003,4342300,204.723724
"2021-04-19",209.490005,210.860001,208.25,208.649994,2924500,204.821884
"2021-04-20",208.910004,209.490005,206.429993,207.270004,2089800,203.467209
"2021-04-21",207.240005,208.410004,206.300003,206.770004,2836900,202.976395
"2021-04-22",207.279999,207.649994,203.639999,205.570007,2499300,201.798416
"2021-04-23",205.940002,206.800003,203.919998,206.009995,2444600,202.230316
"2021-04-26",205.860001,206.020004,202.850006,203.630005,2675700,199.893982
"2021-04-27",204.220001,205.330002,203.309998,204.360001,2260000,200.610596
"2021-04-28",203.929993,205.25,203.440002,204.460007,1598800,200.708771
"2021-04-29",206.119995,208.410004,205.770004,207.380005,1884900,203.575211
"2021-04-30",206.210007,208.149994,205.979996,207.259995,1802000,203.457382
"2021-05-03",209.179993,212.820007,208.820007,211.279999,2249700,207.403641
"2021-05-04",209.610001,211.839996,209.100006,211.610001,2203300,207.7276
"2021-05-05",212.649994,213.660004,211.679993,212.410004,2509000,208.512894
"2021-05-06",213.660004,213.919998,211.940002,213,2226000,209.092072
"2021-05-07",213.289993,215.389999,212.809998,214.710007,2298500,210.770706
"2021-05-10",215.509995,217.389999,213.720001,214.029999,3092700,210.10318
"2021-05-11",212.520004,212.759995,206.949997,209.240005,3297100,205.401062
"2021-05-12",207.960007,208.679993,202.759995,202.960007,3857300,199.236282
"2021-05-13",204.220001,210.130005,203.889999,208.610001,3132300,204.782639
"2021-05-14",210.210007,212.259995,209.429993,211.160004,2650300,207.285843
"2021-05-17",212.839996,213.639999,209.360001,210.020004,2583700,206.166763
"2021-05-18",211.210007,211.679993,206.210007,206.429993,4794900,203.300842
"2021-05-19",210.309998,219.820007,209.800003,219.009995,13378700,215.69017
"2021-05-20",218.279999,222.800003,217.070007,221.789993,7086300,218.428009
"2021-05-21",222.210007,227.080002,221.860001,225.089996,5084800,221.677979
"2021-05-24",226.339996,228.5,225.330002,225.410004,3821000,221.993149
"2021-05-25",225.550003,227.270004,223.259995,225.300003,4103000,221.884842
"2021-05-26",226.169998,227.949997,225.990005,227.110001,3186800,223.667389
"2021-05-27",227.929993,228.839996,226.050003,227.369995,6623100,223.923447
"2021-05-28",228,228.350006,226.179993,226.919998,2632400,223.480255
"2021-06-01",227.559998,228.789993,226.050003,227.270004,3426400,223.824966
"2021-06-02",226.410004,229.139999,226.149994,228.380005,3331400,224.918121
"2021-06-03",228.339996,230.229996,227.009995,229.179993,3155400,225.705994
"2021-06-04",230.199997,231.610001,228.710007,231.339996,3085100,227.833267
"2021-06-07",231.5,232.660004,230.389999,230.889999,2221700,227.390091
"2021-06-08",234.270004,236.360001,232.550003,235.100006,3441700,231.536285
"2021-06-09",234.600006,236.800003,231.889999,231.940002,3372900,228.424179
"2021-06-10",231.660004,233.699997,231.399994,231.660004,2579400,228.148422
"2021-06-11",231.789993,232.979996,231.789993,232.940002,2510200,229.409027
"2021-06-14",233.160004,233.5,231.550003,233.070007,2904200,229.537048
"2021-06-15",233.009995,233.009995,230.75,232.570007,2518000,229.044617
"2021-06-16",232.699997,233,229.559998,231.259995,2767600,227.754486
"2021-06-17",230.550003,232.929993,229.830002,231.220001,2826600,227.715088
"2021-06-18",229.860001,231.369995,228.009995,230.529999,4481400,227.035553
"2021-06-21",231.410004,234.039993,231.25,233.770004,3049700,230.226425
"2021-06-22",234.490005,237.860001,233.880005,237.210007,2901400,233.614288
"2021-06-23",236.869995,237.970001,235.839996,237.309998,2246400,233.712769
"2021-06-24",239.440002,239.869995,238.320007,239.839996,2141900,236.204422
"2021-06-25",240.009995,241.740005,239.789993,240.550003,5987500,236.903656
"2021-06-28",240.899994,242.240005,239.779999,241.259995,2062900,237.602875
"2021-06-29",241.259995,243.460007,241.009995,241.850006,2089600,238.18396
"2021-06-30",241.789993,242.949997,240.800003,241.740005,2773200,238.075607
"2021-07-01",241.960007,243.529999,241.130005,243.470001,2125300,239.779404
"2021-07-02",244.5,246.979996,244.210007,246.580002,2178900,242.842255
"2021-07-06",246.5,247.339996,242.949997,245.449997,2305000,241.72937
"2021-07-07",245.610001,248.399994,245.529999,247.550003,2035800,243.797546
"2021-07-08",245.320007,248.960007,245.050003,248.580002,2292700,244.811935
