"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"2020-09-25",309.899994,318.790009,307.769989,318.5,1239800,314.879883
"2020-09-28",325.429993,326.130005,322.26001,325.549988,1134300,321.849762
"2020-09-29",325.540009,329.220001,323.049988,323.640015,1115500,319.961487
"2020-09-30",323.019989,329.140015,319.670013,326.209991,1804900,322.502258
"2020-10-01",330.73999,333.980011,329.850006,332.339996,1091400,328.562622
"2020-10-02",326.160004,329.480011,319.910004,321.890015,902700,318.231354
"2020-10-05",330.329987,332,327.119995,331.359985,1296500,327.59375
"2020-10-06",331.309998,333.869995,323.910004,325.380005,1042400,321.681702
"2020-10-07",327.73999,336.910004,327.079987,334.910004,1235700,331.103394
"2020-10-08",336.359985,337.76001,333.26001,334.98999,788200,331.766876
"2020-10-09",336.619995,342.200012,335.769989,341.809998,846800,338.521393
"2020-10-12",345.179993,353.980011,342.209991,350.929993,1571000,347.553558
"2020-10-13",352.670013,353.73999,347.51001,349.589996,1118700,346.226501
"2020-10-14",351.48999,351.48999,341.230011,345.299988,896400,341.977753
"2020-10-15",341.290009,343.179993,338,341.970001,790000,338.67981
"2020-10-16",343.779999,346.820007,340.950012,341.149994,790000,337.867676
"2020-10-19",343.320007,344.230011,334.049988,335.269989,822700,332.04425
"2020-10-20",338.350006,338.970001,333.450012,334.51001,1131200,331.291595
"2020-10-21",335.690002,336.679993,331.309998,332.790009,816800,329.588104
"2020-10-22",332.940002,333.910004,325.309998,331.820007,803400,328.627472
"2020-10-23",333.320007,334.589996,330,334.420013,721900,331.202423
"2020-10-26",330.910004,332.100006,323.440002,328.089996,927800,324.93335
"2020-10-27",330.589996,333.399994,329.309998,330.269989,838700,327.092346
"2020-10-28",323.470001,325.100006,317.959991,318.51001,948400,315.445557
"2020-10-29",319.429993,329.390015,319.329987,325.609985,896800,322.477173
"2020-10-30",321.910004,325.170013,312.049988,314.679993,1682700,311.652374
"2020-11-02",317.76001,321.869995,312.170013,316.420013,1109900,313.37561
"2020-11-03",319.910004,326.940002,317.829987,324.730011,1114900,321.605652
"2020-11-04",339.720001,347.910004,334.109985,343,1344400,339.699829
"2020-11-05",350.920013,352.01001,346.209991,350.959991,1074200,347.583313
"2020-11-06",351.480011,353.850006,344.799988,352.26001,623100,348.870789
"2020-11-09",365.950012,377.149994,359.309998,360.140015,1820100,356.674957
"2020-11-10",358.149994,358.149994,339.350006,342.26001,1544100,338.96701
"2020-11-11",345.649994,356.549988,342.929993,352.399994,1127000,349.00943
"2020-11-12",352.970001,356.640015,347.649994,349.51001,947700,346.147247
"2020-11-13",351.839996,358.329987,350.429993,356.950012,1179400,353.515717
"2020-11-16",356.540009,361.220001,353.329987,357.059998,1158800,353.624603
"2020-11-17",354.980011,360,353.429993,358.75,953900,355.298279
"2020-11-18",356.23999,360.26001,353.76001,354.73999,912000,351.326935
"2020-11-19",353.200012,363.390015,349.049988,361.440002,1533600,357.962463
"2020-11-20",358.850006,359.98999,347.51001,347.690002,2369800,344.344788
"2020-11-23",348.070007,350.320007,337.720001,343.329987,1529400,340.026703
"2020-11-24",345,347.730011,342.519989,345.200012,1045500,341.878693
"2020-11-25",345.720001,352.470001,345.01001,350.470001,1199300,347.097992
"2020-11-27",353.929993,358.040009,351.829987,354.23999,528300,350.831726
"2020-11-30",353.450012,356.440002,348.130005,352.019989,1875700,348.633057
"2020-12-01",356.01001,359.290009,352.290009,356.820007,1088900,353.386932
"2020-12-02",355.660004,356.149994,350.059998,355.48999,760700,352.069702
"2020-12-03",355.190002,366.679993,353.470001,363.700012,1841100,360.200745
"2020-12-04",365.149994,371.940002,364.070007,368.600006,1404400,365.053558
"2020-12-07",367.820007,373.980011,367.279999,372.190002,1909800,368.609009
"2020-12-08",372.399994,380.5,370.529999,372.589996,1705200,369.005188
"2020-12-09",368.910004,370.140015,361.109985,364.179993,2477800,360.676086
"2020-12-10",361.230011,364.399994,357.450012,362.5,1499200,359.012299
"2020-12-11",362.119995,364.649994,358,364.320007,1194000,360.814758
"2020-12-14",364.440002,369.309998,363.609985,365.51001,1366000,361.993347
"2020-12-15",365.820007,367.76001,360.149994,360.429993,1654200,356.962189
"2020-12-16",361.309998,370.359985,360.029999,369.26001,1577800,365.707245
"2020-12-17",371.929993,380.98999,370.339996,380.320007,1965900,376.660828
"2020-12-18",377.160004,380.799988,375.529999,380.109985,2569600,376.45285
"2020-12-21",374.720001,377.820007,368.420013,375.929993,997600,372.312988
"2020-12-22",376,380.140015,373.579987,379.970001,1003500,376.314148
"2020-12-23",379.01001,383.940002,376.709991,376.920013,900900,373.293518
"2020-12-24",377.51001,381.790009,377.429993,381.160004,441900,377.492737
"2020-12-28",387.570007,387.940002,378.040009,381.119995,871900,377.453094
"2020-12-29",383.200012,384.820007,377.320007,378.329987,640500,374.689911
"2020-12-30",380.820007,381.980011,375.339996,375.549988,703200,371.936676
"2020-12-31",375.019989,380.480011,374.950012,379.850006,982500,376.195343
"2021-01-04",379.73999,384.619995,366.170013,371.700012,1839800,368.123749
"2021-01-05",370.440002,374,367.309998,368.869995,1117700,365.320953
"2021-01-06",359.170013,364.01001,357.690002,361,1537600,357.526703
"2021-01-07",363.23999,370.230011,360.329987,368.630005,1109000,365.083282
"2021-01-08",369.790009,375.029999,368.600006,374.459991,1259100,371.45166
"2021-01-11",376.130005,376.76001,366.380005,372.339996,1514900,369.348755
"2021-01-12",371.829987,372.630005,362.350006,365.670013,1242200,362.7323
"2021-01-13",364.970001,367.329987,360.5,364.959991,1019500,362.028015
"2021-01-14",365.290009,369.630005,364.970001,365.51001,1146200,362.573608
"2021-01-15",364.880005,373.839996,363.029999,371.01001,1597800,368.029419
"2021-01-19",374.869995,386.380005,374.359985,384.950012,1578400,381.857452
"2021-01-20",391.670013,398.119995,388.980011,389.459991,2051800,386.331177
"2021-01-21",386.209991,388.420013,377.809998,381.75,1736700,378.683136
"2021-01-22",384.399994,384.399994,374.640015,374.850006,1150600,371.838562
"2021-01-25",378.040009,378.839996,364.309998,374.429993,1588200,371.421967
"2021-01-26",374.029999,376.140015,370.279999,374.799988,663500,371.78894
"2021-01-27",368.01001,375,359.329987,363.109985,1928100,360.192871
"2021-01-28",366.350006,376.670013,365.709991,369.950012,1395100,366.977966
"2021-01-29",366.359985,369.890015,359.690002,361.230011,1523500,358.328003
"2021-02-01",365.48999,378.450012,364.589996,373.579987,1260100,370.578766
"2021-02-02",376.329987,385.470001,375.529999,384.109985,1123400,381.02417
"2021-02-03",382.679993,383.679993,377,380.149994,807300,377.095978
"2021-02-04",381.940002,392.950012,380,392.730011,1522100,389.574921
"2021-02-05",392.540009,396.470001,387.720001,389.380005,867300,386.251831
"2021-02-08",393.480011,395.149994,386.880005,389.73999,898600,386.608948
"2021-02-09",385.850006,392.859985,384.640015,391.549988,817700,388.404388
"2021-02-10",395.839996,399.040009,390.589996,397.290009,1150300,394.098267
"2021-02-11",400,409.299988,396.589996,408.820007,1226900,405.535706
"2021-02-12",410,414.470001,407.119995,413.98999,1066800,410.664093
"2021-02-16",417.540009,423.73999,417.269989,422.26001,1378600,418.867706
"2021-02-17",419.929993,420.410004,412.049988,415.809998,1164700,412.469513
"2021-02-18",414.380005,420,408.429993,415.390015,1038700,412.052917
"2021-02-19",413.350006,417.809998,409.160004,411.350006,1287900,408.04538
"2021-02-22",408.160004,408.839996,401.23999,401.549988,1179200,398.324036
"2021-02-23",398.119995,402.799988,390.23999,399.089996,2483100,395.88385
"2021-02-24",388.290009,415.429993,382.799988,413.179993,3307900,409.860626
"2021-02-25",407.589996,408.950012,386.649994,387.980011,2148100,384.863129
"2021-02-26",390.459991,396.609985,385,390.140015,1765300,387.005707
"2021-03-01",396.329987,407.859985,394.220001,406.410004,1545000,403.14505
"2021-03-02",406.48999,406.519989,398.670013,401.75,1198400,398.522461
"2021-03-03",399.079987,401.01001,388.459991,388.709991,1369900,385.587189
"2021-03-04",388.420013,392.079987,373.570007,376.329987,1930000,373.306702
"2021-03-05",381.929993,384,367.779999,382.209991,1588200,379.139404
"2021-03-08",381.540009,388.109985,369.799988,370.420013,1652900,367.444214
"2021-03-09",380.880005,388.690002,379.779999,384.579987,1770700,381.490387
"2021-03-10",394.570007,394.570007,382.25,382.820007,1388800,379.744537
"2021-03-11",390.480011,401.029999,390.320007,399.170013,1445300,395.963196
"2021-03-12",394.209991,396.630005,387.380005,395.950012,1305100,392.769073
"2021-03-15",393.369995,398,390.380005,396.839996,1407900,393.651917
"2021-03-16",400.51001,401.890015,392.48999,395.420013,1077300,392.243378
"2021-03-17",392.850006,395.829987,385.75,391.720001,1765800,388.573029
"2021-03-18",384.070007,385.630005,373.459991,373.970001,1868400,370.965668
"2021-03-19",374.25,385.309998,373.290009,381.279999,4423200,378.216919
"2021-03-22",381.809998,386.059998,380.070007,383.019989,1468800,379.942902
"2021-03-23",386.029999,387.799988,381.529999,383.200012,1154500,380.12149
"2021-03-24",384.320007,386.190002,376.730011,377.290009,1138300,374.259003
"2021-03-25",374.549988,375.869995,365.149994,372.390015,1510700,369.398346
"2021-03-26",369.160004,377.049988,367.940002,376.579987,2107200,373.554657
"2021-03-29",377.640015,379.690002,369.350006,374.619995,1631200,371.610443
"2021-03-30",371.079987,376.119995,368.73999,373.660004,998000,370.658142
"2021-03-31",378.070007,386,376.459991,383.059998,1512700,379.982574
"2021-04-01",388.920013,397.410004,388.48999,395.230011,1445100,392.05484
"2021-04-05",397.570007,402.890015,396.380005,402.140015,1473600,398.909332
"2021-04-06",399.589996,405,396.850006,401.200012,813300,397.976898
"2021-04-07",400.160004,403.119995,399.019989,401.049988,713700,397.828094
"2021-04-08",403.540009,412.480011,402.899994,411.320007,1397000,408.015594
"2021-04-09",412.410004,418.369995,409.290009,417.609985,1003500,414.850128
"2021-04-12",415.529999,417.130005,412.48999,415.929993,1251600,413.181213
"2021-04-13",416.440002,419.529999,414.309998,418.940002,1550200,416.171326
"2021-04-14",422.769989,422.769989,410.440002,411.290009,1016600,408.571869
"2021-04-15",414.660004,418.350006,413.170013,417.559998,914800,414.800446
"2021-04-16",419.179993,420.179993,414.269989,415.820007,973100,413.07196
"2021-04-19",415.820007,417,400.970001,402.290009,1130900,399.631348
"2021-04-20",401.059998,406.929993,399.23999,405.369995,1095800,402.69101
"2021-04-21",405.899994,409.779999,401.98999,408.950012,857400,406.247375
"2021-04-22",407.420013,411.51001,404.230011,406.779999,761700,404.091644
"2021-04-23",409.190002,416.200012,408.429993,414.920013,981500,412.177887
"2021-04-26",414.440002,418.679993,410.899994,418.290009,716400,415.525635
"2021-04-27",420,420.890015,414,416.119995,619400,413.369904
"2021-04-28",415.269989,417.459991,411.399994,415.799988,541700,413.052063
"2021-04-29",417.200012,418.100006,411.559998,416.149994,636700,413.39975
"2021-04-30",413.350006,418.079987,411.619995,412.160004,1409200,409.436127
"2021-05-03",414.790009,415.670013,409,411.339996,771800,408.621552
"2021-05-04",409.149994,409.149994,395.880005,397.619995,1214200,394.992218
"2021-05-05",401.079987,403.079987,390.809998,392.040009,989800,389.449097
"2021-05-06",390.809998,394.51001,386.149994,394.070007,975400,391.465668
"2021-05-07",399.829987,406.070007,396.429993,401.040009,965500,398.389587
"2021-05-10",400.230011,401.51001,392.290009,392.540009,1005400,389.945801
"2021-05-11",390.369995,400.209991,385.660004,394.98999,932600,392.379578
"2021-05-12",393.679993,402.23999,391.089996,399.890015,2256300,397.247253
"2021-05-13",401.670013,405.98999,397,403.519989,1402100,400.85318
"2021-05-14",406.859985,418.549988,403.540009,417.26001,1191200,414.502441
"2021-05-17",415.079987,419.5,409.459991,419.420013,1286200,416.648163
"2021-05-18",421,424.640015,417.070007,417.429993,1153700,414.671295
"2021-05-19",409.519989,421.75,408.720001,421.200012,1321200,418.416382
"2021-05-20",423.369995,436.98999,423.369995,435.269989,1242200,432.393402
"2021-05-21",438.450012,441.359985,431.76001,433.429993,1172800,430.565552
"2021-05-24",439.200012,442.709991,438.070007,440.410004,1127300,437.49939
"2021-05-25",440.01001,442.040009,436.880005,438.98999,1469700,436.088776
"2021-05-26",440.920013,445.660004,437.589996,442.809998,2008700,439.883545
"2021-05-27",436.209991,437.769989,427.420013,432.109985,2974200,429.254242
"2021-05-28",435.5,442,433.820007,439.089996,1451300,436.188141
"2021-06-01",441.700012,441.950012,434.649994,438.660004,948000,435.760986
"2021-06-02",438.059998,447.079987,436.01001,445.440002,1321000,442.496185
"2021-06-03",439.5,451.929993,438,450.559998,1490100,447.582336
"2021-06-04",454.980011,463.619995,454.01001,461.929993,1400700,458.877197
"2021-06-07",459.559998,461.829987,454.799988,457.209991,868100,454.188354
"2021-06-08",461.160004,466,458.820007,465.26001,1516200,462.185211
"2021-06-09",466.119995,470.609985,465.420013,468.329987,919500,465.234894
"2021-06-10",467.320007,473.709991,466.23999,471.329987,1149800,468.215027
"2021-06-11",470.299988,474.619995,468.690002,472.160004,1471000,469.039612
"2021-06-14",472.329987,476.98999,469.869995,476.970001,961500,473.81778
"2021-06-15",478.190002,478.190002,468.850006,470.709991,1359600,467.599182
"2021-06-16",469.200012,473.720001,464.720001,469.339996,1230300,466.23822
"2021-06-17",468.880005,476.48999,467.309998,474.730011,1442700,471.592621
"2021-06-18",477.079987,478.48999,472.339996,473.399994,1571100,470.271362
"2021-06-21",477.179993,481.119995,472,477.899994,1073600,474.741669
"2021-06-22",477.309998,479.73999,475.119995,477.559998,1480600,474.403931
"2021-06-23",477.559998,482.200012,477.559998,478.589996,1218800,475.427124
"2021-06-24",482,486.25,480.299988,482.619995,1088500,479.43045
"2021-06-25",480.98999,490.190002,477,486.089996,1494500,482.877533
"2021-06-28",486.859985,491.390015,485.640015,486.98999,934500,483.771576
"2021-06-29",485.619995,491.660004,484.459991,491.399994,718400,488.152435
"2021-06-30",490.630005,492.600006,487.470001,490.170013,955100,486.930573
"2021-07-01",493.679993,493.679993,487.230011,491.049988,905600,487.804749
"2021-07-02",494.859985,500.829987,494.589996,497.640015,1072500,494.351196
"2021-07-06",501.859985,502.690002,498.230011,500.970001,1181000,497.65918
"2021-07-07",505.529999,508.630005,503.119995,506.089996,929000,502.745361
"2021-07-08",501.25,506.890015,497.079987,506.089996,989500,502.745361
"2021-07-09",502.940002,505.589996,495.73999,503.929993,1269400,501.183899
"2021-07-12",506.75,507.700012,503,505.100006,922300,502.347565
"2021-07-13",504.899994,509.970001,503.630005,506.690002,1002900,503.928894
"2021-07-14",509.459991,511.690002,504.589996,505.559998,1453600,502.805054
"2021-07-15",505.970001,506.380005,500.380005,503.170013,1101400,500.428101
"2021-07-16",504.640015,505,500.850006,501.51001,727800,498.77713
"2021-07-19",498.839996,502.480011,496,498.779999,1320300,496.061951
"2021-07-20",500.059998,512.669983,499.01001,508.559998,1273300,505.788696
"2021-07-21",506.709991,514.590027,503.079987,514.450012,1118900,511.646606
"2021-07-22",516.109985,522.090027,514.099976,521.309998,917700,518.469177
"2021-07-23",524.919983,532.330017,522.02002,528.429993,974500,525.550415
"2021-07-26",528.150024,530.22998,523.130005,529.309998,720500,526.425598
"2021-07-27",528.02002,530.52002,516.440002,522.909973,983100,520.060425
"2021-07-28",524.590027,527.22998,520.929993,523.099976,694700,520.249451
"2021-07-29",521.210022,529.440002,521.210022,525.51001,627400,522.646362
"2021-07-30",525.200012,530.859985,525.02002,529.969971,905300,527.082031
"2021-08-02",532.109985,534.77002,525.369995,527.51001,857400,524.635437
"2021-08-03",528.890015,532.109985,524.26001,530.179993,870800,527.290833
"2021-08-04",530.830017,537.169983,528.440002,536.059998,709100,533.138794
"2021-08-05",536.73999,540.630005,534.539978,538.01001,897000,535.078186
"2021-08-06",534.809998,537.880005,530.01001,534.289978,1040200,531.378479
"2021-08-09",534.169983,537.23999,531.869995,535.22998,733100,532.313354
"2021-08-10",538.22998,539.98999,528.710022,530.130005,855800,527.24115
"2021-08-11",529.390015,533.039978,526.619995,532.22998,765000,529.329712
"2021-08-12",532.289978,538.140015,530.22998,536.919983,521200,533.994141
"2021-08-13",536.359985,541.210022,534.51001,540.73999,541200,537.793274
"2021-08-16",540.450012,542.960022,535.869995,542.940002,785300,539.981445
"2021-08-17",542.109985,542.109985,534.140015,535.859985,1079200,532.939819
"2021-08-18",535.080017,539.590027,532.109985,532.97998,723900,530.075562
"2021-08-19",528.590027,547.900024,527.830017,543.440002,1495300,540.478577
"2021-08-20",547.580017,549.679993,542.969971,545.299988,1243200,542.328552
"2021-08-23",548.849976,553.799988,548.200012,552.48999,1368500,549.479248
"2021-08-24",554,555.030029,548.830017,554.02002,1661300,551.000977
"2021-08-25",577.309998,582.960022,551.01001,555.609985,2237800,552.582275
"2021-08-26",547.679993,556.609985,546.169983,552.640015,1557000,549.628479
"2021-08-27",554.630005,566.25,553.669983,565.940002,1414200,562.856018
"2021-08-30",567.140015,568.309998,563.539978,565.570007,893900,562.488098
"2021-08-31",567.109985,567.109985,563.25,566.109985,1231100,563.025024
"2021-09-01",567.299988,567.780029,562.669983,563.130005,1259400,560.06134
"2021-09-02",563.700012,565.289978,555.640015,559.789978,1086000,556.739502
"2021-09-03",559.5,566.73999,558.039978,563.25,762600,560.180664
"2021-09-07",563.75,563.75,555.51001,560.469971,881900,557.415833
"2021-09-08",559.5,568.47998,558.169983,567.590027,918200,564.497009
"2021-09-09",568.530029,572.859985,566.590027,567.75,775300,564.656189
"2021-09-10",571.409973,573,567.039978,567.380005,1088400,564.288147
"2021-09-13",570.190002,571.469971,551.26001,557.419983,1192700,554.382446
"2021-09-14",565.950012,571.200012,563.02002,568.27002,1182800,565.173279
"2021-09-15",570,572.369995,564.599976,572.109985,1025700,568.99231
"2021-09-16",570.909973,574.719971,567.940002,572.880005,999900,569.75824
"2021-09-17",572.840027,572.840027,560.669983,561.849976,1860900,558.788208
"2021-09-20",553.01001,560.210022,547.51001,554.400024,1300000,551.378906
"2021-09-21",559.73999,559.869995,553.51001,555.25,758100,552.224243
"2021-09-22",560.599976,565,553.640015,562.799988,911100,559.733093
"2021-09-23",566.179993,578.309998,565.080017,577.369995,1235100,574.223755
"2021-09-24",573.390015,579.169983,570.340027,577.919983,1168700,574.770691
"2021-09-27",572.849976,573.830017,561.299988,567.01001,1279100,563.920166
"2021-09-28",560.440002,562.780029,544.47998,545.01001,1647600,542.040039
"2021-09-29",548.880005,553.150024,545.039978,546.929993,994800,543.949585
"2021-09-30",549.390015,554.48999,539.210022,539.51001,1540800,536.570007
"2021-10-01",541.23999,546.049988,533.280029,543.969971,1439900,541.005676
"2021-10-04",539.690002,541.530029,519,525.349976,1456000,522.487183
"2021-10-05",529.059998,536.929993,526.400024,533.349976,958300,530.443604
"2021-10-06",526.419983,537.929993,526.01001,534.609985,977600,531.696655
"2021-10-07",538.169983,544.75,537.080017,537.72998,955600,535.480835
"2021-10-08",539.059998,541.390015,529.440002,531.119995,937000,528.898499
"2021-10-11",528.75,533.460022,525.039978,525.409973,1025300,523.212341
"2021-10-12",527.02002,533.400024,524.140015,527.049988,873000,524.84552
"2021-10-13",534.25,539.640015,532.25,534.940002,866500,532.702515
"2021-10-14",543.349976,549.919983,542,543.780029,1068300,541.505615
"2021-10-15",545,553.280029,543.27002,552.159973,1602700,549.850464
"2021-10-18",552.76001,564.809998,548.27002,564.559998,1321800,562.198608
"2021-10-19",568.150024,573.130005,563.960022,572.799988,978000,570.404114
"2021-10-20",574.340027,575.679993,568.909973,570.530029,836200,568.143616
"2021-10-21",570,578.929993,565.299988,578.349976,729600,575.930908
"2021-10-22",580.900024,591.630005,580,590.799988,991800,588.328796
"2021-10-25",590.799988,604.22998,589.75,602.559998,1104600,600.039673
"2021-10-26",605.580017,613.359985,602.460022,608.609985,1418600,606.064392
"2021-10-27",609.219971,617.320007,606.900024,613.130005,1457700,610.56543
"2021-10-28",613.150024,620.409973,605.820007,615.409973,1066600,612.835938
"2021-10-29",613.359985,626.599976,610.880005,625.98999,1038200,623.371704
"2021-11-01",628.530029,629.97998,607.309998,608.809998,1246300,606.263489
"2021-11-02",612.090027,625.659973,610.5,618.390015,1024500,615.803467
"2021-11-03",619.909973,625.659973,609.26001,622.869995,1093900,620.264709
"2021-11-04",621.280029,631.559998,620.309998,625.679993,1267100,623.062988
"2021-11-05",628.190002,629.309998,612.789978,614.98999,1428200,612.417664
"2021-11-08",619.01001,619.48999,608.210022,615.25,1222800,612.676636
"2021-11-09",615.950012,618.130005,611.219971,612.780029,1205100,610.21698
"2021-11-10",611.390015,617.98999,603.559998,603.97998,1197300,601.453735
"2021-11-11",607.25,610.599976,605.909973,606.869995,684300,604.331665
"2021-11-12",610.929993,628.380005,610.929993,626.98999,1182600,624.367493
"2021-11-15",628.190002,632.950012,622.549988,626.140015,1402500,623.521057
"2021-11-16",626.159973,646.47998,625.950012,645.76001,1331700,643.05896
"2021-11-17",643.580017,644.549988,629.840027,635.059998,1321900,632.403687
"2021-11-18",636.52002,636.719971,626.429993,628.940002,1319900,626.309326
"2021-11-19",715.869995,716.859985,681.460022,692.340027,3615700,689.444153
"2021-11-22",691.960022,693.51001,660.809998,661.630005,2177000,658.862671
"2021-11-23",652.75,672.140015,648.799988,670.630005,2112500,667.825012
"2021-11-24",661.5,684.650024,659.679993,684,1715100,681.139099
"2021-11-26",684,691.049988,663.710022,666.909973,1279300,664.120483
"2021-11-29",674.330017,697.27002,674.330017,694.659973,2009300,691.754395
"2021-11-30",668.950012,681.570007,652,652.299988,4186000,649.571594
"2021-12-01",667.900024,674.950012,657.599976,663.890015,5184800,661.113159
"2021-12-02",660.200012,677.809998,660.200012,672.119995,1961900,669.308655
"2021-12-03",671.429993,673.450012,634.97998,647.960022,2277100,645.249756
"2021-12-06",649.98999,652.059998,639.530029,645.340027,1687000,642.640747
"2021-12-07",654.219971,674.450012,653.960022,673.299988,1615300,670.483826
"2021-12-08",673.169983,676.200012,666.780029,673.059998,1332800,670.244812
"2021-12-09",674.030029,680.25,662.710022,665.51001,1180200,662.72644
"2021-12-10",670.309998,678.22998,666.890015,677.950012,1276500,675.11438
"2021-12-13",678,684.070007,668.400024,668.73999,1430800,665.942871
"2021-12-14",655.640015,657.039978,626.849976,639.47998,1865900,636.805298
"2021-12-15",645.210022,648.73999,625.25,647.48999,2555000,644.781738
"2021-12-16",649,649.98999,624.809998,633.960022,1954700,631.30835
"2021-12-17",621.400024,631.73999,612.190002,620.27002,4330300,617.675598
"2021-12-20",609.099976,614.330017,599.27002,604.630005,2236700,602.101074
"2021-12-21",610.539978,623.099976,601.049988,621.070007,1875800,618.472229
"2021-12-22",620.960022,632.419983,616.719971,631.659973,1014600,629.017883
"2021-12-23",631.659973,638.809998,630.75,635.710022,759800,633.051025
"2021-12-27",639.090027,653.650024,638,652.77002,1068700,650.039734
"2021-12-28",657.859985,658.840027,647.400024,649.780029,955700,647.062256
"2021-12-29",649.090027,650.77002,642.080017,648.030029,651300,645.319519
"2021-12-30",648.039978,650.700012,642.450012,643.359985,776400,640.669006
"2021-12-31",644.330017,647.349976,638.719971,643.219971,821500,640.529541
"2022-01-03",640.030029,645.609985,621.280029,631.469971,1360600,628.828796
"2022-01-04",631.469971,631.469971,606.130005,618.320007,1998900,615.733826
"2022-01-05",609.429993,614.690002,593.169983,593.700012,2295800,591.216736
"2022-01-06",586.799988,595.849976,580.210022,586.390015,1789000,583.937317
"2022-01-07",586.440002,588.98999,563.77002,567.559998,2275200,565.842224
