"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"2020-11-11",42.860001,42.900002,42,42.369999,2119500,41.141434
"2020-11-12",41.869999,42.57,41.450001,42.200001,1907100,40.97636
"2020-11-13",42.400002,44.509998,42.290001,44.139999,2884900,42.860111
"2020-11-16",45.259998,45.41,43.619999,44.919998,3913400,43.617493
"2020-11-17",44.110001,45.349998,43.759998,45.130001,2400700,43.821411
"2020-11-18",45.299999,45.48,43.529999,43.560001,3211400,42.296932
"2020-11-19",43.41,44.369999,43.25,44.040001,1625700,42.763008
"2020-11-20",43.799999,44.299999,43.27,43.560001,1740500,42.296932
"2020-11-23",43.900002,44.23,43.389999,44.130001,1853800,42.850403
"2020-11-24",44.790001,47.299999,44.790001,47.040001,3371100,45.676025
"2020-11-25",46.82,46.98,45.759998,46.5,3480400,45.15168
"2020-11-27",46.369999,47.189999,46.169998,46.799999,2205300,45.442982
"2020-11-30",46.330002,46.630001,45.709999,46,5411700,44.66618
"2020-12-01",46.5,47.18,46.009998,46.25,3326200,44.908932
"2020-12-02",46.07,46.220001,44.799999,45.290001,3255300,43.976768
"2020-12-03",45.52,46.740002,45.419998,46.669998,1832300,45.31675
"2020-12-04",46.98,47.560001,46.52,47.540001,1751400,46.161522
"2020-12-07",47.360001,47.970001,46.900002,47.66,2093600,46.278046
"2020-12-08",47.18,48.619999,47.18,47.93,2275700,46.540218
"2020-12-09",48.299999,48.299999,47.59,48.080002,1894700,46.685871
"2020-12-10",48.029999,48.540001,47.830002,48.209999,1781400,46.812099
"2020-12-11",47.610001,48.32,47.080002,47.299999,1671600,45.928482
"2020-12-14",47.889999,48.27,45.900002,45.919998,2308400,44.588501
"2020-12-15",46.330002,46.389999,45.700001,46.029999,1518100,44.695309
"2020-12-16",45.689999,46.810001,45.689999,46.27,3328500,44.928349
"2020-12-17",46.810001,46.93,45.540001,45.970001,1777700,44.637051
"2020-12-18",45.779999,45.82,44.810001,45.509998,2921900,44.190384
"2020-12-21",44.470001,44.82,43.959999,44.580002,1387300,43.287354
"2020-12-22",44.549999,45.029999,43.91,44.419998,2782400,43.131992
"2020-12-23",44.689999,45.560001,44.59,45.389999,1126700,44.073868
"2020-12-24",45.599998,45.599998,44.889999,45.470001,502900,44.151546
"2020-12-28",45.830002,45.93,44.959999,45.48,2206800,44.161255
"2020-12-29",45.91,46.23,45.32,45.540001,2109500,44.219521
"2020-12-30",45.310001,45.650002,45,45.240002,1202000,43.928219
"2020-12-31",45.119999,45.279999,44.82,45.189999,1030600,43.879665
"2021-01-04",46.52,46.52,44.810001,45.650002,1857100,44.326328
"2021-01-05",45.91,47.299999,45.639999,47,2619200,45.637184
"2021-01-06",47.880001,50.049999,47.860001,49.25,3360900,47.821941
"2021-01-07",49.389999,49.77,48.68,49.150002,1918600,47.724842
"2021-01-08",49.18,49.549999,48.830002,49.5,1134400,48.06469
"2021-01-11",48.919998,50.060001,48.82,49.68,2197600,48.239475
"2021-01-12",50,52.32,50,51.849998,2902600,50.34655
"2021-01-13",51.450001,53.23,51.16,52.290001,2611200,50.773792
"2021-01-14",52.630001,53.720001,52.09,53.5,1902900,51.948708
"2021-01-15",53.240002,53.32,52.299999,52.540001,1855100,51.016548
"2021-01-19",52.939999,53.189999,51.77,52.029999,1783800,50.521332
"2021-01-20",51.98,52.119999,50.52,51.139999,2002300,49.657139
"2021-01-21",51.110001,51.389999,50,50.650002,1560800,49.181347
"2021-01-22",50.150002,50.720001,49.950001,50.52,1283900,49.055119
"2021-01-25",50,52.439999,49.950001,51.650002,1825300,50.152351
"2021-01-26",52.200001,53.360001,51.919998,53.330002,2545200,51.783642
"2021-01-27",52.810001,56.099998,52.560001,54.990002,3783500,53.395504
"2021-01-28",54.779999,55.310001,51.869999,51.98,2110700,50.472778
"2021-01-29",52.049999,52.509998,49.810001,50.16,2513300,48.705559
"2021-02-01",50.540001,50.950001,49.040001,49.509998,2496000,48.074406
"2021-02-02",49.580002,49.849998,48.610001,48.889999,1889400,47.472382
"2021-02-03",49.209999,49.759998,48.73,49.369999,1856100,47.938461
"2021-02-04",49.5,49.84,48.580002,49.060001,1767400,47.637455
"2021-02-05",49.23,49.889999,48.619999,48.98,2088400,47.559769
"2021-02-08",48.93,49.23,48.259998,48.720001,1823300,47.307312
"2021-02-09",48.869999,49.18,48.150002,48.66,1901700,47.24905
"2021-02-10",48.75,49.279999,48.049999,48.98,3011000,47.559769
"2021-02-11",45.990002,46.490002,43.43,44.5,8179700,43.209671
"2021-02-12",44.48,44.849998,43.560001,44.009998,4751500,42.733883
"2021-02-16",44.689999,45.139999,43.619999,44.5,3576900,43.209671
"2021-02-17",44.400002,45.509998,44.18,45.380001,2974600,44.064159
"2021-02-18",45.189999,45.610001,44.48,44.540001,2183800,43.248512
"2021-02-19",44.849998,45.790001,44.330002,44.400002,3055000,43.112572
"2021-02-22",44.599998,45.41,44.419998,45.119999,2215500,43.811695
"2021-02-23",45.380001,47.189999,44.82,46.98,3445100,45.61776
"2021-02-24",47.169998,47.419998,46.439999,47.009998,3039800,45.646896
