"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2020-10-27",150.899994,152.160004,147.740005,147.809998,792200,145.939575
"2020-10-28",145.509995,147.240005,140.100006,140.889999,1616000,139.107132
"2020-10-29",140.360001,141.919998,139.110001,139.559998,1635800,137.793945
"2020-10-30",138.770004,140.279999,135.979996,136.600006,1539800,134.871429
"2020-11-02",138.619995,142.270004,137.440002,141.850006,1395300,140.054977
"2020-11-03",143.710007,151.080002,143.210007,150,1808400,148.101868
"2020-11-04",150.440002,155.929993,150.440002,151.949997,1254700,150.027176
"2020-11-05",154.169998,154.869995,151.550003,151.649994,1013800,149.730972
"2020-11-06",152,153.169998,150.029999,150.070007,776300,148.170959
"2020-11-09",158.009995,160.279999,151.759995,151.899994,1013200,149.977814
"2020-11-10",151.509995,155.779999,149.509995,154.610001,1812900,152.653503
"2020-11-11",155.679993,159.440002,155.169998,159.190002,1529100,157.175568
"2020-11-12",159.029999,162.910004,158.240005,162.520004,2136800,160.463409
"2020-11-13",164.309998,165.139999,161.770004,165.089996,1227600,163.0009
"2020-11-16",166.300003,171.710007,165.970001,171.509995,1023700,169.33963
"2020-11-17",170.039993,172.029999,168.300003,171.949997,724100,169.774078
"2020-11-18",172.610001,174.229996,171.690002,171.949997,894700,169.774078
"2020-11-19",170.490005,174.279999,170.020004,173.610001,691600,171.413071
"2020-11-20",173.720001,174.559998,171.270004,171.639999,504600,169.468018
"2020-11-23",172.179993,172.679993,169.679993,172.589996,596100,170.794067
"2020-11-24",173.610001,173.699997,165.679993,165.800003,1171800,164.074722
"2020-11-25",165.779999,169.059998,165.679993,166,614600,164.272644
"2020-11-27",165.830002,167.039993,164.240005,164.740005,316300,163.025757
"2020-11-30",165.330002,167.949997,165.059998,166.899994,1117100,165.163254
"2020-12-01",168.440002,170.690002,166.860001,166.940002,472300,165.202866
"2020-12-02",166.380005,166.830002,163.339996,164.610001,664200,162.89711
"2020-12-03",164.850006,167.139999,164.479996,165.25,430700,163.530441
"2020-12-04",166.009995,167.320007,165.690002,166.5,956400,164.767426
"2020-12-07",166.949997,171.320007,166.639999,170.830002,612500,169.052368
"2020-12-08",175.979996,190.160004,175.869995,184.229996,2075700,182.312927
"2020-12-09",183.369995,183.770004,179.330002,179.979996,1081800,178.107147
"2020-12-10",178.960007,183.479996,178.369995,183.389999,726100,181.481674
"2020-12-11",185.070007,189.539993,184.860001,188.139999,726200,186.182236
"2020-12-14",187.470001,191.160004,187.470001,189.119995,623700,187.152039
"2020-12-15",191.550003,194.039993,190.600006,193.580002,550200,191.565643
"2020-12-16",192.600006,195.149994,192.589996,193.25,612500,191.239059
