"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2021-02-04",139.630005,142.369995,137.240005,142.369995,1372400,141.985107
"2021-02-05",142.380005,145.940002,142.380005,145.029999,1022600,144.637924
"2021-02-08",145.720001,147.160004,142.229996,144.550003,800900,144.159256
"2021-02-09",144.440002,146.960007,142.960007,145.619995,785300,145.226334
"2021-02-10",147.220001,148.970001,145.289993,147.220001,756500,146.822037
"2021-02-11",148.600006,149.949997,146.990005,148.699997,593900,148.298004
"2021-02-12",148.630005,151.880005,147.690002,150.570007,546500,150.162994
"2021-02-16",150,151.949997,145.759995,146.490005,887200,146.094025
"2021-02-17",145.710007,147.020004,142.619995,144.419998,697000,144.029587
"2021-02-18",142.270004,143.889999,141.179993,142.600006,646400,142.214508
"2021-02-19",142.809998,143.479996,136.759995,136.789993,1417500,136.420212
"2021-02-22",135.490005,135.570007,128.210007,129.720001,1919800,129.369339
"2021-02-23",128.660004,131.960007,127.379997,131.020004,1301500,130.665833
"2021-02-24",131,131.550003,127.940002,128.779999,1061700,128.43187
"2021-02-25",129.429993,129.429993,124.900002,125.970001,1100000,125.629463
"2021-02-26",127,127,124.910004,126.089996,1224700,125.749138
"2021-03-01",127.809998,130.119995,127.169998,129.720001,1149900,129.369339
"2021-03-02",129.610001,130.820007,127.440002,127.529999,1057400,127.185257
"2021-03-03",127.5,127.910004,126.239998,126.379997,1635900,126.038361
"2021-03-04",125.480003,126.489998,123.269997,124.220001,2096100,123.884201
"2021-03-05",125.230003,125.790001,121.139999,124.050003,1648100,123.714668
"2021-03-08",124.059998,126.389999,121.540001,121.559998,1176600,121.231377
"2021-03-09",124.339996,130.169998,124.260002,125.959999,1177000,125.619499
"2021-03-10",127,129.660004,119.949997,120.349998,2060700,120.024658
"2021-03-11",122.209999,126.389999,121.809998,126.239998,1485100,125.898735
"2021-03-12",123.980003,124.68,120.790001,123.099998,915500,122.76722
"2021-03-15",122.769997,127.040001,122.010002,126.629997,1165400,126.287689
"2021-03-16",127.709999,128.179993,124.07,125.959999,797000,125.619499
"2021-03-17",124.769997,127.580002,124.370003,126.389999,469000,126.04834
"2021-03-18",124.879997,129.479996,124.639999,126.559998,819400,126.21788
"2021-03-19",126.93,129.740005,126.529999,128.399994,2541200,128.052887
"2021-03-22",128.009995,129.720001,126.540001,128.130005,871000,127.783638
"2021-03-23",128.130005,128.820007,126.25,127.25,661700,126.906006
"2021-03-24",126.309998,127.150002,124.269997,125.199997,830500,124.861557
"2021-03-25",124.989998,126.019997,123.300003,125.849998,826900,125.509804
"2021-03-26",126.610001,129.770004,125.970001,129.550003,576800,129.199799
"2021-03-29",127.82,129.360001,127.029999,128.649994,558600,128.302216
"2021-03-30",128.820007,130.619995,126.029999,127.730003,732500,127.384712
"2021-03-31",128.619995,129.710007,127.889999,128.289993,670500,127.943199
"2021-04-01",129.320007,130.100006,128.020004,129.880005,598800,129.528915
"2021-04-05",131.020004,131.449997,130.199997,130.990005,695500,130.635925
"2021-04-06",131.910004,134.5,131.729996,132.970001,690500,132.61055
"2021-04-07",132.190002,133,128.720001,130.179993,651600,129.828094
"2021-04-08",131.360001,132.809998,130.759995,131.559998,491200,131.204361
"2021-04-09",132.389999,133.669998,131.449997,133.389999,572800,133.029419
"2021-04-12",133.179993,133.380005,132.25,132.619995,575100,132.261475
"2021-04-13",133.559998,135.690002,132.800003,135.350006,814000,134.984131
"2021-04-14",135.779999,136.309998,130.429993,132.850006,1097500,132.490891
"2021-04-15",134.259995,136.399994,134.229996,134.630005,719700,134.336838
"2021-04-16",135.259995,135.350006,132.610001,133.160004,801100,132.870041
"2021-04-19",132.490005,135.169998,132.25,134.589996,1176100,134.296921
"2021-04-20",134.199997,135.070007,132.839996,134.360001,664500,134.067429
"2021-04-21",134.110001,134.380005,132.5,133.940002,470500,133.648346
"2021-04-22",133.940002,135.199997,132.789993,133.389999,844400,133.099548
"2021-04-23",133.220001,135.100006,132.789993,134.970001,607200,134.676102
"2021-04-26",135.509995,135.610001,134.520004,134.979996,769200,134.686081
"2021-04-27",135.440002,135.869995,134.639999,135.009995,868300,134.716019
"2021-04-28",134.320007,135.039993,132.850006,133.889999,567600,133.59845
"2021-04-29",134,134.130005,129.940002,130.5,1151600,130.215851
"2021-04-30",130.360001,131.460007,128.899994,129.630005,1310700,129.347733
"2021-05-03",130.889999,131.979996,129.460007,130.559998,1054900,130.275711
"2021-05-04",129.669998,129.809998,126.75,127.809998,1352700,127.531685
"2021-05-05",131.089996,138.100006,130.779999,136.570007,2037200,136.272629
"2021-05-06",135.720001,137.600006,134.559998,137.5,1305500,137.200592
"2021-05-07",138,141.320007,137.860001,140.970001,964000,140.66304
"2021-05-10",141.440002,142.210007,139.089996,140,933200,139.69516
"2021-05-11",137.970001,141.039993,137.130005,139.440002,845100,139.136383
"2021-05-12",138.389999,139.869995,137.710007,137.860001,677700,137.559799
"2021-05-13",138.899994,141.990005,138.130005,141.270004,672400,140.962387
"2021-05-14",141.979996,144.429993,141.229996,143.559998,763900,143.247406
"2021-05-17",143.5,144.830002,143.149994,143.229996,680000,142.918091
"2021-05-18",142.559998,143.119995,140.779999,141.889999,722000,141.581039
"2021-05-19",140.759995,142.850006,140.300003,142.630005,526000,142.319427
"2021-05-20",143.389999,148.869995,143.199997,147.679993,1113400,147.358429
"2021-05-21",148.350006,149.089996,144.570007,144.770004,1636000,144.454758
"2021-05-24",146.369995,146.869995,144.600006,144.610001,817600,144.295105
"2021-05-25",143.779999,144.5,142.199997,143.100006,889800,142.788422
"2021-05-26",144.649994,144.860001,142.509995,143.710007,756600,143.397095
"2021-05-27",143.660004,146.660004,143.339996,144.899994,1103400,144.584488
"2021-05-28",145.889999,146.970001,144.839996,145.070007,507100,144.754105
"2021-06-01",144.779999,145.149994,140.550003,141.759995,1051700,141.451309
"2021-06-02",141.460007,141.860001,138.759995,139.169998,981800,138.866959
"2021-06-03",138.669998,139.25,137.369995,138.610001,464200,138.308182
"2021-06-04",139.779999,140.220001,138.880005,138.960007,408900,138.657425
"2021-06-07",138.770004,139.350006,137.490005,137.520004,467100,137.220566
"2021-06-08",138.539993,140.580002,138.369995,139.720001,656500,139.415741
"2021-06-09",140.279999,142.690002,140.279999,141.399994,490300,141.092102
"2021-06-10",142.339996,146.220001,141.699997,146.110001,557600,145.79184
"2021-06-11",146.259995,147.179993,145.350006,146.809998,677700,146.490311
"2021-06-14",146.740005,147.270004,145.610001,147.149994,454400,146.829559
"2021-06-15",148.940002,148.940002,146.720001,148.110001,512700,147.787491
"2021-06-16",148.399994,150.160004,147.490005,148.850006,736700,148.525879
"2021-06-17",148.259995,150.660004,147.619995,149.690002,686000,149.364059
"2021-06-18",149.630005,151.619995,148.809998,150.690002,1000500,150.361893
"2021-06-21",151.429993,152.710007,149.259995,152.429993,582300,152.098083
"2021-06-22",153.020004,155.600006,152.009995,153.199997,745800,152.866409
"2021-06-23",153.279999,155.669998,153.160004,154.649994,861300,154.313248
"2021-06-24",155.820007,156.589996,149.539993,151.550003,1190800,151.220001
"2021-06-25",151.009995,153,148.770004,152.429993,1124100,152.098083
"2021-06-28",153,155.110001,152.199997,154.850006,507700,154.512833
"2021-06-29",154.740005,157.089996,153.75,155.839996,547300,155.500656
"2021-06-30",155.429993,156.350006,153.630005,154.410004,630900,154.073776
"2021-07-01",154.220001,155.380005,152.960007,154.600006,690500,154.263367
"2021-07-02",154.889999,156.110001,153.820007,155.570007,496500,155.231247
"2021-07-06",155.570007,156.199997,154.300003,156.009995,656100,155.670288
"2021-07-07",157.389999,157.520004,154.830002,155.050003,499400,154.712387
"2021-07-08",152.309998,154.449997,150.899994,153.929993,627000,153.594818
"2021-07-09",154.940002,155.279999,152.75,153.960007,433600,153.624771
"2021-07-12",154.399994,156.259995,154.229996,154.570007,484700,154.233444
"2021-07-13",153.779999,154.970001,152.960007,153.149994,497100,152.816513
"2021-07-14",153.75,154.070007,151.5,151.979996,500200,151.649063
"2021-07-15",151.509995,153.580002,151.380005,153.169998,318900,152.906891
"2021-07-16",153.229996,155.080002,152.050003,154.100006,528200,153.835297
"2021-07-19",152.320007,155.199997,152.320007,154.910004,837800,154.643921
"2021-07-20",154.960007,156.830002,154,155.380005,642900,155.113098
