"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2020-09-09",242.639999,247.490005,241.820007,245.570007,2244300,232.712631
"2020-09-10",244.559998,246.139999,238.899994,240.639999,2126400,228.040756
"2020-09-11",241.699997,245.490005,241.070007,243.210007,1899400,230.476212
"2020-09-14",244.839996,247.839996,244.25,246.75,2086500,233.830887
"2020-09-15",248.699997,251.919998,248.100006,248.350006,2243900,235.347092
"2020-09-16",251.350006,251.350006,247,247.759995,2325300,234.787979
"2020-09-17",243.529999,249.720001,243.020004,248.080002,2801100,235.091217
"2020-09-18",248.690002,249.839996,242.350006,247.720001,6042400,234.750061
"2020-09-21",247.039993,247.039993,238.199997,243.190002,2745300,230.457275
"2020-09-22",241.550003,248.289993,240.899994,247.5,2172600,234.541595
"2020-09-23",247.300003,249.229996,241.479996,242.589996,2104300,229.888687
"2020-09-24",242.149994,242.679993,237.779999,240.320007,1827200,227.737518
"2020-09-25",239.509995,244.179993,237.809998,243.820007,2635700,231.05426
"2020-09-28",247.679993,249.039993,244.770004,247.029999,2213900,234.096191
"2020-09-29",247.550003,249.050003,245.479996,248.300003,2008000,235.299713
"2020-09-30",249.809998,256.119995,248.100006,254.160004,3526600,240.852905
"2020-10-01",255.070007,258.51001,254.050003,255.389999,2428300,242.018509
"2020-10-02",252.399994,254.660004,244.009995,245.410004,2514100,232.561005
"2020-10-05",246.520004,256.649994,246.240005,256.01001,2852300,242.606033
"2020-10-06",257.399994,257.399994,252.139999,252.690002,2431400,239.459869
"2020-10-07",253.960007,258.399994,253.100006,257.670013,1842800,244.179153
"2020-10-08",249.270004,250.059998,239,240.089996,5592300,227.519562
"2020-10-09",238.5,239.580002,234.020004,236.699997,4183000,224.307053
"2020-10-12",237.729996,241.919998,235.759995,239.509995,2881600,226.96994
"2020-10-13",239.199997,241.869995,238.869995,239.339996,2065600,226.808823
"2020-10-14",240.399994,242.270004,237.199997,237.649994,2693600,225.207321
"2020-10-15",236,236.990005,232.869995,235.009995,2531000,222.705536
"2020-10-16",235.350006,239.160004,233.800003,235.720001,2059300,223.378357
"2020-10-19",236.210007,237.440002,230.009995,230.710007,2749800,218.630676
"2020-10-20",231.059998,232.899994,229.360001,231.100006,1950100,219.000244
"2020-10-21",229.460007,231.110001,227.539993,228.970001,1978700,216.981766
"2020-10-22",228.100006,229.929993,226.160004,227.979996,2172900,216.043579
"2020-10-23",228.720001,230.070007,226.300003,227.160004,2104200,215.266541
"2020-10-26",226.020004,228.229996,221.789993,224.889999,3087100,213.115402
"2020-10-27",225.059998,225.949997,223.139999,223.460007,1934400,211.760269
"2020-10-28",219.020004,221.059998,215.929993,216.380005,2874000,205.050934
"2020-10-29",213.630005,220.330002,210.279999,217.820007,2994100,206.415543
"2020-10-30",216.220001,217.270004,213.960007,216.940002,3262500,205.581619
"2020-11-02",221.559998,222.369995,217.199997,220.210007,2029000,208.680435
"2020-11-03",221.759995,223.080002,218.460007,220.059998,2533600,208.538284
"2020-11-04",226.289993,235.979996,225.100006,230.330002,3810000,218.270569
"2020-11-05",233.770004,233.830002,230,231.970001,2070300,219.824707
"2020-11-06",232.660004,233.210007,230.039993,231.669998,2028500,219.540421
"2020-11-09",242.940002,244.800003,234,235,2996200,222.69606
"2020-11-10",244,245.839996,239.470001,241.600006,3742800,228.950516
"2020-11-11",242.520004,245.669998,238.5,240.690002,2244800,228.088135
"2020-11-12",240.550003,240.889999,235.639999,237.139999,2438200,224.724014
"2020-11-13",236.889999,238.589996,235,237.360001,1767100,226.460434
"2020-11-16",237.419998,239.820007,235.259995,236.660004,2069200,225.792572
"2020-11-17",235.009995,236.929993,232.119995,232.440002,1935100,221.766373
"2020-11-18",234.050003,234.369995,227.639999,227.759995,2466200,217.30127
"2020-11-19",226.970001,226.970001,223.589996,224.669998,2595700,214.353149
"2020-11-20",223.220001,225.089996,221.479996,223.169998,2956200,212.922043
"2020-11-23",222.059998,223.169998,220.339996,222.220001,2032600,212.015671
"2020-11-24",222.449997,223.050003,219.820007,220.460007,3198300,210.336502
"2020-11-25",221.100006,223.770004,218.919998,220.309998,2550300,210.193375
"2020-11-27",221.410004,226.210007,221.389999,224.809998,1698300,214.48674
"2020-11-30",224.330002,225.279999,219.449997,222.039993,4857700,211.843918
"2020-12-01",224.880005,225.779999,222.720001,225.080002,3050600,214.744339
"2020-12-02",225.080002,230.080002,224.610001,226.559998,2641200,216.156372
"2020-12-03",226,228.449997,225.520004,226.910004,2167800,216.490311
"2020-12-04",225.75,230.330002,225.75,229.210007,2008800,218.684708
"2020-12-07",229,229.210007,225.110001,226.449997,2250300,216.051422
"2020-12-08",229.009995,229.100006,226.350006,228.940002,2124500,218.427109
"2020-12-09",229.779999,231.589996,227.880005,229.850006,2210000,219.295319
"2020-12-10",229.619995,230,227.520004,228.160004,1558100,217.682907
"2020-12-11",226.470001,227.800003,225.5,227.399994,2019300,216.957794
"2020-12-14",229.479996,232.190002,227.580002,229.460007,2904700,218.923203
"2020-12-15",229.009995,231.279999,227,230.529999,2566600,219.944061
"2020-12-16",229.990005,231.279999,228.110001,228.440002,2589100,217.950043
"2020-12-17",229.119995,231.380005,228.830002,231.240005,2510400,220.621475
"2020-12-18",232.039993,232.039993,227.25,228.490005,5888900,217.997772
"2020-12-21",225.679993,227.940002,221.580002,227.309998,2311400,216.871933
"2020-12-22",225.720001,226.479996,220.080002,220.990005,3571600,210.842133
"2020-12-23",221.479996,223.580002,220.660004,222.940002,1763500,212.702621
"2020-12-24",223.240005,224.580002,222.289993,222.929993,955400,212.693054
"2020-12-28",223.029999,226.899994,223.029999,223.649994,1495100,213.380005
"2020-12-29",225.880005,229.470001,225.270004,226.869995,1564400,216.452133
"2020-12-30",227.979996,229.029999,226.580002,227.169998,1891400,216.738358
"2020-12-31",227.309998,230.25,225.889999,229.919998,1821000,219.362076
"2021-01-04",231.25,231.25,223.669998,226.660004,3088200,216.251801
"2021-01-05",226.940002,228.899994,224.350006,227.759995,2494000,217.30127
"2021-01-06",225,233.529999,225,233.25,3754800,222.539154
"2021-01-07",231.860001,235.369995,231.470001,234.020004,2647800,223.273819
"2021-01-08",235.529999,238.860001,235.100006,238.490005,2511100,227.538528
"2021-01-11",240,240.350006,234.429993,237.570007,2600500,226.660797
"2021-01-12",237.119995,238.779999,235.350006,236.589996,1771500,225.7258
"2021-01-13",235.990005,238.5,235.220001,237.740005,1412300,226.822998
"2021-01-14",236.5,243.490005,235.679993,241.660004,2594000,230.562973
"2021-01-15",241.179993,246.839996,240.020004,245.490005,2855200,234.217117
"2021-01-19",246.5,249,246.380005,248.270004,2172900,236.869461
"2021-01-20",247.419998,253.350006,246.119995,252.360001,2768200,240.771652
"2021-01-21",252,252.729996,249.520004,252.029999,2215900,240.456802
"2021-01-22",252.259995,255.229996,250.559998,253.5,1866600,241.859299
"2021-01-25",252.050003,257.109985,251.850006,257.100006,1830700,245.293991
"2021-01-26",256.589996,259.070007,254.860001,258.600006,2008900,246.725082
"2021-01-27",255.470001,259.440002,250.320007,251.059998,3237900,239.531311
"2021-01-28",252.479996,276.690002,243.449997,247.75,5205600,236.373322
"2021-01-29",244.929993,246.470001,240.25,241.429993,3792800,230.343552
"2021-02-01",244.300003,245.479996,239.580002,240.429993,2173500,229.38945
"2021-02-02",240,241.949997,236.800003,240.490005,2444200,229.446716
"2021-02-03",231.559998,239.869995,231.389999,237.080002,4479200,226.193298
"2021-02-04",236.279999,237.860001,233.75,237.220001,2819700,226.326859
"2021-02-05",238.309998,238.880005,235.380005,236.320007,2421800,225.468185
"2021-02-08",237.990005,239.630005,235.850006,237.570007,2258200,226.660797
"2021-02-09",237.279999,237.669998,234.789993,236.649994,1996500,225.783035
"2021-02-10",238.399994,240.300003,236.699997,238.460007,2964400,227.509933
"2021-02-11",238.639999,239.130005,233.990005,235.039993,1633900,225.914352
"2021-02-12",235.039993,237.350006,233.490005,237.210007,1460300,228.000122
"2021-02-16",236.009995,237.690002,232.529999,232.839996,2018100,223.799789
"2021-02-17",232.330002,235.839996,231.240005,235.610001,1575400,226.462234
"2021-02-18",235.429993,235.429993,232.300003,232.529999,1945300,223.501846
"2021-02-19",232.009995,233.149994,230.850006,231.690002,2471500,222.694443
"2021-02-22",230.330002,233.800003,230.119995,231.470001,2334800,222.482986
"2021-02-23",232.649994,238,230.970001,232.460007,2919200,223.434555
"2021-02-24",229.869995,230.789993,227.710007,229.990005,2690500,221.060471
"2021-02-25",229.990005,230.5,226.899994,227.520004,2769200,218.686356
"2021-02-26",230.309998,230.309998,223.619995,224.919998,3453500,216.187302
"2021-03-01",225.880005,227.929993,225.229996,227.039993,2178100,218.224976
"2021-03-02",227,227.889999,225.279999,225.690002,2407500,216.927399
"2021-03-03",223.520004,225.690002,221.309998,223.940002,2610600,215.245331
"2021-03-04",227.820007,227.869995,220.25,221.910004,3577000,213.294159
"2021-03-05",222.449997,228.149994,221.449997,227.729996,3021300,218.888199
"2021-03-08",228.080002,232.199997,226.699997,227.809998,3101000,218.965073
"2021-03-09",230,233.119995,228.779999,228.990005,3057300,220.099289
"2021-03-10",231.460007,233.490005,229.020004,229.960007,2309800,221.031601
"2021-03-11",230.660004,233.960007,228.779999,231.169998,2244000,222.194626
"2021-03-12",230.240005,230.759995,228.690002,230.360001,1752600,221.416077
"2021-03-15",230,236.160004,229.800003,235.960007,2911000,226.79866
"2021-03-16",238.119995,242.020004,236.619995,240.320007,3386300,230.989365
"2021-03-17",240.309998,245.899994,239.220001,244.270004,3255500,234.786011
"2021-03-18",240.5,247.139999,240.5,244.419998,3063100,234.930176
"2021-03-19",245.740005,247.399994,241.630005,245.940002,12589900,236.391174
"2021-03-22",242.360001,249.770004,242.360001,249.690002,2059800,239.995575
"2021-03-23",249.990005,250,244.899994,245.039993,2604700,235.526108
"2021-03-24",245,247.389999,243.820007,245.470001,2237500,235.939407
"2021-03-25",247.039993,247.539993,244.979996,246.25,2707600,236.689148
"2021-03-26",245.970001,253.279999,245.539993,252.860001,2638900,243.04248
"2021-03-29",251.529999,256.600006,251.449997,254.960007,2488100,245.060974
"2021-03-30",253.179993,254.009995,248.830002,249.75,1979000,240.053253
"2021-03-31",249.229996,249.949997,247.360001,248.809998,3571900,239.149734
"2021-04-01",249.729996,250,246.410004,249.169998,2176900,239.495789
"2021-04-05",249.059998,252.630005,249.059998,252.020004,2230500,242.235123
"2021-04-06",251.740005,252.539993,248.240005,249.100006,2040100,239.428482
"2021-04-07",248.169998,250.220001,247.100006,248.119995,1583500,238.486526
"2021-04-08",249.100006,249.479996,245.979996,246.880005,1633600,237.294678
"2021-04-09",247.710007,249.100006,245.809998,248.949997,1368600,239.284302
"2021-04-12",248.520004,250,247.789993,248.940002,1722000,239.274689
"2021-04-13",249.149994,250.350006,247.089996,249.949997,1766000,240.245468
"2021-04-14",249.979996,251.5,249,249.619995,1753800,239.928284
"2021-04-15",251.100006,257,250.5,255.130005,2366300,245.22438
"2021-04-16",256.440002,258.820007,254.669998,255.710007,2768700,245.781845
"2021-04-19",252.850006,256.109985,252.639999,255.970001,2345100,246.031754
"2021-04-20",254.839996,260.359985,254.839996,259.140015,1579300,249.078674
"2021-04-21",260.410004,261,257.75,258.779999,2173600,248.732635
"2021-04-22",257.540009,258.480011,253.660004,255.050003,3370700,245.147461
"2021-04-23",254.979996,258.140015,253.669998,257.029999,2426900,247.050598
"2021-04-26",256.649994,256.75,254.419998,255.520004,1782700,245.599228
"2021-04-27",255.190002,256.529999,253.759995,255.130005,2184900,245.22438
"2021-04-28",241.520004,243.970001,233.759995,236.710007,7550800,227.519531
"2021-04-29",235.070007,236,231.029999,234.710007,4053400,225.597198
"2021-04-30",234.270004,240.660004,234.199997,239.639999,3420900,230.33577
"2021-05-03",240.669998,247.020004,240.550003,245.380005,3587700,235.852905
"2021-05-04",247.270004,247.580002,242.869995,247.360001,3555900,237.756042
"2021-05-05",246.289993,249.979996,245.910004,249.350006,2765100,239.668793
"2021-05-06",249.279999,251.479996,246.960007,251.300003,2790800,241.543045
"2021-05-07",251.779999,255.729996,251.779999,254.210007,2512700,244.340073
"2021-05-10",256,258.809998,252.059998,252.619995,4079900,242.811813
"2021-05-11",253.160004,255.960007,251.619995,252.300003,2307100,242.504257
"2021-05-12",251.410004,253.720001,249.679993,250.830002,2431900,241.091324
"2021-05-13",250.169998,254.089996,249.789993,252.070007,3275300,242.283173
"2021-05-14",252.889999,254.589996,251.149994,251.380005,2286800,243.318863
"2021-05-17",252.289993,254.660004,250.639999,252.380005,1922200,244.286804
"2021-05-18",252.080002,253.100006,250.320007,250.860001,1729400,242.815552
"2021-05-19",248.389999,249.089996,246.75,248.630005,2652500,240.657043
"2021-05-20",248.009995,254.389999,247.910004,251.929993,2227400,243.851212
"2021-05-21",253.710007,254.059998,250.740005,251.009995,2177900,242.960739
"2021-05-24",250.559998,253.479996,247.570007,247.75,2552000,239.805267
"2021-05-25",246.660004,247.75,241.779999,242,3210600,234.239655
"2021-05-26",241.839996,242.479996,238.330002,238.550003,3812100,230.900284
"2021-05-27",238.910004,239.460007,234.580002,235.309998,3701100,227.764175
"2021-05-28",236.210007,240.869995,236.130005,237.940002,3239300,230.309875
"2021-06-01",242.199997,242.279999,232.940002,233.580002,3799600,226.089661
"2021-06-02",234.899994,236.690002,233.889999,235.160004,2266800,227.619003
"2021-06-03",233.669998,236.580002,233.360001,235.740005,2010600,228.180389
"2021-06-04",236.740005,239.279999,235.75,236.850006,1875700,229.254807
"2021-06-07",236.919998,240.570007,235.199997,237.190002,2153800,229.583893
"2021-06-08",238.929993,239.119995,235.25,236.820007,1638000,229.225784
"2021-06-09",237.919998,241.309998,236.729996,239.520004,3047700,231.839172
"2021-06-10",239.570007,245.330002,239.220001,244.639999,2655900,236.794983
"2021-06-11",244.880005,245.5,241.979996,242.770004,2002300,234.98497
"2021-06-14",242.559998,242.720001,239.289993,241.190002,2083200,233.455627
"2021-06-15",241.740005,241.979996,239.050003,239.850006,2508800,232.1586
"2021-06-16",240.869995,244.509995,238,239.580002,3185600,231.897263
"2021-06-17",239.539993,242.429993,238.339996,240.759995,2142800,233.039429
"2021-06-18",239.580002,241,236.470001,238.679993,5560400,231.026108
"2021-06-21",239.639999,240.910004,237.649994,240.240005,2149000,232.536102
"2021-06-22",239.710007,240.75,238.289993,239.910004,1780400,232.21669
"2021-06-23",239.649994,239.75,236.929993,238.710007,1654300,231.055145
"2021-06-24",240.410004,243.029999,239.289993,240.949997,1943000,233.223312
"2021-06-25",241.639999,243.649994,240.110001,242.679993,4309900,234.897842
"2021-06-28",244.029999,245.509995,242.660004,242.839996,1680700,235.052704
"2021-06-29",243.220001,243.940002,242.059998,242.460007,1337200,234.684906
"2021-06-30",242.720001,244.270004,242.059998,243.75,2325100,235.933533
"2021-07-01",243.740005,247.100006,243.550003,246.899994,2091600,238.982513
"2021-07-02",247.330002,249.899994,246.25,248.699997,1943600,240.724808
"2021-07-06",247.259995,248.119995,243.169998,243.649994,2792300,235.836746
"2021-07-07",244.070007,244.279999,241.339996,243.220001,2381700,235.420547
"2021-07-08",244.240005,246.699997,242.449997,244.279999,1994300,236.446533
"2021-07-09",243.089996,245.929993,241.710007,245.199997,1609900,237.337036
"2021-07-12",244.490005,247.899994,243.539993,244.369995,2149400,236.533661
"2021-07-13",245.389999,246.75,242.979996,244.830002,1618200,236.978897
"2021-07-14",244.220001,245.330002,241.490005,244.699997,2185200,236.853073
"2021-07-15",244.330002,247.570007,242.139999,246.630005,2106700,238.721176
"2021-07-16",248.080002,249.529999,246.539993,247.960007,3141400,240.008545
"2021-07-19",247.800003,249.949997,244.850006,246.729996,2529900,238.817963
"2021-07-20",247.270004,250.389999,245.710007,246.889999,3035200,238.972855
"2021-07-21",246.910004,246.960007,242.690002,244.850006,1901900,236.998245
"2021-07-22",243.979996,246.220001,243.130005,244.740005,1379800,236.8918
"2021-07-23",246.270004,248.559998,244.869995,247.720001,1747300,239.77623
"2021-07-26",247.720001,248.389999,244.809998,245.080002,1518500,237.220886
"2021-07-27",244.119995,245.610001,243.380005,244.679993,2166400,236.833694
"2021-07-28",244.550003,247.699997,243.520004,244.25,1649100,236.417511
"2021-07-29",244.460007,245.160004,242.210007,242.460007,1498900,234.684906
"2021-07-30",242.619995,243.100006,240.630005,241.539993,2284100,233.794388
"2021-08-02",242.119995,242.479996,238.369995,239.789993,1849400,232.10051
"2021-08-03",240.759995,244.389999,239.410004,244.080002,2320400,236.25296
"2021-08-04",238.369995,239.419998,227.100006,228.309998,6952800,220.988647
"2021-08-05",228.75,234.039993,228.059998,233.990005,3294100,226.486526
"2021-08-06",231.850006,233.25,228.770004,230.149994,2363800,222.769653
"2021-08-09",230.520004,231.399994,227.220001,227.889999,2250300,220.582123
"2021-08-10",228.199997,228.199997,223.940002,227.960007,2860200,220.649902
"2021-08-11",229.139999,230,227.490005,228.130005,2104900,220.814438
"2021-08-12",228.199997,229.479996,225.809998,228.149994,1798600,220.833786
"2021-08-13",229.110001,231.889999,228.759995,229.679993,1797300,222.314728
"2021-08-16",228.259995,231.289993,227.919998,231.070007,2434500,225.387268
"2021-08-17",229.660004,231.279999,229.520004,231.199997,2666500,225.514053
"2021-08-18",230.520004,231.330002,226.600006,226.839996,2988100,221.261292
"2021-08-19",225.690002,227.699997,223.300003,224.389999,2669000,218.871536
"2021-08-20",224.389999,226.240005,222.009995,223.529999,2811600,218.0327
"2021-08-23",224.179993,227.440002,223.770004,225.639999,1932600,220.09079
"2021-08-24",225.520004,225.679993,223.559998,224.380005,1790400,218.861786
"2021-08-25",224.309998,224.830002,221.179993,221.589996,2173200,216.140396
"2021-08-26",222.059998,222.059998,220.160004,221.470001,2844500,216.023361
"2021-08-27",222.220001,225.360001,220.220001,222.779999,2660900,217.301117
"2021-08-30",222.279999,225.309998,222.100006,224.130005,1881800,218.617935
"2021-08-31",224.940002,225.649994,223.339996,225.529999,2904700,219.983505
"2021-09-01",225.550003,226.119995,221.880005,223.350006,2699000,217.857117
"2021-09-02",223.639999,226.029999,223.429993,225.960007,1817800,220.402939
"2021-09-03",225.759995,227.190002,224.199997,226.369995,1664100,220.802826
"2021-09-07",223,224.940002,219.520004,221.339996,3281800,215.896545
"2021-09-08",221.330002,222.289993,220.100006,220.869995,2140400,215.438095
"2021-09-09",220.5,220.649994,215.410004,215.580002,3273600,210.278198
"2021-09-10",216.5,216.990005,213.550003,213.75,2217800,208.49321
"2021-09-13",217.059998,219.050003,215.070007,216.720001,2553400,211.390182
"2021-09-14",217.600006,217.919998,215.119995,216.039993,1999300,210.726883
"2021-09-15",216.770004,219.919998,215.860001,218.130005,2555600,212.765503
"2021-09-16",218.020004,218.649994,214,217.360001,2695600,212.014435
"2021-09-17",217.229996,219.880005,215.869995,219.380005,5659900,213.984756
"2021-09-20",218.380005,219.850006,214.279999,215.110001,3293000,209.819778
"2021-09-21",215.710007,218.100006,214.360001,215.360001,2112100,210.063614
"2021-09-22",216.559998,216.559998,213.460007,213.639999,2542800,208.385925
"2021-09-23",212.509995,215.559998,212.300003,215.050003,2181500,209.761246
"2021-09-24",214.75,215.529999,213.199997,213.610001,1908600,208.356659
"2021-09-27",213.25,214.949997,212.699997,213.110001,1943000,207.868942
"2021-09-28",212.300003,214.759995,211.649994,212.270004,2919000,207.049606
"2021-09-29",212.5,216.800003,211.850006,214.899994,1900800,209.614914
"2021-09-30",215.789993,216.669998,212.520004,212.649994,2491900,207.420258
"2021-10-01",213.589996,214.610001,210.800003,213.919998,2629400,208.659012
"2021-10-04",214.100006,215.639999,210.770004,211.440002,2856300,206.240021
"2021-10-05",211.210007,213.990005,211.080002,211.860001,2481900,206.649689
"2021-10-06",211.320007,212.080002,208.970001,209.979996,2928200,204.815918
"2021-10-07",208.529999,212.449997,208.529999,209.119995,3331700,203.977066
"2021-10-08",210.130005,210.179993,207.649994,208.949997,2349800,203.811249
"2021-10-11",209.059998,209.889999,206.589996,206.699997,1982200,201.616592
"2021-10-12",207.429993,207.559998,200.470001,201.889999,3544000,196.924881
"2021-10-13",202.820007,204.889999,202.100006,203.610001,3303300,198.6026
"2021-10-14",204.490005,207.5,204.490005,206.779999,3015100,201.694626
"2021-10-15",208.490005,209.020004,206.229996,207.839996,3684600,202.728546
"2021-10-18",206.360001,207,202.449997,203.130005,2812500,198.134399
"2021-10-19",204.490005,206.899994,203.080002,206.779999,2480500,201.694626
"2021-10-20",207.399994,211.589996,206.25,209.660004,2308600,204.503815
"2021-10-21",210.149994,210.259995,207.669998,208.990005,1921100,203.850281
"2021-10-22",209.699997,210.5,208.5,209.240005,1349300,204.094131
"2021-10-25",209.5,209.820007,206.970001,207.630005,1916500,202.523727
"2021-10-26",208.199997,209.979996,207.630005,208.679993,1664400,203.547897
"2021-10-27",209.869995,210.399994,205.809998,206.580002,2003300,201.499542
"2021-10-28",207.089996,209.490005,205.610001,207.169998,2166500,202.075027
"2021-10-29",206.350006,207.699997,204.199997,206.970001,2592300,201.879959
"2021-11-01",208,212.089996,207.770004,209.789993,3105300,204.6306
"2021-11-02",210.509995,214.720001,208.139999,214.259995,3329300,208.990677
"2021-11-03",210.910004,219.25,209.800003,218.130005,3775600,212.765503
"2021-11-04",218.300003,218.449997,211.720001,214.929993,2781300,209.64418
"2021-11-05",215.610001,217.419998,212.729996,213.770004,2300100,208.512726
"2021-11-08",214.059998,214.440002,210.929993,211.369995,2532900,206.171738
"2021-11-09",211.020004,213.699997,210.470001,211.710007,2296300,206.503387
"2021-11-10",213.279999,215.5,212.529999,213.210007,2360400,207.966492
"2021-11-11",214.080002,214.080002,210.559998,211.559998,2615700,206.357071
"2021-11-12",212.300003,212.880005,210.380005,211.389999,4614100,206.191254
"2021-11-15",210.690002,210.889999,207.080002,207.399994,3129200,203.997818
"2021-11-16",208.029999,209.039993,205.270004,205.389999,2942500,202.020798
"2021-11-17",205.210007,207.350006,203.600006,205.820007,3329300,202.443741
"2021-11-18",205.630005,206.229996,203.729996,204.020004,4261500,200.673279
"2021-11-19",205.270004,206.199997,203.669998,206.080002,3217100,202.699493
"2021-11-22",205.449997,206.300003,200.75,202.729996,2835100,199.404419
"2021-11-23",202.229996,205.479996,201.270004,204.529999,2149300,201.174896
"2021-11-24",204.300003,205.279999,202.949997,203.970001,1699800,200.6241
"2021-11-26",204.740005,206,200.520004,201.089996,3197900,197.791336
"2021-11-29",202.479996,204.830002,201.589996,203.470001,2519900,200.132294
"2021-11-30",202.729996,203.869995,198.729996,198.880005,5400100,195.617584
"2021-12-01",200.440002,205.639999,198.639999,200.800003,3057700,197.506104
"2021-12-02",200.729996,203.100006,199.309998,201.169998,2858200,197.87001
"2021-12-03",201.380005,203.800003,200.839996,202.440002,3591900,199.119186
"2021-12-06",206.380005,211.789993,205.970001,208.789993,3998600,205.365021
"2021-12-07",209.149994,212.440002,207.360001,211.320007,3309500,207.853516
"2021-12-08",212.889999,213.910004,210.429993,213.529999,2624400,210.027267
"2021-12-09",213.529999,213.979996,209.5,212.570007,2699800,209.083038
"2021-12-10",213.300003,214.449997,210.009995,210.889999,2812200,207.430573
"2021-12-13",210.429993,213.190002,209,211.389999,2721300,207.922379
"2021-12-14",211.320007,214.809998,210.229996,213.740005,2602600,210.233826
"2021-12-15",214,219.5,213.119995,219.25,3924500,215.653442
"2021-12-16",220,231.039993,220,222.580002,6027200,218.928818
"2021-12-17",222.690002,224.160004,219.320007,222.5,6424000,218.850128
"2021-12-20",222.25,222.490005,218.690002,219.990005,2922200,216.381317
"2021-12-21",220.550003,223.25,219.960007,220.919998,2987500,217.296051
"2021-12-22",220,221.899994,217.759995,221.529999,2677700,217.896027
"2021-12-23",222.369995,224.479996,221.5,223.789993,1668800,220.118958
"2021-12-27",223.809998,225.460007,222.669998,225.169998,1763200,221.476334
"2021-12-28",225.169998,226.979996,225.050003,225.770004,1304500,222.066498
"2021-12-29",225.580002,228.210007,224.990005,227.600006,1389400,223.86647
"2021-12-30",227.600006,229.550003,226.139999,226.470001,1507400,222.755005
"2021-12-31",226.259995,227.740005,224.800003,224.970001,1668400,221.279602
"2022-01-03",223.630005,226.970001,222.029999,226.690002,2742800,222.97139
