"","BR.Open","BR.High","BR.Low","BR.Close","BR.Volume","BR.Adjusted"
"2020-10-15",140.699997,143.789993,140.330002,143.270004,419200,139.320938
"2020-10-16",143.720001,145.139999,143.169998,143.339996,381600,139.389008
"2020-10-19",143.610001,144.410004,141.429993,141.789993,372400,137.88176
"2020-10-20",142.300003,144.110001,142.039993,143.490005,335200,139.534882
"2020-10-21",143.839996,145.110001,143.669998,144.509995,374700,140.526794
"2020-10-22",144,145.229996,142.75,144.779999,281400,140.789337
"2020-10-23",145.589996,146.039993,144.649994,145.729996,363100,141.71315
"2020-10-26",144.050003,144.940002,140.919998,142.179993,306400,138.260986
"2020-10-27",142.139999,142.979996,139.910004,139.990005,299200,136.131378
"2020-10-28",137.919998,138.270004,134.679993,135.479996,617800,131.745682
"2020-10-29",135.210007,139.449997,134.839996,138.119995,560900,134.312897
"2020-10-30",136.610001,141.929993,136.130005,137.600006,1020200,133.807251
"2020-11-02",138.339996,141.520004,138.339996,140.770004,643700,136.889862
"2020-11-03",142.130005,145.960007,141.419998,143.660004,463000,139.700211
"2020-11-04",145.160004,147.289993,144.429993,144.839996,451000,140.847687
"2020-11-05",147.240005,147.990005,143.960007,144.679993,509600,140.692078
"2020-11-06",144.610001,147.080002,143.830002,146.589996,337800,142.549454
"2020-11-09",151.199997,153.339996,146.529999,146.880005,567600,142.831451
"2020-11-10",146.860001,147.720001,144.710007,146.25,523800,142.218842
"2020-11-11",147.429993,149.869995,147.240005,148.830002,285500,144.727707
"2020-11-12",148.539993,148.559998,144.660004,145.550003,391100,141.538132
"2020-11-13",147.080002,147.520004,145.320007,146.690002,268300,142.646698
"2020-11-16",147.300003,148.649994,146.380005,148.509995,466200,144.416519
"2020-11-17",147.960007,148.550003,146.75,147.279999,294400,143.220428
"2020-11-18",146.949997,147.550003,145.619995,145.770004,378400,141.75206
"2020-11-19",145.050003,146.809998,143.440002,146.600006,426600,142.559189
"2020-11-20",146.869995,146.869995,144.699997,144.919998,431400,140.925476
"2020-11-23",145.169998,147.800003,144.570007,147.580002,334200,143.512161
"2020-11-24",148.460007,148.520004,146.130005,146.940002,416900,142.889816
"2020-11-25",147.729996,147.729996,145.080002,146.270004,378900,142.238281
"2020-11-27",146.960007,147.479996,145.080002,147.399994,188100,143.337097
"2020-11-30",147.789993,148.020004,144.75,146.880005,812100,142.831451
"2020-12-01",148.5,149.330002,146.179993,148.449997,590300,144.358185
"2020-12-02",148.399994,149.279999,146.639999,147.229996,539900,143.171799
"2020-12-03",146.610001,148.990005,146.610001,148.009995,346000,143.930313
"2020-12-04",148.320007,149.229996,147.550003,149.220001,454000,145.106964
"2020-12-07",148.720001,149.669998,145.100006,146.149994,798600,142.121582
"2020-12-08",145.979996,147.839996,145.509995,147.229996,442900,143.171799
"2020-12-09",147.75,148.559998,146.520004,148.309998,554900,144.222046
"2020-12-10",147.270004,148.539993,145.339996,146.220001,923300,142.189651
"2020-12-11",145.880005,147.759995,145.660004,147.630005,677900,143.560776
"2020-12-14",147.330002,148.970001,145.600006,146.100006,751200,142.628464
"2020-12-15",146.619995,148.070007,145.850006,147.410004,637600,143.907349
"2020-12-16",147.720001,148.350006,145.880005,146.809998,654700,143.321594
"2020-12-17",148.300003,150.919998,148,150.830002,714600,147.246094
"2020-12-18",151.059998,154.220001,150.229996,153.880005,1263800,150.223618
"2020-12-21",151.690002,152.740005,148.550003,149.360001,495500,145.81102
"2020-12-22",149.600006,149.919998,148.210007,148.479996,587800,144.95192
"2020-12-23",148.809998,148.979996,147.399994,147.410004,454300,143.907349
"2020-12-24",148.229996,150.020004,147.580002,150.009995,162000,146.445557
"2020-12-28",151.240005,152.509995,150.309998,152.059998,463600,148.446854
"2020-12-29",153.210007,153.619995,150.759995,151.369995,524600,147.773254
"2020-12-30",152.139999,152.509995,151.5,152.110001,319200,148.495667
"2020-12-31",152.429993,153.399994,151.229996,153.199997,275000,149.559753
"2021-01-04",153.449997,154.410004,149.509995,151.509995,641900,147.909927
"2021-01-05",150.759995,152.479996,149.419998,151.720001,723500,148.114929
"2021-01-06",153,156.089996,151.410004,155.779999,762400,152.078461
"2021-01-07",155.880005,158.360001,155.110001,155.619995,978300,151.922256
"2021-01-08",156.020004,158.100006,154.690002,156.210007,578500,152.498245
"2021-01-11",154.869995,155.720001,154.100006,155.009995,447300,151.326767
"2021-01-12",154.369995,155.509995,154.149994,154.759995,512300,151.082703
"2021-01-13",155.089996,156.070007,153.360001,154.220001,689500,150.555542
"2021-01-14",154.410004,155.020004,153.369995,153.570007,458700,149.92099
"2021-01-15",153.039993,154.089996,150.860001,151.570007,691600,147.968491
"2021-01-19",152.470001,152.910004,151.070007,151.559998,384700,147.95874
"2021-01-20",152.529999,152.630005,150.550003,152.490005,413100,148.866653
"2021-01-21",152.300003,153.610001,150.759995,151.100006,505200,147.509659
"2021-01-22",150.470001,151.009995,148.789993,148.940002,852100,145.400986
"2021-01-25",148.919998,150.710007,148.229996,150.669998,725500,147.089874
"2021-01-26",151.399994,152.419998,149.850006,151.789993,549900,148.183258
"2021-01-27",150.169998,150.580002,143.589996,143.630005,1352100,140.217178
"2021-01-28",145.339996,146.990005,143.490005,144.830002,674600,141.388657
"2021-01-29",144.279999,144.380005,141.279999,141.309998,705200,137.952286
"2021-02-01",142.589996,146.399994,142.059998,146.070007,704000,142.599182
"2021-02-02",147.490005,147.490005,143.580002,146.5,696400,143.018967
"2021-02-03",147.830002,148.25,144.539993,144.550003,486300,141.115295
"2021-02-04",144.649994,145.289993,142.130005,143.169998,1024300,139.768097
"2021-02-05",144.199997,145.440002,143.589996,144.130005,741600,140.705292
"2021-02-08",144.660004,144.919998,142.399994,143.089996,599800,139.690002
"2021-02-09",142.320007,142.669998,141.029999,141.669998,637100,138.303726
"2021-02-10",142.270004,144.740005,141.990005,144.380005,624400,140.949356
"2021-02-11",144.699997,145.720001,144.389999,145.350006,502100,141.896301
"2021-02-12",144.580002,148.199997,144.580002,148.070007,767800,144.551666
"2021-02-16",148.25,148.779999,145.589996,146.240005,710100,142.765152
"2021-02-17",145.190002,148.619995,144.75,147.429993,607500,143.926865
"2021-02-18",146.350006,149.679993,146.139999,149.279999,425800,145.73291
"2021-02-19",150,151.110001,148.889999,149.539993,614200,145.986725
"2021-02-22",148.460007,149.119995,146.820007,147.5,448400,143.995209
"2021-02-23",147.679993,147.679993,143.550003,143.660004,1010900,140.246445
"2021-02-24",143.529999,145.880005,142.089996,145.080002,579700,141.632721
"2021-02-25",144.869995,146.410004,142.639999,143.259995,429100,139.855957
"2021-02-26",143.979996,144.699997,142.229996,142.490005,706100,139.104233
"2021-03-01",143.449997,147.009995,142.839996,146.479996,457400,142.999435
"2021-03-02",146.509995,146.509995,142.929993,143.839996,519400,140.422165
"2021-03-03",143.440002,143.630005,141.300003,141.889999,472200,138.518478
"2021-03-04",141.779999,143.130005,137.910004,139.169998,557200,135.863129
"2021-03-05",140.520004,142.679993,139.039993,142.479996,486400,139.094482
"2021-03-08",143,145.020004,141.699997,141.820007,472900,138.450165
"2021-03-09",142.699997,145.470001,141.839996,141.979996,467500,138.606369
"2021-03-10",141.979996,143.369995,141.779999,142.380005,356800,138.996872
"2021-03-11",143.199997,145.800003,143.199997,144.490005,412500,141.056732
