"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2020-11-03",41.580002,43.330002,41.419998,42.98,2649300,40.554813
"2020-11-04",42.939999,42.950001,41.549999,41.669998,2917800,39.318729
"2020-11-05",42.029999,42.150002,41.040001,41.119999,2762700,38.799767
"2020-11-06",41.43,42.400002,39.259998,39.639999,2557900,37.403278
"2020-11-09",43.490002,52.5,42.830002,46.849998,9125900,44.206448
"2020-11-10",47.23,49.349998,47.110001,48.389999,5187000,45.65955
"2020-11-11",48.25,48.540001,46.91,48.43,3189900,45.697296
"2020-11-12",48.169998,48.419998,46.639999,47.75,3387400,45.055664
"2020-11-13",48.119999,50.259998,47.990002,50.099998,2979200,47.273067
"2020-11-16",52.220001,52.700001,50.200001,51,2627400,48.122284
"2020-11-17",50.040001,51.07,49,50.490002,2178500,47.641064
"2020-11-18",50.619999,50.810001,48.200001,48.209999,3280600,45.489708
"2020-11-19",48,48.759998,47.040001,48.619999,3048800,45.876579
"2020-11-20",48.509998,48.779999,47.799999,48.720001,2098400,45.970936
"2020-11-23",48.82,49.799999,48.549999,48.790001,3202800,46.03698
"2020-11-24",49.610001,50.869999,49.369999,50.34,1502100,47.499527
"2020-11-25",50.02,50.200001,49.119999,49.23,1513200,46.452156
"2020-11-27",49.34,49.419998,47.639999,47.900002,874600,45.197205
"2020-11-30",48.939999,49.279999,47.810001,47.91,2980100,45.206635
"2020-12-01",48.52,49.07,47.889999,48.02,1683500,45.310429
"2020-12-02",47.75,48,47.169998,47.68,1572500,44.989616
"2020-12-03",47.529999,49.34,47.240002,48.82,1715800,46.065292
"2020-12-04",49.150002,49.610001,48.84,49.459999,1892900,46.669174
"2020-12-07",49.139999,49.740002,48.470001,49.09,1744300,46.320057
"2020-12-08",49.080002,49.759998,48.779999,49.110001,2101300,46.338928
"2020-12-09",49.060001,49.759998,48.369999,49.529999,1547700,46.735226
"2020-12-10",49.25,49.91,48.599998,48.830002,2017300,46.074726
"2020-12-11",48.75,49.41,48.259998,49.049999,2059600,46.282314
"2020-12-14",49.27,49.439999,47.799999,47.84,2330200,45.140587
"2020-12-15",48.290001,49.98,47.470001,49.950001,2086400,47.131531
"2020-12-16",49.990002,50.799999,49.540001,50.740002,1835600,47.876961
"2020-12-17",51,51.560001,50.32,51.490002,2782700,48.584633
"2020-12-18",51.110001,51.919998,50.209999,50.830002,5378800,47.961876
"2020-12-21",49.84,50.150002,48.689999,48.830002,2686100,46.074726
"2020-12-22",48.98,49.619999,48.700001,49.240002,2458800,46.46159
"2020-12-23",49.580002,49.959999,48.619999,48.990002,1411800,46.225704
"2020-12-24",49.209999,49.540001,48.849998,49.189999,529400,46.414413
"2020-12-28",49.32,49.360001,48.599998,49.360001,1934200,46.574825
"2020-12-29",49.41,49.73,48.75,49.029999,1713600,46.263443
"2020-12-30",48.990002,49.830002,48.57,48.860001,1382000,46.103035
"2020-12-31",48.419998,49.080002,47.799999,49.040001,1701400,46.703011
"2021-01-04",48.98,49.200001,46.82,46.880001,2098000,44.645947
"2021-01-05",47.130001,47.889999,46.82,47.439999,2120700,45.179256
"2021-01-06",47.52,49.07,47.470001,48.369999,2596400,46.064938
"2021-01-07",48.209999,48.209999,46.650002,47.439999,1776900,45.179256
"2021-01-08",46.860001,47.389999,46.369999,47.139999,1338500,44.893555
"2021-01-11",46.860001,47.23,45.84,46.200001,1513000,43.998356
"2021-01-12",46.400002,46.990002,45.990002,46.700001,2159100,44.474525
"2021-01-13",46.759998,48.32,46.759998,48.099998,1203100,45.807808
