"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2020-12-18",105.029999,105.059998,103.199997,104.449997,13906800,96.907906
"2020-12-21",102.760002,103.919998,101.550003,103.709999,6664600,96.221352
"2020-12-22",103.410004,103.5,102.010002,102.800003,4002900,95.377052
"2020-12-23",103.059998,103.93,102.910004,103.279999,3659100,95.822395
"2020-12-24",103.110001,103.389999,102.599998,103.260002,1378600,95.803833
"2020-12-28",103.650002,103.879997,102.720001,103.449997,3948900,95.980118
"2020-12-29",103.949997,105.370003,103.949997,104.699997,5096400,97.139847
"2020-12-30",105.110001,106.230003,105.099998,105.269997,5328400,97.668694
"2020-12-31",105.260002,107.279999,104.849998,107.150002,6148100,99.412956
"2021-01-04",107.18,107.349998,103.860001,105.410004,9523400,97.798599
"2021-01-05",105.410004,107.019997,104.629997,106.5,6823800,98.809883
"2021-01-06",104.75,107.190002,104.18,105.580002,11017500,97.956322
"2021-01-07",106.110001,107.059998,105.57,106.709999,8196000,99.004723
"2021-01-08",106.839996,107.529999,105.760002,107.269997,5345900,99.524284
"2021-01-11",107.07,109.559998,107.07,109.019997,6334200,101.147919
"2021-01-12",109.220001,110.779999,109.120003,109.779999,6106900,101.85305
"2021-01-13",109.800003,113.410004,109.699997,112.449997,9821300,104.330246
"2021-01-14",110.699997,112.690002,109.5,111.629997,8268800,104.780785
"2021-01-15",111.199997,111.559998,109.480003,110.519997,9196200,103.738899
"2021-01-19",111.25,112.309998,110.260002,112.18,7723800,105.29705
"2021-01-20",112.910004,113.099998,111.470001,112.620003,6554600,105.71006
"2021-01-21",112.629997,112.75,110.760002,111.260002,5417000,104.433495
"2021-01-22",110.650002,111.599998,109.480003,110.860001,5185500,104.058044
"2021-01-25",109.730003,111.230003,109.209999,110.5,6928200,103.720123
"2021-01-26",111.300003,111.300003,108.559998,108.800003,5554600,102.124435
"2021-01-27",106.279999,106.699997,102.589996,102.790001,11887900,96.483185
"2021-01-28",104,105.139999,103.110001,104.209999,8534300,97.816055
"2021-01-29",104,104.489998,101.809998,102.480003,9380400,96.192207
"2021-02-01",103,103.889999,101.860001,102.300003,7518200,96.023239
"2021-02-02",102.879997,104.309998,102.5,103.470001,10481300,97.12146
"2021-02-03",106.199997,107.57,104.010002,106.949997,12101900,100.387947
"2021-02-04",106.870003,108.879997,105.25,108.529999,9077800,101.870995
"2021-02-05",109.629997,110.269997,108.440002,108.730003,7251000,102.058739
"2021-02-08",108.889999,108.980003,105.809998,106.839996,9199100,100.284691
"2021-02-09",106,106.5,105.110001,105.400002,5506900,98.933044
"2021-02-10",105.980003,106.129997,103.720001,104.050003,7446000,97.665878
"2021-02-11",104.57,104.68,103.32,103.75,5090100,97.384285
"2021-02-12",103.760002,104.57,103.150002,104.440002,3738400,98.03196
"2021-02-16",105.330002,106.190002,104.019997,104.199997,5637300,97.806671
"2021-02-17",104.699997,106.75,104.150002,106.290001,6940400,99.76844
"2021-02-18",105.32,106.610001,105.209999,106.059998,5386600,99.552544
"2021-02-19",106.230003,106.699997,104.910004,105.010002,6702400,98.566971
"2021-02-22",104.660004,107.68,104.230003,107.059998,10272500,100.491196
"2021-02-23",106.970001,107.599998,105.959999,106.269997,7058600,99.749664
"2021-02-24",106,109.440002,105.599998,108.690002,7626200,102.021187
"2021-02-25",108.480003,109.300003,107.07,107.330002,6237600,100.744629
"2021-02-26",107.68,108.580002,105.360001,107.739998,9250000,101.129471
"2021-03-01",108.529999,109.209999,108.07,108.410004,4709500,101.758377
"2021-03-02",108.849998,109.379997,107.809998,107.849998,5487000,101.232727
"2021-03-03",106.860001,107.139999,105.459999,106.709999,7218700,100.162674
"2021-03-04",106.5,107.75,104.949997,105.650002,7503700,99.167702
"2021-03-05",106.010002,106.989998,104.07,106.699997,7277800,100.153275
"2021-03-08",106.849998,108.160004,105.800003,106.110001,6049400,99.599487
"2021-03-09",106.480003,108.690002,106.440002,106.790001,6857500,100.23777
"2021-03-10",107.389999,108.360001,107.050003,108,5762600,101.37352
"2021-03-11",108.129997,108.629997,107.339996,107.870003,4671400,101.251495
"2021-03-12",107.800003,108.580002,107.370003,108.220001,5341200,101.580017
"2021-03-15",108.669998,110.360001,108.360001,110.260002,6642200,103.494858
"2021-03-16",109.949997,111.080002,109.900002,110.839996,5570200,104.039261
"2021-03-17",103.760002,105.089996,102.800003,105.040001,19445600,98.595139
