"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2020-08-14",63.110001,63.599998,62.950001,63.27,2104000,59.347809
"2020-08-17",63.380001,64.400002,63.18,64.279999,1910100,60.295197
"2020-08-18",64.269997,65.059998,63.669998,64.629997,2073800,60.623497
"2020-08-19",64.849998,64.980003,64.419998,64.459999,1665000,60.464035
"2020-08-20",64.209999,64.480003,63.93,64.209999,1266600,60.229534
"2020-08-21",64.260002,64.260002,63.369999,64.019997,1786200,60.051311
"2020-08-24",64.019997,64.230003,63.52,64.129997,1431000,60.154495
"2020-08-25",64.589996,64.599998,63.77,63.900002,1735700,59.938751
"2020-08-26",63.669998,64.349998,63.630001,64.25,2229900,60.267059
"2020-08-27",64.5,65.160004,64.389999,64.709999,2158800,60.69854
"2020-08-28",64.709999,64.709999,63,63.389999,2982900,59.460369
"2020-08-31",63.32,64.160004,63.290001,63.950001,2646200,59.985657
"2020-09-01",63.919998,64.080002,62.490002,63.119999,2539000,59.207108
"2020-09-02",63.060001,64.730003,62.950001,64.5,2669100,60.501556
"2020-09-03",64.449997,65.519997,62.400002,62.970001,3408500,59.066406
"2020-09-04",62.939999,63.439999,62.349998,63.150002,2566400,59.235241
"2020-09-08",63,63.349998,59.150002,59.52,5062200,55.830269
"2020-09-09",60.130001,60.779999,59.52,59.98,4654500,56.261761
"2020-09-10",59.860001,60.130001,58.380001,58.490002,3399800,54.864128
"2020-09-11",58.599998,59.049999,57.84,58.540001,3557400,54.911026
"2020-09-14",58.860001,59.639999,58.279999,58.759998,3679800,55.11739
"2020-09-15",58.880001,59.490002,58.25,59.02,2522900,55.361275
"2020-09-16",59.189999,59.540001,58.669998,58.75,2432400,55.108009
"2020-09-17",58.380001,58.599998,57.32,57.580002,4270100,54.01054
"2020-09-18",57.330002,58.060001,57.150002,57.32,4671000,53.766659
"2020-09-21",57,58.200001,56.919998,57.869999,3401200,54.282562
"2020-09-22",58.009998,58.77,57.630001,57.990002,3821200,54.395126
"2020-09-23",58.700001,59.369999,57.48,57.720001,5711100,54.141861
"2020-09-24",58.099998,59.32,57.98,58.700001,4351700,55.061111
"2020-09-25",59.759998,60.279999,59.290001,59.669998,5859800,55.970974
"2020-09-28",59.869999,60.5,59.150002,59.900002,2781700,56.186714
"2020-09-29",59.869999,60.240002,59.43,59.860001,2246100,56.149197
"2020-09-30",59.93,62.029999,59.790001,61.68,7706300,57.856373
"2020-10-01",61.810001,62.68,60.77,62.57,6250800,58.6912
"2020-10-02",62.349998,63.290001,61.98,62.52,4497500,58.644299
"2020-10-05",62.41,63.029999,62.25,62.68,2519900,58.794384
"2020-10-06",62.389999,62.619999,60.970001,61.23,3363100,57.434269
"2020-10-07",61.5,61.860001,60.799999,61.59,3213400,57.771957
"2020-10-08",61.259998,61.59,60.740002,61.389999,2459400,58.065163
"2020-10-09",61.509998,62.23,61.130001,61.869999,3061500,58.519165
"2020-10-12",62.009998,62.860001,61.799999,62.349998,2232000,58.973171
"2020-10-13",62.360001,62.869999,62.169998,62.720001,2934800,59.323132
"2020-10-14",62.689999,62.939999,61.91,62.09,1759700,58.727253
"2020-10-15",62.049999,62.990002,61.540001,62.700001,2203100,59.304214
"2020-10-16",62.860001,62.900002,62.32,62.369999,2884000,58.992081
"2020-10-19",62.380001,62.580002,61.150002,61.290001,2200900,57.970585
"2020-10-20",61.599998,61.759998,60.970001,61.119999,2332100,57.809788
"2020-10-21",60.73,61.419998,60.73,60.970001,1551700,57.667915
"2020-10-22",60.77,61.470001,60.310001,61.310001,1836600,57.989498
"2020-10-23",61.650002,61.970001,61.189999,61.779999,1443600,58.43404
"2020-10-26",61.75,61.939999,60.66,60.98,2652000,57.677372
"2020-10-27",60.889999,61.709999,60.810001,61.119999,2305400,57.809788
"2020-10-28",60.419998,61.060001,59.470001,59.52,3556200,56.296436
"2020-10-29",59.700001,59.950001,58.720001,59.220001,2567600,56.012688
"2020-10-30",59.009998,59.630001,58.669998,59.119999,2501800,55.918102
"2020-11-02",59.790001,60.57,59.439999,59.73,2554700,56.495068
"2020-11-03",60.150002,61.709999,60.150002,60.889999,2149500,57.592243
"2020-11-04",61.490002,61.779999,60.41,60.470001,2580000,57.194992
"2020-11-05",60.959999,61.68,60.52,60.560001,2466200,57.280113
"2020-11-06",60.610001,61.360001,60.5,61.07,1986700,57.762493
"2020-11-09",61.060001,61.669998,58.299999,58.360001,4560800,55.199268
"2020-11-10",58.220001,58.970001,57.240002,58.919998,6858600,55.728935
"2020-11-11",59.009998,60.209999,58.490002,59.889999,3771300,56.646404
"2020-11-12",60.220001,60.5,58.98,60.490002,4467100,57.213909
"2020-11-13",60.66,61.09,60.25,60.970001,1907500,57.667915
"2020-11-16",60.73,61.27,59.889999,61.209999,3620600,57.894909
"2020-11-17",61,61.540001,60.529999,61.279999,3657900,57.961121
"2020-11-18",61.200001,62,60.849998,61.130001,4061800,57.819248
