"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2020-09-30",47.669998,48.990002,47.540001,48.349998,15047300,45.721657
"2020-10-01",48.75,49.07,46.900002,47.259998,25275400,44.69091
"2020-10-02",46.490002,48.34,46.419998,47.970001,12681800,45.362316
"2020-10-05",48.43,48.889999,47.779999,48.599998,19140100,45.958073
"2020-10-06",49.200001,49.41,47.470001,47.740002,22980200,45.144817
"2020-10-07",48.380001,49.169998,48.240002,48.709999,12019100,46.062088
"2020-10-08",47.98,49.490002,47.259998,49,23836600,46.336323
"2020-10-09",49.439999,49.73,48.73,48.830002,11381800,46.175568
"2020-10-12",49.27,51.009998,49.029999,50.740002,17615000,47.981739
"2020-10-13",51.119999,51.240002,49.990002,50.439999,17448000,47.69804
"2020-10-14",50.91,51.389999,50.380001,50.650002,20330100,47.896629
"2020-10-15",49.93,51.869999,49.919998,51.330002,21059700,48.539665
"2020-10-16",51.529999,52.27,51.43,51.849998,16923300,49.031391
"2020-10-19",52.189999,52.189999,50.790001,50.950001,12677000,48.180317
"2020-10-20",51.560001,52.27,51.369999,51.470001,11177600,48.672047
"2020-10-21",51.490002,51.810001,50.259998,50.380001,18583200,47.641304
"2020-10-22",50.419998,51.98,50.119999,51.77,13264400,48.95575
"2020-10-23",52.25,52.610001,51.540001,51.869999,11538500,49.050308
"2020-10-26",51.150002,51.279999,49.799999,50.32,15561400,47.58456
"2020-10-27",50.25,50.279999,48.580002,48.59,11593300,45.948612
"2020-10-28",47.560001,48.110001,47.189999,47.57,13622800,44.984062
"2020-10-29",47.049999,48.43,46.549999,48.119999,10887800,45.841442
"2020-10-30",47.959999,48.259998,47.009998,48.150002,14907400,45.870026
"2020-11-02",48.880001,49.84,48.439999,49.380001,16337800,47.041782
"2020-11-03",50.41,51.459999,50.41,51.18,13142200,48.75655
"2020-11-04",50.529999,52.32,50.509998,51.43,17378000,48.994709
"2020-11-05",52,52.779999,51.580002,52.200001,9444300,49.728252
"2020-11-06",52.580002,52.619999,51.509998,51.700001,6453900,49.251926
"2020-11-09",55.41,56.91,55.060001,56.02,24243300,53.367367
"2020-11-10",56.59,56.82,54.900002,55.75,15502900,53.110153
"2020-11-11",55.939999,56.669998,55.389999,56.34,9731600,53.672215
"2020-11-12",55.5,55.93,54.990002,55.549999,9889500,52.919617
"2020-11-13",55.959999,57.049999,55.91,56.610001,9919100,53.929424
"2020-11-16",57.759998,58.139999,57.029999,58.110001,12201400,55.358398
"2020-11-17",57.509998,58.889999,57.200001,58.810001,9599100,56.025261
"2020-11-18",59,60.130001,58.77,58.810001,11536700,56.025261
