"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2020-08-21",41.849998,42.709999,41.599998,42.599998,4204700,41.861336
"2020-08-24",43.259998,44.09,42.98,43.450001,1588500,42.696598
"2020-08-25",43.509998,43.91,43.490002,43.689999,1216300,42.932434
"2020-08-26",43.689999,43.810001,43.040001,43.529999,963100,42.775211
"2020-08-27",43.77,44.869999,43.599998,44.73,1719500,43.954395
"2020-08-28",44.66,45.470001,44.32,45.32,1082400,44.534172
"2020-08-31",45.310001,45.310001,44.610001,44.869999,1646900,44.09198
"2020-09-01",44.849998,44.869999,44.240002,44.849998,1221700,44.072315
"2020-09-02",44.73,45.93,44.209999,45.73,1759700,44.937065
"2020-09-03",45.950001,46.369999,44.23,44.560001,1379900,43.78735
"2020-09-04",44.919998,45.400002,43.939999,44.759998,1214900,43.983879
"2020-09-08",44.630001,44.630001,43.389999,43.669998,930400,42.912777
"2020-09-09",43.91,44.389999,43.490002,44.23,994700,43.463078
"2020-09-10",44.34,45,43.709999,43.720001,927700,42.961914
"2020-09-11",43.98,44.32,43.77,44.16,1287000,43.394283
"2020-09-14",44.529999,46,44.450001,45.900002,1176200,45.104115
"2020-09-15",46,46.540001,45.669998,46.360001,1213400,45.556141
"2020-09-16",46.73,47.98,46.279999,47.389999,2119600,46.568272
"2020-09-17",47.02,47.900002,46.259998,47.720001,1575700,46.892559
"2020-09-18",47.869999,48.110001,46.220001,46.330002,2139500,45.526657
"2020-09-21",45.5,45.549999,43.810001,44.709999,1431700,43.934746
"2020-09-22",44.689999,44.990002,44.09,44.580002,999200,43.807011
"2020-09-23",44.599998,44.830002,42.650002,42.73,1388700,41.989082
"2020-09-24",42.540001,43.220001,41.52,42.650002,970300,42.008785
"2020-09-25",42.5,43.57,42.209999,43.369999,956800,42.717953
"2020-09-28",43.779999,44.279999,43.200001,43.310001,1289000,42.658859
"2020-09-29",43.400002,43.669998,42.740002,42.75,1042800,42.107273
"2020-09-30",42.759998,44.150002,42.5,43.73,1159900,43.072544
"2020-10-01",44,44.599998,42.740002,43.509998,671400,42.855846
"2020-10-02",42.790001,44.119999,42.669998,43.66,654200,43.003593
"2020-10-05",43.939999,44.919998,43.939999,44.810001,507000,44.136311
"2020-10-06",44.91,45.279999,43.959999,44.110001,590100,43.446831
"2020-10-07",44.810001,45.18,44.23,45.049999,557800,44.372692
"2020-10-08",45.310001,46.150002,44.779999,46.060001,616400,45.367516
"2020-10-09",46.299999,46.349998,45.360001,45.5,935900,44.815933
"2020-10-12",45.720001,46.200001,45.349998,46,582300,45.308414
"2020-10-13",45.740002,45.869999,44.959999,44.98,600500,44.303749
"2020-10-14",45.02,45.990002,45.02,45.599998,623500,44.914429
"2020-10-15",45,45.529999,44.919998,45.400002,657300,44.717442
"2020-10-16",45.57,46.150002,45.029999,45.68,830000,44.993229
"2020-10-19",45.880001,45.880001,44.400002,44.599998,512300,43.929462
"2020-10-20",45.110001,45.209999,44.66,44.709999,679200,44.037807
"2020-10-21",44.709999,46.549999,44.669998,45.669998,910100,44.983372
"2020-10-22",47,50.439999,46.880001,48.34,2429700,47.613235
"2020-10-23",48.650002,49.580002,48.18,49.150002,1633900,48.411053
"2020-10-26",48.700001,48.759998,47.310001,47.610001,1241300,46.894207
"2020-10-27",47.669998,48.119999,47.029999,47.540001,1453800,46.825264
"2020-10-28",46.639999,46.759998,44.759998,44.84,937400,44.165855
"2020-10-29",44.700001,45.119999,43.950001,44.799999,1010800,44.126453
"2020-10-30",45.080002,47.25,44.939999,47.189999,1720100,46.480522
"2020-11-02",47.560001,48.959999,46.549999,47.700001,1448900,46.982853
"2020-11-03",48.029999,48.889999,47.68,47.77,717800,47.051804
"2020-11-04",48.009998,49.220001,47.349998,48.110001,1709500,47.386688
"2020-11-05",45.169998,47.330002,44.52,46.610001,3004000,45.909237
"2020-11-06",46.66,46.759998,45.439999,45.740002,853500,45.052322
"2020-11-09",48.66,54.990002,48.59,51.400002,2404600,50.627228
"2020-11-10",51.470001,53.259998,51.130001,52.959999,1821100,52.16378
"2020-11-11",52.919998,53.119999,49.59,49.849998,1408400,49.100529
"2020-11-12",49.830002,50.150002,48.580002,49.049999,982200,48.312561
"2020-11-13",49.560001,51.959999,49.18,51.360001,2263600,50.58783
"2020-11-16",52.77,53.41,49.220001,49.68,1240800,48.933094
"2020-11-17",47.73,48.959999,46.98,48.900002,1139400,48.164818
"2020-11-18",49.130001,49.869999,48.369999,48.91,1274500,48.174667
"2020-11-19",48.439999,49.259998,47.639999,48.869999,1288100,48.135265
"2020-11-20",48.619999,49.810001,48.060001,49.400002,1228200,48.657299
"2020-11-23",49.75,50.830002,49.560001,50.459999,1301400,49.701359
"2020-11-24",51.02,51.830002,50.490002,51.549999,981800,50.774979
"2020-11-25",51.189999,51.540001,50.540001,51.32,677100,50.548435
"2020-11-27",51.619999,52.59,51.16,51.66,537200,50.88332
"2020-11-30",51.540001,51.990002,50.720001,50.889999,1527200,50.124897
"2020-12-01",51.599998,51.610001,50.560001,50.610001,1190000,49.849106
"2020-12-02",50.75,53.5,50.549999,53.360001,2020500,52.557758
"2020-12-03",53.119999,53.490002,51.73,52.150002,1319000,51.365955
"2020-12-04",52.43,53.950001,52.189999,53.75,1055600,52.941895
"2020-12-07",53.599998,54.259998,53.27,53.599998,638800,52.794151
"2020-12-08",53.59,54.459999,53.209999,54.279999,801600,53.463924
"2020-12-09",54.720001,55.23,54.169998,54.5,925400,53.680622
"2020-12-10",54.200001,54.360001,53.459999,54.09,1161700,53.276783
"2020-12-11",53.720001,54.52,52.790001,52.959999,1193400,52.16378
"2020-12-14",53.77,53.93,52.200001,52.23,1206000,51.444752
"2020-12-15",52.990002,53.869999,52.349998,53.82,1009700,53.010841
"2020-12-16",54.049999,54.130001,53.07,53.16,819000,52.360771
"2020-12-17",53.23,53.669998,52.790001,53.27,1274800,52.469112
"2020-12-18",52.599998,52.77,51.73,52.599998,3334500,51.809181
"2020-12-21",51.34,52.509998,50.959999,52.439999,865200,51.651592
"2020-12-22",52.459999,52.619999,51.630001,51.810001,737000,51.031067
"2020-12-23",52.040001,52.450001,51.560001,51.610001,499600,50.932381
"2020-12-24",51.889999,51.889999,51.279999,51.82,217600,51.139614
"2020-12-28",52.360001,52.700001,52.049999,52.310001,576400,51.623184
"2020-12-29",52.450001,52.740002,51.040001,51.25,458300,50.577103
"2020-12-30",51.419998,51.939999,51.369999,51.459999,527500,50.784348
"2020-12-31",51.560001,52.459999,50.950001,52.360001,607100,51.672527
"2021-01-04",53.52,54.950001,52.639999,53.75,2214500,53.044277
"2021-01-05",54.060001,56.169998,53.84,55.290001,3021700,54.56406
"2021-01-06",55.150002,58.189999,55.150002,57.959999,1774700,57.199005
"2021-01-07",58.16,58.689999,57.040001,57.66,1334200,56.902943
"2021-01-08",57.939999,59.400002,57.369999,58.18,1336100,57.416115
"2021-01-11",57.470001,58.59,57.16,58.5,875800,57.731915
"2021-01-12",58,60.130001,58,59.950001,1399900,59.162872
"2021-01-13",59.98,60.470001,58.299999,59.509998,1406600,58.728649
"2021-01-14",59.82,60.220001,58.5,59.279999,1585400,58.501671
"2021-01-15",58.790001,59.099998,57.720001,58.439999,1878800,57.672699
"2021-01-19",59,59,57.860001,58.32,1048600,57.554276
"2021-01-20",58.419998,58.900002,57.990002,58.68,1031800,57.909546
"2021-01-21",58.540001,58.860001,57.389999,57.639999,836200,56.883205
"2021-01-22",57.5,57.650002,56.700001,57.23,1204500,56.478588
"2021-01-25",56.959999,57.23,56.130001,57.009998,1034900,56.261471
"2021-01-26",57.32,57.740002,56.990002,57.16,845700,56.409512
"2021-01-27",56.130001,56.240002,55.09,55.369999,2457300,54.643005
"2021-01-28",55.799999,56.400002,55.200001,55.34,1877000,54.613403
"2021-01-29",55.040001,55.349998,52.27,53.490002,1439700,52.787693
"2021-02-01",53.91,54.18,53.220001,53.919998,803500,53.212051
"2021-02-02",54.669998,55.82,54.099998,54.560001,1245500,53.843647
"2021-02-03",54.830002,55.139999,54.220001,54.639999,782100,53.922592
"2021-02-04",54.889999,56.02,54.59,55.790001,1131100,55.057495
"2021-02-05",56.169998,56.389999,54.959999,55.240002,788200,54.514717
"2021-02-08",55.41,56.25,55.200001,55.880001,915000,55.146313
"2021-02-09",55.720001,56.380001,55.599998,56.099998,700200,55.363422
"2021-02-10",56,57.330002,55.93,56.799999,834700,56.054234
"2021-02-11",56.950001,57.860001,56.200001,56.279999,889300,55.541058
"2021-02-12",56.27,56.5,55.290001,55.349998,1425400,54.623268
"2021-02-16",55.34,55.360001,53.959999,54.23,5957100,53.517975
"2021-02-17",54.07,54.209999,52.560001,52.689999,1841000,51.998196
"2021-02-18",52.299999,52.810001,51.529999,51.990002,1672200,51.307388
"2021-02-19",51.959999,53.380001,51.84,52.759998,1488900,52.067272
"2021-02-22",52.549999,53.400002,52.34,52.939999,1041300,52.244911
"2021-02-23",53.009998,53.630001,52.740002,53.360001,783700,52.659397
"2021-02-24",53.009998,54.360001,52.779999,54,945400,53.290993
"2021-02-25",54.27,54.279999,51.200001,52.43,2830900,51.741611
"2021-02-26",52.380001,53.700001,52.380001,53.07,2661000,52.373203
"2021-03-01",58.200001,60.779999,57.540001,59.709999,3540100,58.926025
