"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2020-10-26",170.919998,170.919998,166.179993,168,4053900,160.90448
"2020-10-27",170.889999,171.669998,168.610001,170.839996,5753900,163.624542
"2020-10-28",163.160004,163.869995,155.600006,155.779999,11120900,149.200607
"2020-10-29",158.070007,164.020004,157.740005,161.360001,5849600,154.544922
"2020-10-30",160.009995,160.460007,155.25,157.110001,5240500,150.474411
"2020-11-02",158.880005,161.190002,156.970001,159.550003,3924000,152.811401
"2020-11-03",161.25,164.649994,160.350006,163.479996,3142200,156.575394
"2020-11-04",163.729996,165.339996,160.559998,162.580002,3530000,155.713409
"2020-11-05",165.600006,165.850006,162.210007,163.559998,3998300,156.652023
"2020-11-06",164.080002,168.300003,163.070007,167.679993,2960000,160.598007
"2020-11-09",164.100006,167.529999,158.710007,163.220001,9453000,156.326401
"2020-11-10",163.729996,165.259995,161.029999,164.729996,3329800,157.772598
"2020-11-11",166.369995,168.220001,165.179993,166.639999,3240200,159.601929
"2020-11-12",165.339996,165.5,161.669998,163.110001,4070000,157.173645
"2020-11-13",164.199997,165.100006,163.160004,163.669998,2628500,157.713272
"2020-11-16",163.160004,168.479996,161.25,168.440002,4406300,162.309662
"2020-11-17",168.630005,169.399994,165.5,168.880005,3627800,162.733658
"2020-11-18",168.949997,171.570007,168.449997,168.449997,3393500,162.319305
"2020-11-19",168,168,165.699997,166.479996,3143600,160.420975
"2020-11-20",166.330002,166.800003,163.710007,163.759995,3988100,157.799988
"2020-11-23",165.5,166.729996,163.910004,166.600006,3770900,160.536636
"2020-11-24",167.960007,173.110001,167.570007,172.690002,5371700,166.404984
"2020-11-25",172.110001,172.990005,169.380005,170.5,3497700,164.294662
"2020-11-27",170.960007,171.429993,167.889999,168.889999,2216600,162.743271
"2020-11-30",169.570007,171.229996,168.110001,171.070007,4708600,164.843948
"2020-12-01",173.509995,174.199997,167.899994,167.960007,5371500,161.847122
"2020-12-02",167.919998,168.960007,166.5,168.830002,3853300,162.685455
"2020-12-03",169.119995,170.229996,167.419998,167.830002,2844200,161.721863
"2020-12-04",168.070007,168.600006,166.339996,167.25,2766200,161.162964
"2020-12-07",168.130005,168.289993,166.100006,167.470001,3117200,161.374954
"2020-12-08",167.550003,168.240005,165.919998,166.389999,3885000,160.334274
"2020-12-09",167.539993,169.850006,167.009995,169.179993,3327300,163.022705
"2020-12-10",167.050003,167.460007,163.630005,164.240005,4708600,158.262527
"2020-12-11",165.5,169.020004,165.350006,168.399994,4777500,162.271103
"2020-12-14",171.779999,171.779999,166.589996,166.619995,3388700,160.555878
"2020-12-15",167.100006,168.389999,166.139999,167.169998,2555300,161.085892
"2020-12-16",167.399994,171.660004,167.399994,170.130005,3421600,163.938141
"2020-12-17",170.740005,175.320007,170.039993,174.490005,4386900,168.139465
"2020-12-18",173.050003,175.490005,171.139999,175.179993,8581300,168.804352
"2020-12-21",172.440002,174.440002,171.029999,172.589996,3180000,166.308609
"2020-12-22",172.330002,175.25,172.020004,174.559998,2489200,168.206924
"2020-12-23",174.380005,175.940002,172.619995,172.639999,2553800,166.356812
"2020-12-24",173.009995,173.350006,171.470001,172.190002,1006100,165.923187
"2020-12-28",172.600006,173.199997,170.899994,171.360001,1861700,165.123383
"2020-12-29",171.75,172.009995,168.399994,169.029999,2864600,162.878189
"2020-12-30",169.820007,169.820007,166.149994,166.229996,3107100,160.180069
"2020-12-31",166.789993,168.479996,165.440002,168.399994,2349400,162.271103
"2021-01-04",168.399994,168.539993,161.880005,163.800003,4304000,157.838531
"2021-01-05",162.679993,164.009995,161.229996,161.520004,3967000,155.641541
"2021-01-06",160.279999,163.130005,160.009995,161.039993,5061400,155.17897
"2021-01-07",161.619995,161.869995,158.139999,159,6024300,153.213226
"2021-01-08",159.110001,159.899994,157.470001,158.389999,4844800,152.625412
"2021-01-11",158.869995,161.940002,157.740005,161.860001,6127800,155.969147
"2021-01-12",162.369995,164.449997,159.929993,163.910004,4612100,157.944519
"2021-01-13",163.550003,164.449997,161.949997,163.110001,2643000,157.173645
"2021-01-14",163.699997,165.589996,163.220001,163.470001,2625000,157.520538
"2021-01-15",162.729996,162.970001,158.210007,158.899994,4816300,153.116882
"2021-01-19",159.699997,159.800003,156.050003,156.279999,4537400,150.592224
"2021-01-20",156.910004,160.289993,156.029999,159.839996,3029800,154.022659
"2021-01-21",159.339996,161.699997,159.220001,160.100006,2002800,154.273178
"2021-01-22",158.399994,160.449997,157.399994,158.990005,3131600,153.203613
