"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2021-01-08",36.849998,36.970001,36.040001,36.580002,4615000,35.208302
"2021-01-11",35.98,36.529999,35.599998,36.290001,4701400,34.92918
"2021-01-12",36.43,37.049999,36.209999,36.560001,3777700,35.189056
"2021-01-13",36.669998,37.959999,36.610001,37.41,7977600,36.007179
"2021-01-14",37.709999,39.18,37.52,38.91,10254800,37.450928
"2021-01-15",38.23,39.185001,37.84,38.77,7955700,37.316177
"2021-01-19",39.68,39.959999,39.290001,39.700001,7771800,38.211311
"2021-01-20",40,40.689999,39.560001,39.91,5688800,38.413429
"2021-01-21",39.490002,39.950001,38.07,38.169998,7097100,36.738678
"2021-01-22",37.59,37.66,37.169998,37.369999,5598200,35.968678
"2021-01-25",36.959999,37,35.529999,36.630001,6013600,35.256424
"2021-01-26",36.919998,36.970001,35.349998,35.380001,5316900,34.053299
"2021-01-27",35.139999,35.75,34.150002,34.380001,9433300,33.090801
"2021-01-28",34.830002,36.080002,34.259998,35.889999,11743400,34.544174
"2021-01-29",34.869999,35.849998,33.41,33.650002,12483500,32.388172
"2021-02-01",34.630001,34.860001,33.990002,34.689999,7520400,33.389168
"2021-02-02",35.099998,36.25,35.077,36.040001,8211900,34.688553
"2021-02-03",36.029999,36.43,35.650002,36.110001,5291800,34.755928
"2021-02-04",36,37.630001,36,37.139999,8455100,35.966431
"2021-02-05",37.599998,37.82,37.18,37.290001,4858800,36.111691
"2021-02-08",37.549999,37.756001,37.07,37.669998,7481400,36.479683
"2021-02-09",37.610001,37.740002,37.099998,37.119999,7013000,35.94706
"2021-02-10",37.450001,37.919998,36.830002,37.880001,4124700,36.683044
"2021-02-11",37.880001,37.965,36.849998,37.279999,2945600,36.102005
"2021-02-12",37.32,37.709999,36.91,37.150002,2992200,35.976112
"2021-02-16",37.459999,38.029999,37.095001,37.900002,3757300,36.702415
"2021-02-17",37.700001,38.305,37.310001,37.470001,4642900,36.286003
"2021-02-18",37.060001,37.419998,36.450001,36.650002,4937000,35.491913
"2021-02-19",37.060001,38.314999,36.98,38.080002,5612600,36.876724
"2021-02-22",37.950001,39.380001,37.939999,38.82,6068800,37.593342
"2021-02-23",39,39.23,38.009998,38.48,6820700,37.264084
"2021-02-24",38.66,40.32,38.599998,40.220001,8010100,38.949104
"2021-02-25",40.5,40.599998,38.715,39.02,7490900,37.787025
