"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2021-01-29",239.429993,242.339996,236.100006,236.619995,1413100,230.845551
"2021-02-01",238.240005,241.110001,237.919998,239.910004,928800,234.055252
"2021-02-02",241,248.220001,240.720001,246.350006,1277100,240.338089
"2021-02-03",246.740005,247.789993,244.520004,246.25,813200,240.24057
"2021-02-04",246.360001,248.570007,243.770004,245.570007,1225500,240.544205
"2021-02-05",247.339996,249.539993,245.630005,245.660004,972400,240.63237
"2021-02-08",246.080002,246.399994,240.779999,243.800003,919400,238.81044
"2021-02-09",244.070007,247.070007,241.649994,245.820007,820500,240.789093
"2021-02-10",246.889999,247.960007,244.229996,245.289993,747400,240.269913
"2021-02-11",245.600006,249.410004,244.889999,248.910004,997300,243.815872
"2021-02-12",248.350006,255.979996,248.139999,254.839996,1303100,249.624481
"2021-02-16",256.329987,258.399994,254.259995,256.399994,1325000,251.152557
"2021-02-17",251.929993,254.820007,250.539993,253.029999,920800,247.851517
"2021-02-18",251.110001,252.610001,247.059998,251.710007,938500,246.558548
"2021-02-19",252.889999,258.929993,252.5,258.029999,976100,252.749191
"2021-02-22",257.5,262.070007,256.209991,260.23999,1323400,254.913971
"2021-02-23",260.799988,262.170013,255.899994,257.890015,957600,252.612076
"2021-02-24",257.200012,264.109985,256.609985,261.779999,974000,256.422424
"2021-02-25",257.660004,261.040009,252.419998,254.100006,2629600,248.899643
"2021-02-26",255.279999,257.209991,251.410004,252.059998,1389300,246.901382
"2021-03-01",255.589996,260.01001,254.800003,257.829987,1255300,252.553299
"2021-03-02",256.809998,258.640015,255.729996,256.380005,1708600,251.132965
"2021-03-03",255.600006,257.179993,253.630005,254.110001,1076600,248.909424
"2021-03-04",253.5,254.649994,240.960007,244.710007,1873600,239.701828
"2021-03-05",247.229996,257.200012,243.160004,256,1404800,250.760757
"2021-03-08",257.329987,264.859985,255.830002,259.220001,995400,253.91481
"2021-03-09",260.880005,263.26001,258.959991,259.109985,1260900,253.807098
"2021-03-10",260.609985,262.579987,258.179993,259.290009,1468700,253.983398
"2021-03-11",260.76001,262.559998,259.299988,260.75,1008600,255.413528
"2021-03-12",262.309998,264.359985,261.299988,261.440002,861900,256.089417
"2021-03-15",261.380005,261.579987,255.800003,260.269989,983900,254.94339
"2021-03-16",260.76001,260.890015,254.190002,256.390015,1291400,251.142761
"2021-03-17",256.890015,260.429993,254.839996,258.160004,847600,252.876541
"2021-03-18",258.160004,264.440002,257.640015,263.070007,1110600,257.686066
"2021-03-19",262.890015,263.700012,258.600006,260.459991,2112400,255.12944
"2021-03-22",267.820007,269.959991,259.579987,260.619995,2261000,255.286163
"2021-03-23",258.640015,263.799988,258.329987,260.269989,1260300,254.94339
"2021-03-24",261.149994,267.119995,261.149994,264.309998,871100,258.900665
"2021-03-25",264.309998,268.339996,260.519989,268,1201100,262.515106
"2021-03-26",268.570007,273.059998,267.049988,272.910004,940000,267.324646
"2021-03-29",272.480011,273.880005,268.570007,270.98999,826300,265.44397
"2021-03-30",269.279999,272,269.279999,270.290009,885600,264.758331
"2021-03-31",269.98999,271.850006,268.200012,268.519989,1379000,263.024475
"2021-04-01",270.350006,271.859985,268.839996,271.179993,914800,265.630066
"2021-04-05",273.339996,276.100006,272.649994,274.630005,821500,269.00946
"2021-04-06",275.160004,276.149994,270.959991,271.220001,943200,265.66925
"2021-04-07",271.619995,272.359985,269.480011,271.480011,976600,265.92395
"2021-04-08",271.559998,272.029999,267.040009,267.670013,1331600,262.191925
"2021-04-09",268.880005,272.5,267.119995,272.48999,992400,266.913269
"2021-04-12",271.279999,273.48999,271.170013,271.549988,917600,265.992462
"2021-04-13",270.25,271,267.570007,270.329987,752500,264.797455
"2021-04-14",271.149994,273.279999,270.48999,271.839996,608400,266.276581
"2021-04-15",272.109985,274.459991,271.649994,272.140015,794500,266.570465
"2021-04-16",274.51001,274.799988,269.959991,270.859985,1484200,265.31662
"2021-04-19",270.549988,270.670013,268.200012,270.459991,911800,264.924805
"2021-04-20",272.269989,278.369995,270.859985,273.309998,1385400,267.716492
"2021-04-21",272.809998,282.709991,272.679993,280.459991,1685800,274.720123
"2021-04-22",278.700012,283.51001,277.869995,278.540009,993700,272.839478
"2021-04-23",279.630005,283.119995,278.589996,282,836400,276.228638
"2021-04-26",282.559998,285.119995,280.929993,281.140015,914200,275.386261
