"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2020-09-28",38.849998,39.240002,38.400002,38.619999,5223800,38.619999
"2020-09-29",38.450001,40.049999,38.450001,39.32,6656000,39.32
"2020-09-30",37.779999,38.02,36.470001,36.549999,14138000,36.549999
"2020-10-01",36.810001,37.029999,36.09,36.330002,7795500,36.330002
"2020-10-02",35.5,36.580002,35.290001,35.959999,5366600,35.959999
"2020-10-05",36.23,36.939999,36.200001,36.57,5200400,36.57
"2020-10-06",36.630001,37.119999,36.169998,36.259998,4740300,36.259998
"2020-10-07",36.990002,37.82,36.709999,37.549999,5259600,37.549999
"2020-10-08",37.98,38.82,37.889999,38.700001,4613000,38.700001
"2020-10-09",39.34,39.549999,37.970001,38.119999,4724400,38.119999
"2020-10-12",38.080002,38.459999,37.599998,38.32,5258800,38.32
"2020-10-13",38.459999,38.990002,37.740002,37.849998,4254000,37.849998
"2020-10-14",38.099998,38.34,37.630001,37.73,3481800,37.73
"2020-10-15",37.16,38.029999,36.84,38,3674800,38
"2020-10-16",38.09,38.91,37.580002,37.939999,17425700,37.939999
"2020-10-19",38.25,41.959999,38.040001,40.919998,17145100,40.919998
"2020-10-20",40.900002,41.84,40.799999,41.41,7436400,41.41
"2020-10-21",41.779999,42.52,41.689999,42.060001,6871300,42.060001
"2020-10-22",42.09,43.77,41.650002,42.939999,6104800,42.939999
"2020-10-23",42.509998,42.740002,41.310001,41.720001,6696000,41.720001
"2020-10-26",41.34,41.470001,39.84,40.490002,4886900,40.490002
"2020-10-27",40.330002,40.759998,40,40.32,4004600,40.32
"2020-10-28",38.630001,39.599998,38.599998,38.810001,5631700,38.810001
"2020-10-29",38.049999,38.720001,37.380001,38.110001,6438400,38.110001
"2020-10-30",37.98,38.240002,36.970001,37.73,5068300,37.73
"2020-11-02",38.09,38.09,36.59,37.029999,5401000,37.029999
"2020-11-03",37.630001,38.09,37.310001,37.48,4316400,37.48
"2020-11-04",37.810001,37.93,36.700001,37.509998,4179900,37.509998
"2020-11-05",37.75,39.240002,37.73,39.150002,4546700,39.150002
"2020-11-06",39.299999,40.07,39.099998,39.810001,3048500,39.810001
"2020-11-09",41.5,42.959999,41.16,41.48,5957600,41.48
"2020-11-10",41.400002,41.900002,40.91,41.27,3961700,41.27
"2020-11-11",41.669998,41.93,40.360001,40.599998,3642400,40.599998
"2020-11-12",40.279999,40.459999,38.959999,39.310001,4067400,39.310001
"2020-11-13",39.799999,41.57,39.650002,41.470001,4984200,41.470001
"2020-11-16",42.639999,43.59,42.189999,43.580002,5560300,43.580002
"2020-11-17",43.02,43.169998,42.16,42.720001,3662000,42.720001
"2020-11-18",42.82,43.43,42.470001,42.490002,3907000,42.490002
"2020-11-19",42.139999,42.669998,41.799999,42.610001,2612700,42.610001
"2020-11-20",42.580002,43.16,42.400002,42.419998,2584300,42.419998
"2020-11-23",42.779999,44.740002,42.610001,44.48,5789600,44.48
"2020-11-24",45.09,45.950001,44.650002,45.84,4529700,45.84
"2020-11-25",45.509998,45.630001,44.450001,45.259998,3207700,45.259998
"2020-11-27",45.290001,46.220001,45.290001,45.849998,2118500,45.849998
"2020-11-30",45.970001,46.540001,44.740002,44.880001,4834100,44.880001
"2020-12-01",45.470001,48.119999,45.360001,47.27,6725900,47.27
"2020-12-02",47.16,47.919998,46.93,47.720001,4515900,47.720001
"2020-12-03",48.119999,49.009998,47.639999,48.48,4704600,48.48
"2020-12-04",49,51.82,48.91,51.75,6454400,51.75
"2020-12-07",51.939999,52.490002,50.950001,51.139999,4720800,51.139999
"2020-12-08",50.810001,52.459999,50.77,52.419998,3601800,52.419998
"2020-12-09",52.599998,53.209999,50.599998,51.099998,4666300,51.099998
"2020-12-10",49.990002,51.959999,49.91,51.610001,3740500,51.610001
"2020-12-11",50.68,51.709999,50.560001,51.09,3134600,51.09
