"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume","EMR.Adjusted"
"2021-06-07",98.360001,98.410004,97.269997,97.870003,1916600,95.777588
"2021-06-08",97.800003,99.089996,97.199997,98.510002,2793100,96.4039
"2021-06-09",98.279999,98.360001,97.470001,97.900002,1843900,95.806938
"2021-06-10",98.480003,98.879997,97.449997,97.589996,2099000,95.503571
"2021-06-11",97.940002,98.080002,96.589996,97.029999,2144300,94.955544
"2021-06-14",96.639999,97.410004,96.190002,97.379997,2497200,95.29805
"2021-06-15",97.620003,98.650002,97.18,98.610001,3647800,96.501762
"2021-06-16",98.519997,98.970001,97.580002,98.239998,3527700,96.139671
"2021-06-17",98.309998,98.309998,93.860001,94.019997,3278200,92.009903
"2021-06-18",92.290001,93.25,92.07,92.269997,5239900,90.29731
"2021-06-21",93.220001,95.080002,93.010002,94.93,2580100,92.900436
"2021-06-22",94.75,95.519997,93.959999,94.779999,2058300,92.753647
"2021-06-23",95.110001,96.029999,94.449997,94.5,2234900,92.479637
"2021-06-24",94.970001,95.419998,94.139999,95.349998,2585100,93.311455
"2021-06-25",95.760002,96.489998,95.470001,96,2076200,93.947563
"2021-06-28",96.230003,96.269997,94.660004,95.029999,1726300,92.998306
"2021-06-29",95.940002,96.470001,94.459999,94.690002,3409300,92.665565
"2021-06-30",94.459999,96.43,94.459999,96.239998,2283100,94.182434
"2021-07-01",97.010002,97.589996,96.720001,96.919998,1904800,94.847893
"2021-07-02",96.910004,97.709999,96.349998,97.440002,1347500,95.356781
"2021-07-06",97.300003,97.300003,94.769997,95.699997,2286500,93.653969
"2021-07-07",95.449997,97.239998,95.330002,97.07,2143600,94.99469
"2021-07-08",95.400002,96.580002,94.709999,96.029999,1659100,93.976929
"2021-07-09",97.410004,98.139999,97.209999,97.610001,2143700,95.52314
"2021-07-12",97.610001,98.790001,96.75,98.610001,2339500,96.501762
"2021-07-13",98.610001,98.610001,97.660004,97.800003,2210600,95.709084
"2021-07-14",98.199997,98.900002,97.879997,98.059998,2815100,95.963524
"2021-07-15",97.610001,98.849998,97.400002,98.519997,2003200,96.413689
"2021-07-16",99,99.089996,97.040001,97.260002,4560900,95.180626
"2021-07-19",95.690002,96.040001,93.330002,93.809998,3795100,91.80439
"2021-07-20",93.940002,97.349998,93.879997,97.129997,3335200,95.053391
"2021-07-21",97.629997,98.540001,97.389999,98.269997,1799700,96.169037
"2021-07-22",98.489998,98.5,97.25,97.440002,1150500,95.356781
"2021-07-23",97.970001,98.650002,97.25,98.480003,1657000,96.37455
"2021-07-26",98.480003,99.199997,97.82,98.339996,1258500,96.237534
"2021-07-27",97.769997,99.129997,97.150002,98.339996,1515900,96.237534
"2021-07-28",98.220001,98.919998,97.059998,98.360001,1742400,96.257111
"2021-07-29",99.440002,100.209999,98.559998,100,2445600,97.862045
"2021-07-30",99.769997,101.029999,99.470001,100.889999,2807100,98.733017
"2021-08-02",101.650002,102.419998,99.629997,99.720001,1970300,97.588028
"2021-08-03",100.089996,101.290001,99.18,101.160004,2193100,98.997238
"2021-08-04",97.699997,101.82,97.699997,100.199997,1928500,98.05777
"2021-08-05",101.400002,102.07,100.699997,101.059998,2086300,98.899384
"2021-08-06",101.959999,102.339996,100.959999,101.440002,1708000,99.271263
"2021-08-09",101.379997,101.459999,100.620003,101.160004,1314500,98.997238
"2021-08-10",101.5,103.239998,101.139999,103.07,2247000,100.866409
"2021-08-11",103.07,104.360001,102.800003,104.279999,2185200,102.050545
"2021-08-12",103.699997,104.25,103.07,104.110001,1920400,102.379974
"2021-08-13",103.940002,104.18,103.290001,103.739998,1183600,102.016121
"2021-08-16",103.419998,103.82,102.57,103.639999,1339400,101.917793
"2021-08-17",102.970001,103.349998,101.690002,102.709999,2006500,101.003235
"2021-08-18",102.260002,103.019997,101.519997,101.629997,1336500,99.941177
"2021-08-19",100.760002,101.959999,99.779999,101.230003,2820000,99.547836
"2021-08-20",101.059998,102.230003,101.059998,101.699997,1389600,100.010025
"2021-08-23",102.379997,103.43,102.379997,102.599998,1786000,100.895073
"2021-08-24",102.919998,104.040001,102.919998,103.419998,1542200,101.701439
"2021-08-25",103.129997,104.610001,102.900002,104.199997,1777100,102.468475
"2021-08-26",104.139999,104.550003,103.82,104.139999,1242600,102.409485
"2021-08-27",104.510002,105.029999,104.489998,104.769997,2003600,103.029007
"2021-08-30",105,105.919998,104.410004,105.269997,1707000,103.520699
"2021-08-31",105.410004,105.620003,104.5,105.5,3392000,103.74688
"2021-09-01",105.68,105.93,103.690002,104.050003,2963800,102.320976
"2021-09-02",104.580002,105.699997,104.459999,105.699997,1723300,103.943558
"2021-09-03",105.809998,105.989998,104.900002,105.379997,2008600,103.628868
"2021-09-07",105.059998,105.089996,103.639999,103.669998,1722900,101.947289
"2021-09-08",103.199997,103.68,102.5,103.099998,2060900,101.386757
"2021-09-09",103.32,103.32,99.910004,100.080002,4196200,98.416939
"2021-09-10",101.029999,101.480003,99.919998,100.089996,2428000,98.426773
"2021-09-13",100.82,101.300003,98.400002,99.160004,3633700,97.512238
"2021-09-14",99.57,99.790001,97.290001,97.650002,3967300,96.027328
"2021-09-15",97.660004,99.550003,97.139999,99.330002,3600200,97.679413
"2021-09-16",99.529999,99.540001,98.209999,98.779999,1871700,97.13855
"2021-09-17",97.120003,98.220001,96,96.459999,4932800,94.857101
"2021-09-20",94.650002,94.980003,93.25,94.669998,2992300,93.09684
"2021-09-21",95.150002,95.43,93.599998,93.709999,2204400,92.152794
"2021-09-22",94.57,96.199997,94.519997,95.5,2729400,93.913048
"2021-09-23",96.290001,97.769997,96.120003,96.959999,2367500,95.348793
"2021-09-24",96.510002,97.389999,96.169998,96.309998,1712200,94.709595
"2021-09-27",96.470001,97.620003,96.470001,96.730003,2440000,95.122612
"2021-09-28",96.330002,96.940002,95.540001,95.669998,2093700,94.080231
"2021-09-29",95.870003,96.199997,95.279999,95.639999,2622800,94.05072
"2021-09-30",96.269997,96.309998,94.169998,94.199997,2659900,92.634651
"2021-10-01",94.440002,95.629997,93.57,95.160004,2748300,93.578712
"2021-10-04",94.809998,95.540001,93.260002,93.639999,3906200,92.083954
"2021-10-05",93.93,96,93.629997,95.480003,2265100,93.893387
"2021-10-06",94.639999,95.919998,93.839996,95.639999,2855600,94.05072
"2021-10-07",97.07,99.169998,97.07,97.339996,3956200,95.722473
"2021-10-08",96.610001,97.529999,95.989998,96.639999,3192400,95.034111
"2021-10-11",92.629997,95.760002,92.589996,94.18,4300200,92.61499
"2021-10-12",94.639999,95.099998,92.110001,92.32,3533500,90.785896
"2021-10-13",92.790001,92.790001,90.360001,91.870003,4837600,90.343376
"2021-10-14",93.57,95.160004,92.959999,94.75,4219200,93.175514
"2021-10-15",95.559998,96.559998,95.169998,95.730003,5417300,94.139236
"2021-10-18",95.209999,95.839996,94.720001,95.769997,2371200,94.178558
"2021-10-19",96.440002,96.589996,95.629997,96.419998,1906300,94.817757
"2021-10-20",97,97.690002,96.410004,97.269997,1912600,95.653633
"2021-10-21",96.790001,97.010002,95.790001,96.650002,2002300,95.043945
"2021-10-22",97,97.580002,96.269997,96.639999,1728100,95.034111
"2021-10-25",96.43,97.290001,95.980003,96.550003,2047300,94.945602
"2021-10-26",97.089996,98.370003,96.519997,97.099998,2841000,95.486465
"2021-10-27",97.129997,98,96.129997,96.150002,1925800,94.552254
"2021-10-28",96.57,97.879997,96.400002,97.510002,1587700,95.889648
"2021-10-29",97.199997,98.029999,96.5,97.010002,2635800,95.397964
"2021-11-01",97.809998,98.43,97.239998,97.900002,1842800,96.273163
"2021-11-02",98.150002,100.470001,97.629997,100.150002,3695400,98.485779
"2021-11-03",94.769997,99,94,95.269997,4225200,93.686874
"2021-11-04",96.370003,97.489998,95.900002,97.160004,2789500,95.545471
"2021-11-05",98.160004,98.769997,97.300003,97.93,1793400,96.302673
"2021-11-08",99.150002,99.449997,97.519997,97.75,2977300,96.125664
"2021-11-09",98,98.540001,96.839996,97.5,3974700,95.879822
"2021-11-10",96.93,97.489998,96.43,97.029999,1930200,95.924301
"2021-11-11",97.529999,97.610001,96.739998,97.290001,1635000,96.181343
"2021-11-12",97.639999,97.739998,96.82,97.419998,1824400,96.30986
"2021-11-15",97.660004,97.660004,96.010002,96.379997,1544100,95.281708
"2021-11-16",96.68,97.279999,95.970001,96.209999,2395700,95.113647
"2021-11-17",96.540001,96.690002,94.150002,94.309998,4046800,93.235298
"2021-11-18",94.330002,95.519997,93.620003,94.57,5096200,93.492332
"2021-11-19",94.370003,94.910004,93.32,93.339996,4019900,92.276352
"2021-11-22",94.07,95.989998,93.860001,94.440002,5223200,93.363815
"2021-11-23",94.480003,95.050003,93.980003,94.470001,3099500,93.393478
"2021-11-24",93.980003,95.150002,93.980003,94.230003,2738400,93.156212
"2021-11-26",91.730003,91.760002,89.900002,90.309998,2767500,89.280876
"2021-11-29",91.309998,92.190002,90.230003,90.860001,3420200,89.824615
"2021-11-30",90,90.720001,87.610001,87.839996,5950100,86.83902
"2021-12-01",89.900002,90.449997,86.720001,86.790001,4779500,85.800995
"2021-12-02",87.68,91.040001,87.540001,90.379997,4290600,89.350082
"2021-12-03",90.809998,91.419998,89.290001,90.279999,2907500,89.251228
"2021-12-06",91.260002,92.139999,90.230003,90.940002,2592900,89.903702
"2021-12-07",91.839996,92.919998,91.529999,92.230003,3456700,91.179001
"2021-12-08",92.43,92.839996,92.029999,92.480003,2265800,91.426155
"2021-12-09",92.099998,92.739998,91.809998,91.989998,2044100,90.941734
"2021-12-10",92.360001,92.980003,91.889999,92.589996,2883100,91.534897
"2021-12-13",92.730003,93.050003,91.900002,92.330002,2612900,91.27787
"2021-12-14",91.589996,92.809998,90.839996,91.349998,3204800,90.309029
"2021-12-15",91.540001,92.900002,91.160004,92.730003,2550800,91.673309
"2021-12-16",93.849998,94.849998,93.230003,93.889999,2943900,92.820091
"2021-12-17",93.169998,93.419998,90.410004,90.690002,6637400,89.656548
"2021-12-20",89.290001,90,88.540001,89.459999,3041300,88.440567
"2021-12-21",90.169998,91.209999,90.139999,91.029999,2816500,89.992676
"2021-12-22",90.690002,91.349998,89.550003,89.870003,3615200,88.845901
"2021-12-23",90.239998,91.709999,90.169998,91.279999,2367800,90.23983
"2021-12-27",91.339996,92.279999,91.309998,92.169998,1626500,91.119682
"2021-12-28",92.360001,93.099998,92.339996,92.889999,1271500,91.831482
"2021-12-29",92.540001,93.25,92.269997,92.949997,1434200,91.890793
"2021-12-30",93.120003,93.660004,92.510002,92.660004,1202200,91.604103
"2021-12-31",92.449997,93.43,92.199997,92.970001,1283500,91.910576
"2022-01-03",93.300003,93.419998,91.059998,91.760002,2435900,90.714363
"2022-01-04",93.25,96.269997,92.489998,95.830002,4466700,94.737976
"2022-01-05",97.059998,97.989998,95.559998,95.690002,4180000,94.599579
