"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2021-02-17",112.160004,112.82,111.93,112.209999,2088400,109.504059
"2021-02-18",111.120003,113.639999,111.089996,113.43,3645300,110.694633
"2021-02-19",113.550003,113.550003,110.860001,111.629997,2934300,108.938026
"2021-02-22",111.150002,111.239998,109.239998,110.559998,3271800,107.893829
"2021-02-23",110.349998,112.510002,109.110001,109.919998,2892400,107.269272
"2021-02-24",110.330002,111.970001,110,111.870003,3076400,109.172249
"2021-02-25",111.599998,113.489998,111.599998,112.269997,2567100,109.562599
"2021-02-26",112.699997,113.730003,110.709999,110.889999,2607600,108.215881
"2021-03-01",111.669998,113.169998,111.669998,112.480003,1937100,109.76754
"2021-03-02",112.339996,114.5,111.830002,114.330002,3244900,111.572929
"2021-03-03",114.330002,114.800003,113.339996,113.970001,2824000,111.221603
"2021-03-04",114.300003,116.760002,114.050003,115.519997,3803500,112.734222
"2021-03-05",115.589996,119.029999,115.589996,118.68,3281200,115.818024
"2021-03-08",118.949997,122.970001,118.720001,121.730003,3121800,118.794479
"2021-03-09",121.18,122.25,119.599998,119.599998,2268600,116.715828
"2021-03-10",119.849998,122.269997,118.93,121.690002,2625100,118.75544
"2021-03-11",121.059998,121.059998,119.279999,120,1956200,117.662155
"2021-03-12",120.5,121.93,120.160004,121.790001,1768900,119.417282
"2021-03-15",121.110001,122.629997,120.639999,122.620003,1598100,120.231117
"2021-03-16",122.709999,123.139999,122.199997,122.910004,1544100,120.515472
"2021-03-17",123.330002,123.330002,118.470001,118.989998,3825700,116.671829
"2021-03-18",119.18,122.019997,118.940002,121.900002,2105800,119.525146
"2021-03-19",122.199997,122.739998,120.82,121.57,3643800,119.201569
"2021-03-22",121.860001,123.529999,121.139999,123.370003,2098800,120.966507
"2021-03-23",123.260002,124.809998,122.760002,124.099998,1961400,121.682281
"2021-03-24",123.790001,125.910004,123.370003,124.82,2078900,122.388252
"2021-03-25",125.43,127.559998,124.43,127.43,2953300,124.947403
"2021-03-26",127.339996,129.970001,127.110001,129.800003,2239000,127.271233
"2021-03-29",128.990005,131.380005,128.949997,130.339996,2394400,127.800705
"2021-03-30",129.800003,130.460007,128.839996,129.279999,2069500,126.76136
"2021-03-31",128.789993,129.940002,128.75,129.020004,1814700,126.506432
"2021-04-01",129.25,130.080002,127.940002,129.279999,1308200,126.76136
"2021-04-05",129.809998,131.169998,129.699997,130.990005,1593500,128.438065
"2021-04-06",131.380005,132.539993,130.729996,131.600006,1806800,129.036163
"2021-04-07",132.809998,133.229996,132.029999,132.410004,1698200,129.830383
"2021-04-08",132.309998,133.050003,132.100006,132.839996,1543700,130.251999
"2021-04-09",133.070007,134.690002,132.869995,134.679993,1599300,132.056137
"2021-04-12",134.860001,135.460007,134.070007,134.470001,1795400,131.850266
"2021-04-13",133.399994,134.899994,133.149994,134.460007,1387800,131.840454
"2021-04-14",134.350006,134.490005,133.729996,133.880005,1193600,131.271744
"2021-04-15",134.039993,134.899994,134.039993,134.520004,1296400,131.899292
"2021-04-16",135.220001,135.589996,134.529999,135.050003,1349900,132.418961
"2021-04-19",134.550003,134.949997,133.809998,134.429993,1507300,131.81102
"2021-04-20",134.289993,135.350006,133.960007,134.869995,1392700,132.242432
"2021-04-21",134.990005,136.350006,134.850006,135.559998,1181000,132.919006
"2021-04-22",135.570007,135.970001,134.490005,134.75,1612900,132.124786
"2021-04-23",134.839996,135.860001,134.410004,135.5,1089600,132.860184
"2021-04-26",135,135.830002,133.889999,133.929993,1483700,131.32077
"2021-04-27",134.460007,136,133.850006,135.059998,1744400,132.428741
"2021-04-28",135.589996,136.570007,135.029999,136.229996,1383700,133.575958
"2021-04-29",136.869995,137.830002,136.800003,137.179993,1705700,134.507462
"2021-04-30",136.979996,138.559998,136.789993,137.970001,1725200,135.282059
"2021-05-03",138.720001,140.679993,138.460007,140.339996,1410700,137.605896
"2021-05-04",140.210007,141.309998,140,140.880005,1558500,138.135361
"2021-05-05",141.089996,141.899994,140.110001,141.639999,1410100,138.880554
"2021-05-06",141.869995,142.399994,141.210007,141.479996,1437500,138.723663
"2021-05-07",141.220001,142.149994,140.759995,141.380005,1584100,138.625641
"2021-05-10",142.059998,144.539993,142.050003,143.259995,1807600,140.469009
"2021-05-11",142.889999,143.460007,140.660004,141.199997,1790000,138.449142
"2021-05-12",140.919998,141.009995,138.119995,138.179993,1447600,135.487976
"2021-05-13",138.699997,141.960007,138.360001,141.419998,1272300,138.664856
"2021-05-14",141.850006,142.910004,141.529999,141.940002,977000,139.174728
"2021-05-17",141.75,142.610001,140.600006,141.509995,1482200,138.753082
"2021-05-18",141.029999,141.910004,140.440002,140.470001,1672600,137.733368
"2021-05-19",139.949997,139.949997,137.619995,139.149994,1311400,136.439072
"2021-05-20",139.369995,141.039993,139.009995,140.429993,1029500,137.694122
"2021-05-21",141.169998,141.830002,140.160004,140.970001,1573500,138.223618
"2021-05-24",141.619995,142,141.020004,141.110001,1137400,138.360901
"2021-05-25",140.940002,141.300003,140.449997,140.690002,1561000,137.949081
"2021-05-26",140.179993,140.759995,139.509995,139.770004,1259100,137.046997
"2021-05-27",140.289993,140.830002,139.210007,140.550003,2207000,137.811813
"2021-05-28",141.289993,141.550003,140.639999,140.679993,925600,137.93927
"2021-06-01",141.419998,141.479996,139.949997,140.070007,1117600,137.341156
"2021-06-02",140.309998,141.240005,139.800003,141.119995,1354700,138.370682
"2021-06-03",140.490005,141.199997,139.970001,140.580002,890600,138.405151
"2021-06-04",140.970001,141.220001,140.020004,140.75,641900,138.57254
"2021-06-07",140.699997,140.990005,139.369995,139.570007,1087200,137.410797
"2021-06-08",139.789993,140.009995,138.860001,139.339996,1112100,137.184341
"2021-06-09",139.179993,139.869995,139.009995,139.580002,890300,137.420639
"2021-06-10",139.960007,140.199997,139.550003,139.929993,941500,137.765198
"2021-06-11",140.309998,140.419998,139.190002,139.910004,1262700,137.745544
"2021-06-14",139.910004,140.270004,139.270004,140.25,813700,138.080276
"2021-06-15",140.179993,141.110001,139.419998,140.860001,934100,138.680832
"2021-06-16",141.5,141.5,139.410004,139.820007,1395700,137.656937
"2021-06-17",139.630005,139.880005,138.330002,139.300003,1215300,137.144943
"2021-06-18",138.070007,138.589996,136.970001,137.070007,2710800,134.949463
"2021-06-21",137.800003,139.399994,137.630005,139.360001,1461400,137.204025
"2021-06-22",139.289993,140.039993,139.110001,139.669998,1047500,137.509232
"2021-06-23",139.529999,139.529999,138.5,138.520004,937800,136.377029
"2021-06-24",138.990005,139.210007,138.080002,138.539993,1072400,136.396713
"2021-06-25",138.279999,139.479996,138.279999,139.110001,1540400,136.957886
"2021-06-28",139.059998,139.479996,138.440002,139.179993,1014300,137.026794
"2021-06-29",139.169998,139.770004,138.869995,139.460007,1146500,137.302505
"2021-06-30",139.410004,140.339996,139.160004,140.110001,1206200,137.942413
"2021-07-01",141.699997,141.699997,140.639999,141.169998,1292000,138.986023
"2021-07-02",141.149994,142.669998,140.880005,141.970001,1470200,139.773666
"2021-07-06",142.380005,142.860001,141.070007,142.770004,1198600,140.561264
"2021-07-07",142.770004,144.740005,142.380005,144.039993,1630900,141.81163
"2021-07-08",142.990005,143.270004,141.820007,142.169998,1317300,139.970535
"2021-07-09",142.940002,143.369995,142.169998,143.039993,894800,140.827087
"2021-07-12",142.979996,143.679993,142.570007,143.110001,1087900,140.896011
"2021-07-13",143.5,143.720001,142.220001,142.520004,1197400,140.315155
"2021-07-14",142.850006,144.089996,142.610001,143.990005,848200,141.762405
"2021-07-15",143.460007,145.509995,143.449997,145.360001,1217400,143.111206
"2021-07-16",145.899994,146.919998,145.720001,145.800003,1125700,143.544418
"2021-07-19",144.990005,145.509995,142.240005,143.630005,1951800,141.407974
"2021-07-20",143.949997,146.389999,143.910004,145.169998,1669500,142.924164
"2021-07-21",145.559998,145.960007,144.589996,144.850006,976300,142.6091
"2021-07-22",145.100006,145.289993,144.240005,144.979996,1065900,142.737091
"2021-07-23",145.029999,146.850006,145.029999,146.389999,908200,144.125275
"2021-07-26",146.199997,147.020004,145.729996,146.690002,1249200,144.420624
"2021-07-27",148.210007,149.949997,146.759995,146.960007,1876300,144.686447
"2021-07-28",147.259995,147.259995,145.360001,145.669998,1224200,143.416412
"2021-07-29",146.649994,147.259995,146.139999,146.210007,943500,143.948044
"2021-07-30",146.130005,148.639999,146.130005,148.259995,1388200,145.966354
"2021-08-02",148.699997,149.149994,146.610001,147.270004,928500,144.991669
"2021-08-03",147.440002,149.470001,147.279999,149.410004,1344600,147.098557
"2021-08-04",149.160004,150.830002,148.729996,148.860001,1553700,146.557083
"2021-08-05",149.169998,149.759995,147.740005,148.330002,1135900,146.035278
"2021-08-06",148.330002,149.399994,147.509995,147.839996,1201700,145.552841
