"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"2020-09-30",86.529999,87.699997,84.68,85.279999,1984600,81.01683
"2020-10-01",86.010002,86.220001,83.559998,84.489998,1136000,80.266304
"2020-10-02",83.550003,85.839996,82.849998,84.989998,1038900,80.741318
"2020-10-05",85.93,88.43,85.68,88.089996,1195900,83.686363
"2020-10-06",88.080002,89.849998,87.449997,87.68,1253200,83.29686
"2020-10-07",88.769997,90,88.370003,89.889999,1060100,85.39637
"2020-10-08",89.610001,89.959999,88,89.940002,779500,85.443878
"2020-10-09",90,90.959999,88.830002,89.220001,1837600,84.759865
"2020-10-12",90.220001,90.269997,89.129997,89.779999,1746300,85.29187
"2020-10-13",88.940002,89.900002,87.599998,88.540001,1667100,84.113876
"2020-10-14",88.260002,90,88.260002,88.970001,1182800,84.522369
"2020-10-15",87.980003,89.239998,87.860001,89.160004,928000,84.702873
"2020-10-16",89.610001,91.330002,87.949997,89.940002,1918200,85.443878
"2020-10-19",89.970001,91.599998,89.970001,91.059998,2596200,86.507874
"2020-10-20",91.379997,92,89,90.339996,3928900,85.823868
"2020-10-21",90.089996,91.779999,90.019997,90.910004,2538600,86.365387
"2020-10-22",92.019997,92.480003,90.599998,91.690002,1730100,87.106384
"2020-10-23",92.07,92.959999,91.739998,92.639999,1556400,88.008896
"2020-10-26",91.260002,91.419998,89.489998,90.57,1896800,86.042381
"2020-10-27",90.760002,91.389999,88.370003,88.449997,1339600,84.028351
"2020-10-28",86.790001,87.519997,84.889999,84.889999,1855100,80.646317
"2020-10-29",84.650002,86.580002,84.220001,85.669998,1261700,81.387329
"2020-10-30",85.050003,85.879997,84.370003,85.379997,1357800,81.111832
"2020-11-02",86.650002,88.910004,86.379997,88.830002,1498700,84.389374
"2020-11-03",90.089996,92.330002,89.529999,91.779999,1640900,87.191887
"2020-11-04",92.720001,93.300003,88.610001,88.75,1521400,84.313362
"2020-11-05",89.199997,91.309998,88.089996,90.610001,1218500,86.080368
"2020-11-06",91.629997,91.629997,89.669998,90.089996,1131200,85.586372
"2020-11-09",95,95.82,90.43,90.599998,2453700,86.377693
"2020-11-10",89.889999,92.610001,89.690002,91.120003,2024800,86.873466
"2020-11-11",91.739998,91.889999,89.620003,90.169998,1495100,85.967735
"2020-11-12",89.75,90.150002,88.419998,88.989998,1322800,84.84272
"2020-11-13",89.830002,90.18,89.029999,89.910004,1271100,85.719849
"2020-11-16",90.599998,91.260002,88,89.919998,1385900,85.729385
"2020-11-17",89.389999,89.389999,88.029999,88.82,1070500,84.680634
"2020-11-18",89.440002,90.949997,88.389999,89.839996,1033000,85.653107
"2020-11-19",89.279999,90.230003,88.019997,90.040001,1022200,85.843788
"2020-11-20",88.150002,89.800003,87.760002,88.779999,1660300,84.642517
"2020-11-23",90.730003,90.730003,88.5,89.559998,1144200,85.386162
"2020-11-24",88.830002,90.82,88.830002,90.410004,1978100,86.196548
"2020-11-25",90.589996,90.769997,88.550003,88.82,1304700,84.680634
"2020-11-27",88.849998,89.68,87.57,87.739998,590400,83.65097
"2020-11-30",87.239998,87.900002,86.370003,87.059998,2093100,83.002678
"2020-12-01",87.949997,88.879997,87.260002,87.279999,1420000,83.212418
"2020-12-02",87,88,86.519997,87.150002,1260800,83.088478
"2020-12-03",87.089996,87.550003,86.080002,86.25,2070300,82.230431
"2020-12-04",86.330002,87.389999,85.699997,86.699997,2042700,82.659439
"2020-12-07",86.410004,86.809998,85.75,86.309998,1571900,82.287628
"2020-12-08",86.160004,86.860001,86.110001,86.410004,885200,82.382965
"2020-12-09",86.410004,87.589996,86.110001,87.379997,1717600,83.307762
"2020-12-10",86.739998,87.139999,85.510002,85.75,1035800,81.753716
"2020-12-11",84.919998,85.93,84.68,85.459999,1131800,81.477234
"2020-12-14",85.669998,86.43,84.379997,84.459999,1089400,80.523834
"2020-12-15",86.160004,87.519997,85.639999,87.290001,1727900,83.221954
"2020-12-16",86.919998,87.580002,86.599998,86.889999,1412700,82.840591
"2020-12-17",86.480003,86.870003,85.160004,85.769997,1704300,82.43692
"2020-12-18",86.269997,86.57,85,86.010002,3717700,82.667587
"2020-12-21",84.699997,86.18,84.07,85.849998,1190800,82.513809
"2020-12-22",85.690002,85.699997,84.660004,84.870003,917000,81.571892
"2020-12-23",85.019997,85.5,84.68,85.089996,951400,81.783348
"2020-12-24",85.400002,86.199997,85,86.110001,373000,82.763702
"2020-12-28",86.739998,86.980003,85.379997,85.580002,586800,82.254311
"2020-12-29",86.010002,86.400002,84.300003,85.32,850900,82.004402
"2020-12-30",85.580002,86.080002,85.169998,85.870003,561600,82.533043
"2020-12-31",85.550003,86.349998,85.330002,86.279999,879800,82.927101
"2021-01-04",86.610001,87.370003,84.269997,84.720001,1684200,81.427727
"2021-01-05",84.709999,85.68,84.230003,85.449997,1151500,82.129341
"2021-01-06",85.720001,89.93,85.370003,88.809998,2035300,85.358772
"2021-01-07",87.790001,89.830002,87.699997,88.400002,1718600,84.964714
"2021-01-08",88.669998,88.949997,86.599998,87.800003,1267500,84.388031
"2021-01-11",87.519997,88.269997,87.07,88.220001,835200,84.791702
"2021-01-12",88.449997,89.660004,87.669998,89.459999,963900,85.983528
"2021-01-13",89.739998,89.900002,88.129997,88.949997,1157600,85.49334
