"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"2021-02-17",141.070007,141.710007,134.529999,139.300003,2169000,138.608429
"2021-02-18",135.990005,137.830002,134.479996,136.5,1666200,135.919907
"2021-02-19",139.669998,143.259995,139.389999,142.589996,2081500,141.984039
"2021-02-22",139.979996,140,131.830002,132.389999,1928000,131.827377
"2021-02-23",126.889999,131.889999,124.57,129.779999,3288900,129.228485
"2021-02-24",128.690002,134.440002,126.209999,134.190002,2386800,133.619751
"2021-02-25",132.770004,133.289993,125.309998,125.639999,1736600,125.106071
"2021-02-26",126.949997,129.860001,124.029999,128.610001,1925000,128.063477
"2021-03-01",131.470001,134.350006,130.5,134,2157900,133.430542
"2021-03-02",133.75,133.990005,126.739998,126.800003,1698600,126.261147
"2021-03-03",126.650002,128.669998,121.459999,121.489998,1972800,120.973709
"2021-03-04",121,121.449997,111.309998,113.970001,3351400,113.485664
"2021-03-05",117.470001,117.830002,106.449997,113.900002,3451600,113.41597
"2021-03-08",112.82,113.660004,104.050003,104.199997,3907800,103.757187
"2021-03-09",109,114.830002,108.620003,113.339996,3146600,112.858337
"2021-03-10",117.209999,117.25,108.150002,108.910004,2867700,108.447174
"2021-03-11",111,114.830002,111,113.860001,2136000,113.376137
"2021-03-12",111.029999,113.559998,110.050003,112.830002,1705100,112.35051
"2021-03-15",113.519997,118.370003,113.239998,117.75,2493000,117.249603
"2021-03-16",119.699997,119.989998,116.099998,117.349998,2368500,116.851295
"2021-03-17",115.629997,118.870003,113.379997,117.470001,2543000,116.970795
"2021-03-18",115.370003,116.050003,112.150002,112.370003,2485500,111.892464
"2021-03-19",112.93,116.059998,111.32,114.910004,3196300,114.421684
"2021-03-22",117.470001,118.709999,115.120003,117.010002,2148700,116.512749
"2021-03-23",116.449997,118.199997,111.889999,113.120003,2821000,112.63929
"2021-03-24",116.790001,117.940002,111.879997,112,2098300,111.52404
"2021-03-25",110.010002,112.139999,107.849998,111.739998,1481300,111.265144
"2021-03-26",112.449997,119.150002,112.120003,119.019997,2239400,118.514206
"2021-03-29",118.139999,118.220001,112.349998,113.889999,2448500,113.406013
"2021-03-30",113.610001,116.660004,113.199997,115.959999,1050500,115.467209
"2021-03-31",117.830002,122.870003,117.620003,121.68,2316700,121.162903
"2021-04-01",124.099998,128.919998,124.099998,128.809998,2179600,128.262604
"2021-04-05",130.559998,133.770004,128,132.679993,2013000,132.11615
"2021-04-06",132.220001,134.820007,130.229996,132.380005,1991800,131.817444
"2021-04-07",131.580002,133.389999,130.460007,131.779999,1319700,131.219986
"2021-04-08",133.690002,134.309998,132.259995,133.919998,1497700,133.350891
"2021-04-09",132.740005,134.070007,131.369995,133.059998,1155600,132.494553
"2021-04-12",132.190002,132.419998,129.25,130.429993,1612100,129.875702
"2021-04-13",131.75,131.990005,127.220001,129,1560700,128.451797
"2021-04-14",129.009995,131.410004,127.529999,128.089996,925900,127.545662
"2021-04-15",130.360001,131.630005,128.029999,131.190002,1612500,130.632492
"2021-04-16",131.550003,132.419998,129.350006,129.479996,1501400,128.929749
"2021-04-19",128.589996,129.160004,124.779999,126.32,1524800,125.78318
"2021-04-20",125.559998,126.970001,122.690002,124.269997,1276100,123.741882
"2021-04-21",124.279999,130.070007,123.580002,129.940002,1515300,129.387802
"2021-04-22",129.779999,130.169998,125.400002,126.32,1409200,125.78318
"2021-04-23",129.279999,131.850006,128.160004,131.529999,1257500,130.971039
"2021-04-26",131.460007,133.679993,131,133.429993,1212700,132.862961
"2021-04-27",134.259995,135.550003,131.070007,131.100006,1776500,130.542862
"2021-04-28",138.710007,139.279999,131.139999,132.399994,2672700,131.837326
"2021-04-29",133.779999,133.910004,128.539993,130.809998,1216100,130.254105
"2021-04-30",128.009995,128.580002,124.43,125.080002,1689000,124.548454
"2021-05-03",126.32,127.410004,123.760002,124.989998,1061500,124.458832
"2021-05-04",122.339996,123.150002,119.650002,122.989998,1362200,122.467339
"2021-05-05",125.059998,126.029999,122.339996,124.519997,1160900,123.990822
"2021-05-06",123.839996,126.139999,121.629997,125.940002,1356800,125.4048
"2021-05-07",127.449997,128.690002,126.620003,128.169998,1269800,127.62532
"2021-05-10",126.550003,126.550003,121.709999,121.839996,2448900,121.32222
"2021-05-11",116.330002,122.18,115.660004,121.510002,1888200,120.993629
"2021-05-12",118.440002,120.07,114.169998,114.599998,1920800,114.112991
"2021-05-13",116.400002,118.760002,115.900002,117.239998,1493200,116.741768
"2021-05-14",118.470001,123.419998,117.970001,122.349998,1139500,121.830055
"2021-05-17",120.720001,120.889999,117.5,119.860001,1127300,119.350639
"2021-05-18",121.550003,122.400002,118.669998,118.769997,1100700,118.265266
"2021-05-19",116,122.980003,115.010002,122.410004,1564000,121.889801
"2021-05-20",123.220001,127.25,123.139999,126.620003,1178500,126.081909
"2021-05-21",126.5,126.93,123.690002,124.879997,1882800,124.349312
"2021-05-24",126.349998,128.309998,126.300003,127.690002,1266700,127.147362
"2021-05-25",128.600006,130.380005,127.779999,128.529999,1065400,128.084076
"2021-05-26",129.119995,130.5,127.160004,129.059998,926600,128.612244
"2021-05-27",128.229996,131.130005,127.349998,130.589996,1601700,130.136948
"2021-05-28",131,132.949997,130.619995,132.350006,1211800,131.890869
"2021-06-01",133.470001,135.350006,130.240005,130.779999,1090900,130.326294
"2021-06-02",130.240005,132.050003,129.350006,131.009995,803700,130.555496
"2021-06-03",129.009995,129.639999,126.93,128.320007,1141000,127.874825
"2021-06-04",127.57,131.979996,127.139999,131.679993,1039000,131.22316
"2021-06-07",131.350006,131.690002,130.139999,130.800003,711300,130.346222
"2021-06-08",131.830002,132.5,125.199997,126.779999,1930200,126.340172
"2021-06-09",126.800003,128.440002,124.669998,124.709999,1245800,124.277351
"2021-06-10",124.68,128.210007,124.190002,127.870003,1857800,127.426392
"2021-06-11",128.669998,128.679993,126.459999,127.980003,1497600,127.536011
"2021-06-14",128,131.539993,127.68,131.479996,1035200,131.023865
"2021-06-15",131.419998,132.550003,129.850006,130.309998,1098000,129.857925
"2021-06-16",131.259995,132.210007,127.160004,128.279999,1051900,127.834969
"2021-06-17",127.919998,130.020004,126.830002,129.589996,1379800,129.140411
"2021-06-18",127.629997,129.320007,123.529999,124.860001,2771000,124.426834
"2021-06-21",125.309998,126.370003,124.160004,126.220001,1589700,125.782112
"2021-06-22",126.050003,126.709999,124.57,125.959999,1313700,125.523018
"2021-06-23",125.650002,127.839996,125.650002,127.199997,913400,126.758713
"2021-06-24",128.690002,130.990005,128.320007,130.610001,1339800,130.156891
"2021-06-25",131.449997,132.699997,128.350006,129.550003,2613200,129.100555
"2021-06-28",131.309998,133.460007,130.490005,132.75,1388900,132.289459
"2021-06-29",132.270004,135.190002,131.949997,134.309998,1314400,133.844055
"2021-06-30",134.699997,134.949997,132.460007,133.960007,838700,133.495255
"2021-07-01",133.449997,133.869995,129.240005,129.380005,1262800,128.931152
"2021-07-02",130.889999,131,127.959999,128.529999,928200,128.084076
"2021-07-06",128.669998,128.990005,124.57,126.470001,1599800,126.03125
"2021-07-07",127.940002,127.940002,122.849998,123.440002,2780700,123.011765
"2021-07-08",120.379997,123.68,119.150002,122.82,1458300,122.393913
"2021-07-09",123.690002,125.959999,122.360001,125.699997,1251600,125.263916
"2021-07-12",126.080002,127.269997,125.139999,127.080002,1074600,126.639137
"2021-07-13",126.260002,128.050003,125.550003,126.790001,1038200,126.350136
"2021-07-14",128.139999,130.880005,125.919998,126.269997,1114500,125.83194
"2021-07-15",125.809998,125.809998,122.169998,123.129997,1528600,122.702827
"2021-07-16",123.629997,124.800003,119.639999,119.889999,1145600,119.474083
"2021-07-19",118.209999,120.150002,116.389999,120.059998,1422300,119.643486
"2021-07-20",121.389999,124.639999,119.809998,123.779999,1324600,123.350578
"2021-07-21",124.349998,128.520004,124.169998,128.460007,1210000,128.014343
"2021-07-22",127.730003,129.169998,126.040001,126.720001,1013200,126.28038
"2021-07-23",128.229996,129.470001,126.830002,128.800003,850000,128.353149
"2021-07-26",128,129.910004,126.989998,127.43,1153000,126.987923
"2021-07-27",126.5,126.910004,120.769997,123.459999,2501200,123.031693
"2021-07-28",119.18,124.019997,117.699997,122.080002,2342800,121.656471
"2021-07-29",124.32,127.300003,123.879997,125.650002,2027600,125.214096
"2021-07-30",123.940002,128.869995,123.940002,127,1148100,126.55941
"2021-08-02",127.620003,130.279999,126.779999,127.019997,1004400,126.57933
"2021-08-03",127.540001,128.25,124.839996,126.739998,915300,126.300308
"2021-08-04",126.669998,129.020004,126.400002,127.900002,1052800,127.456291
"2021-08-05",128.300003,128.580002,126.029999,126.580002,912300,126.140877
"2021-08-06",126.110001,127.730003,125.650002,126.870003,673700,126.429855
"2021-08-09",127.300003,127.629997,125.599998,125.940002,650900,125.50309
"2021-08-10",126.120003,126.720001,120.190002,122.480003,1341600,122.055092
"2021-08-11",122.93,123.050003,118.830002,121.379997,1354300,120.958908
"2021-08-12",120.099998,120.120003,118.089996,118.650002,1292600,118.238373
"2021-08-13",118.129997,119.160004,117.75,118.75,977700,118.338036
"2021-08-16",118.32,119.589996,117.300003,118.470001,946600,118.058998
"2021-08-17",117.120003,117.43,114.620003,116.089996,1087300,115.687256
"2021-08-18",116.059998,117.610001,113.830002,114.010002,1499400,113.614479
"2021-08-19",113.550003,115.080002,112,114.209999,1433100,113.813774
