"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2020-11-05",36.599998,38.200001,36.599998,37.889999,895000,37.586079
"2020-11-06",38.029999,38.59,37.639999,37.689999,764000,37.387684
"2020-11-09",41.380001,43.459999,41.040001,42.549999,1272300,42.208698
"2020-11-10",42.970001,43.43,42.209999,42.360001,1086300,42.020226
"2020-11-11",42.580002,42.59,41.049999,41.349998,915600,41.01833
"2020-11-12",41.040001,41.599998,40.580002,41.049999,829400,40.720734
"2020-11-13",41.639999,42.470001,41.27,42.299999,611500,41.960705
"2020-11-16",43.82,43.82,42.689999,43.630001,590700,43.280037
"2020-11-17",43.009998,43.810001,42.580002,43.669998,654600,43.31971
"2020-11-18",43.779999,44.119999,43.07,43.07,574400,42.724529
"2020-11-19",42.66,42.939999,41.869999,42.82,846600,42.476532
"2020-11-20",42.689999,43.290001,42.279999,42.41,808300,42.069824
"2020-11-23",43.029999,43.599998,42.860001,43.529999,955400,43.18084
"2020-11-24",44.450001,45,44.209999,44.889999,1244100,44.594471
"2020-11-25",44.549999,44.599998,43.540001,44.369999,705300,44.077892
"2020-11-27",44.27,44.369999,43.32,43.41,493600,43.124218
"2020-11-30",43.110001,43.59,41.740002,41.91,3556000,41.634087
"2020-12-01",42.959999,43.41,42.5,42.560001,1107600,42.279812
"2020-12-02",42.310001,42.700001,41.919998,42.57,869200,42.289745
"2020-12-03",42.509998,43.189999,42.349998,42.619999,793500,42.339409
"2020-12-04",42.790001,43.610001,42.68,43.349998,1025400,43.064606
"2020-12-07",42.990002,43.310001,42.66,42.759998,876100,42.478493
"2020-12-08",42.209999,43.5,42.169998,43.369999,1077000,43.084473
"2020-12-09",43.419998,43.59,42.98,43.16,868700,42.875858
"2020-12-10",42.799999,43.77,42.57,43.66,965900,43.372566
"2020-12-11",42.990002,43.91,42.98,43.66,870100,43.372566
"2020-12-14",44.349998,44.360001,42.860001,42.869999,1251500,42.587769
"2020-12-15",43.25,44.529999,43.240002,44.330002,1246200,44.038158
"2020-12-16",44.41,44.610001,44.080002,44.360001,1060800,44.067959
"2020-12-17",44.549999,44.740002,44,44.41,1253100,44.117626
"2020-12-18",44.389999,44.630001,43.400002,43.799999,3606900,43.511646
"2020-12-21",43.669998,44.02,42.91,43.77,1206700,43.481842
"2020-12-22",43.59,43.98,43.029999,43.049999,920100,42.766582
"2020-12-23",43.490002,44.389999,43.490002,44.099998,1043900,43.809669
"2020-12-24",44.110001,44.240002,43.740002,44,300100,43.710335
"2020-12-28",44.299999,44.93,44.200001,44.419998,523600,44.127563
"2020-12-29",44.630001,44.939999,43.98,44.060001,586700,43.769936
"2020-12-30",44.049999,44.740002,43.93,44.419998,742500,44.127563
"2020-12-31",44.290001,45.119999,44.27,45.02,590500,44.723618
"2021-01-04",45.040001,45.369999,44.16,44.400002,982800,44.1077
"2021-01-05",44.549999,45.290001,44.5,44.720001,928000,44.425587
"2021-01-06",45.639999,47.110001,45.599998,46.869999,1076800,46.561432
"2021-01-07",47.169998,47.169998,46.299999,46.75,1005400,46.442226
"2021-01-08",46.93,46.93,45.939999,46.580002,616400,46.273342
"2021-01-11",46.02,46.720001,45.75,46.549999,885200,46.243542
"2021-01-12",46.759998,47.060001,46.360001,46.919998,606500,46.611107
"2021-01-13",46.759998,47.439999,46.380001,47.139999,602400,46.829659
"2021-01-14",47.490002,47.639999,47.09,47.400002,486700,47.087952
"2021-01-15",46.84,47.560001,46.32,47.189999,557900,46.879322
"2021-01-19",47.490002,47.91,47.169998,47.560001,445500,47.246899
"2021-01-20",47.540001,47.779999,46.98,47.349998,535600,47.038273
"2021-01-21",47.200001,47.48,46.509998,46.529999,533700,46.223675
"2021-01-22",45.950001,46.599998,45.790001,46.490002,645300,46.183941
"2021-01-25",45.900002,46.740002,45.66,46.73,740300,46.422356
"2021-01-26",46.889999,47.240002,46.119999,46.220001,513500,45.915714
"2021-01-27",45.52,46.360001,45.209999,45.349998,816100,45.051441
"2021-01-28",45.93,46.709999,45.830002,46.040001,657300,45.7369
"2021-01-29",45.75,46.43,45.110001,45.290001,1602400,44.991837
"2021-02-01",45.630001,46.16,45.169998,45.880001,667200,45.577953
"2021-02-02",46.23,46.490002,45.619999,46.169998,673200,45.866039
"2021-02-03",45.98,47.07,45.959999,46.900002,657300,46.591244
"2021-02-04",47.09,47.900002,47.009998,47.810001,693200,47.495247
"2021-02-05",48.32,48.459999,47.779999,47.799999,837000,47.485313
"2021-02-08",48.59,48.849998,47.220001,48.419998,739500,48.101231
"2021-02-09",48.189999,48.509998,48.09,48.099998,575000,47.783333
"2021-02-10",48.259998,48.299999,47.650002,47.990002,552100,47.674065
"2021-02-11",47.990002,48.360001,47.580002,48.220001,471400,47.90255
"2021-02-12",48.099998,48.630001,48.049999,48.619999,634500,48.299915
"2021-02-16",49.080002,49.299999,48.59,48.77,919700,48.448925
"2021-02-17",48.759998,48.77,47.84,48.52,1052200,48.200573
"2021-02-18",48.279999,48.279999,47.279999,47.360001,905500,47.04821
"2021-02-19",47.720001,48.279999,47.529999,48.060001,772800,47.743603
"2021-02-22",47.990002,49.490002,47.900002,49.48,1557700,49.154247
"2021-02-23",49.849998,50.700001,49.310001,50.450001,1446500,50.181759
"2021-02-24",50.43,50.810001,50.220001,50.380001,860100,50.112133
"2021-02-25",50.849998,50.849998,48.619999,48.73,1068700,48.470901
"2021-02-26",48.529999,48.650002,47.610001,47.810001,1926000,47.555798
"2021-03-01",48.619999,49.950001,48.599998,49.52,1017900,49.256706
"2021-03-02",49.48,49.849998,49.259998,49.380001,812600,49.117451
"2021-03-03",49.290001,50.5,49.150002,49.59,777700,49.326336
"2021-03-04",49.439999,49.610001,48.16,48.959999,772300,48.69968
"2021-03-05",49.639999,50.380001,49.189999,50.049999,990900,49.783886
"2021-03-08",50.369999,51.16,49.950001,50.200001,1411900,49.933086
"2021-03-09",49.700001,50.369999,48.619999,49.169998,1048700,48.908562
"2021-03-10",49.099998,50.66,48.919998,50.5,812000,50.231491
"2021-03-11",50.07,50.580002,49.59,50.209999,755200,49.943031
"2021-03-12",50.900002,51.610001,50.27,51.57,1134800,51.295803
"2021-03-15",51.509998,52.060001,51.18,52.029999,1272800,51.753357
"2021-03-16",51.599998,51.599998,50.360001,51.380001,1944000,51.106812
"2021-03-17",51.75,52.169998,51.450001,52.119999,1351700,51.842884
"2021-03-18",52.360001,53.290001,52,52.860001,1341600,52.578949
"2021-03-19",52.57,52.970001,51.900002,52.400002,3396300,52.121395
"2021-03-22",52.060001,52.119999,51.119999,51.700001,3138100,51.425114
"2021-03-23",51.369999,51.919998,50.810001,51.02,1163500,50.748726
"2021-03-24",51.23,51.73,50.869999,50.900002,957700,50.629368
"2021-03-25",51.060001,52.169998,50.400002,52,625500,51.723518
"2021-03-26",52.400002,52.720001,51.869999,52.66,470300,52.380009
"2021-03-29",51.93,52.540001,51.610001,52.139999,875200,51.862778
"2021-03-30",52.380001,52.82,52.110001,52.669998,678500,52.389954
"2021-03-31",52.419998,52.599998,51.23,51.279999,1114100,51.007343
"2021-04-01",51.060001,52.259998,50.799999,52.25,885900,51.972187
"2021-04-05",52.66,52.900002,52.290001,52.740002,815000,52.459587
"2021-04-06",52.82,53.360001,52.57,53.060001,649600,52.777885
"2021-04-07",53.049999,53.43,52.720001,53.349998,648200,53.066338
"2021-04-08",52.68,53.09,52.630001,53.009998,633500,52.728142
"2021-04-09",53.529999,53.650002,52.990002,53.610001,747000,53.324959
"2021-04-12",53.650002,54.200001,53.610001,54.18,7e+05,53.891926
"2021-04-13",53.869999,53.93,53.18,53.490002,639600,53.205597
