"","TPR.Open","TPR.High","TPR.Low","TPR.Close","TPR.Volume","TPR.Adjusted"
"2021-05-20",44.57,44.700001,42.139999,43.610001,5270700,42.489117
"2021-05-21",44.080002,44.23,42.830002,42.889999,4052700,41.787628
"2021-05-24",43.169998,43.77,42.59,43.400002,2455100,42.284515
"2021-05-25",43.75,44.34,43.220001,43.32,2468600,42.206573
"2021-05-26",43.439999,44.720001,43.439999,44.34,2803600,43.200359
"2021-05-27",44.759998,45.240002,44.459999,45.09,2478900,43.931084
"2021-05-28",45.459999,45.459999,43.990002,44.889999,2169300,43.736225
"2021-06-01",45.400002,45.52,44.5,44.970001,2971400,43.814163
"2021-06-02",44.900002,44.970001,42.400002,42.709999,4552800,41.612247
"2021-06-03",42.369999,42.610001,41.529999,42.52,3570800,41.427135
"2021-06-04",42.610001,42.869999,40.880001,42.75,6478800,41.651226
"2021-06-07",43.259998,43.700001,42.959999,43.349998,3477600,42.235802
"2021-06-08",43.220001,44.27,42.959999,44,3129700,42.869095
"2021-06-09",43.77,44.040001,43.259998,43.419998,2468000,42.304005
"2021-06-10",43.68,44,42.299999,42.720001,2719300,41.621994
"2021-06-11",43.130001,44.32,43.099998,44.299999,2308600,43.161381
"2021-06-14",44.360001,44.68,42.790001,43.27,2491900,42.157856
"2021-06-15",43.41,43.59,42.599998,43.549999,2358700,42.43066
"2021-06-16",43.290001,43.630001,42.41,43.259998,2099500,42.148117
"2021-06-17",43.209999,43.580002,41.419998,42.240002,3619500,41.154335
"2021-06-18",41.77,42.080002,40.98,41.169998,4497200,40.111832
"2021-06-21",41.43,42.400002,41.349998,42.16,2575300,41.076389
"2021-06-22",42.029999,42.470001,41.400002,42.299999,1698300,41.212788
"2021-06-23",42.419998,43.060001,42.32,42.599998,2060900,41.505077
"2021-06-24",42.950001,43.34,42.419998,43.029999,1724400,41.924026
"2021-06-25",43.57,44.389999,43.32,43.48,7019500,42.362461
"2021-06-28",43.310001,43.389999,42.380001,42.610001,3479500,41.514824
"2021-06-29",42.82,43.130001,41.970001,42.16,3966100,41.076389
"2021-06-30",42.139999,43.59,42.080002,43.48,3670400,42.362461
"2021-07-01",43.740002,44.630001,40.98,42.490002,9417800,41.397907
"2021-07-02",42.740002,42.830002,41.740002,42.66,3672700,41.563538
"2021-07-06",42.560001,42.759998,41.209999,41.709999,3387600,40.637955
"2021-07-07",41.560001,42.029999,40.25,40.900002,3832600,39.848774
"2021-07-08",40,40.66,39.279999,40.380001,3164700,39.34214
"2021-07-09",41.18,42,41.099998,41.900002,2367000,40.823078
"2021-07-12",41.490002,42.68,41.150002,42.529999,3031500,41.436882
"2021-07-13",42.470001,42.830002,41.049999,41.549999,2460300,40.482067
"2021-07-14",41.669998,42.330002,41.349998,41.439999,1909700,40.374893
"2021-07-15",41.040001,41.349998,40.09,40.610001,2204600,39.566231
"2021-07-16",40.860001,40.919998,38.959999,39.060001,3101300,38.056068
"2021-07-19",37.689999,38.68,37.310001,37.810001,4587600,36.8382
