"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"2020-11-02",112.970001,115.800003,112.760002,115.720001,2838700,109.852013
"2020-11-03",117,119.730003,116.169998,118.82,2033400,112.794823
"2020-11-04",119.690002,121.400002,118.559998,119.860001,1916000,113.782074
"2020-11-05",122.199997,124.889999,121.75,123.059998,2489500,116.819801
"2020-11-06",123,123.75,121.610001,123.059998,1670000,116.819801
"2020-11-09",120.309998,123.209999,110.919998,111,4896100,105.371346
"2020-11-10",111.599998,113.709999,110.989998,112.629997,3906700,106.918686
"2020-11-11",113.830002,114.809998,112.099998,114.559998,2058300,108.750832
"2020-11-12",114.449997,115.5,112.339996,114,2279000,108.219223
"2020-11-13",114.639999,115.839996,113.5,114.300003,1831700,108.504021
"2020-11-16",115,118.849998,113.620003,118.650002,3306600,112.63343
"2020-11-17",118.120003,120.870003,117.360001,119.019997,2740600,112.984673
"2020-11-18",119.099998,120.160004,117.739998,117.769997,2962700,111.798042
"2020-11-19",118.419998,120.5,117.769997,118.830002,1728400,112.804298
"2020-11-20",119.879997,120.739998,118.970001,119.139999,1857900,113.098579
"2020-11-23",120.209999,124.309998,119.900002,122.040001,4443800,115.851532
"2020-11-24",115.790001,117.050003,113.199997,113.540001,11676000,107.782555
"2020-11-25",114.059998,116.440002,113.080002,113.900002,5503000,108.12429
"2020-11-27",115,115.089996,112.080002,112.629997,3242400,106.918686
"2020-11-30",112.68,112.68,108.57,108.800003,6493700,103.282913
"2020-12-01",108.779999,109.489998,107.150002,108.860001,5330700,103.339851
"2020-12-02",108.029999,109.470001,107.199997,107.470001,3393800,102.020355
"2020-12-03",106.940002,107.43,105.709999,106.540001,4567000,101.137512
"2020-12-04",106.559998,106.620003,104.849998,105.57,3657500,100.216698
"2020-12-07",105.160004,105.449997,101.449997,102.730003,5506900,97.520714
"2020-12-08",102.199997,103.510002,102.019997,102.989998,2974800,97.767517
"2020-12-09",103.07,105.150002,102.599998,104.760002,4784400,99.447777
"2020-12-10",101.75,103.410004,99.599998,103.029999,4406600,97.805496
"2020-12-11",102.800003,103.029999,100.199997,100.599998,4044300,95.498711
"2020-12-14",101.019997,101.790001,99.650002,101.279999,3926200,96.67276
"2020-12-15",101.599998,103,101.199997,102.989998,3308700,98.30497
"2020-12-16",103.510002,104.150002,102.589996,103.5,3136900,98.791779
"2020-12-17",104.300003,104.459999,102.230003,102.339996,3067100,97.68454
"2020-12-18",102.050003,102.720001,101.519997,101.949997,4913100,97.312286
"2020-12-21",100.730003,103.330002,100.510002,103.300003,2991900,98.600876
"2020-12-22",103.540001,105.279999,103.129997,104.129997,3579700,99.393127
"2020-12-23",104.43,105.290001,102.309998,102.339996,2313700,97.68454
"2020-12-24",102.220001,103.440002,101.830002,102.550003,996700,97.885002
"2020-12-28",103,103.540001,101.18,102.580002,2601600,97.91362
"2020-12-29",103.040001,103.540001,100.440002,100.760002,2201100,96.17643
"2020-12-30",100.959999,101.910004,100.959999,101.379997,1639300,96.768211
"2020-12-31",101.470001,101.470001,99.25,99.790001,2232100,95.250557
"2021-01-04",99.620003,101.120003,98.660004,100.489998,3636600,95.918701
"2021-01-05",100.629997,101.68,100.129997,101,2396400,96.40551
"2021-01-06",100,106.040001,100,105.910004,4699200,101.092155
"2021-01-07",106.25,108.43,105.910004,107.709999,3703800,102.810265
"2021-01-08",108,109.449997,106.160004,107.57,3539200,102.676628
"2021-01-11",107.169998,111.199997,106.57,110.779999,3424600,105.740616
"2021-01-12",110.389999,115.489998,110.300003,114.709999,4575500,109.491829
"2021-01-13",114.419998,115.07,113.129997,113.220001,2986700,108.069618
"2021-01-14",113.349998,115.220001,113.019997,113.919998,1966000,108.73777
"2021-01-15",113.639999,115.75,111.589996,114,3123200,108.814133
"2021-01-19",115,115,111.160004,111.620003,2630600,106.542397
"2021-01-20",112.160004,112.650002,110.790001,112.230003,1929400,107.124657
"2021-01-21",113.089996,116.019997,112.279999,114.5,2599200,109.291382
"2021-01-22",114.129997,115.349998,112.370003,114.93,1619700,109.701828
"2021-01-25",114.779999,117.980003,113.449997,113.739998,2250100,108.565956
"2021-01-26",114.150002,115.510002,113.010002,114.699997,2140600,109.482277
"2021-01-27",113.540001,116.230003,112.830002,113.57,2445900,108.403694
"2021-01-28",113.529999,116.559998,112.25,112.309998,2429900,107.201004
"2021-01-29",112.110001,112.389999,108.370003,108.82,2481400,103.869766
"2021-02-01",109.449997,110,105.660004,107.690002,2706900,102.791183
"2021-02-02",107.949997,110.93,106.639999,108.779999,2530400,103.831589
"2021-02-03",109.360001,111.160004,108.849998,110.32,1503500,105.301529
"2021-02-04",112.639999,114.760002,112.010002,113.839996,2422000,108.6614
"2021-02-05",114.199997,114.900002,113.339996,114.529999,1632800,109.320023
"2021-02-08",115,117.959999,114.980003,117.900002,1715100,112.536728
"2021-02-09",117.830002,119.370003,116.739998,118.459999,1528100,113.071251
"2021-02-10",118.790001,119.290001,116.989998,118.809998,1274900,113.405327
"2021-02-11",119,120.940002,118.57,119.589996,1635900,114.149849
"2021-02-12",118.709999,121.129997,118.5,120.510002,1858000,115.027985
"2021-02-16",120.529999,123.300003,120.489998,120.75,1880200,115.257072
"2021-02-17",120.190002,122.209999,118.220001,118.339996,2224600,112.956703
"2021-02-18",117.889999,118.449997,116.419998,116.760002,1890500,111.448578
"2021-02-19",117.629997,119.019997,117.43,118,2044400,112.632172
"2021-02-22",117.110001,118.199997,115.900002,116.730003,1742800,111.419952
"2021-02-23",115.849998,115.889999,113.129997,115.5,2198300,110.245903
"2021-02-24",116.099998,117.139999,112.699997,113.459999,3279800,108.298706
"2021-02-25",103.82,112.300003,101.459999,102.940002,10053700,98.257256
"2021-02-26",101.099998,102.360001,99.790001,100.349998,4569800,95.785065
"2021-03-01",100.5,102.589996,100.5,101.690002,3708500,97.064117
"2021-03-02",102.120003,103.75,101.459999,102.519997,3011500,97.856361
"2021-03-03",102.370003,102.730003,100,100.370003,2848800,95.804176
"2021-03-04",99.739998,100.410004,95.93,98.239998,4288700,93.771049
"2021-03-05",99.610001,103.199997,97.290001,102.849998,5128100,98.171349
"2021-03-08",103.290001,107.419998,102.730003,106.57,3830800,101.72213
"2021-03-09",106.550003,109.639999,105.650002,105.82,3294900,101.006241
"2021-03-10",107.449997,109.480003,106.620003,108.150002,3175700,103.230255
"2021-03-11",108.639999,109.440002,107.470001,108.580002,2407300,103.640694
"2021-03-12",108.949997,111.290001,107.800003,110.989998,1962900,105.941063
"2021-03-15",111.489998,114.589996,111.25,113.919998,3346800,108.73777
"2021-03-16",113.660004,114.459999,112.699997,113.449997,2328200,108.289154
"2021-03-17",112.160004,112.849998,109.980003,112.25,2584400,107.808929
"2021-03-18",111.610001,116.260002,111.309998,113.379997,2906500,108.894211
"2021-03-19",113.830002,120.290001,113.68,118.190002,9098400,113.513924
"2021-03-22",118.099998,121.290001,117.110001,120.959999,2809600,116.174324
"2021-03-23",120.650002,121.379997,118.239998,118.809998,3663100,114.10939
"2021-03-24",119.099998,119.5,114.220001,114.32,2883800,109.797028
"2021-03-25",114.43,116.519997,113.440002,116.18,2250600,111.583443
"2021-03-26",116.550003,119.349998,116.18,119.260002,1872500,114.541588
"2021-03-29",119.449997,120.089996,114.519997,114.800003,2598300,110.258041
"2021-03-30",114.190002,116.059998,113.339996,115.720001,1934100,111.141655
"2021-03-31",116.309998,116.309998,114.230003,114.809998,1938900,110.267647
"2021-04-01",115.940002,116.300003,114.010002,115.760002,2486400,111.180061
"2021-04-05",116.309998,118.480003,115.699997,117.989998,1641900,113.321831
"2021-04-06",117.940002,121.699997,117.550003,120.739998,3604100,115.963028
"2021-04-07",120.5,121.730003,118.510002,120.589996,2502800,115.81897
"2021-04-08",120.910004,120.989998,119.110001,119.620003,1776800,114.887352
"2021-04-09",120.059998,122.830002,119.629997,122.480003,2126800,117.634193
"2021-04-12",122.300003,123.870003,121.199997,121.559998,2394500,116.750595
"2021-04-13",121.870003,121.870003,119.25,120.82,2449600,116.039864
"2021-04-14",120.550003,121.339996,119.419998,120.169998,1525400,115.415588
"2021-04-15",120.910004,121.419998,119.040001,119.300003,1453900,114.580009
"2021-04-16",119.93,120.129997,117.989998,119.870003,1845100,115.127449
"2021-04-19",120.349998,120.650002,117.849998,118.839996,2912600,114.138199
"2021-04-20",118.800003,119.199997,116.510002,118.449997,1750400,113.763626
"2021-04-21",118.809998,119.769997,118.169998,118.970001,1509300,114.263054
"2021-04-22",119.199997,120.919998,117.75,118.040001,2405400,113.36985
"2021-04-23",118.169998,118.309998,116.529999,117.739998,1547700,113.081718
"2021-04-26",117.510002,117.629997,114.379997,117.019997,2275700,112.390205
"2021-04-27",117.449997,119.279999,117,118.349998,1355300,113.66758
"2021-04-28",118.769997,119.449997,117.029999,117.190002,1190400,112.55349
"2021-04-29",117.730003,118.790001,117.07,118.290001,1274400,113.609962
"2021-04-30",117.510002,117.660004,115.790001,116.269997,1633800,111.669876
"2021-05-03",117.370003,119.18,116.989998,117.470001,1507600,112.822403
"2021-05-04",117.32,117.800003,116.150002,117.730003,1330200,113.072128
"2021-05-05",118.349998,118.489998,116.07,116.379997,1270000,111.775528
"2021-05-06",117.470001,120.220001,116.889999,120.040001,2293600,115.290726
"2021-05-07",120.029999,122.589996,119.559998,122.339996,1763800,117.499733
"2021-05-10",122.559998,128.570007,122.029999,125.790001,3980100,120.813232
"2021-05-11",123.949997,123.959999,120.010002,121.669998,2044600,116.856232
"2021-05-12",121.010002,121.199997,115.669998,116.150002,2158100,111.554634
"2021-05-13",117.059998,119.650002,117.059998,119,1706100,114.291878
"2021-05-14",119.599998,120.910004,118.970001,120.389999,1691300,115.626884
"2021-05-17",120.589996,121.559998,119.029999,120.110001,1403700,115.357964
"2021-05-18",119.510002,120.150002,116.779999,116.919998,1982600,112.294167
"2021-05-19",115.309998,115.589996,112.669998,113.690002,2555400,109.191956
"2021-05-20",113.739998,115.019997,112.550003,114.519997,2063800,109.98912
"2021-05-21",115.610001,116.599998,114.620003,114.93,2549000,110.382904
"2021-05-24",116.370003,117.220001,114.550003,114.699997,2145600,110.161987
"2021-05-25",114.779999,115.540001,114,114.419998,1907200,109.893074
"2021-05-26",116,118.389999,115.220001,116.959999,2969400,112.332573
"2021-05-27",121,122.82,116.629997,118.139999,7719400,113.465897
"2021-05-28",120.550003,120.550003,114.129997,116.239998,4573300,111.641068
"2021-06-01",117.330002,117.360001,114.300003,114.900002,2818500,110.35408
"2021-06-02",114.959999,119.580002,114.440002,118.349998,3302800,113.66758
"2021-06-03",117.629997,117.980003,114.739998,115.559998,2476100,110.987968
"2021-06-04",115.5,116.169998,115.190002,115.989998,1641100,111.400963
"2021-06-07",116.089996,117.360001,115.529999,117.099998,1502900,112.467049
"2021-06-08",117.639999,118.980003,116.669998,118.220001,1537400,113.542732
"2021-06-09",118.400002,118.400002,114.980003,114.989998,2195200,110.440529
"2021-06-10",115.919998,116.68,111.730003,112.540001,3373100,108.087456
"2021-06-11",112.559998,115.040001,112.510002,114.449997,2364200,109.92189
"2021-06-14",114.550003,114.739998,112.779999,114.029999,1805300,109.518509
"2021-06-15",113.900002,114.389999,112.400002,113.260002,1949600,108.778976
"2021-06-16",112.379997,112.459999,108.660004,109.900002,2944000,106.208321
"2021-06-17",109.669998,110.339996,107.730003,109.5,2338400,105.82177
"2021-06-18",107.889999,108.769997,106.660004,107.629997,4255100,104.01458
"2021-06-21",108.300003,110.540001,108.099998,108.68,2020400,105.029305
"2021-06-22",108.959999,111.540001,108.290001,111.040001,2477500,107.310028
"2021-06-23",112.050003,112.050003,110.43,111.25,1554500,107.512978
"2021-06-24",112.260002,112.510002,111.010002,111.379997,1660100,107.638603
"2021-06-25",112,113.580002,111.5,113.050003,2592700,109.252525
"2021-06-28",113.690002,115.360001,112.879997,114.830002,1943000,110.972725
"2021-06-29",115.18,116.900002,114.57,114.970001,1890800,111.108025
"2021-06-30",114.82,116.25,114.800003,114.980003,1879200,111.117683
"2021-07-01",115.610001,116.809998,114.830002,116.370003,1554500,112.460991
"2021-07-02",116.720001,116.720001,114.959999,115.650002,1634400,111.765175
"2021-07-06",115.449997,115.459999,110.400002,110.550003,2952200,106.836494
"2021-07-07",110.330002,111.339996,109.580002,109.75,2079100,106.063362
"2021-07-08",108.379997,108.980003,107.199997,108.160004,2010400,104.526772
"2021-07-09",108.839996,111.150002,108.839996,110.860001,2096800,107.136078
"2021-07-12",110.769997,111.980003,110.029999,111.25,1704000,107.512978
"2021-07-13",111.110001,111.57,109.300003,109.870003,2306900,106.179337
"2021-07-14",110.260002,110.940002,109.510002,109.910004,1334100,106.217987
"2021-07-15",109.010002,113.110001,108.93,112,2741900,108.237785
"2021-07-16",112.150002,113.720001,110.550003,110.589996,1844100,106.875153
"2021-07-19",108.900002,109.360001,107.059998,108.480003,2527700,104.836029
"2021-07-20",108.959999,111.519997,108.220001,110.610001,1784200,106.894478
"2021-07-21",111.360001,111.760002,110.07,110.779999,1659700,107.058762
"2021-07-22",110.900002,111.07,108,109.980003,1819900,106.285637
"2021-07-23",111.400002,113.629997,111.290001,113.279999,1620000,109.474785
"2021-07-26",113.169998,115.57,113.029999,114.830002,1767400,110.972725
"2021-07-27",114.529999,114.800003,113.160004,114.360001,1423200,110.518509
"2021-07-28",114.360001,114.580002,112.07,113.059998,1404400,109.262169
"2021-07-29",113.970001,114.790001,113.169998,114.260002,1386700,110.421875
"2021-07-30",113.370003,114.910004,112.190002,112.349998,1752900,108.576019
"2021-08-02",113.089996,113.5,112.349998,112.489998,1302500,108.711319
"2021-08-03",113,115.169998,112.629997,114.650002,1265500,110.798767
"2021-08-04",113.989998,114.779999,113,113.269997,1134300,109.465118
"2021-08-05",114,116.379997,113.860001,115.370003,1907300,111.494583
"2021-08-06",115.050003,116.43,114.809998,114.839996,1699600,110.982376
"2021-08-09",114.660004,114.660004,111.599998,112.540001,1346900,108.759644
"2021-08-10",112.470001,115.110001,111.860001,115.019997,1315600,111.156334
"2021-08-11",115.68,119.150002,115.120003,118.059998,2565500,114.094215
"2021-08-12",118.889999,119.300003,117.220001,118.129997,1248600,114.161865
"2021-08-13",117.970001,117.970001,113.459999,113.779999,2293200,109.957985
"2021-08-16",113.239998,115.910004,112.230003,115.360001,1833100,111.484917
"2021-08-17",113.839996,114.089996,109.709999,110.75,2212300,107.02977
"2021-08-18",110.75,114.099998,110.040001,110.099998,2079300,106.401596
"2021-08-19",109,110.860001,108.720001,109.760002,1954900,106.073021
"2021-08-20",109.970001,113.510002,109.510002,112.629997,2131100,108.846619
"2021-08-23",113,114.580002,112.050003,112.160004,3630800,108.39241
"2021-08-24",117.25,124.040001,116.370003,121.489998,11896900,117.408997
"2021-08-25",122.440002,124.910004,120.160004,121.889999,3685300,117.79557
"2021-08-26",121.830002,121.849998,117.93,118.089996,2700200,114.123215
"2021-08-27",118.269997,118.900002,117.199997,117.5,2013200,113.553024
"2021-08-30",118.019997,119.440002,117.43,118.349998,1722800,114.374466
"2021-08-31",119.169998,119.169998,116.199997,116.510002,2877300,112.596283
"2021-09-01",116.540001,117.32,114.199997,116.779999,2709500,112.857208
"2021-09-02",117,117.43,115.82,116.260002,1786500,112.354683
"2021-09-03",115.550003,115.849998,113.870003,114.019997,1761600,110.189919
"2021-09-07",113.830002,114.489998,111.220001,111.5,2425100,107.754578
"2021-09-08",111.32,111.470001,109.940002,110.989998,2558800,107.261711
"2021-09-09",110.5,113.07,110.120003,112.389999,2211900,108.614677
"2021-09-10",112.639999,113.660004,111.199997,111.349998,1728600,107.609612
"2021-09-13",111.779999,112.800003,110.360001,112.07,1592600,108.990608
"2021-09-14",112.540001,112.540001,110.019997,110.169998,1564700,107.142807
"2021-09-15",109.870003,110.089996,108.660004,109.269997,2068700,106.267532
"2021-09-16",108.82,110.169998,108.690002,109.559998,1511000,106.549568
"2021-09-17",109.389999,111.110001,109.18,109.620003,2945900,106.607925
"2021-09-20",108.099998,109.32,105.330002,106.669998,2101300,103.738976
"2021-09-21",107,108.150002,105.900002,106.889999,2240900,103.952942
"2021-09-22",107.730003,108.57,106.5,106.800003,1500600,103.86541
"2021-09-23",107.5,107.959999,106.099998,106.169998,2053900,103.252716
"2021-09-24",106.07,106.190002,104.209999,104.739998,3377800,101.862007
"2021-09-27",105.300003,110.860001,105.300003,110.18,4675000,107.152534
"2021-09-28",111.120003,111.800003,107.370003,109.389999,2933800,106.384247
"2021-09-29",109.75,110.290001,108.080002,109.43,1771000,106.423141
"2021-09-30",108.150002,108.650002,105.349998,105.709999,3692300,102.805359
"2021-10-01",106.68,106.860001,103.419998,105.309998,2134100,102.416351
"2021-10-04",105.099998,106.93,104.839996,105.489998,1739000,102.5914
"2021-10-05",105.720001,107.739998,105.550003,106.370003,2050100,103.447227
"2021-10-06",105.669998,106.839996,104.769997,105.769997,1809000,102.863708
"2021-10-07",107.199997,109.230003,106.940002,107.589996,2188200,104.63369
"2021-10-08",108,110.379997,107.080002,107.25,1728900,104.30304
"2021-10-11",107.650002,109.860001,107.260002,108.879997,1790300,105.888252
"2021-10-12",109.529999,110.690002,108.790001,109.32,1604700,106.316162
"2021-10-13",109.510002,111.400002,108.089996,110.779999,2068700,107.736046
"2021-10-14",111.370003,113.099998,110.18,112.660004,2140200,109.564392
"2021-10-15",113.559998,114.690002,113.099998,113.639999,2133500,110.517456
"2021-10-18",112.779999,116.379997,112.730003,115.610001,2392900,112.433327
"2021-10-19",116.239998,116.650002,113.889999,113.940002,2087800,110.809219
"2021-10-20",113.870003,115.389999,113.870003,114.529999,1588700,111.383003
"2021-10-21",114.410004,117.669998,114.410004,117.599998,1756100,114.368652
"2021-10-22",117.550003,118.57,116.900002,118.389999,1736100,115.13694
"2021-10-25",118.68,121.580002,118.190002,120.480003,2226000,117.16951
"2021-10-26",121.330002,123.720001,121.129997,121.230003,2605700,117.898911
"2021-10-27",121.239998,122.25,118.660004,118.75,2172700,115.487045
"2021-10-28",119.669998,121.43,119.18,121.120003,1646100,117.791939
"2021-10-29",120.650002,123.459999,120.510002,122.239998,2283700,118.881157
"2021-11-01",123,124.209999,122.699997,123.910004,1901300,120.505264
"2021-11-02",123.830002,124.610001,122.980003,123.830002,1794300,120.427467
"2021-11-03",124.099998,126.089996,123.699997,125.099998,2224900,121.662567
"2021-11-04",126,128.809998,125.43,128.610001,2952500,125.076126
"2021-11-05",129.949997,130.550003,128.350006,129.070007,2217400,125.523491
"2021-11-08",129,130.389999,128.320007,130.089996,2595000,126.515457
"2021-11-09",129.669998,133.270004,129.619995,132.940002,2025500,129.287155
"2021-11-10",132.339996,133.419998,131.160004,131.25,1924500,127.64357
"2021-11-11",131.369995,133.550003,131.320007,132.899994,1843300,129.248245
"2021-11-12",133.350006,136.740005,133.050003,135.630005,2313400,131.903229
"2021-11-15",136.740005,136.779999,131.809998,132.360001,2681700,128.723099
"2021-11-16",132.589996,135.600006,132.279999,134.929993,2232000,131.222458
"2021-11-17",134.330002,135.259995,132.25,132.860001,1928500,129.209351
"2021-11-18",134.490005,136.119995,133.789993,135.610001,2357600,131.883789
"2021-11-19",136.179993,137.570007,135,136.130005,1952800,132.389511
"2021-11-22",137.220001,141.970001,137.220001,138,5417600,134.208115
"2021-11-23",116,121.440002,115,121.010002,15941000,117.684952
"2021-11-24",120.220001,121.870003,115.900002,116.690002,5990000,113.483658
"2021-11-26",114.599998,116.220001,113.879997,114.769997,2346000,111.616402
"2021-11-29",115.800003,116,110.300003,110.949997,4595700,107.901375
"2021-11-30",110.010002,111.650002,106.269997,106.860001,5747900,103.923759
"2021-12-01",108.139999,108.410004,102.230003,102.25,4548300,99.44043
"2021-12-02",104.239998,105.82,102.629997,103.919998,4235800,101.064545
"2021-12-03",104.540001,106.050003,103.650002,105.870003,4048800,102.96096
"2021-12-06",107.239998,108.989998,103.800003,104.660004,4489400,101.784203
"2021-12-07",106.610001,108.25,106.32,106.68,3097500,103.748711
"2021-12-08",105.739998,107.25,105.639999,106.93,2525600,103.991837
"2021-12-09",106.809998,107.300003,103.830002,104.379997,2934200,101.511902
"2021-12-10",104.349998,104.669998,102.150002,103.82,3169500,100.967285
"2021-12-13",103,103.410004,98.699997,100.239998,4043500,98.147408
"2021-12-14",99.239998,102.949997,98.970001,101.370003,3924400,99.253822
"2021-12-15",100.790001,102.620003,100.349998,102.489998,3238000,100.350433
"2021-12-16",102.290001,103.129997,100.07,100.220001,3600500,98.127823
"2021-12-17",100.309998,101.239998,99.18,100.029999,5108400,97.941788
"2021-12-20",98.010002,98.699997,94.540001,95.769997,4640200,93.770721
"2021-12-21",96.489998,98.349998,96.489998,97.480003,2887900,95.44503
"2021-12-22",97.889999,99.010002,96.699997,97.370003,2331300,95.337326
"2021-12-23",97.720001,98.550003,96.110001,98.080002,2488200,96.032501
"2021-12-27",98.879997,99.480003,97.269997,99.080002,2510100,97.011627
"2021-12-28",99,100.629997,98.879997,99.519997,2147400,97.442436
"2021-12-29",99.470001,101.629997,99.470001,100.860001,2599900,98.754471
"2021-12-30",100.879997,102.769997,100.870003,101.550003,2258400,99.430061
"2021-12-31",101.370003,102.269997,100.769997,101.599998,2037800,99.479019
"2022-01-03",102.43,103.580002,101.449997,102.120003,2828800,99.988167
"2022-01-04",103.029999,106.349998,102.779999,105.139999,4085500,102.945122
"2022-01-05",105.300003,106.349998,102.910004,103,2818200,100.849792
"2022-01-06",103.029999,103.440002,100.019997,102.879997,3565500,100.732292
"2022-01-07",103.019997,104.830002,101.919998,102.5,3137100,100.360229
