"","HOLX.Open","HOLX.High","HOLX.Low","HOLX.Close","HOLX.Volume","HOLX.Adjusted"
"2020-09-22",65,65.580002,63.650002,65.379997,2036200,65.379997
"2020-09-23",65.720001,65.720001,63.689999,63.75,1369200,63.75
"2020-09-24",63.720001,63.880001,62.490002,63.009998,1077300,63.009998
"2020-09-25",63.049999,64.440002,62.450001,64.349998,1112900,64.349998
"2020-09-28",65.730003,66.610001,65.099998,65.769997,1630100,65.769997
"2020-09-29",65.82,66.730003,65.489998,66.120003,1242700,66.120003
"2020-09-30",66.040001,67.449997,65.559998,66.470001,1698700,66.470001
"2020-10-01",67,67.860001,65.970001,66.349998,1494000,66.349998
"2020-10-02",65.629997,67.309998,65.599998,66.879997,1085700,66.879997
"2020-10-05",67.559998,68.440002,67.459999,67.900002,1363800,67.900002
"2020-10-06",68.18,68.800003,67.019997,67.290001,1310600,67.290001
"2020-10-07",68.129997,69.309998,67.809998,68.93,1380300,68.93
"2020-10-08",69.32,69.440002,68.019997,68.290001,1632600,68.290001
"2020-10-09",69.029999,69.709999,68.059998,69.389999,1540000,69.389999
"2020-10-12",69.540001,69.709999,68.040001,68.339996,1734900,68.339996
"2020-10-13",68.25,68.489998,67.419998,67.669998,1781700,67.669998
"2020-10-14",68.150002,68.160004,65.839996,66.5,1810800,66.5
"2020-10-15",66.370003,66.589996,65.309998,65.93,1758900,65.93
"2020-10-16",66.120003,67.449997,65.489998,66.900002,2285400,66.900002
"2020-10-19",66.809998,67.790001,66.57,67.010002,1231800,67.010002
"2020-10-20",67.239998,67.779999,66.349998,66.379997,883700,66.379997
"2020-10-21",66.559998,67.169998,65.739998,65.849998,1211700,65.849998
"2020-10-22",65.650002,68.209999,65.57,67.970001,1537400,67.970001
"2020-10-23",68.230003,68.43,67.160004,67.910004,1029500,67.910004
"2020-10-26",67.68,68.949997,67.290001,68.660004,1649000,68.660004
"2020-10-27",68.410004,71.07,68.410004,70.919998,2094400,70.919998
"2020-10-28",69.730003,71.459999,69.389999,69.690002,2526800,69.690002
"2020-10-29",69.550003,70.830002,69.160004,70.5,2300000,70.5
"2020-10-30",70.449997,71.019997,67.709999,68.82,2228500,68.82
"2020-11-02",69.849998,70.739998,69.440002,70.559998,2328600,70.559998
"2020-11-03",70.839996,72.18,70.480003,71.919998,1778700,71.919998
"2020-11-04",72.699997,74.419998,72.419998,73.75,2177400,73.75
"2020-11-05",76.5,77.470001,74.230003,76.669998,3135900,76.669998
"2020-11-06",77.43,77.489998,74.599998,75.050003,2381400,75.050003
"2020-11-09",66.639999,70,66.050003,68.349998,5826600,68.349998
"2020-11-10",68.230003,68.510002,64.010002,66.690002,3254100,66.690002
"2020-11-11",67.660004,70.139999,67.230003,69.839996,2379400,69.839996
"2020-11-12",70.510002,70.919998,69.580002,70.199997,2147300,70.199997
"2020-11-13",70.07,71.849998,69.290001,69.739998,2150400,69.739998
"2020-11-16",69.169998,71.139999,68.970001,71.07,2073700,71.07
"2020-11-17",71.080002,72.830002,71.080002,72,1870800,72
"2020-11-18",72.099998,72.209999,69.919998,70.010002,1688000,70.010002
"2020-11-19",70,70.510002,69.660004,70.010002,2044200,70.010002
"2020-11-20",69.260002,69.669998,68.599998,68.989998,2314500,68.989998
"2020-11-23",69.720001,69.75,67.330002,68.07,1730800,68.07
"2020-11-24",68.489998,69.209999,67.620003,67.68,1957000,67.68
"2020-11-25",67.849998,68.809998,67.639999,68.230003,1614400,68.230003
"2020-11-27",68.57,69.529999,68.389999,69.510002,624400,69.510002
"2020-11-30",69.519997,69.870003,68.120003,69.129997,2230300,69.129997
"2020-12-01",69.360001,70.18,68.900002,69.629997,1262900,69.629997
"2020-12-02",69.529999,71.019997,68.660004,70.860001,1472100,70.860001
"2020-12-03",70.93,72.709999,70.599998,72.489998,1975700,72.489998
"2020-12-04",72.120003,73.209999,71.419998,73.160004,1451300,73.160004
"2020-12-07",73.230003,73.690002,72.599998,73.18,1739200,73.18
"2020-12-08",72.989998,73.139999,72.360001,72.769997,1629500,72.769997
"2020-12-09",73.190002,73.190002,71.330002,71.830002,1476400,71.830002
"2020-12-10",71.730003,76.440002,71.510002,76.25,3683000,76.25
"2020-12-11",75.910004,76.559998,73.790001,74.32,2295700,74.32
"2020-12-14",75.139999,76.849998,73.980003,74.169998,1911300,74.169998
"2020-12-15",74.370003,76.480003,73.709999,75.5,1509200,75.5
"2020-12-16",76.059998,76.059998,73.419998,73.629997,1894100,73.629997
"2020-12-17",74.099998,75.150002,73.410004,75.099998,1932500,75.099998
"2020-12-18",75.739998,75.940002,73.080002,74.769997,3986100,74.769997
"2020-12-21",73.900002,75.379997,73.330002,75.230003,1304400,75.230003
"2020-12-22",75.709999,76.360001,74.419998,74.669998,1503300,74.669998
"2020-12-23",75.080002,75.540001,74.389999,75.059998,1306000,75.059998
"2020-12-24",74.849998,75.099998,74.199997,74.769997,571700,74.769997
"2020-12-28",75.650002,75.980003,72.489998,72.580002,1186500,72.580002
"2020-12-29",73.07,73.190002,70.650002,71.739998,1228300,71.739998
"2020-12-30",72.230003,72.269997,71.18,71.75,924500,71.75
"2020-12-31",71.910004,72.940002,71.160004,72.830002,798700,72.830002
"2021-01-04",73.220001,74.410004,71.870003,73.120003,1876400,73.120003
"2021-01-05",73.25,76.290001,73,76.019997,1845300,76.019997
"2021-01-06",76.349998,79.800003,75.400002,78.029999,2162500,78.029999
"2021-01-07",78.769997,80.519997,76.860001,77.970001,2305400,77.970001
"2021-01-08",80.540001,81.800003,78.849998,80.489998,3155000,80.489998
"2021-01-11",80.220001,80.260002,78.139999,78.519997,1588200,78.519997
"2021-01-12",79.220001,79.669998,77.120003,77.650002,1937400,77.650002
"2021-01-13",77.809998,79.260002,77.580002,77.849998,1113900,77.849998
"2021-01-14",77.629997,78.120003,76.400002,76.480003,1825600,76.480003
"2021-01-15",76.559998,76.809998,75.309998,76.099998,1036700,76.099998
"2021-01-19",77.139999,77.300003,75.68,75.989998,1077500,75.989998
"2021-01-20",76,77.449997,75.550003,77.220001,1227100,77.220001
"2021-01-21",77.190002,77.760002,75.019997,75.919998,1291500,75.919998
"2021-01-22",75.760002,76.150002,75.309998,75.699997,997100,75.699997
"2021-01-25",76.029999,76.589996,74.410004,76.339996,1548800,76.339996
"2021-01-26",77.110001,77.330002,74.080002,74.519997,1439900,74.519997
"2021-01-27",73.699997,73.889999,71.080002,72.510002,3162300,72.510002
"2021-01-28",76.110001,78.199997,75.5,75.779999,3538000,75.779999
"2021-01-29",75.550003,81.989998,75.230003,79.730003,4168100,79.730003
"2021-02-01",80.900002,84.07,80.800003,82.889999,3067400,82.889999
"2021-02-02",84.690002,85,81.82,82.139999,2066300,82.139999
"2021-02-03",82.260002,83.050003,80.650002,82.32,2842000,82.32
"2021-02-04",82.699997,84.879997,81.809998,83.720001,3046200,83.720001
"2021-02-05",84.169998,84.629997,82.269997,82.800003,1326800,82.800003
"2021-02-08",83.010002,83.800003,81.720001,82.279999,1746500,82.279999
"2021-02-09",82.010002,82.769997,81,81.150002,1289900,81.150002
"2021-02-10",81.349998,81.589996,79.440002,79.599998,1859000,79.599998
"2021-02-11",80.239998,81.059998,79.610001,80.019997,1580900,80.019997
"2021-02-12",80.660004,83.129997,79.75,82.980003,1576700,82.980003
"2021-02-16",85,85,82.599998,83.43,2006600,83.43
"2021-02-17",83.190002,84.410004,81.389999,82.5,1848500,82.5
"2021-02-18",82.019997,82.660004,80.400002,82.330002,1685700,82.330002
"2021-02-19",82.580002,83,75.43,75.690002,5375800,75.690002
"2021-02-22",75.769997,77,73.449997,74.57,3288500,74.57
"2021-02-23",74.099998,76.470001,73.330002,75.5,2857000,75.5
"2021-02-24",74.919998,76.300003,74.809998,75.150002,1901300,75.150002
"2021-02-25",74.470001,75.139999,71.459999,72.360001,2437100,72.360001
"2021-02-26",72.489998,72.959999,71.400002,72.089996,2611300,72.089996
"2021-03-01",72.230003,75.059998,72.230003,74.639999,1618500,74.639999
"2021-03-02",75.32,75.849998,74.769997,74.82,1496600,74.82
"2021-03-03",74.57,75.050003,71.720001,71.970001,1633600,71.970001
"2021-03-04",71.620003,72.360001,68.919998,70.410004,1769100,70.410004
"2021-03-05",70.910004,72.459999,67.879997,72.349998,2255700,72.349998
"2021-03-08",72.32,73.07,70.720001,70.910004,1714800,70.910004
"2021-03-09",72.139999,74.18,71.839996,71.879997,1549000,71.879997
"2021-03-10",71.949997,73.269997,67.730003,68.760002,3697800,68.760002
"2021-03-11",69.889999,71.190002,68.699997,71.029999,2784800,71.029999
"2021-03-12",71.279999,71.279999,69.050003,70.779999,1593600,70.779999
"2021-03-15",71.010002,72,70.440002,71.919998,1639100,71.919998
"2021-03-16",72.879997,72.879997,71.339996,71.949997,1225200,71.949997
"2021-03-17",71.5,72.610001,70.769997,71.669998,1783300,71.669998
"2021-03-18",71.040001,72.480003,70.690002,70.800003,1581700,70.800003
"2021-03-19",71.220001,72.260002,70.599998,72.029999,2811800,72.029999
"2021-03-22",72.910004,74.050003,72.339996,73.93,1568400,73.93
"2021-03-23",74.089996,74.230003,72.480003,72.730003,1430200,72.730003
"2021-03-24",72.550003,73.139999,71.690002,71.980003,1357700,71.980003
"2021-03-25",71.5,71.720001,69.68,71.050003,1711900,71.050003
"2021-03-26",71.699997,73.5,70.699997,73.419998,1718900,73.419998
"2021-03-29",72.779999,74.760002,72.410004,74.199997,1438000,74.199997
"2021-03-30",73.760002,74.449997,73.120003,73.870003,1192900,73.870003
"2021-03-31",74.440002,75.440002,73.629997,74.379997,1742200,74.379997
"2021-04-01",75.309998,75.449997,73.769997,74.339996,1415600,74.339996
"2021-04-05",74.690002,75.470001,73.949997,74.360001,1417400,74.360001
"2021-04-06",74.830002,76.239998,74.519997,74.720001,1677500,74.720001
"2021-04-07",74.5,75.040001,72.720001,72.900002,1479100,72.900002
"2021-04-08",73,73.720001,72.330002,73.580002,2122900,73.580002
"2021-04-09",73.949997,73.970001,72.959999,73.629997,1366800,73.629997
"2021-04-12",74.019997,75.080002,73.519997,74.419998,2148600,74.419998
"2021-04-13",75.199997,77.169998,74.620003,75.650002,1972700,75.650002
"2021-04-14",75.330002,75.690002,74.790001,75.010002,1710700,75.010002
"2021-04-15",75.510002,76.620003,75.010002,75.989998,1771500,75.989998
"2021-04-16",76.68,76.75,75.370003,76.660004,1761900,76.660004
"2021-04-19",76.379997,76.989998,76.129997,76.68,1297900,76.68
"2021-04-20",76.639999,76.639999,72.660004,73.82,3028900,73.82
"2021-04-21",74.120003,75.620003,73.93,75.089996,1734600,75.089996
"2021-04-22",75.269997,75.57,74.190002,74.68,1403300,74.68
"2021-04-23",74.559998,75.029999,73.18,73.360001,2709900,73.360001
"2021-04-26",73.309998,74.260002,71.349998,74.080002,3506400,74.080002
"2021-04-27",74.07,74.43,72.800003,72.849998,2446100,72.849998
"2021-04-28",73.190002,73.290001,72,72.400002,2527100,72.400002
"2021-04-29",69.25,69.75,66.110001,66.230003,8599500,66.230003
"2021-04-30",66.110001,66.389999,64.639999,65.550003,3365600,65.550003
"2021-05-03",65.82,66.870003,65.400002,65.669998,3304000,65.669998
"2021-05-04",65.370003,66.040001,64.169998,65.919998,3120400,65.919998
"2021-05-05",66.040001,66.400002,65.209999,65.5,2199200,65.5
"2021-05-06",65.709999,65.709999,64.010002,65.160004,2885000,65.160004
"2021-05-07",65.629997,66.870003,65.190002,65.629997,2416800,65.629997
"2021-05-10",65.57,65.650002,64.779999,65.089996,2810000,65.089996
"2021-05-11",64.110001,65.169998,63.799999,64.470001,2714000,64.470001
"2021-05-12",63.799999,64.589996,62.889999,62.950001,2740300,62.950001
"2021-05-13",62.970001,63.25,62.130001,62.799999,1827000,62.799999
"2021-05-14",63.139999,63.93,63,63.740002,1806500,63.740002
"2021-05-17",64,64.160004,62.57,62.639999,2211200,62.639999
"2021-05-18",62.509998,62.830002,62.119999,62.27,2352500,62.27
"2021-05-19",61.959999,62.970001,61.599998,62.709999,2549800,62.709999
"2021-05-20",62.66,63.450001,62.549999,63,6858500,63
"2021-05-21",62.82,63.650002,62.380001,62.419998,2350900,62.419998
"2021-05-24",62.830002,63.18,62.459999,62.740002,2393700,62.740002
"2021-05-25",63,63.419998,62.389999,62.68,2232100,62.68
"2021-05-26",62.32,63.200001,61.939999,62.759998,3028200,62.759998
"2021-05-27",63,63.400002,62.490002,63.290001,3936300,63.290001
"2021-05-28",63.990002,64.150002,63.040001,63.060001,1869700,63.060001
"2021-06-01",62.360001,63.549999,60.939999,61.349998,3267300,61.349998
"2021-06-02",61.330002,61.529999,60.98,61.23,2428300,61.23
"2021-06-03",60.73,61.459999,60.57,60.98,1493000,60.98
"2021-06-04",60.77,61.150002,60.599998,60.720001,2427000,60.720001
"2021-06-07",60.959999,61.369999,60.709999,60.889999,1778200,60.889999
"2021-06-08",61.130001,61.200001,60.099998,60.52,1680100,60.52
"2021-06-09",60.82,61.299999,60.599998,61,1620100,61
"2021-06-10",61.16,62.57,60.950001,62.299999,1988600,62.299999
"2021-06-11",62.23,63.619999,62.150002,63.389999,2934200,63.389999
"2021-06-14",63.380001,63.619999,62.82,63.389999,1822200,63.389999
"2021-06-15",63.990002,63.990002,61.82,62.459999,2262100,62.459999
"2021-06-16",62.720001,62.91,61.52,61.889999,1462900,61.889999
"2021-06-17",62.099998,63.650002,61.889999,62.860001,2063300,62.860001
"2021-06-18",62.650002,63.5,62.32,62.610001,3992700,62.610001
"2021-06-21",62.669998,63.299999,62.040001,63.169998,2307400,63.169998
"2021-06-22",63.310001,64.459999,63.029999,64.019997,1996800,64.019997
"2021-06-23",64.239998,64.57,63.650002,64.470001,2244100,64.470001
"2021-06-24",64.980003,65.410004,64.769997,65,2442900,65
"2021-06-25",64.949997,66.400002,64.610001,65.889999,6346300,65.889999
"2021-06-28",65.800003,67.82,65.75,67.470001,3006900,67.470001
"2021-06-29",67.910004,69.639999,67.5,68.849998,4036900,68.849998
"2021-06-30",68.730003,68.849998,66.260002,66.720001,2440900,66.720001
"2021-07-01",67.610001,68.18,66.699997,67.989998,1768300,67.989998
"2021-07-02",67.849998,68.099998,67.199997,67.709999,1846700,67.709999
"2021-07-06",69.220001,69.309998,68.239998,69.019997,2399900,69.019997
"2021-07-07",68.970001,70.050003,68.879997,69.639999,1942200,69.639999
"2021-07-08",68.900002,70.029999,68.82,69.849998,1652400,69.849998
"2021-07-09",69.779999,70.150002,68.849998,69.309998,1362800,69.309998
"2021-07-12",69.300003,69.669998,68.790001,69.18,1716800,69.18
"2021-07-13",68.900002,69.260002,68.339996,68.650002,1706700,68.650002
"2021-07-14",68.660004,68.849998,67.139999,67.559998,1826300,67.559998
"2021-07-15",67.300003,68.43,67.099998,68.370003,1779000,68.370003
"2021-07-16",68.690002,71.540001,68.440002,69.540001,3055200,69.540001
"2021-07-19",68.889999,70.589996,68.510002,70.370003,2869000,70.370003
"2021-07-20",70.639999,71.199997,69.970001,70.169998,1964300,70.169998
"2021-07-21",70.129997,70.25,69.029999,70,2181300,70
"2021-07-22",70.25,72.190002,70.120003,71.769997,1971600,71.769997
"2021-07-23",71.809998,72.360001,71.57,72.300003,2268000,72.300003
"2021-07-26",71.650002,72.480003,71.459999,71.529999,2411800,71.529999
"2021-07-27",71.620003,72.209999,71.129997,72.190002,1895400,72.190002
"2021-07-28",72.269997,72.739998,71.970001,72.080002,2933900,72.080002
"2021-07-29",73,76.43,72.360001,73.82,4359400,73.82
"2021-07-30",73.800003,75.480003,73.650002,75.040001,2676600,75.040001
"2021-08-02",75.18,76.120003,74.839996,75.830002,1776100,75.830002
"2021-08-03",75.629997,76.150002,75.290001,75.739998,1679700,75.739998
"2021-08-04",75.82,77.110001,75.599998,76.589996,1623600,76.589996
"2021-08-05",76.620003,76.690002,75.190002,76.349998,1286000,76.349998
"2021-08-06",76.099998,76.230003,74.949997,75.940002,1261600,75.940002
"2021-08-09",76.050003,76.300003,75.260002,75.839996,1365400,75.839996
"2021-08-10",76.019997,77.599998,75.480003,76.699997,2397900,76.699997
"2021-08-11",76.879997,76.910004,76.330002,76.639999,1131400,76.639999
"2021-08-12",76.75,77.459999,76.639999,76.809998,1213600,76.809998
"2021-08-13",76.730003,76.949997,76.470001,76.919998,779400,76.919998
"2021-08-16",76.949997,77,76.360001,76.800003,1363600,76.800003
