"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2020-11-06",291.079987,292.730011,285.959991,290.630005,488100,286.54184
"2020-11-09",302.700012,304.640015,274.630005,275.450012,1496500,271.575378
"2020-11-10",276.459991,276.459991,268.049988,270.329987,1067500,266.527405
"2020-11-11",273.429993,282.299988,273.429993,280.25,683700,276.307861
"2020-11-12",280.829987,281.670013,274.98999,276.339996,593200,272.45285
"2020-11-13",277.549988,278.200012,273.25,275.410004,582100,271.535919
"2020-11-16",277.029999,278.019989,272.910004,275.540009,637800,271.664124
"2020-11-17",273.390015,276.670013,273.309998,274.690002,623000,270.82605
"2020-11-18",276,276.559998,272.619995,272.619995,601300,268.785217
"2020-11-19",273.5,275.029999,271.019989,274.119995,527600,270.264069
"2020-11-20",273.73999,275.660004,271.549988,272.940002,737500,269.65152
"2020-11-23",275.230011,277.059998,270.5,270.839996,619800,267.576843
"2020-11-24",271.709991,272.859985,268.720001,271.579987,1370200,268.307892
"2020-11-25",273,276.700012,271.290009,276.570007,1038000,273.237854
"2020-11-27",279.190002,281.140015,276.299988,277.220001,391800,273.880005
"2020-11-30",280.26001,283.350006,277.329987,282.339996,1527200,278.938324
"2020-12-01",283.709991,285.359985,277.540009,279.200012,1175300,275.836151
"2020-12-02",279.070007,280.880005,276.98999,277.970001,741500,274.620941
"2020-12-03",277.029999,281.100006,277.029999,279.880005,1140000,276.507904
"2020-12-04",280.600006,288.369995,280.320007,285.660004,1052800,282.218323
"2020-12-07",286.100006,286.369995,281.410004,283.100006,614700,279.689148
"2020-12-08",281.75,282.76001,278.470001,278.809998,779400,275.450775
"2020-12-09",278.880005,278.940002,270.950012,275.320007,1000800,272.002899
"2020-12-10",274.540009,276.709991,272.119995,273.980011,529300,270.679047
"2020-12-11",272.820007,275.869995,271.859985,274.640015,386600,271.331085
"2020-12-14",276.779999,280.630005,274.470001,274.619995,596800,271.31131
"2020-12-15",275.730011,280,274.480011,277.390015,692700,274.047974
"2020-12-16",277.980011,281.299988,276.23999,280.549988,808300,277.169861
"2020-12-17",282.75,284.519989,279.089996,280.059998,736400,276.68576
"2020-12-18",279.76001,284.720001,278.799988,283.369995,1567400,279.955872
"2020-12-21",281.220001,281.75,273.73999,278.859985,898200,275.500214
"2020-12-22",277.690002,281.600006,276.859985,281.269989,880100,277.881165
"2020-12-23",281.440002,284.459991,275.540009,275.700012,420000,272.378326
"2020-12-24",275.320007,279.369995,275.320007,278.880005,210300,275.52002
"2020-12-28",281.160004,281.160004,276.820007,277.970001,518000,274.620941
"2020-12-29",280.359985,282.209991,278.73999,280.730011,569800,277.347687
"2020-12-30",282.720001,285.839996,281.649994,285.51001,612700,282.070099
"2020-12-31",286.059998,290.440002,284.549988,290.23999,709400,286.743134
"2021-01-04",293.5,294.399994,288.880005,292,1356800,288.481903
"2021-01-05",291.170013,294.700012,282.970001,284.380005,832900,280.953735
"2021-01-06",282.429993,285.040009,277.480011,281.350006,1035800,277.960236
"2021-01-07",283.149994,287.690002,280.839996,281.380005,749900,277.989868
"2021-01-08",283.01001,284.309998,276.959991,280.209991,650200,276.833923
"2021-01-11",278.649994,278.75,274.619995,276.350006,621700,273.020477
"2021-01-12",277.359985,278.950012,272.619995,274.059998,581000,270.758026
"2021-01-13",274.519989,275.809998,270.309998,274.25,956000,270.94577
"2021-01-14",274.850006,276.709991,271.019989,272.160004,1270200,268.880981
"2021-01-15",271.109985,271.940002,266.529999,266.649994,888600,263.437347
"2021-01-19",267.519989,270.320007,264.040009,269.290009,1357200,266.045563
"2021-01-20",272.690002,277.859985,272.359985,275.529999,885100,272.210358
"2021-01-21",274.850006,277.440002,270.73999,270.769989,838800,267.50769
"2021-01-22",271.089996,272.269989,266.670013,266.700012,729700,263.486725
"2021-01-25",267.019989,270.519989,265.470001,266.549988,760400,263.338531
"2021-01-26",266.76001,270.369995,265.320007,268.670013,553200,265.433014
"2021-01-27",266.25,269.329987,261.380005,263.040009,1008900,259.870819
"2021-01-28",263.369995,274.290009,262.880005,270.070007,784100,266.816132
"2021-01-29",267.890015,270.429993,263.609985,266.26001,753100,263.052002
"2021-02-01",270.190002,273.019989,267.929993,270.75,569600,267.487946
"2021-02-02",272.829987,281.369995,272,278.25,733800,274.897552
