"","EXPD.Open","EXPD.High","EXPD.Low","EXPD.Close","EXPD.Volume","EXPD.Adjusted"
"2020-12-07",90.07,90.389999,89.290001,89.75,842900,88.386559
"2020-12-08",89.610001,90.309998,89.089996,90.059998,719500,88.691841
"2020-12-09",90.300003,90.830002,90.059998,90.629997,650300,89.253189
"2020-12-10",90.370003,90.900002,88.849998,89.699997,868800,88.337311
"2020-12-11",89.669998,91.019997,88.709999,90.489998,898400,89.115311
"2020-12-14",91.18,91.889999,89.879997,90.18,1080800,88.81002
"2020-12-15",90.839996,91.419998,89.800003,90.129997,1661300,88.76078
"2020-12-16",90.370003,92.120003,90.089996,91.400002,1109400,90.011497
"2020-12-17",91.360001,94.32,91.360001,94.029999,1092500,92.601532
"2020-12-18",93.910004,95.470001,93.519997,95.400002,2478200,93.950722
"2020-12-21",93.889999,95.480003,92.889999,94.379997,1045400,92.946213
"2020-12-22",94.510002,94.970001,93.970001,94.699997,940500,93.261353
"2020-12-23",95.129997,95.639999,94.010002,94.510002,658500,93.074249
"2020-12-24",94.800003,95.110001,94.220001,94.639999,191100,93.202271
"2020-12-28",95,95.519997,94.57,95.230003,409400,93.78331
"2020-12-29",95.230003,95.730003,94.480003,94.660004,567200,93.22197
"2020-12-30",94.879997,95.199997,94.239998,94.580002,567100,93.143181
"2020-12-31",94.480003,95.169998,94.099998,95.110001,468900,93.665131
"2021-01-04",95.370003,95.900002,91.68,92.309998,1310200,90.907661
"2021-01-05",92.339996,92.760002,91.339996,92.059998,789800,90.661461
"2021-01-06",92,94.410004,91.440002,94.059998,1082400,92.631081
"2021-01-07",94.699997,95.309998,93.75,94.139999,1113200,92.709869
"2021-01-08",94.129997,95.830002,93.82,94.419998,1111400,92.985611
"2021-01-11",94.110001,94.970001,93.910004,93.970001,1020300,92.54245
"2021-01-12",93.419998,97.239998,93.279999,97.07,1455300,95.59536
"2021-01-13",95.75,96.279999,94.18,94.669998,1189100,93.231812
"2021-01-14",95.370003,96.230003,94.220001,94.440002,1256500,93.00531
"2021-01-15",94.25,94.330002,91.980003,93.190002,1367100,91.7743
"2021-01-19",93.669998,94.07,92.480003,93.059998,939800,91.646263
"2021-01-20",93.709999,94.419998,92.690002,94.110001,1128700,92.680321
"2021-01-21",94.449997,95.199997,94,94.029999,637100,92.601532
"2021-01-22",94.07,94.889999,92.830002,93.769997,1554000,92.345482
"2021-01-25",93.57,94.629997,92.440002,93.970001,1577600,92.54245
"2021-01-26",94.540001,95.480003,93.959999,94.389999,1255400,92.956062
"2021-01-27",93.550003,94.580002,91.489998,93.910004,1401600,92.483368
"2021-01-28",94.489998,94.489998,92.93,93,1128600,91.587181
"2021-01-29",92.760002,93.970001,89.349998,89.519997,1921200,88.160042
"2021-02-01",89.959999,90.660004,88.82,90.489998,991600,89.115311
"2021-02-02",91.239998,92.110001,90.610001,90.669998,855400,89.29258
"2021-02-03",90.900002,91.379997,90.209999,91.089996,1162600,89.706192
"2021-02-04",90.730003,91.660004,90.029999,91.339996,857400,89.9524
"2021-02-05",91.82,93,91.32,92.910004,1053800,91.498558
"2021-02-08",93.120003,94.68,93.059998,94.639999,1004700,93.202271
"2021-02-09",94.980003,97.129997,94.720001,96.919998,888800,95.447632
"2021-02-10",97.629997,98.080002,96.610001,97.519997,1275800,96.038513
"2021-02-11",98.089996,98.370003,95.139999,95.849998,1231200,94.393883
"2021-02-12",95.660004,96.839996,95.620003,96.580002,913800,95.112801
"2021-02-16",95.75,97.519997,92.25,93.449997,1441200,92.030342
"2021-02-17",93.730003,94.480003,92,94.419998,1281200,92.985611
"2021-02-18",92.5,94.650002,92.050003,94.220001,910800,92.788651
"2021-02-19",94.809998,95.220001,92.949997,93.440002,1245700,92.020493
"2021-02-22",93,93.980003,91.470001,93.190002,1573300,91.7743
"2021-02-23",92.860001,93.07,91.099998,91.660004,1245400,90.26754
"2021-02-24",91.309998,92.449997,91.169998,92.059998,1435600,90.661461
"2021-02-25",92.059998,93.379997,91.510002,91.970001,1047100,90.57283
"2021-02-26",92.129997,92.800003,91.290001,91.839996,1676600,90.444809
"2021-03-01",92.620003,94.309998,92.120003,93.75,836600,92.32579
"2021-03-02",93.639999,94.779999,92.989998,94.440002,1120400,93.00531
"2021-03-03",94.589996,95.150002,93.25,93.339996,998000,91.922012
"2021-03-04",93.690002,94.199997,92.360001,93.300003,1173100,91.882637
"2021-03-05",93.839996,96.620003,92.690002,96.550003,1234400,95.08326
"2021-03-08",97,98.800003,96.080002,96.400002,1044400,94.935532
"2021-03-09",96.900002,98.860001,96.529999,97.459999,1298300,95.979431
"2021-03-10",98.220001,98.610001,96.839996,97.459999,840000,95.979431
"2021-03-11",97.309998,99.360001,97.300003,99.040001,948000,97.535431
"2021-03-12",99.779999,100.669998,99.099998,100.440002,665400,98.914162
"2021-03-15",100.919998,102.830002,100.580002,102.639999,1152500,101.080742
"2021-03-16",102.75,103.269997,101.669998,101.879997,851000,100.332283
"2021-03-17",101.489998,102.779999,100.900002,102.550003,816700,100.992111
"2021-03-18",102.370003,104.629997,102.059998,103.739998,1013700,102.164024
"2021-03-19",103.650002,104,102.360001,103.300003,2192700,101.730721
"2021-03-22",103.540001,104.160004,102.230003,103.07,997600,101.504211
"2021-03-23",102.519997,103.360001,101.379997,101.589996,869000,100.046684
"2021-03-24",101.860001,103.279999,101.68,102.230003,1031900,100.676964
"2021-03-25",102.639999,103.919998,101.370003,103.449997,843100,101.878433
"2021-03-26",104.480003,107.879997,103.620003,107.800003,875100,106.162346
"2021-03-29",107.949997,108.779999,107.199997,108.400002,908000,106.753235
"2021-03-30",108.260002,109,106.910004,107.239998,1005100,105.610863
"2021-03-31",107.629997,108.660004,107.099998,107.690002,1279700,106.054024
"2021-04-01",107.480003,108.940002,106.730003,108.760002,861700,107.107765
"2021-04-05",109,110.629997,108.940002,110.559998,591400,108.880417
"2021-04-06",109.830002,110.550003,109.650002,109.940002,688000,108.269836
"2021-04-07",109.580002,109.620003,107.309998,107.610001,1023100,105.975243
"2021-04-08",107.809998,108.900002,107.139999,108.489998,825000,106.841866
"2021-04-09",108.809998,109.75,108.199997,108.919998,741600,107.265335
"2021-04-12",109.099998,109.68,108.550003,109.519997,1175200,107.856224
"2021-04-13",109.650002,109.860001,108.279999,109.419998,790900,107.757729
"2021-04-14",108.870003,109.650002,108.010002,109.220001,1313200,107.560783
"2021-04-15",109.839996,111.269997,109.029999,111.099998,779800,109.412209
"2021-04-16",111.669998,112.709999,110.940002,111.230003,1516800,109.540245
"2021-04-19",111.190002,111.190002,109.559998,110.220001,635200,108.545586
"2021-04-20",110.870003,110.910004,109.839996,110.449997,712500,108.772079
"2021-04-21",111.050003,111.760002,110.099998,110.230003,731600,108.555435
"2021-04-22",109.779999,111.599998,109.550003,110.290001,858600,108.614525
"2021-04-23",111.040001,111.519997,110.150002,110.839996,718300,109.156166
"2021-04-26",111,111.18,109.230003,109.620003,851800,107.954704
"2021-04-27",110.300003,110.989998,109.230003,109.449997,1062900,107.787277
"2021-04-28",109.889999,109.889999,108.730003,109.089996,854700,107.432747
"2021-04-29",109.860001,111.279999,109.589996,110.860001,808000,109.175865
"2021-04-30",110.699997,111.120003,109.040001,109.860001,1375800,108.191055
"2021-05-03",110.459999,113.839996,110.279999,113.080002,1054500,111.362137
"2021-05-04",112.949997,115.769997,112.07,113.82,2223000,112.090897
"2021-05-05",113.849998,114.660004,112.120003,113.480003,1841700,111.756065
"2021-05-06",114.279999,115.669998,113.849998,115.639999,2163300,113.88324
"2021-05-07",115.699997,118.800003,115.300003,118.669998,1105900,116.867226
"2021-05-10",118.260002,121.040001,118.260002,120.050003,1475900,118.226257
"2021-05-11",119.599998,119.989998,116.849998,117.669998,1141300,115.882401
"2021-05-12",116.93,117.400002,115.290001,115.529999,1752400,113.774918
"2021-05-13",115.75,119.010002,115.43,118.5,850400,116.699799
"2021-05-14",118.5,119.989998,118.400002,119.610001,706400,117.792931
"2021-05-17",119.300003,121,119.010002,120.660004,1217500,118.826996
"2021-05-18",122.57,122.57,119.510002,119.599998,1599200,117.783081
"2021-05-19",117.940002,119.449997,116.68,119.309998,1306300,117.49749
"2021-05-20",119.660004,122.389999,117.639999,121.489998,1593400,119.644371
"2021-05-21",121.309998,123.650002,121.309998,122.089996,1436700,120.23526
"2021-05-24",122.879997,124.260002,122.650002,124.029999,966400,122.14579
"2021-05-25",124.349998,124.82,122.779999,122.970001,1288100,121.101898
"2021-05-26",123.239998,124.25,122.279999,124.07,1116500,122.185181
"2021-05-27",124.800003,126.300003,124.150002,125.059998,4853600,123.160141
"2021-05-28",125.010002,126.010002,123.839996,125.690002,1227200,124.357315
"2021-06-01",126.5,126.57,122.300003,123.190002,1404200,121.883827
"2021-06-02",123.480003,123.889999,122.160004,122.800003,1131200,121.497963
"2021-06-03",122.389999,124.260002,121.889999,124.010002,1103800,122.695129
"2021-06-04",124.510002,124.970001,122.900002,124.099998,769100,122.784172
"2021-06-07",125,125.169998,123.75,124.75,789000,123.427277
"2021-06-08",124.559998,124.709999,123.459999,124.269997,821400,122.95237
"2021-06-09",124.389999,124.68,122.57,123.739998,2175900,122.427986
"2021-06-10",124.470001,125.540001,123.760002,125.440002,1515100,124.109962
"2021-06-11",125.290001,125.82,124.870003,125.660004,1284000,124.327629
"2021-06-14",125.93,126.290001,124.139999,124.849998,1376000,123.526215
"2021-06-15",125.230003,125.730003,123.959999,125.489998,799500,124.159431
"2021-06-16",125.610001,125.879997,123.370003,123.739998,1032700,122.427986
"2021-06-17",123.519997,123.879997,121.279999,122.370003,1220600,121.072517
"2021-06-18",121.370003,121.830002,120.5,120.599998,1777200,119.321281
"2021-06-21",121.510002,124.199997,120.879997,123.449997,888800,122.14106
"2021-06-22",123.620003,126.25,123.290001,125.709999,1086500,124.377098
"2021-06-23",126.139999,126.239998,124.620003,125.129997,692100,123.803246
"2021-06-24",126.029999,126.040001,124.339996,125.050003,797200,123.724098
"2021-06-25",124.290001,126.370003,124.230003,125.75,1341400,124.416672
"2021-06-28",128.029999,128.029999,125.230003,125.769997,1085800,124.436462
"2021-06-29",125.650002,126.559998,125.389999,126.120003,891500,124.782753
"2021-06-30",126.199997,126.82,125.660004,126.599998,1164900,125.257668
"2021-07-01",126.93,127.339996,126.220001,127.279999,1086400,125.930458
"2021-07-02",127.629997,128.149994,127.139999,128,862800,126.642822
"2021-07-06",128.070007,128.100006,125.519997,127,1088400,125.653427
"2021-07-07",127.040001,129.259995,126.730003,129.149994,1058900,127.780624
"2021-07-08",127.970001,128.539993,126.650002,126.879997,838100,125.534698
"2021-07-09",127.739998,128.539993,127.339996,128.399994,1676800,127.038574
"2021-07-12",128.539993,129.080002,127.93,128.190002,1187600,126.830811
"2021-07-13",128.029999,128.75,127.260002,127.410004,793600,126.059082
"2021-07-14",127.82,128.929993,127.660004,128.119995,941200,126.761543
"2021-07-15",128,128.389999,127.370003,127.43,787000,126.078865
"2021-07-16",127.5,127.739998,126.300003,126.800003,1426100,125.455551
"2021-07-19",126.339996,126.949997,125.5,126.68,1056700,125.336823
"2021-07-20",126.730003,129.100006,126.639999,128.619995,1093700,127.256248
"2021-07-21",128.929993,129.589996,128.240005,128.940002,791900,127.572861
"2021-07-22",129,129.520004,128.039993,128.380005,814600,127.018799
"2021-07-23",129.009995,130.490005,128.270004,130.360001,592300,128.977798
"2021-07-26",130.029999,130.759995,128.779999,129.600006,733700,128.225861
"2021-07-27",127.32,127.980003,125.68,126.349998,1516400,125.010315
"2021-07-28",126.370003,126.489998,123.599998,125.160004,1023900,123.832932
"2021-07-29",126.059998,127.220001,125.330002,126.970001,958000,125.623749
"2021-07-30",126.910004,128.970001,126.379997,128.25,1637700,126.890167
"2021-08-02",127.940002,128.529999,126.349998,126.589996,1027800,125.247772
"2021-08-03",123.440002,127.370003,122.059998,126.620003,1270200,125.277458
"2021-08-04",127,127,125.510002,125.540001,1042900,124.2089
"2021-08-05",125.629997,126.650002,123.43,124.160004,977500,122.843544
"2021-08-06",124.57,125.269997,123.660004,124.239998,804100,122.922684
"2021-08-09",123.849998,124.120003,122.75,122.800003,735800,121.497963
"2021-08-10",123.139999,123.449997,122.080002,122.300003,823800,121.003258
"2021-08-11",122.599998,124.68,122.309998,123.339996,905400,122.032227
"2021-08-12",123.779999,124.07,122.07,122.279999,976800,120.983467
"2021-08-13",122.290001,124.550003,122.099998,123.910004,744500,122.596191
"2021-08-16",123.480003,125.589996,123.190002,125.529999,872200,124.199005
"2021-08-17",125,125.07,122.699997,124.190002,784700,122.873222
"2021-08-18",123.419998,124.010002,121.43,121.519997,1085100,120.231522
"2021-08-19",120.529999,122.980003,120.459999,122.129997,900400,120.835052
"2021-08-20",122.419998,123.190002,121.919998,123.029999,886700,121.725517
"2021-08-23",123.43,124.900002,123.150002,123.550003,713300,122.240005
"2021-08-24",123.650002,123.860001,122.699997,122.760002,537600,121.458389
"2021-08-25",122.779999,124.480003,121.559998,124.129997,590300,122.81385
"2021-08-26",123.970001,124.010002,122.410004,122.860001,552500,121.557327
"2021-08-27",123.339996,124.75,122.82,124.57,590900,123.249191
"2021-08-30",125,126.190002,124.75,125.540001,703900,124.2089
"2021-08-31",125.629997,125.849998,123.809998,124.639999,1367000,123.318443
"2021-09-01",124.540001,124.690002,121.18,122.919998,928100,121.616684
"2021-09-02",123.540001,124.040001,122.809998,124.029999,785800,122.714912
"2021-09-03",123.93,124.190002,122.739998,123.57,750300,122.259796
"2021-09-07",123.809998,123.980003,122.309998,122.879997,757700,121.57711
"2021-09-08",122.43,123.849998,122.43,123.769997,619100,122.457672
"2021-09-09",123.900002,125.879997,122.940002,123.449997,1366100,122.14106
"2021-09-10",124.230003,126.290001,123.699997,125.760002,888300,124.426567
"2021-09-13",126.68,128.460007,125.580002,127.349998,1293500,125.99971
"2021-09-14",127.989998,129.990005,127.610001,128.279999,1456200,126.919853
"2021-09-15",128.570007,129.839996,127.760002,128.289993,804400,126.929741
"2021-09-16",128.490005,128.929993,126.5,126.720001,651200,125.376396
"2021-09-17",125.959999,126.089996,122.839996,123.739998,1517200,122.427986
"2021-09-20",122.459999,122.910004,120.290001,121.209999,1199000,119.924812
"2021-09-21",122.169998,123.199997,120.849998,121.300003,898100,120.013863
"2021-09-22",121.519997,124.339996,121.089996,123.040001,941500,121.735413
"2021-09-23",123.410004,125.279999,123.400002,124.980003,791100,123.654846
"2021-09-24",124.089996,125.209999,123.959999,124.690002,510200,123.36792
"2021-09-27",124.459999,125.019997,123.57,123.830002,575900,122.517036
"2021-09-28",123.279999,123.470001,120.610001,120.900002,726600,119.618103
"2021-09-29",121.400002,121.959999,120.349998,121.059998,484900,119.776405
"2021-09-30",121.860001,122.669998,118.620003,119.129997,1093200,117.866867
"2021-10-01",120.099998,120.099998,115.519997,116.160004,1049400,114.928368
"2021-10-04",115.779999,116.720001,113.849998,114.349998,1123200,113.13755
"2021-10-05",114.660004,116.779999,114.339996,115.220001,1119900,113.998329
"2021-10-06",114.199997,116.010002,113.389999,115.660004,968500,114.43367
"2021-10-07",116.889999,117.43,114.989998,115.470001,1228300,114.245682
"2021-10-08",115.440002,116.139999,113.25,114.290001,942000,113.078186
"2021-10-11",114.639999,116.339996,114.489998,115.419998,857800,114.196205
"2021-10-12",115.610001,117.610001,115.57,115.959999,806200,114.730484
"2021-10-13",116.07,116.540001,113.849998,116.139999,772200,114.908577
"2021-10-14",116.800003,118.309998,116,118.169998,997800,116.917046
"2021-10-15",118.410004,118.790001,115.669998,116.059998,1246100,114.829422
"2021-10-18",116.239998,119.989998,116.190002,118.730003,1108000,117.471107
"2021-10-19",119.129997,119.519997,117.309998,118.739998,828400,117.480995
"2021-10-20",119.120003,119.389999,117.760002,119.059998,776300,117.797615
"2021-10-21",119.290001,120.730003,118.629997,120.18,677500,118.905739
"2021-10-22",119.620003,123.25,119.620003,123.029999,818500,121.725517
"2021-10-25",122.889999,124.040001,122.089996,123.360001,716700,122.052025
"2021-10-26",124.360001,125.68,123.489998,123.5,975200,122.190536
"2021-10-27",123.550003,123.610001,119.720001,119.779999,962500,118.509979
"2021-10-28",120,122.519997,119.879997,122.309998,712200,121.013145
"2021-10-29",121.370003,124.199997,121.080002,123.260002,1273700,121.953087
"2021-11-01",123.510002,125.970001,122.699997,125.839996,954600,124.505714
"2021-11-02",127.529999,128.460007,120.849998,121.910004,1312600,120.617393
"2021-11-03",122.959999,127.849998,121.169998,127.699997,1300100,126.346001
"2021-11-04",128,131.619995,126.040001,130.729996,1257000,129.343872
"2021-11-05",131.210007,131.210007,124.639999,125.169998,1446200,123.842827
"2021-11-08",125.709999,126.089996,122.970001,125.410004,2438900,124.080284
"2021-11-09",124.760002,126.269997,124.760002,125.290001,669100,123.961555
"2021-11-10",124.639999,125.639999,122.550003,125.519997,1080200,124.18911
"2021-11-11",126.610001,127.43,125.919998,126.580002,561400,125.237885
"2021-11-12",126.940002,129,126.629997,128.179993,672900,126.820908
"2021-11-15",128.289993,128.899994,126.980003,128.889999,613500,127.523392
"2021-11-16",128.889999,130.830002,128.389999,130.440002,628500,129.056961
"2021-11-17",130.440002,130.440002,127.739998,128.020004,775700,126.662613
"2021-11-18",128.190002,128.740005,126.290001,127.510002,748200,126.15802
"2021-11-19",127.889999,129.610001,127.300003,128.789993,982600,127.424446
"2021-11-22",129.169998,132.279999,128.690002,130.050003,1000200,128.671097
"2021-11-23",130,130.600006,127.790001,128.699997,979100,127.335403
"2021-11-24",128.380005,128.839996,126.860001,126.93,888400,125.584167
"2021-11-26",125.160004,129.509995,123.129997,123.889999,1348600,122.576401
"2021-11-29",124.709999,127.739998,124.629997,126.760002,1276600,125.41597
"2021-11-30",125.75,126.32,120.629997,121.620003,5540400,120.883583
"2021-12-01",123.050003,126.120003,121.589996,123.010002,1602900,122.26516
"2021-12-02",118.589996,123.650002,115.010002,122.599998,2113400,121.857643
"2021-12-03",123.580002,126.199997,122.269997,125.800003,1377300,125.038269
"2021-12-06",126.610001,127,125.010002,126.300003,855300,125.53524
"2021-12-07",127.050003,129.889999,126.389999,129.449997,1102100,128.666168
"2021-12-08",129.949997,130.300003,127.879997,128.729996,883700,127.950523
"2021-12-09",128.470001,129.199997,127.089996,128.270004,492700,127.493317
"2021-12-10",128.449997,131.199997,127.699997,131.009995,1010300,130.216721
"2021-12-13",131.110001,135.850006,131.110001,134.289993,1955900,133.476852
"2021-12-14",133.600006,135.539993,131.860001,133.169998,1634100,132.363632
"2021-12-15",133.960007,135.649994,133.429993,135.110001,1115300,134.291901
"2021-12-16",136.259995,137.800003,135.089996,135.619995,1161900,134.798798
"2021-12-17",135.339996,136.360001,129.610001,129.929993,2759600,129.14325
"2021-12-20",128.210007,128.789993,125.599998,127.029999,1351400,126.260818
"2021-12-21",127.82,128.679993,126.050003,127.470001,800800,126.698158
"2021-12-22",127.230003,129.179993,126.43,129.080002,680600,128.298401
"2021-12-23",129.660004,131.759995,129.179993,130.759995,471000,129.968231
"2021-12-27",131.529999,133.149994,130.899994,133.039993,435300,132.234421
"2021-12-28",133.830002,133.830002,132.699997,132.970001,413500,132.164856
"2021-12-29",133.070007,134.270004,132.490005,133.179993,1012600,132.373566
"2021-12-30",133.309998,134.240005,132.899994,133.399994,472000,132.592239
"2021-12-31",133.020004,135.100006,132.630005,134.289993,574000,133.476852
"2022-01-03",134.360001,134.960007,129.470001,130.789993,1043400,129.998047
"2022-01-04",130.630005,131.910004,128.759995,130.059998,1235300,129.272476
"2022-01-05",129.990005,131.479996,128.660004,129.669998,1451100,128.884827
"2022-01-06",129.949997,130.949997,127.849998,129.949997,1022800,129.163132
"2022-01-07",129.75,130.889999,127.260002,128.110001,985100,127.334282
"2022-01-10",127.470001,127.879997,123.419998,124.769997,1236700,124.014503
"2022-01-11",124.959999,126.400002,122.900002,124.940002,1032800,124.183479
