"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2021-04-30",35.950001,36.32,35.119999,35.18,4739700,34.791492
"2021-05-03",35.299999,35.919998,34.790001,35.029999,6731700,34.643147
"2021-05-04",32.790001,34.57,32.450001,34.330002,11673300,33.950882
"2021-05-05",34.619999,34.950001,33.709999,34.91,7062800,34.524467
"2021-05-06",35.029999,35.5,34.060001,35.459999,6842200,35.068398
"2021-05-07",35.360001,37.130001,34.869999,37,5747100,36.591389
"2021-05-10",37.360001,37.400002,35.470001,35.509998,6920200,35.11784
"2021-05-11",34.740002,35.77,34.060001,35.220001,5660900,34.831047
"2021-05-12",35.220001,35.810001,34.73,35.25,7548600,34.860722
"2021-05-13",35.299999,35.939999,34.060001,34.68,5573600,34.297009
"2021-05-14",35.099998,36.549999,35.049999,36.490002,4616800,36.087025
"2021-05-17",36.439999,37.169998,36.040001,37.060001,4230900,36.650734
"2021-05-18",37.099998,38.23,36.43,36.470001,6128500,36.067242
"2021-05-19",35.73,35.91,34.939999,35.32,5965600,34.929943
"2021-05-20",35.290001,35.490002,34.279999,34.950001,5342800,34.564034
"2021-05-21",35.310001,35.869999,35.029999,35.459999,5669600,35.068398
"2021-05-24",35.459999,36.380001,35.32,35.700001,3688600,35.305748
"2021-05-25",36,36.75,34.73,34.77,5600600,34.386013
"2021-05-26",34.5,35.720001,34.139999,35.450001,4950800,35.05851
"2021-05-27",35.759998,36.16,35.419998,35.990002,7099100,35.592548
"2021-05-28",36.119999,36.439999,35.790001,36.139999,3770900,35.740887
"2021-06-01",36.619999,37.700001,36.619999,37.549999,4018700,37.135319
"2021-06-02",37.849998,37.900002,36.689999,37.299999,3565300,36.961903
"2021-06-03",37.02,37.549999,36.650002,37.389999,2488100,37.05109
"2021-06-04",37.310001,37.880001,35.360001,36.040001,9883900,35.713326
"2021-06-07",36.439999,36.619999,35.560001,35.919998,4046000,35.594414
"2021-06-08",35.639999,36.029999,34.990002,35.779999,3876100,35.455681
"2021-06-09",35.470001,35.5,34.810001,34.950001,4292900,34.633205
"2021-06-10",35.439999,35.689999,34.41,34.439999,4083600,34.127827
"2021-06-11",34.84,35.209999,34.43,34.59,4472000,34.276466
"2021-06-14",34.5,34.77,33.040001,33.130001,5478000,32.8297
"2021-06-15",33.169998,33.349998,32.299999,33.060001,6313600,32.760338
"2021-06-16",32.939999,32.939999,32.139999,32.650002,6779800,32.354057
"2021-06-17",32.439999,32.52,30.049999,30.35,10005100,30.074902
"2021-06-18",29.85,30.48,29.6,29.92,10643400,29.648798
"2021-06-21",30.610001,31.17,30.530001,30.84,11143900,30.560459
"2021-06-22",31.139999,31.57,30.65,31.08,6777900,30.798285
"2021-06-23",31.08,31.51,30.959999,30.99,3592700,30.709101
"2021-06-24",31.299999,31.639999,30.77,31.23,6301900,30.946924
"2021-06-25",31.540001,31.76,31.139999,31.200001,5043200,30.917196
"2021-06-28",31.190001,31.200001,30.110001,30.43,4571800,30.154175
"2021-06-29",30.969999,31.35,30.440001,30.799999,4343600,30.520819
"2021-06-30",30.809999,31.92,30.620001,31.91,6112100,31.620758
"2021-07-01",32.490002,32.950001,31.68,31.790001,6087000,31.50185
"2021-07-02",31.790001,31.870001,31.07,31.440001,2782400,31.15502
"2021-07-06",31.34,31.34,29.969999,30.290001,5624600,30.015446
"2021-07-07",30.26,30.82,29.77,30.559999,4132200,30.282997
"2021-07-08",29.870001,31.07,29.639999,30.75,4370200,30.471273
"2021-07-09",31.290001,32.049999,31.110001,31.790001,3838700,31.50185
"2021-07-12",31.290001,32.130001,30.950001,31.860001,3116500,31.571215
"2021-07-13",31.99,32.150002,31.129999,31.290001,2818900,31.006382
"2021-07-14",31.559999,32.330002,31,31.08,2839900,30.798285
"2021-07-15",30.889999,31.4,30.27,30.530001,2858100,30.253271
"2021-07-16",30.84,30.940001,29.24,29.59,5277700,29.321789
"2021-07-19",28.709999,28.959999,28.26,28.790001,4865600,28.529041
"2021-07-20",28.9,29.940001,28.73,29.700001,3720100,29.430792
"2021-07-21",30.049999,30.690001,30.049999,30.450001,3354200,30.173994
"2021-07-22",30.42,30.48,29.780001,30.15,2113500,29.876713
"2021-07-23",30.200001,30.299999,29.52,29.85,2259000,29.579432
"2021-07-26",30,30.42,29.67,30.370001,2722700,30.094721
"2021-07-27",30.030001,30.379999,29.41,29.950001,2420800,29.678528
"2021-07-28",30.27,30.77,29.700001,30.49,2728500,30.213629
"2021-07-29",31.120001,31.459999,30.73,31.129999,3178100,30.84783
"2021-07-30",31.200001,32.119999,31.110001,31.23,6078900,30.946924
"2021-08-02",31.41,31.790001,29.92,29.92,4825600,29.648798
"2021-08-03",30.25,31.450001,29.620001,31.34,5978400,31.055925
"2021-08-04",31.540001,31.870001,30.360001,30.610001,5817200,30.332544
"2021-08-05",30.85,31.299999,30.610001,30.700001,2873300,30.421728
"2021-08-06",31.209999,31.59,31.030001,31.49,2525200,31.204567
"2021-08-09",31.469999,32.580002,31.299999,32.560001,4936600,32.26487
"2021-08-10",32.689999,34.02,32.669998,33.650002,5461200,33.34499
"2021-08-11",33.990002,34.450001,33.41,34.130001,3826900,33.820641
"2021-08-12",34,34.189999,33.080002,33.91,3938200,33.602634
"2021-08-13",33.889999,34,33.439999,33.560001,3065100,33.255802
"2021-08-16",33.07,33.07,32.060001,32.470001,3319800,32.17569
"2021-08-17",32.16,32.57,30.73,31.200001,4570600,30.917196
"2021-08-18",31.09,31.74,30.84,30.91,2695400,30.629824
"2021-08-19",30.08,30.4,29.139999,29.57,6122000,29.301971
"2021-08-20",29.950001,30.74,29.860001,30.719999,4993100,30.441545
"2021-08-23",31.190001,31.66,31.059999,31.26,3472800,30.976654
"2021-08-24",31.92,32.610001,31.83,32.290001,3026600,31.997313
"2021-08-25",32.099998,32.639999,31.690001,32.34,2037700,32.046864
"2021-08-26",32.290001,32.369999,31.629999,31.75,2284900,31.46221
"2021-08-27",32.009998,32.869999,32.009998,32.650002,2451400,32.354057
"2021-08-30",32.82,32.880001,32.130001,32.299999,1847700,32.007225
"2021-08-31",32.310001,32.389999,31.879999,32.18,4014800,31.888315
"2021-09-01",32.029999,32.049999,31.139999,31.809999,2764400,31.595304
"2021-09-02",31.25,32.540001,31.15,32.43,4160800,32.211121
"2021-09-03",32.52,32.880001,32,32.150002,2908700,31.933012
"2021-09-07",31.85,32.619999,31.639999,32.150002,3323900,31.933012
"2021-09-08",32.110001,32.25,30.860001,31.129999,2190600,30.919893
"2021-09-09",30.84,31.860001,30.58,31.57,1899900,31.356924
"2021-09-10",31.9,32.32,31.66,31.780001,2833100,31.565508
"2021-09-13",32.349998,32.419998,31.66,32.130001,2933100,31.913147
"2021-09-14",32.5,32.860001,31.83,32.040001,3574200,31.823753
"2021-09-15",32.389999,33.700001,32.27,33.639999,3555000,33.412952
"2021-09-16",33.57,34.150002,33.16,33.75,2942600,33.522209
"2021-09-17",33.509998,33.779999,32.669998,33.610001,5064600,33.383156
"2021-09-20",32.060001,32.470001,31.469999,32.16,4359200,31.942944
"2021-09-21",32.66,32.82,31.85,32.419998,2802400,32.201187
"2021-09-22",32.540001,33.52,32.389999,33.18,3742600,32.956059
"2021-09-23",33.740002,35.040001,33.66,34.970001,4930700,34.733974
"2021-09-24",34.849998,36.34,34.759998,35.860001,4669100,35.61797
"2021-09-27",36.290001,37.509998,36.290001,36.84,5342300,36.591354
"2021-09-28",36.75,37.23,36.380001,36.560001,4622000,36.313244
"2021-09-29",36.700001,36.759998,36.029999,36.490002,2687000,36.243717
"2021-09-30",36.619999,36.91,35.650002,35.720001,3507600,35.478916
"2021-10-01",36.040001,37.990002,36.040001,37.799999,4783300,37.544876
"2021-10-04",38.07,38.939999,37.66,38.27,5488300,38.011703
"2021-10-05",38.299999,38.77,37.57,38.52,4780100,38.260014
"2021-10-06",38.02,38.490002,37.099998,38.360001,4279000,38.101097
"2021-10-07",38.91,39.950001,38.720001,39.540001,4319500,39.273132
"2021-10-08",39.779999,40.560001,39.279999,40.400002,5088700,40.127327
"2021-10-11",41,42.169998,40.939999,41.919998,6039600,41.637066
"2021-10-12",41.57,42.220001,41.060001,41.450001,5026300,41.170242
"2021-10-13",41.75,41.830002,40.68,40.73,5551800,40.455101
"2021-10-14",41.310001,41.939999,41.040001,41.389999,4001600,41.110645
"2021-10-15",41.75,41.84,41.080002,41.470001,3707300,41.190109
"2021-10-18",41.029999,41.93,40.880001,41.869999,3228800,41.587406
"2021-10-19",42,42.040001,41.290001,41.82,2550600,41.537743
"2021-10-20",41.720001,43.240002,41.41,42.470001,5871200,42.183357
"2021-10-21",41.939999,42.259998,41.259998,42.169998,3932300,41.885376
"2021-10-22",42.389999,42.990002,41.669998,42.009998,2652700,41.72646
"2021-10-25",42.52,42.950001,42.209999,42.43,2805400,42.143623
"2021-10-26",42.349998,42.41,41.310001,41.869999,3048900,41.587406
"2021-10-27",41.490002,41.779999,40.419998,41.16,5121800,40.882195
"2021-10-28",41.369999,42.029999,41.259998,41.869999,3599600,41.587406
"2021-10-29",41.599998,41.939999,41.169998,41.57,3543800,41.289429
"2021-11-01",41.25,42.02,40.610001,41.459999,6646300,41.180172
"2021-11-02",39.799999,40.07,36.599998,37.639999,14583100,37.385956
"2021-11-03",37.700001,39.779999,37.099998,39.48,6415600,39.213535
"2021-11-04",39.360001,39.889999,38.419998,38.799999,4556800,38.538128
"2021-11-05",37,37.43,36.57,37.349998,22079800,37.097912
"2021-11-08",37.490002,38.41,37.470001,37.720001,14272600,37.465416
"2021-11-09",37.869999,38.25,36.849998,37.509998,8329900,37.256828
"2021-11-10",37.400002,37.830002,35.779999,36.080002,6902100,35.836487
"2021-11-11",36.59,37.349998,36.400002,36.810001,5026300,36.561562
"2021-11-12",36.799999,37.630001,36.599998,37.389999,4231300,37.137646
"2021-11-15",37.450001,38.459999,37.080002,37.889999,4978600,37.63427
"2021-11-16",38,38.09,36.919998,37.099998,7513200,36.849598
"2021-11-17",37.299999,37.59,36.34,36.389999,5625300,36.14439
"2021-11-18",36.740002,37.099998,36.279999,36.82,3744000,36.571491
"2021-11-19",36.48,36.59,35.860001,36.25,5966700,36.005341
"2021-11-22",36.599998,36.860001,36.220001,36.41,3357700,36.164261
"2021-11-23",36.669998,37.009998,36,36.75,2977500,36.501961
"2021-11-24",36.299999,36.689999,36.029999,36.349998,3143400,36.10466
"2021-11-26",35.099998,35.459999,34.689999,35.32,3869800,35.081615
"2021-11-29",35.91,36.16,35.150002,36.029999,4858200,35.786823
"2021-11-30",35.73,36.25,34.130001,34.220001,7679700,33.98904
"2021-12-01",35.189999,35.48,33.59,33.619999,4771900,33.466438
"2021-12-02",34.23,34.93,33.900002,34.639999,6264600,34.481781
"2021-12-03",34.740002,35.490002,34.07,34.41,4543800,34.252831
"2021-12-06",34.939999,35.060001,34.049999,34.470001,3422600,34.312557
"2021-12-07",35.150002,36.419998,35.130001,35.869999,6195800,35.706161
"2021-12-08",36.189999,36.639999,35.75,36.02,3140100,35.855473
"2021-12-09",35.779999,36.16,35.52,35.73,2808200,35.566799
"2021-12-10",36.77,37.630001,35.939999,36.740002,4644600,36.572186
"2021-12-13",36.580002,37.060001,35.32,35.869999,3623400,35.706161
"2021-12-14",35.59,36.779999,35.59,35.810001,3514700,35.646435
"2021-12-15",35.650002,36.400002,34.709999,36.380001,4274600,36.213829
"2021-12-16",36.779999,37.689999,36.389999,36.470001,4102500,36.303421
"2021-12-17",36.32,36.91,35.959999,36.459999,6548300,36.293465
"2021-12-20",35.740002,35.84,34.580002,35.540001,4702300,35.37767
"2021-12-21",36.310001,37.439999,36.220001,37.330002,4074600,37.159492
"2021-12-22",37.400002,38.84,37.380001,38.720001,5310200,38.543144
"2021-12-23",38.799999,39.540001,38.630001,39.18,3864000,39.001041
"2021-12-27",39.349998,40,38.810001,40,2695200,39.817295
"2021-12-28",40,40.310001,39.669998,39.860001,2743800,39.677937
"2021-12-29",39.849998,40.27,39.720001,39.959999,2822600,39.777477
"2021-12-30",39.799999,40.200001,39.169998,39.209999,2282600,39.030903
"2021-12-31",39.02,39.43,38.91,39.290001,1859200,39.110538
"2022-01-03",39.5,40.549999,39.5,40.189999,3798400,40.006428
"2022-01-04",40.650002,40.970001,40.119999,40.5,4046400,40.315014
"2022-01-05",40.860001,41.150002,38.970001,39,4815700,38.821865
"2022-01-06",39.48,39.900002,38.009998,39.41,3970000,39.229992
"2022-01-07",39.490002,40.32,39.43,40.18,3934600,39.996471
"2022-01-10",39.959999,40.68,39.439999,40.040001,4832000,39.857113
"2022-01-11",40.16,40.57,39.169998,40.360001,5029800,40.175652
"2022-01-12",40.959999,42.610001,40.950001,41.91,8511800,41.718575
"2022-01-13",42,42.91,41.5,41.610001,4313700,41.419945
"2022-01-14",42.849998,43.84,41.950001,43.23,6419400,43.032543
"2022-01-18",42.900002,44.060001,42.389999,43.610001,5102100,43.410809
"2022-01-19",43.27,43.889999,41.639999,41.939999,4603200,41.748436
"2022-01-20",41.990002,42.240002,40.470001,40.529999,4546000,40.344875
"2022-01-21",40.060001,40.369999,39.09,39.310001,5003000,39.130447
"2022-01-24",38.310001,39.279999,37.080002,39.110001,7804700,38.931362
"2022-01-25",38.560001,40.57,37.630001,40.43,5242700,40.245331
