"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2020-11-24",91.080002,91.5,87.459999,88.629997,5954700,82.787468
"2020-11-25",88.75,89.459999,88.029999,89.400002,2250200,83.506729
"2020-11-27",88.889999,89.470001,87.209999,88.43,1113500,82.600655
"2020-11-30",88.5,88.660004,86.220001,87.110001,4022300,81.367683
"2020-12-01",87.849998,89.209999,87.629997,89.160004,3097900,83.282539
"2020-12-02",89.949997,90.940002,88.779999,89.199997,2524500,83.319885
"2020-12-03",88.610001,89.300003,87.779999,88.300003,3240600,82.479233
"2020-12-04",88.290001,89.599998,87.550003,89.519997,2229100,83.618805
"2020-12-07",90.510002,91.32,89.440002,90.25,3141800,84.300682
"2020-12-08",88.910004,94.400002,88.699997,92.839996,4211800,86.71994
"2020-12-09",92.32,93.93,92.120003,93.599998,2833500,87.429855
"2020-12-10",93.57,94.620003,92.720001,94.199997,3402700,87.990303
"2020-12-11",93.839996,95.059998,93.839996,94.389999,1968100,88.16777
"2020-12-14",94.629997,96.059998,94.089996,94.099998,2608100,87.896896
"2020-12-15",94.610001,96.709999,94.5,96.690002,2877000,90.31617
"2020-12-16",97.169998,98.029999,95.639999,96.360001,2446200,90.007912
"2020-12-17",96.660004,98.559998,96.120003,96.309998,3615400,89.961212
"2020-12-18",96.360001,97.260002,95.660004,96.949997,5330200,90.559013
"2020-12-21",96.839996,98.07,95.68,97.940002,2486000,91.483765
"2020-12-22",97.699997,98.660004,97.540001,97.989998,1751000,91.530449
"2020-12-23",98.68,98.849998,97.330002,97.510002,3062700,91.082108
"2020-12-24",97.400002,98.459999,97.269997,98.309998,724700,91.829361
"2020-12-28",98.720001,98.959999,97.199997,98.120003,1338800,91.651886
"2020-12-29",98.489998,98.940002,97.580002,97.690002,1221700,91.250237
"2020-12-30",98.290001,98.5,97.300003,97.410004,1477800,90.988708
"2020-12-31",97.82,98.940002,97.25,98.879997,1440200,92.361786
"2021-01-04",97.580002,98.220001,95.93,97.129997,2485200,90.727158
