"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2021-04-07",71.989998,72.410004,71.209999,71.870003,848400,68.798241
"2021-04-08",71,71.32,69.5,70.989998,1062000,67.955841
"2021-04-09",72.050003,72.360001,70.300003,71.489998,1173800,68.434479
"2021-04-12",71.870003,72.629997,71.650002,72.25,785800,69.161987
"2021-04-13",71.410004,71.410004,69.650002,70.580002,1417100,67.56337
"2021-04-14",70.220001,71.910004,70.050003,71.400002,1200500,68.34832
"2021-04-15",71.279999,71.400002,68.43,69.769997,2025500,66.787987
"2021-04-16",70.940002,71.610001,69.769997,70.160004,1561600,67.161316
"2021-04-19",70.459999,71.339996,69.099998,69.389999,2656300,66.424232
"2021-04-20",68.330002,69.830002,66.510002,67.300003,2414300,64.423569
"2021-04-21",66.669998,69.290001,66.360001,69.150002,1601700,66.194489
"2021-04-22",69.330002,69.629997,67.669998,67.879997,1889800,64.978775
"2021-04-23",67.75,70.720001,67.360001,70.449997,3039600,67.438919
"2021-04-26",71.209999,72.110001,70.599998,71.010002,1034800,67.974998
"2021-04-27",71.089996,71.790001,70.610001,71.739998,1261000,68.673782
"2021-04-28",72.050003,74.139999,72.019997,73.360001,2160000,70.224556
"2021-04-29",75,76.129997,74.760002,75.419998,1996400,72.196503
"2021-04-30",74.93,76.080002,74.629997,75.160004,1739000,71.947617
"2021-05-03",76.089996,76.18,74.139999,74.949997,1394100,71.746582
"2021-05-04",74,76.610001,73.330002,76.580002,1590700,73.306923
"2021-05-05",76.57,78.610001,75.43,77.629997,1510400,74.31205
"2021-05-06",77.620003,78.099998,76.739998,78.059998,1501000,74.723671
"2021-05-07",76.480003,78.82,76,78.580002,1252000,75.221443
"2021-05-10",79.489998,79.839996,77.75,77.790001,1350600,74.46521
"2021-05-11",77.849998,79.489998,76.75,77.080002,1602900,73.785553
"2021-05-12",78.43,78.949997,75.849998,76.239998,1671300,72.981453
"2021-05-13",75.540001,78.639999,75.43,78.139999,1183700,74.800247
"2021-05-14",78.449997,79.650002,78.230003,79.43,1002100,76.035118
"2021-05-17",78.860001,79.809998,78.209999,79.650002,997800,76.245712
"2021-05-18",79.209999,79.800003,77.739998,77.830002,1509900,74.503494
"2021-05-19",76.870003,77.160004,75.230003,77.099998,1635600,73.804688
"2021-05-20",77.059998,77.220001,75.790001,76.589996,926600,73.316498
"2021-05-21",77.150002,78.449997,77.110001,77.629997,1036500,74.31205
"2021-05-24",77.589996,78,76.769997,77.25,1133800,73.948296
"2021-05-25",77.540001,78.5,75.809998,75.830002,1584500,72.588974
"2021-05-26",75.860001,77.230003,75.720001,77.120003,918800,73.823845
"2021-05-27",78.629997,78.839996,77.779999,78.709999,1120000,75.345886
"2021-05-28",78.769997,78.809998,77.650002,78.489998,909000,75.135284
"2021-06-01",79.5,79.860001,78.480003,79.010002,1175200,75.633072
"2021-06-02",79.440002,79.440002,78,78.459999,1057300,75.106567
"2021-06-03",78.459999,79.480003,78.150002,78.410004,1726300,75.058708
"2021-06-04",78.589996,78.589996,76.949997,77.940002,1251100,74.608795
"2021-06-07",78.260002,78.459999,77.199997,77.690002,1200100,74.369484
"2021-06-08",76.910004,77.620003,75.769997,77.169998,1589100,73.871704
"2021-06-09",76.18,76.809998,75.510002,76.110001,1592000,72.857025
"2021-06-10",77.139999,77.410004,73.610001,73.75,1581400,70.597878
"2021-06-11",74,74.629997,73.489998,73.790001,2294100,70.636162
"2021-06-14",73.150002,73.739998,71.610001,72.220001,1742700,69.776283
"2021-06-15",72.410004,73.720001,71.949997,73.010002,1102100,70.539551
"2021-06-16",72.389999,75.379997,71.349998,74.529999,2699900,72.008125
"2021-06-17",75.099998,75.18,70.010002,70.040001,2147300,67.670052
"2021-06-18",68.629997,69.489998,67.540001,68.110001,3221500,65.805359
"2021-06-21",69.110001,70.739998,68.879997,70.690002,1227700,68.298058
"2021-06-22",70.559998,71.370003,69.599998,70.690002,878500,68.298058
"2021-06-23",71.150002,72.150002,70.839996,71.440002,941000,69.022682
"2021-06-24",71.760002,72.769997,71.18,72.400002,1231100,69.950195
"2021-06-25",72.980003,74.019997,72.209999,73.68,1875500,71.18689
"2021-06-28",73.199997,73.279999,71.43,71.739998,994200,69.312523
"2021-06-29",72.360001,72.860001,70.620003,71.019997,672400,68.61689
"2021-06-30",70.800003,71.68,70.760002,71.339996,775200,68.926064
"2021-07-01",72.080002,72.519997,71.269997,72.18,945100,69.73764
"2021-07-02",71.870003,72.150002,71,71.730003,900900,69.302864
"2021-07-06",71.110001,71.110001,68.470001,69.080002,1197100,66.742531
"2021-07-07",68.059998,69.160004,67.610001,68.07,1728400,65.766708
"2021-07-08",66.589996,67.43,65.879997,66.489998,1529700,64.240173
"2021-07-09",68.120003,69.400002,67.400002,69.25,1374600,66.906784
"2021-07-12",68.209999,70.160004,67.57,69.790001,917200,67.428513
"2021-07-13",69.480003,69.699997,68.169998,68.940002,1079000,66.607277
"2021-07-14",69.080002,70.129997,66.900002,68.580002,1487500,66.259453
"2021-07-15",67.82,69.620003,67.330002,69.019997,989500,66.684555
"2021-07-16",69.559998,69.660004,66.449997,66.660004,1375500,64.404427
"2021-07-19",64.68,65.379997,63.07,63.529999,1642500,61.380333
"2021-07-20",63.220001,66.900002,63.220001,65.660004,1862500,63.438259
