"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"2021-03-12",49.130001,49.709999,48.860001,49.599998,2124900,49.538063
"2021-03-15",49.529999,50.790001,49.18,50.759998,2007000,50.696617
"2021-03-16",50.310001,50.509998,48.939999,48.939999,1398700,48.878883
"2021-03-17",49.09,50.02,48.560001,49.779999,1286300,49.717838
"2021-03-18",49.779999,50.900002,49.459999,49.740002,2024600,49.677891
"2021-03-19",49.630001,49.990002,48.509998,49.450001,6270400,49.388252
"2021-03-22",49.400002,49.400002,48.02,48.810001,1880400,48.749054
"2021-03-23",48.240002,48.723,46.939999,47.139999,1574900,47.081139
"2021-03-24",47.540001,48.950001,47.540001,48.34,1788200,48.27964
"2021-03-25",47.889999,48.985001,46.939999,48.73,1630300,48.669151
"2021-03-26",49.259998,49.959999,48.790001,49.709999,970700,49.64793
"2021-03-29",49.59,49.970001,49.369999,49.59,1149300,49.52808
"2021-03-30",49.75,50.388,49.419998,50.040001,2069000,49.977516
"2021-03-31",50.099998,50.919998,49.169998,49.209999,2105100,49.148552
"2021-04-01",49.41,49.720001,48.93,49.610001,1857300,49.548054
"2021-04-05",50.02,50.569,49.860001,50.09,1839800,50.027451
"2021-04-06",50.360001,50.77,49.91,50.23,1249000,50.167278
"2021-04-07",50.080002,50.349998,49.52,50.139999,1494200,50.077389
"2021-04-08",50.049999,50.400002,49.330002,50.32,1515800,50.257168
"2021-04-09",50.57,50.73,49.73,50.580002,1296100,50.516842
"2021-04-12",51.439999,51.490002,49.919998,50.150002,2920100,50.087379
"2021-04-13",49.869999,49.919998,48.630001,49.23,2750000,49.16853
"2021-04-14",49.360001,50.115002,49.32,49.400002,1989800,49.338318
"2021-04-15",49.52,49.740002,49.02,49.34,2174100,49.278389
"2021-04-16",49.810001,50.380001,49.52,50.240002,2722900,50.177269
"2021-04-19",50.080002,50.959999,50.009998,50.91,2344800,50.846428
"2021-04-20",50.860001,50.900002,49.48,50.34,3009000,50.277142
"2021-04-21",50.119999,51.130001,49.810001,50.950001,2139100,50.886383
"2021-04-22",50.959999,52.115002,50.59,51.240002,2674900,51.176018
"2021-04-23",51.509998,51.889999,51.080002,51.619999,1873100,51.555542
"2021-04-26",51.580002,52,51.209999,51.23,2059700,51.166027
"2021-04-27",51.459999,51.459999,50.650002,51.209999,1330000,51.146053
"2021-04-28",51.049999,52.119999,50.970001,51.939999,3508000,51.875141
"2021-04-29",50.310001,51.700001,49.77,51.240002,3276100,51.176018
"2021-04-30",50.720001,50.985001,49.290001,49.41,3399200,49.348305
"2021-05-03",49.529999,49.790001,48.25,48.299999,2870300,48.239685
"2021-05-04",48.09,49.27,47.615002,49.209999,1974400,49.148552
"2021-05-05",49.470001,49.665001,48.580002,49.41,1431400,49.348305
"2021-05-06",49.419998,49.689999,48.990002,49.529999,1355500,49.468155
"2021-05-07",49.27,50.689999,48.865002,50.529999,1704400,50.466904
"2021-05-10",50.860001,51.599998,50.110001,50.119999,1495400,50.057419
"2021-05-11",47.889999,48.919998,47.209999,48.16,6767300,48.099865
"2021-05-12",48.290001,48.509998,47.029999,47.130001,2345700,47.071152
"2021-05-13",47.07,47.959999,47.07,47.57,1474700,47.510597
"2021-05-14",47.939999,48.759998,47.75,48.540001,2554000,48.479389
"2021-05-17",48.360001,48.959999,47.830002,48.759998,2894100,48.699116
"2021-05-18",48.75,48.775002,48.029999,48.419998,3407600,48.359535
"2021-05-19",47.740002,47.91,46.759998,47.740002,3195300,47.680393
"2021-05-20",48.209999,48.459999,47.59,48.27,4055500,48.209728
"2021-05-21",48.759998,49.41,48.540001,48.869999,2453400,48.808979
"2021-05-24",49.130001,49.779999,48.860001,49.59,2018000,49.52808
"2021-05-25",49.549999,49.895,48.669998,48.68,1642400,48.619217
"2021-05-26",48.77,49.189999,48.639999,49.169998,1228000,49.108604
"2021-05-27",49.650002,49.98,49.330002,49.669998,3278600,49.607975
"2021-05-28",49.799999,49.799999,49.23,49.639999,1423400,49.578014
"2021-06-01",50.330002,50.610001,50.02,50.029999,1421100,49.967525
"2021-06-02",50.040001,50.259998,49.514999,49.73,1467700,49.667904
"2021-06-03",49.459999,49.529999,49.02,49.139999,1226600,49.078636
"2021-06-04",49.360001,49.689999,49.049999,49.209999,1268000,49.148552
"2021-06-07",49.389999,49.419998,48.125,48.209999,1569100,48.149799
"2021-06-08",48.07,48.720001,47.669998,48.5,1323300,48.439438
"2021-06-09",48.34,48.34,47.639999,47.669998,1334700,47.610474
"2021-06-10",48.040001,48.060001,47.34,47.360001,1292000,47.300861
"2021-06-11",47.669998,47.959999,47.529999,47.950001,1394200,47.890125
"2021-06-14",47.970001,47.994999,47.360001,47.529999,1652100,47.47065
"2021-06-15",47.66,47.759998,47.200001,47.32,2345000,47.260914
"2021-06-16",47.16,47.939999,46.759998,47.740002,4026400,47.680393
"2021-06-17",48.290001,48.507,45.950001,45.990002,5377400,45.932575
"2021-06-18",45.16,46.400002,45.009998,45.5,4236600,45.443188
"2021-06-21",45.950001,47,45.950001,46.919998,2250100,46.861408
"2021-06-22",47.049999,47.049999,46.220001,46.599998,1342900,46.541809
"2021-06-23",46.630001,47.040001,46.32,46.810001,1670000,46.751549
"2021-06-24",47.150002,47.904999,46.764999,47.639999,2688600,47.580513
"2021-06-25",47.98,49.130001,47.889999,48.98,4384400,48.918842
"2021-06-28",49.099998,49.139999,48.111,48.84,1941100,48.779011
"2021-06-29",49.029999,49.310001,48.505001,48.540001,1443000,48.479389
"2021-06-30",48.419998,49.029999,48.419998,48.810001,1635300,48.749054
"2021-07-01",49.139999,49.389999,48.529999,48.610001,2471900,48.549301
"2021-07-02",48.68,48.834,48.400002,48.59,1451300,48.529324
"2021-07-06",49.18,49.224998,47.830002,48.259998,1674800,48.199738
"2021-07-07",48.080002,49.426998,48.02,49.349998,5212800,49.288376
"2021-07-08",48.610001,48.889999,48.080002,48.259998,3432000,48.199738
"2021-07-09",49,49.57,48.849998,49.380001,2387800,49.318344
"2021-07-12",49.5,49.700001,49.150002,49.380001,1382900,49.318344
"2021-07-13",49.220001,49.299999,48.445,48.580002,1358300,48.519344
"2021-07-14",48.619999,49.009998,47.91,48.07,1616400,48.009975
"2021-07-15",47.849998,48.669998,47.650002,48.130001,2133100,48.069904
"2021-07-16",48.32,48.900002,48.095001,48.16,1987500,48.099865
"2021-07-19",46.68,47.049999,45.845001,46.25,2869400,46.192253
"2021-07-20",46.5,48.240002,46.330002,48.150002,2019600,48.089878
"2021-07-21",48.450001,48.970001,48.34,48.630001,1470800,48.569279
"2021-07-22",48.790001,48.970001,48.34,48.5,1927200,48.439438
"2021-07-23",48.860001,49.060001,48.119999,48.610001,1902400,48.549301
"2021-07-26",48.75,49.060001,48.560001,48.849998,961400,48.789001
"2021-07-27",48.290001,48.939999,48.080002,48.209999,1464800,48.149799
"2021-07-28",48.119999,48.330002,47.349998,47.470001,2343300,47.410725
"2021-07-29",47.25,48.619999,47.25,48.18,2535700,48.119839
"2021-07-30",48.240002,48.919998,48,48.869999,2133400,48.808979
"2021-08-02",48.959999,49.860001,48.310001,48.369999,1876900,48.309601
"2021-08-03",48.700001,49.805,47.919998,49.669998,2547900,49.607975
"2021-08-04",49.720001,51.02,49.369999,50.32,10410400,50.257168
"2021-08-05",50.720001,51.389999,49.895,50.099998,6823600,50.037437
"2021-08-06",50.41,50.884998,49.779999,49.82,4598800,49.757793
"2021-08-09",49.599998,49.790001,49.040001,49.52,2136400,49.458168
"2021-08-10",49.560001,51.110001,49.470001,51.060001,2676100,50.996246
"2021-08-11",51.200001,51.529999,50.669998,51.529999,2295900,51.465652
"2021-08-12",51.599998,52.07,51.450001,52.009998,2286000,51.945057
"2021-08-13",52,52.654999,51.849998,52.43,2799100,52.364532
"2021-08-16",52.240002,52.470001,51.669998,52.299999,1677300,52.234692
"2021-08-17",51.970001,52.09,50.669998,50.849998,2778100,50.786503
"2021-08-18",50.720001,51.09,50.41,50.48,1544500,50.416965
"2021-08-19",50,50.209999,49.310001,49.740002,2231600,49.677891
"2021-08-20",49.75,50.139999,49.450001,50.080002,1489300,50.017464
"2021-08-23",50.580002,51.27,50.490002,50.950001,1637600,50.886383
"2021-08-24",51.09,52,51.09,51.799999,1540500,51.735321
"2021-08-25",51.990002,52.400002,51.66,52.09,2112900,52.024956
"2021-08-26",51.990002,52.200001,51.330002,51.82,2154800,51.755291
"2021-08-27",52.080002,53.389999,51.759998,52.849998,3400700,52.784008
"2021-08-30",52.889999,53.540001,52.450001,53.25,2042900,53.18351
"2021-08-31",53.220001,53.419998,52.650002,53.02,2159100,52.953793
"2021-09-01",53.310001,53.310001,52.380001,52.740002,1991900,52.674149
"2021-09-02",53.43,54.455002,52.900002,53.790001,3856500,53.722836
"2021-09-03",53.880001,54.205002,52.630001,52.939999,3760300,52.873894
"2021-09-07",52.740002,53.080002,51.48,51.759998,2502300,51.695366
"2021-09-08",51.560001,52.860001,51.41,52.720001,2777900,52.654171
"2021-09-09",52.720001,54.150002,52.720001,53.889999,3864200,53.822712
"2021-09-10",54.450001,55.240002,54.119999,54.73,3696100,54.661659
"2021-09-13",55.310001,55.619999,53.404999,54,3969100,53.932575
"2021-09-14",54.310001,54.32,52.869999,53.549999,2652900,53.483131
"2021-09-15",53.439999,55.02,53.23,54.98,3058900,54.911346
"2021-09-16",54.75,55.18,54.200001,54.57,2961300,54.501858
"2021-09-17",53.959999,54.709999,53.810001,54.299999,8807300,54.232201
"2021-09-20",53.130001,53.529999,52.349998,52.990002,2795100,52.923836
"2021-09-21",53.330002,53.419998,52.16,52.919998,2089700,52.853916
"2021-09-22",53.450001,53.73,52.84,52.900002,2314600,52.833946
"2021-09-23",53.16,53.779999,53.029999,53.639999,2461000,53.573021
"2021-09-24",53.599998,53.970001,53.209999,53.509998,1516000,53.44318
"2021-09-27",53.630001,54.740002,53.330002,53.380001,2819000,53.313347
"2021-09-28",52.84,53.169998,51.32,51.560001,2336900,51.495621
"2021-09-29",51.75,52,51.240002,51.41,1972400,51.345806
"2021-09-30",51.57,51.639999,50.380001,50.41,2892700,50.347054
"2021-10-01",50.630001,51.169998,50.02,50.869999,1209300,50.80648
"2021-10-04",50.970001,51.360001,50.540001,50.740002,1620600,50.676643
"2021-10-05",50.860001,51.755001,50.5,51.209999,1613200,51.146053
"2021-10-06",50.439999,51.310001,50.049999,51.169998,3167400,51.106106
"2021-10-07",51.799999,52.450001,51.669998,51.700001,2244900,51.635445
"2021-10-08",51.41,51.764999,50.700001,50.990002,1342700,50.926331
"2021-10-11",50.830002,51.169998,50.060001,50.07,1379300,50.007481
"2021-10-12",50.18,50.580002,49.715,49.889999,1563300,49.827702
"2021-10-13",50.119999,50.845001,49.75,50.740002,1651600,50.676643
"2021-10-14",51.189999,52.299999,50.900002,52.27,1756700,52.204731
"2021-10-15",52.665001,53.080002,52.470001,52.509998,1229900,52.444431
"2021-10-18",52.060001,53.080002,51.904999,52.919998,1640300,52.853916
"2021-10-19",53.360001,53.900002,53.299999,53.57,1691800,53.503109
"2021-10-20",53.759998,54.071999,53.474998,53.560001,1412800,53.493122
"2021-10-21",53.060001,54.34,53.060001,54.110001,2410100,54.042435
"2021-10-22",54.34,54.650002,53.73,54.200001,1050100,54.132324
"2021-10-25",54.040001,55.040001,53.849998,54.549999,1625900,54.481884
"2021-10-26",54.77,54.799999,53.893002,53.939999,1348600,53.872646
"2021-10-27",53.869999,54.445,53.174999,53.220001,1511100,53.153545
"2021-10-28",53.25,54.34,52.900002,54.330002,1561900,54.262161
"2021-10-29",54.009998,54.48,53.5,53.759998,2133800,53.692867
"2021-11-01",53.919998,54.794998,53.880001,54.490002,1614000,54.421959
"2021-11-02",54.5,56.25,54,56.23,2100200,56.159786
"2021-11-03",56.02,56.330002,55.279999,56.060001,2096300,55.989998
"2021-11-04",57.040001,58.43,56.529999,57.150002,2183000,57.07864
"2021-11-05",57.689999,58.049999,56.68,57.25,2939100,57.178513
"2021-11-08",57.830002,58.27,57.59,57.91,2282800,57.837688
"2021-11-09",57.810001,59.560001,57.790001,59.5,3092700,59.446232
"2021-11-10",59.099998,59.490002,58.290001,58.389999,1820900,58.337234
"2021-11-11",58.560001,58.665001,57.935001,58.25,1083900,58.197361
"2021-11-12",58.529999,58.597,57.880001,58.450001,1369400,58.397182
"2021-11-15",58.59,59.400002,58.549999,59.049999,2400700,58.996639
"2021-11-16",59.220001,60.990002,59.16,60.299999,2147000,60.24551
"2021-11-17",60.18,60.185001,58.560001,59.34,1913000,59.286377
"2021-11-18",60,61.259998,59.82,60.900002,3510100,60.844971
"2021-11-19",61.880001,62.060001,60.290001,61.450001,2734700,61.394474
"2021-11-22",61.740002,62.049999,59.880001,59.919998,1954500,59.865852
"2021-11-23",59.709999,60.759998,59.450001,60.689999,1908500,60.635155
"2021-11-24",60.02,61.040001,60,61.02,1370700,60.964859
"2021-11-26",58.490002,59.91,58.189999,58.939999,1882400,58.886738
"2021-11-29",59.880001,60.560001,59.279999,59.799999,1999400,59.74596
"2021-11-30",59.25,60.139999,58.02,58.34,2563700,58.287281
"2021-12-01",59.43,59.84,57.07,57.099998,1463700,57.048401
"2021-12-02",57.490002,59.580002,57.389999,59.240002,2415500,59.18647
"2021-12-03",59.610001,59.610001,57.57,58.5,2174100,58.447136
"2021-12-06",59.330002,59.709999,58.720001,58.740002,2623700,58.68692
"2021-12-07",59.330002,60.419998,59.220001,59.73,2201800,59.676025
"2021-12-08",59.509998,60.209999,58.919998,60.150002,2614800,60.09565
"2021-12-09",59.790001,60.424999,59.560001,59.919998,1162100,59.865852
"2021-12-10",60,60.189999,59.25,59.59,1676500,59.536152
"2021-12-13",59.560001,60.299999,59.474998,59.639999,1983300,59.586105
"2021-12-14",59.23,59.580002,57.435001,58.080002,3232400,58.027519
"2021-12-15",58.48,59.599998,57.82,59.540001,2478300,59.486198
"2021-12-16",59.720001,60.68,58.77,59.419998,1976200,59.366306
"2021-12-17",59.18,59.490002,58.16,58.220001,3680200,58.167393
"2021-12-20",57.419998,57.939999,56.900002,57.869999,2193300,57.817707
"2021-12-21",58.529999,59.529999,58.099998,59.169998,1711500,59.116531
"2021-12-22",59.220001,59.490002,58.330002,58.740002,1148200,58.68692
"2021-12-23",59.040001,60.049999,58.959999,59.740002,1140200,59.686016
"2021-12-27",59.880001,61.439999,59.790001,61.209999,1197400,61.15469
"2021-12-28",61.279999,61.700001,60.900002,61.369999,1244100,61.314541
"2021-12-29",61.279999,61.59,61.080002,61.400002,754500,61.344521
"2021-12-30",61.419998,62,61.25,61.25,757300,61.194653
"2021-12-31",61.150002,62.23,61.150002,61.869999,966200,61.814091
"2022-01-03",62.200001,62.639999,59.32,59.630001,1892100,59.576115
"2022-01-04",60.150002,61.07,59.73,60.740002,1837800,60.685116
"2022-01-05",60.75,61.349998,59.150002,59.209999,2537700,59.156494
"2022-01-06",59.73,60.5,59.109001,60.299999,1367400,60.24551
"2022-01-07",60.330002,60.869999,59.25,59.299999,1917900,59.246414
