"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume","ZION.Adjusted"
"2021-06-28",55.470001,55.470001,53.150002,53.450001,1049800,52.140934
"2021-06-29",53.939999,54.419998,52.450001,52.700001,714900,51.409302
"2021-06-30",52.27,53.09,52.25,52.860001,998100,51.565384
"2021-07-01",53.689999,54.02,52.919998,53.82,1021100,52.501873
"2021-07-02",53.5,53.709999,53.16,53.259998,799300,51.955585
"2021-07-06",53.02,53.02,51.099998,51.720001,902400,50.453308
"2021-07-07",50.990002,51.970001,50.77,51.310001,1139800,50.053349
"2021-07-08",50.110001,50.700001,49.389999,49.84,1690100,48.61935
"2021-07-09",51.169998,52.349998,50.970001,52.290001,1504200,51.009346
"2021-07-12",51.529999,52.700001,50.740002,52.59,1183100,51.301994
"2021-07-13",52.549999,52.630001,51.23,51.41,1062200,50.150898
"2021-07-14",51.48,52.400002,50.439999,51.360001,1119300,50.102123
"2021-07-15",50.720001,52.209999,50.279999,51.669998,1138700,50.40453
"2021-07-16",51.990002,51.990002,49.400002,49.599998,1533200,48.385227
"2021-07-19",48.27,48.639999,47.060001,47.700001,2170000,46.531761
"2021-07-20",48.459999,51.610001,48.060001,50.200001,3870400,48.970531
"2021-07-21",50.77,52.75,50.41,51.639999,2099100,50.375263
"2021-07-22",51.470001,51.470001,50.029999,50.32,1283400,49.087589
"2021-07-23",51.09,51.639999,50.459999,50.860001,1082300,49.614368
"2021-07-26",50.939999,51.970001,50.939999,51.48,1252700,50.219181
"2021-07-27",50.950001,51.709999,50.450001,51.68,1424300,50.414284
"2021-07-28",51.98,52.82,51.310001,52.360001,1518000,51.077633
"2021-07-29",52.950001,53.619999,52.200001,52.84,1429400,51.545876
"2021-07-30",52.75,53.5,52.009998,52.150002,1283700,50.872776
"2021-08-02",52.349998,53.939999,51.580002,51.630001,1104300,50.365505
"2021-08-03",52.099998,53.040001,50.799999,52.740002,938600,51.448322
"2021-08-04",51.939999,53.200001,51.580002,52.23,1059500,50.950813
"2021-08-05",52.650002,53.400002,52.630001,53.119999,1074900,51.819016
"2021-08-06",54.029999,55.759998,54.029999,54.990002,1641200,53.643219
"2021-08-09",54.619999,55.400002,54.16,54.549999,1327500,53.213993
"2021-08-10",54.029999,55.549999,53.700001,55.32,1185100,53.965134
"2021-08-11",54.869999,55.98,54.240002,55.959999,1240800,54.967037
"2021-08-12",56.18,56.459999,55.48,55.939999,664100,54.947392
"2021-08-13",56.310001,56.349998,55.25,55.41,631500,54.426796
"2021-08-16",54.880001,55.330002,54.32,55.040001,791800,54.063362
"2021-08-17",54.48,54.970001,53.330002,54.360001,883800,53.395428
"2021-08-18",54.040001,54.82,53.580002,53.639999,908100,52.688206
"2021-08-19",52.990002,53.549999,52.509998,53.169998,1051000,52.22654
"2021-08-20",53.02,54.029999,52.75,53.869999,1342400,52.914124
"2021-08-23",54.360001,55.02,54.34,54.849998,752000,53.876732
"2021-08-24",55,55.849998,55,55.799999,785000,54.809872
"2021-08-25",56.150002,57.369999,55.880001,56.740002,914100,55.733196
"2021-08-26",56.98,57.169998,55.650002,55.75,1068700,54.760761
"2021-08-27",56.32,58.619999,55.970001,58.549999,2410600,57.511082
"2021-08-30",57.84,58.150002,57.07,57.200001,1777400,56.185036
"2021-08-31",57.43,58.27,57.139999,57.900002,1658000,56.872612
"2021-09-01",57.25,58,56.950001,57.169998,1305900,56.155563
"2021-09-02",57.220001,57.860001,56.950001,57.150002,792700,56.135921
"2021-09-03",57.330002,57.860001,56.779999,57.119999,1291000,56.106453
"2021-09-07",57.380001,58.349998,57.259998,57.5,1060300,56.47971
"2021-09-08",57.310001,57.73,56.43,56.5,1142200,55.497456
