"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2021-01-27",144.949997,145.580002,137.979996,138.830002,1721600,135.75882
"2021-01-28",141.529999,144.179993,139.559998,142.800003,2342700,139.641006
"2021-01-29",141.770004,145.289993,141.039993,143.350006,1837200,140.178833
"2021-02-01",144.860001,145.419998,142.419998,142.75,1593300,139.592102
"2021-02-02",144.550003,146.660004,143.970001,144.990005,1148600,141.782547
"2021-02-03",144.5,146.869995,144.089996,146.380005,1249300,143.141815
"2021-02-04",147.309998,149.589996,146.520004,148.839996,1698400,145.547363
"2021-02-05",147.699997,152.300003,147.080002,149.350006,2031600,146.046082
"2021-02-08",151.229996,151.229996,145.869995,148.979996,1519800,145.684265
"2021-02-09",147.699997,148.559998,145.25,145.710007,1004600,142.486618
"2021-02-10",146.979996,149.220001,144.779999,148.330002,935900,145.04866
"2021-02-11",148.529999,150.970001,148.529999,150.869995,1140700,147.532471
"2021-02-12",150.039993,151.440002,148.839996,150.929993,659300,147.591125
"2021-02-16",150.899994,152.389999,149.169998,151.279999,1104600,147.933411
"2021-02-17",150.529999,151.910004,149.669998,151.300003,772400,147.952957
"2021-02-18",150.940002,151.350006,147.559998,149.5,1e+06,146.192764
"2021-02-19",150.490005,154.169998,150.100006,153.960007,917200,150.554123
"2021-02-22",153.550003,155.630005,152.460007,152.889999,1322200,149.507782
"2021-02-23",153.360001,153.520004,149.729996,153.199997,1068400,149.810913
"2021-02-24",152.449997,156.509995,151.960007,155.350006,1075600,151.913361
"2021-02-25",154,155.910004,151.850006,152.479996,905900,149.106827
"2021-02-26",153.520004,155.360001,152.389999,153.240005,1296300,149.850052
"2021-03-01",155.410004,161,155.410004,158.470001,1308400,154.964325
"2021-03-02",158.910004,158.910004,155.839996,158.160004,1180700,154.661194
"2021-03-03",158.419998,159.479996,157.009995,157.5,950600,154.015778
"2021-03-04",156.660004,157.929993,151.300003,153.399994,1416800,150.570541
"2021-03-05",155.149994,161.080002,154.160004,160.419998,1080900,157.461075
"2021-03-08",160.940002,165.860001,159.419998,163.729996,1256200,160.710007
"2021-03-09",164.639999,165.270004,160.440002,160.479996,837300,157.519943
"2021-03-10",160.199997,165.460007,159.839996,163.429993,1070400,160.415543
"2021-03-11",164.190002,164.899994,162.339996,162.940002,968600,159.93457
"2021-03-12",163.449997,164.070007,162.139999,163.679993,1111200,160.660919
"2021-03-15",163.820007,168.119995,163.490005,167.990005,1023400,164.891434
"2021-03-16",167.350006,169.130005,166.25,167.169998,1131200,164.086548
"2021-03-17",167.75,168.199997,164.309998,165.960007,1198600,162.898865
"2021-03-18",165.970001,168.830002,165.059998,167.539993,1012400,164.449707
"2021-03-19",167.070007,167.360001,164.059998,164.100006,3343600,161.073181
"2021-03-22",162.440002,164.759995,161.570007,164.300003,923800,161.269485
"2021-03-23",162.490005,163.610001,159.570007,160.330002,1014000,157.372711
"2021-03-24",161.380005,163.119995,160.669998,161.210007,1079500,158.236511
"2021-03-25",160.380005,164.660004,159.729996,163.929993,909100,160.906296
"2021-03-26",165.419998,168.169998,164.539993,168.089996,807400,164.989578
"2021-03-29",169,169.470001,166.110001,166.580002,723800,163.507446
"2021-03-30",165.25,167.770004,165.25,166.949997,676200,163.870605
"2021-03-31",167.639999,168.649994,165.009995,165.559998,1102500,162.506241
"2021-04-01",166.830002,166.830002,164.080002,165.440002,958900,162.388458
"2021-04-05",166.800003,168.160004,166.029999,167.449997,850900,164.361389
"2021-04-06",168.770004,169.330002,167.460007,167.639999,622200,164.547882
"2021-04-07",167.210007,168.490005,165.910004,166.5,593200,163.428894
"2021-04-08",165.429993,167.199997,164.720001,166.580002,656300,163.507446
"2021-04-09",168.039993,169.619995,166.520004,169.550003,821800,166.422653
"2021-04-12",168.600006,170.960007,168.429993,170.610001,803000,167.463104
"2021-04-13",170.649994,171.259995,168.600006,170.789993,800500,167.639771
"2021-04-14",169.869995,172.059998,169.179993,169.360001,916200,166.23616
"2021-04-15",170.169998,170.75,168.669998,170.509995,642500,167.364944
"2021-04-16",171.830002,172.460007,170.710007,171.960007,858700,168.788193
"2021-04-19",172.720001,172.800003,170.820007,172.279999,887300,169.102295
"2021-04-20",170.440002,171.679993,166.460007,168.199997,976200,165.097534
"2021-04-21",169.009995,170.869995,168.039993,170.5,770100,167.355148
"2021-04-22",171.990005,174.350006,171.529999,171.949997,893000,168.778381
"2021-04-23",171.839996,175.449997,171.759995,175.330002,1057000,172.096024
"2021-04-26",176.100006,177.199997,172.479996,172.830002,770300,169.642166
