"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2021-04-23",235.5,241.199997,234.270004,238.940002,1251800,230.186905
"2021-04-26",238.660004,239.259995,233.75,236.119995,718700,227.47023
"2021-04-27",237.419998,240.320007,236,239.360001,489300,230.591537
"2021-04-28",239,239.050003,234.270004,235.449997,475400,226.824768
"2021-04-29",236.699997,238.809998,234.339996,238.320007,411800,229.58963
"2021-04-30",237.669998,238.220001,234.259995,236.449997,613800,227.788116
"2021-05-03",238.130005,243.009995,237.779999,240.949997,665500,232.123291
"2021-05-04",241.350006,243.830002,238.509995,243.639999,481800,234.714752
"2021-05-05",244,248.899994,243.949997,246.850006,628800,237.807159
"2021-05-06",248.380005,251.619995,247.229996,250.220001,532700,241.05368
"2021-05-07",248.970001,254.240005,246.520004,252.949997,649500,243.683685
"2021-05-10",254.410004,257.679993,251.119995,251.800003,704100,242.575821
"2021-05-11",250.550003,250.550003,243.369995,246.210007,560600,237.190582
"2021-05-12",245.770004,246.160004,237.330002,240,787600,231.208099
"2021-05-13",239.789993,247.449997,239.5,246.199997,477500,237.180954
"2021-05-14",248.380005,249.880005,246.600006,246.720001,386300,237.681915
"2021-05-17",249.270004,249.669998,242.449997,245.520004,565800,236.525864
"2021-05-18",245.710007,246,240.339996,240.509995,482700,231.699387
"2021-05-19",236.529999,240.460007,230.5,238.929993,809200,230.177277
"2021-05-20",237.289993,238.130005,233.070007,237,541200,229.663681
"2021-05-21",238.139999,240.740005,236,236.860001,554700,229.52803
"2021-05-24",237.880005,237.960007,234.279999,235,522100,227.725586
"2021-05-25",236,237.320007,234.729996,236.5,469800,229.179153
"2021-05-26",236.869995,239.130005,235.850006,237.449997,539200,230.099731
"2021-05-27",239.419998,241.660004,237.669998,241.360001,949300,233.888733
"2021-05-28",242.860001,243.039993,236.720001,237.089996,548200,229.7509
"2021-06-01",238.919998,240.25,235.600006,237.830002,438400,230.468002
"2021-06-02",238.899994,238.899994,235.5,236.779999,444900,229.450485
"2021-06-03",236.080002,237.029999,233.460007,233.960007,371400,226.717804
"2021-06-04",233.789993,234.889999,231,233.539993,501200,226.310776
"2021-06-07",236.410004,238.240005,234.460007,235.789993,450300,228.491135
"2021-06-08",235.139999,236.089996,232.899994,232.990005,434000,225.777817
"2021-06-09",233,234.360001,229.720001,229.899994,592700,222.783447
"2021-06-10",230.160004,230.229996,221.809998,222.649994,997300,215.757889
"2021-06-11",223.470001,226.149994,222.610001,225.929993,625800,218.936356
"2021-06-14",225,225,219.75,221.100006,546500,214.25589
"2021-06-15",221.339996,222.660004,218.770004,221.110001,649500,214.265564
"2021-06-16",220.460007,220.919998,213.589996,214.979996,886700,208.325302
"2021-06-17",215,216.419998,206.710007,211.259995,834300,204.720459
"2021-06-18",208.330002,211.800003,207.110001,210.580002,978100,204.061508
"2021-06-21",212.5,216,212.220001,214.520004,536900,207.879562
"2021-06-22",214.520004,216.360001,212.25,215.600006,416200,208.926117
"2021-06-23",215.949997,216.75,213.600006,214.5,322900,207.860168
"2021-06-24",215.630005,216.660004,213.110001,214.75,481400,208.102432
"2021-06-25",216.259995,218.429993,215.050003,216.070007,437600,209.381577
"2021-06-28",215.25,217,214.309998,215.639999,365100,208.964874
"2021-06-29",217.119995,219.75,216.600006,217.75,359400,211.009567
"2021-06-30",216.759995,218.339996,216.410004,218.020004,430000,211.271225
"2021-07-01",219.070007,220.789993,217.589996,219.539993,515700,212.744141
"2021-07-02",220.199997,222.830002,219.149994,222.490005,534300,215.602859
"2021-07-06",222.490005,222.490005,215.25,217.25,867400,210.52504
"2021-07-07",219.669998,224.229996,219.089996,222.279999,849000,215.399338
"2021-07-08",219.089996,222.199997,216,219.839996,574600,213.034866
"2021-07-09",222.429993,225.369995,222.300003,225.020004,520300,218.054535
"2021-07-12",224.449997,225.970001,222.5,224.990005,563900,218.025452
"2021-07-13",223.580002,224.089996,218.5,218.740005,565900,211.968933
"2021-07-14",220.429993,223.600006,220.029999,221.330002,425500,214.478745
"2021-07-15",220,223.350006,220,222.949997,293300,216.048599
"2021-07-16",223.160004,224.360001,219.449997,219.860001,342200,213.054245
"2021-07-19",216.050003,216.759995,210.630005,212.389999,818900,205.815491
"2021-07-20",210.630005,213.820007,205.949997,213.179993,1476900,206.581009
"2021-07-21",214.869995,219.970001,214.839996,217.25,1334600,210.52504
"2021-07-22",216.899994,217.050003,208.199997,214.679993,1815500,208.034592
"2021-07-23",217.130005,220.220001,215.5,219.520004,970600,212.724777
"2021-07-26",219.990005,222,217.380005,220.169998,694800,213.35466
"2021-07-27",218.270004,222.360001,216.490005,219.429993,692200,212.637543
"2021-07-28",220.25,221.610001,217.369995,219.889999,523600,213.083328
"2021-07-29",221.5,225.589996,221.470001,224.490005,562400,217.540939
"2021-07-30",223.889999,227.399994,221.220001,221.539993,521800,214.682236
"2021-08-02",223.259995,225.660004,221.169998,221.559998,372000,214.70163
