"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2020-12-22",170.020004,170.199997,166.830002,167.539993,367400,161.515747
"2020-12-23",168.240005,169.509995,167.339996,167.839996,255600,161.804947
"2020-12-24",169.449997,169.899994,167.649994,169.770004,106400,163.665558
"2020-12-28",170.789993,171.899994,169.190002,170.369995,280700,164.243958
"2020-12-29",171.399994,171.520004,167.270004,168.860001,154500,162.788269
"2020-12-30",169.240005,171.910004,169.240005,170.949997,259900,164.803131
"2020-12-31",170.360001,171.389999,169.289993,171.139999,287800,164.986298
"2021-01-04",171.720001,172,166,166.919998,414700,160.91803
"2021-01-05",167.149994,169.009995,166.389999,166.720001,363100,160.72522
"2021-01-06",168.059998,175.020004,168.059998,173.619995,338600,167.377121
"2021-01-07",174.380005,176.399994,171.899994,175.869995,361000,169.546219
"2021-01-08",176.080002,176.139999,170.759995,172.889999,277600,166.67337
"2021-01-11",171.339996,174.25,170.660004,171.389999,254000,165.22731
"2021-01-12",172.479996,174.729996,170.869995,174.259995,367100,167.99408
"2021-01-13",174.419998,174.929993,170.440002,171.589996,313300,165.42012
"2021-01-14",172.960007,173.240005,169.869995,170.100006,320000,163.983673
"2021-01-15",168.770004,169.559998,165.880005,168.570007,383600,162.508728
"2021-01-19",170.100006,173.389999,169,172.470001,481600,166.268463
"2021-01-20",173.070007,176.940002,173.029999,175.490005,442800,169.179855
"2021-01-21",174.990005,177.490005,173.630005,176.110001,418200,169.777588
"2021-01-22",175.949997,179,174.320007,177.979996,542700,171.580322
"2021-01-25",177.850006,182.740005,176.449997,179.270004,662800,172.823975
"2021-01-26",180.470001,180.470001,176.619995,179.679993,463800,173.219193
"2021-01-27",177.490005,189.990005,177,187.600006,1211600,180.854446
"2021-01-28",189,193.020004,180.880005,182.449997,1145400,175.889587
"2021-01-29",182.309998,184.380005,179.449997,179.990005,464200,173.518097
"2021-02-01",181.910004,186.779999,180.880005,185.220001,607500,178.560028
"2021-02-02",185.910004,186.770004,177.940002,178.619995,721800,172.197311
"2021-02-03",178.639999,178.639999,175.779999,177.320007,662100,170.944077
"2021-02-04",188.75,193.539993,186.919998,188.860001,2248700,182.069122
"2021-02-05",190,190,183.100006,184.369995,625100,177.74057
"2021-02-08",185.669998,186.520004,184.270004,185.479996,444600,178.810654
"2021-02-09",185.339996,189.529999,183.880005,189.429993,350700,182.618622
"2021-02-10",190,190.210007,188.190002,189.550003,494500,182.734314
"2021-02-11",190,190.690002,186.649994,189.889999,443600,183.062103
"2021-02-12",189.119995,190.690002,188.240005,189.949997,351100,183.119934
"2021-02-16",190.059998,190.979996,188.190002,188.570007,396200,181.789566
"2021-02-17",187.75,190.100006,187.050003,188.869995,514000,182.078751
"2021-02-18",188.509995,193,187.929993,191.570007,557600,184.681702
"2021-02-19",191.929993,195.610001,191.639999,194.960007,553400,187.949783
"2021-02-22",192.600006,195.149994,192.229996,194.160004,421700,188.366959
"2021-02-23",195.880005,198.059998,192.039993,197.369995,475700,191.481171
"2021-02-24",198.600006,206.839996,197.660004,206.820007,871500,200.649246
"2021-02-25",206.75,207.330002,200.679993,204.070007,529300,197.981262
"2021-02-26",203.300003,205.429993,201.639999,203.110001,677100,197.049927
"2021-03-01",206,210.490005,205.410004,208.679993,565200,202.45372
"2021-03-02",208.809998,211.529999,207.800003,209.910004,651000,203.647034
"2021-03-03",210.899994,218.649994,210.809998,214.380005,694600,207.983658
"2021-03-04",213.690002,214.880005,206.910004,210.880005,508800,204.588104
"2021-03-05",213.979996,218.449997,211.789993,217.289993,522800,210.806839
