"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2020-10-01",79.169998,80.209999,79.059998,79.860001,1060800,76.26207
"2020-10-02",79.440002,80.720001,78.959999,79.809998,900600,76.214302
"2020-10-05",79.849998,81.059998,78.82,80.720001,1066600,77.083305
"2020-10-06",80.709999,82.029999,79.830002,81.300003,1216600,77.637192
"2020-10-07",81.510002,81.860001,80.050003,80.690002,963700,77.054665
"2020-10-08",81.18,81.75,80.720001,81.730003,1199700,78.047806
"2020-10-09",81.830002,82.529999,81.32,82.050003,971000,78.353386
"2020-10-12",82.110001,83.400002,82.050003,82.540001,816300,78.821312
"2020-10-13",81.800003,81.800003,79.870003,81.150002,1115100,77.493942
"2020-10-14",81.239998,81.650002,80.940002,81.349998,698200,77.684929
"2020-10-15",80.559998,81.900002,80.360001,81.150002,636900,77.493942
"2020-10-16",81.260002,82.669998,81.160004,82.389999,953500,78.678078
"2020-10-19",82.400002,82.839996,81.220001,81.639999,795900,77.961868
"2020-10-20",82.190002,82.720001,81.32,82.139999,915500,78.439323
"2020-10-21",82.269997,83.199997,81.790001,82.290001,868100,78.582581
"2020-10-22",82.169998,83.18,81.800003,83.029999,535400,79.28923
"2020-10-23",83.57,83.580002,82.68,83.389999,1026600,79.633011
"2020-10-26",82.709999,84.099998,82.230003,84.059998,1027000,80.272827
"2020-10-27",84.230003,85.43,83.940002,84.190002,1381100,80.39698
"2020-10-28",83.110001,84.160004,81.269997,81.370003,1131500,77.704033
"2020-10-29",81.169998,82.449997,79.910004,81.339996,890400,77.675362
"2020-10-30",80.940002,82.230003,80.370003,81.120003,1330400,77.465294
"2020-11-02",81.989998,83.269997,81.550003,83.209999,1109700,79.461128
"2020-11-03",84.220001,85.25,83.580002,84.32,854700,80.521111
"2020-11-04",84.019997,85.589996,83.410004,83.449997,1209200,79.690308
"2020-11-05",84.099998,84.709999,81.550003,82.470001,1692400,78.754456
"2020-11-06",82.199997,82.980003,81.449997,81.849998,1262500,78.162407
"2020-11-09",85.370003,86.900002,82.75,83.040001,1967200,79.29879
"2020-11-10",83.089996,83.809998,82.419998,82.459999,1521300,78.744911
"2020-11-11",82.800003,83.360001,81.949997,82.370003,1724700,78.658974
"2020-11-12",82.18,82.900002,80.790001,81.339996,1654700,77.675362
"2020-11-13",81.43,82.870003,81.339996,82.120003,1467300,78.420235
"2020-11-16",83.370003,84.459999,82.32,84.330002,2218400,80.530678
"2020-11-17",83.660004,83.660004,80.57,80.599998,2013300,76.968712
"2020-11-18",81.889999,81.889999,78.779999,79.059998,2428500,75.4981
"2020-11-19",78.980003,79.269997,77.610001,78.349998,1536400,74.820084
"2020-11-20",78.650002,79.389999,78.260002,78.449997,1358400,74.915558
"2020-11-23",78.610001,79.480003,78.349998,79.300003,2351500,75.727295
"2020-11-24",79.669998,79.900002,78.459999,79.07,3116100,75.507645
"2020-11-25",79.199997,80.589996,79,80.580002,1657700,76.949615
"2020-11-27",80.400002,80.540001,78.93,78.989998,438700,75.431252
"2020-11-30",78.760002,78.769997,77.57,77.779999,1418600,74.275757
"2020-12-01",78.300003,79.25,77.830002,78.510002,1246100,74.972878
"2020-12-02",78.110001,78.559998,77.010002,78.489998,914100,74.953773
"2020-12-03",78.199997,78.440002,77.57,77.910004,1122200,74.39991
"2020-12-04",77.739998,78.199997,76.440002,77.080002,1123100,73.607307
"2020-12-07",76.93,78.209999,76.760002,78.199997,1638000,74.676849
"2020-12-08",77.080002,78.220001,76.82,77.260002,1724000,74.268303
"2020-12-09",77.220001,78.010002,76.970001,77.800003,1449800,74.787399
"2020-12-10",77.709999,78.150002,76.68,77.339996,1105700,74.345207
"2020-12-11",76.970001,77.639999,76.650002,77.470001,1173000,74.470161
"2020-12-14",77.769997,78.599998,76.75,77.239998,1368200,74.249069
"2020-12-15",77.480003,79.25,76.949997,78.730003,1419800,75.681381
"2020-12-16",79,79.639999,77.589996,78,1326600,74.979645
"2020-12-17",78.360001,79.660004,78.089996,78.739998,1692100,75.690987
"2020-12-18",78.669998,79.5,78.419998,78.860001,2410200,75.806343
"2020-12-21",77.610001,78.32,76.370003,77.080002,1395800,74.095276
"2020-12-22",77,77.089996,75.760002,76.550003,1680600,73.585793
"2020-12-23",76.800003,77.169998,75.540001,75.720001,1226300,72.787933
"2020-12-24",75.849998,76.550003,75.650002,76.470001,462900,73.508896
"2020-12-28",76.629997,77.199997,76.459999,76.75,991500,73.778053
"2020-12-29",76.849998,77.470001,76.550003,76.57,1027600,73.605011
"2020-12-30",76.599998,77.190002,76.510002,76.970001,1526600,73.989525
"2020-12-31",77.260002,78.110001,76.730003,78.059998,1238700,75.037323
"2021-01-04",77.639999,77.980003,75.559998,76.129997,2807600,73.182053
"2021-01-05",76.389999,76.580002,75.480003,75.760002,1570800,72.826378
"2021-01-06",75.57,77,75.43,76.389999,2284400,73.431992
