"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"2021-06-24",151.899994,153.210007,151.149994,152.660004,605000,152.660004
"2021-06-25",153.039993,153.979996,152.697006,153.320007,1026300,153.320007
"2021-06-28",153.240005,154.880005,153.110001,154.410004,500400,154.410004
"2021-06-29",154.410004,155.880005,154.005005,155.789993,600100,155.789993
"2021-06-30",155,155.100006,153.809998,154.410004,939600,154.410004
"2021-07-01",154.520004,154.520004,152.929993,153.559998,1137300,153.559998
"2021-07-02",152.520004,153.429993,150.350006,153.149994,836500,153.149994
"2021-07-06",153.399994,154.309998,151.539993,154.160004,700900,154.160004
"2021-07-07",155,155.524994,153.460007,155.300003,788800,155.300003
"2021-07-08",153.529999,155.589996,151.854996,154.169998,512100,154.169998
"2021-07-09",154.919998,155.910004,154.059998,155.809998,475500,155.809998
"2021-07-12",156.5,158.130005,156.059998,157.720001,1397200,157.720001
"2021-07-13",157.720001,158.580002,156.990005,157.419998,743200,157.419998
"2021-07-14",158.190002,158.820007,157.300003,157.919998,761700,157.919998
"2021-07-15",157.160004,157.410004,155.610001,156.559998,848800,156.559998
"2021-07-16",157.190002,157.75,154.839996,155.009995,2269900,155.009995
"2021-07-19",153.070007,154.884995,152.960007,154.779999,799300,154.779999
"2021-07-20",155.600006,157.440002,155.020004,156.589996,849200,156.589996
"2021-07-21",157.070007,158.490005,156.630005,158.460007,470100,158.460007
"2021-07-22",159,159.380005,158.25,158.580002,544800,158.580002
"2021-07-23",159.550003,160.860001,158.229996,159.699997,546400,159.699997
"2021-07-26",159.5,159.979996,158.330002,159.979996,510800,159.979996
"2021-07-27",159.830002,159.830002,156.229996,158.839996,894000,158.839996
"2021-07-28",159.270004,161.199997,159.024994,160.149994,663300,160.149994
"2021-07-29",160.990005,162.860001,160.710007,161.710007,829800,161.710007
"2021-07-30",161.029999,164.884995,161.029999,164.550003,1047200,164.550003
"2021-08-02",165,165.479996,163.800003,164.910004,848400,164.910004
"2021-08-03",165.419998,166.880005,164.479996,166.710007,758700,166.710007
"2021-08-04",166.300003,168.173996,166.039993,167.070007,598200,167.070007
"2021-08-05",167.399994,167.619995,165.529999,166.399994,951800,166.399994
"2021-08-06",166.589996,167.630005,166,166.600006,587000,166.600006
"2021-08-09",166.419998,167.149994,166.070007,166.949997,501200,166.949997
"2021-08-10",167.580002,167.990005,164.509995,165.630005,680200,165.630005
"2021-08-11",165.610001,165.619995,163.669998,165.050003,585100,165.050003
"2021-08-12",165,165.106003,163.229996,165.029999,576200,165.029999
"2021-08-13",165.429993,166.25,164.164993,166.100006,503500,166.100006
"2021-08-16",165.589996,166.690002,164.470001,166.649994,452900,166.649994
"2021-08-17",165.75,165.809998,163.179993,164.419998,543400,164.419998
"2021-08-18",163.800003,165.259995,163.110001,163.660004,1066300,163.660004
"2021-08-19",163.639999,168.940002,161.110001,166.690002,1389600,166.690002
"2021-08-20",166.360001,169.220001,166.080002,168.789993,807200,168.789993
"2021-08-23",169.490005,172.910004,169.335007,171.320007,804100,171.320007
"2021-08-24",173.25,175.139999,172.75,174.929993,1066000,174.929993
"2021-08-25",174.789993,175.320007,173.929993,174.639999,1146900,174.639999
"2021-08-26",174.580002,175.899994,173.960007,175.580002,1067900,175.580002
"2021-08-27",176,178.320007,174.820007,177.509995,786600,177.509995
"2021-08-30",177.770004,180.395004,177.770004,179.089996,597000,179.089996
"2021-08-31",180.039993,180.070007,177.279999,179.380005,1017700,179.380005
"2021-09-01",178.960007,179.850006,177.009995,178.720001,1335200,178.720001
"2021-09-02",179.729996,180.320007,178.983002,180.289993,554700,180.289993
"2021-09-03",180.25,182.139999,180,181.279999,715500,181.279999
"2021-09-07",181.100006,182.490005,180.429993,181.169998,596300,181.169998
"2021-09-08",180.699997,181.559998,179.309998,181.460007,529800,181.460007
"2021-09-09",181.910004,181.910004,180.164993,180.789993,939900,180.789993
"2021-09-10",181.949997,182,179.919998,180.139999,628400,180.139999
"2021-09-13",181,181.089996,176.899994,178.169998,1351700,178.169998
"2021-09-14",178.929993,179.154999,177.5,178.169998,923900,178.169998
"2021-09-15",178.610001,180.399994,177.770004,179.639999,578500,179.639999
"2021-09-16",179.330002,179.994995,178.110001,179.779999,609600,179.779999
"2021-09-17",178.520004,179.990005,177.179993,177.449997,1167200,177.449997
"2021-09-20",174.880005,174.880005,172.529999,173.880005,1109800,173.880005
"2021-09-21",175.289993,175.289993,172.770004,174.229996,704400,174.229996
"2021-09-22",174.919998,177.509995,174.279999,176.720001,642800,176.720001
"2021-09-23",177.630005,180.710007,177.339996,179.75,634500,179.75
"2021-09-24",178.869995,179.119995,177.639999,178.380005,576800,178.380005
"2021-09-27",177.289993,177.570007,175.5,176.830002,876900,176.830002
"2021-09-28",175.009995,175.759995,167.899994,167.899994,1394000,167.899994
"2021-09-29",168.570007,170.455002,166.789993,166.889999,1126400,166.889999
"2021-09-30",167.639999,168.910004,164.210007,164.289993,1240900,164.289993
"2021-10-01",164.729996,166.25,163.229996,165.419998,801000,165.419998
"2021-10-04",164.880005,165.539993,159.389999,161.160004,1187200,161.160004
"2021-10-05",161.919998,163.794998,161.320007,162.75,812400,162.75
"2021-10-06",160.710007,162.169998,159.070007,161.149994,1037500,161.149994
"2021-10-07",163.149994,166.324997,162.759995,163.229996,1037300,163.229996
"2021-10-08",163.25,163.429993,160.940002,161.759995,670400,161.759995
"2021-10-11",161.139999,163.559998,161.009995,161.679993,706900,161.679993
"2021-10-12",162.940002,162.970001,160.429993,161.309998,915600,161.309998
"2021-10-13",162.429993,165,161.600006,164.029999,893700,164.029999
"2021-10-14",165.589996,168.460007,165.589996,168.270004,583200,168.270004
"2021-10-15",168.809998,169.580002,167.949997,168.710007,1094700,168.710007
"2021-10-18",168.570007,172.899994,168.199997,172.630005,646000,172.630005
"2021-10-19",173.259995,174.850006,172.979996,174.720001,606400,174.720001
"2021-10-20",175,176.429993,173.5,174.130005,473100,174.130005
