"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2021-03-04",331.660004,333.519989,319.059998,323.589996,382700,320.027771
"2021-03-05",324.75,330.829987,313.920013,330.220001,301300,326.584778
"2021-03-08",328.839996,334.670013,326.799988,328.339996,230800,324.725433
"2021-03-09",332.940002,341.119995,330.200012,336.51001,345200,332.805511
"2021-03-10",341.829987,344.799988,338.5,343.200012,284100,340.007935
"2021-03-11",342.48999,348.459991,336.950012,346.839996,242800,343.614075
"2021-03-12",342.809998,344.559998,339.019989,342.440002,221700,339.254974
"2021-03-15",342.309998,348,340.579987,347.570007,255300,344.33728
"2021-03-16",350,351.880005,342.559998,343.970001,249100,340.770752
"2021-03-17",343.700012,344.160004,336.690002,339.200012,356100,336.045105
"2021-03-18",336.290009,340.890015,332.26001,336.869995,303900,333.736786
"2021-03-19",339.369995,348.350006,337.829987,340.799988,1289900,337.630249
"2021-03-22",340.609985,340.609985,331.600006,336.220001,329000,333.092834
"2021-03-23",334.429993,342.429993,333.890015,340.910004,321300,337.739227
"2021-03-24",340.089996,344.76001,335.399994,340.100006,226200,336.936737
"2021-03-25",337,338.160004,332.700012,335.25,307600,332.131866
"2021-03-26",335.519989,342.109985,333.540009,341.859985,400100,338.680328
"2021-03-29",342.959991,350.5,338.869995,343.480011,340000,340.285339
"2021-03-30",339.890015,343.869995,335.23999,342.369995,274600,339.185638
"2021-03-31",343.480011,349.01001,343.480011,345.23999,199400,342.028931
"2021-04-01",345.73999,352.190002,345.429993,351.570007,179600,348.300079
"2021-04-05",352.649994,359.220001,351.869995,357,305900,353.679565
"2021-04-06",358.5,361.149994,353.100006,357.720001,318800,354.392883
"2021-04-07",358.079987,360.850006,354.779999,356.649994,164000,353.332825
"2021-04-08",358.600006,361.070007,354.529999,360.76001,227200,357.404633
"2021-04-09",361.880005,370.450012,361.880005,369.48999,227200,366.053375
"2021-04-12",370.420013,371.880005,368.070007,371.179993,184000,367.727661
"2021-04-13",372.890015,374.440002,370.25,370.450012,224500,367.004517
"2021-04-14",369.970001,372.290009,366.230011,367.700012,161900,364.280029
"2021-04-15",370.670013,376.980011,367.709991,374.429993,278100,370.947449
"2021-04-16",376.029999,384.140015,373.899994,382.209991,290500,378.655121
"2021-04-19",382,385.679993,380.690002,382.950012,251200,379.388184
"2021-04-20",384.190002,388.589996,383.23999,386.059998,242100,382.469269
