"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2021-03-18",209.679993,211.419998,206.070007,209.550003,1388800,206.78302
"2021-03-19",209.350006,210.970001,206.279999,207.580002,2001400,204.83902
"2021-03-22",207.770004,209.889999,205.619995,208.070007,1842900,205.322556
"2021-03-23",206.990005,211.570007,206.399994,207.910004,1384200,205.164658
"2021-03-24",208.539993,211,203.429993,208.460007,1474300,205.707413
"2021-03-25",207.470001,209.539993,203.630005,208.809998,1336300,206.05278
"2021-03-26",210.399994,213.460007,209.119995,213.330002,925500,210.513077
"2021-03-29",213.080002,215.669998,210.429993,214.529999,1097800,211.69725
"2021-03-30",218.320007,219.839996,214.559998,215,1098400,212.161041
"2021-03-31",213.75,216,213.479996,214.070007,1061100,211.243332
"2021-04-01",215.25,216.899994,213.710007,216.850006,702000,213.986633
"2021-04-05",218.889999,219.979996,217.699997,218.880005,738400,215.989807
"2021-04-06",218.679993,221.350006,218.380005,220.830002,1023900,217.914047
"2021-04-07",219.979996,221.320007,213.970001,214.660004,696700,211.825531
"2021-04-08",214,215.979996,214,215.970001,652800,213.118225
"2021-04-09",217.029999,219.539993,216.770004,219.440002,860400,216.542419
"2021-04-12",219.100006,220.190002,218.559998,219.740005,543900,216.83844
"2021-04-13",218.539993,219.699997,217.320007,217.940002,613000,215.062225
"2021-04-14",217.679993,219.710007,217.5,218.389999,635000,215.506287
"2021-04-15",219.229996,220.559998,219,219.899994,704300,216.996323
"2021-04-16",221.300003,223.490005,221.070007,223.149994,725600,220.203415
"2021-04-19",223.679993,224.169998,219.5,220.309998,868800,217.400925
"2021-04-20",219.710007,222.559998,219.669998,220.839996,1200700,217.92392
"2021-04-21",222.139999,224.360001,221.940002,223.979996,726300,221.022461
"2021-04-22",224,224.619995,220.839996,221.529999,912600,218.604813
"2021-04-23",222.630005,227.720001,222.110001,226.779999,830800,223.785507
"2021-04-26",227.229996,229.050003,226.800003,226.809998,995600,223.815094
"2021-04-27",222.440002,224.990005,217.309998,218.410004,1178500,215.526031
"2021-04-28",219.039993,223.460007,217,222.070007,982400,219.137695
"2021-04-29",223.399994,225.070007,222.699997,224.75,612700,221.782288
"2021-04-30",224.570007,225.380005,223.059998,224.119995,839200,221.160614
"2021-05-03",225.520004,228.470001,225.520004,226.949997,687600,223.953247
"2021-05-04",225.520004,229.210007,225.449997,228.990005,989900,225.966309
"2021-05-05",228.789993,229.720001,226.869995,227.940002,1111300,224.930176
"2021-05-06",228.720001,229.570007,226.550003,228.5,868600,225.482773
"2021-05-07",228.5,229.529999,227.449997,228.429993,733600,225.413712
"2021-05-10",229.850006,230,224.919998,224.960007,1155500,221.989532
"2021-05-11",223.690002,225.320007,221.770004,225.300003,794000,222.325043
"2021-05-12",223.869995,224.259995,217.360001,217.440002,1027800,214.568832
"2021-05-13",217.440002,222.910004,217.440002,221.479996,641600,218.555481
"2021-05-14",223.25,225.419998,222.699997,224.059998,702300,221.101395
"2021-05-17",223.330002,223.720001,221.070007,221.639999,931000,218.713379
"2021-05-18",220.970001,221.779999,217.690002,217.929993,1964400,215.052338
"2021-05-19",215.990005,216.130005,211.360001,213.330002,1930500,210.513077
"2021-05-20",213.210007,215.899994,213.160004,214.360001,2055900,211.529495
"2021-05-21",215.949997,217.759995,214.110001,214.240005,926000,211.411072
"2021-05-24",215.039993,215.839996,213.059998,215.300003,829000,212.457077
"2021-05-25",216.059998,216.850006,214.289993,214.929993,765400,212.091965
"2021-05-26",214.440002,215.619995,213.690002,215.059998,795100,212.220245
"2021-05-27",216.729996,217.300003,215.039993,216.229996,4147300,213.374802
"2021-05-28",217.759995,218,215.029999,215.080002,1094700,212.23996
"2021-06-01",217,217.470001,214.630005,215.110001,944000,212.269592
"2021-06-02",215.759995,216.229996,214.169998,214.960007,1113300,212.121582
"2021-06-03",214.149994,214.919998,212.75,213.850006,2064800,211.026245
"2021-06-04",214.649994,215.800003,213.889999,215.460007,971200,212.614975
"2021-06-07",215.5,215.869995,210.940002,212.960007,949900,210.14798
"2021-06-08",213.789993,213.820007,211.479996,212.399994,739100,209.595367
"2021-06-09",211.179993,213.490005,210.970001,212.759995,1614100,209.950638
"2021-06-10",215,215,212.979996,213.559998,907000,210.740051
"2021-06-11",214.770004,215.059998,212.559998,214.5,721700,211.667648
"2021-06-14",213.020004,213.919998,210.970001,213.240005,1380000,210.896225
