"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"2020-08-28",177.410004,181.440002,175.960007,181.149994,1511300,176.339905
"2020-08-31",179.339996,182.740005,177.279999,177.369995,3040200,172.660294
"2020-09-01",176,177.300003,174.5,176.149994,1878800,171.472672
"2020-09-02",177.130005,182.089996,176.100006,181.339996,1692900,176.524872
"2020-09-03",182.600006,185.25,176.809998,178.429993,1654800,173.692139
"2020-09-04",179.449997,179.949997,175.309998,178.610001,1813700,173.867371
"2020-09-08",178,178,172.960007,173.979996,1511600,169.360306
"2020-09-09",174.910004,176.229996,172.100006,174.029999,1667000,169.408966
"2020-09-10",174.419998,175.800003,169.690002,169.740005,1346300,165.23288
"2020-09-11",170.669998,170.869995,167.710007,169.360001,1499900,164.862976
"2020-09-14",170.330002,173.490005,169.279999,171.850006,1564800,167.28685
"2020-09-15",173.360001,173.960007,165.979996,166.5,2857900,162.078918
"2020-09-16",168.600006,171.660004,167.029999,168.589996,5268400,164.113403
"2020-09-17",167.330002,170.160004,166.839996,169,3159800,164.512527
"2020-09-18",167.869995,169.460007,166.669998,167.919998,3016700,163.461197
"2020-09-21",165,166.220001,160.020004,164.960007,2527200,160.579834
"2020-09-22",164.649994,166.600006,161.559998,161.740005,2318500,157.445313
"2020-09-23",162.399994,164.110001,160.309998,160.5,2879300,156.23822
"2020-09-24",160,163.009995,158.839996,160.880005,1797300,156.608139
"2020-09-25",159.050003,162.710007,159,162.449997,1853500,158.136459
"2020-09-28",164.910004,166.710007,163.889999,164.289993,1161800,159.927597
"2020-09-29",164.75,165.460007,162.419998,164.309998,1460700,159.947052
"2020-09-30",164.080002,170.809998,163.660004,169.410004,2328100,164.911667
"2020-10-01",169.350006,169.869995,166.070007,167.380005,1341800,162.935547
"2020-10-02",164.460007,170.149994,164.039993,167.229996,1782100,162.789536
"2020-10-05",169.199997,173.330002,168.710007,172.220001,1891000,167.647034
"2020-10-06",173.289993,175.600006,170.759995,170.880005,1478200,166.342621
"2020-10-07",172.300003,177.039993,172.300003,176.300003,1587600,171.618668
"2020-10-08",176.399994,178.149994,175.130005,177.869995,1144400,173.146988
"2020-10-09",178.5,178.639999,175.779999,176.399994,1158900,171.716034
"2020-10-12",176.130005,179.009995,175.490005,177.460007,1186700,172.74791
"2020-10-13",175.710007,177.899994,173.699997,174.580002,1094900,169.944351
"2020-10-14",174.690002,176.830002,173.130005,174.490005,1403700,169.856766
"2020-10-15",172.160004,177.350006,172,176.820007,1350000,172.124893
"2020-10-16",176.699997,179.389999,175.619995,177.899994,1485800,173.176193
"2020-10-19",177.910004,178.229996,170.660004,171.660004,1939200,167.101913
"2020-10-20",172.639999,173.600006,170.869995,171.089996,2013600,166.547043
"2020-10-21",170.910004,176.139999,169.25,174.559998,1902700,169.924896
"2020-10-22",174.979996,179.949997,174.75,179.330002,1418600,174.568253
"2020-10-23",180.419998,184.699997,180,184.490005,1716100,179.591217
"2020-10-26",182.759995,184.110001,179.929993,181.880005,1852700,177.050537
"2020-10-27",180.119995,182.490005,177.289993,178.289993,2008200,173.555847
"2020-10-28",174.289993,176.399994,168.050003,168.330002,2154400,163.860336
"2020-10-29",167.550003,167.580002,160.369995,163.399994,2375100,159.061218
"2020-10-30",163.460007,167.509995,163.220001,166.970001,2014500,162.536438
"2020-11-02",169.889999,175.25,167.610001,174.839996,1930800,170.197449
"2020-11-03",177.460007,185.229996,177.270004,183.880005,2236400,178.997421
"2020-11-04",195.309998,212.580002,194.970001,210.619995,7051800,205.02739
"2020-11-05",208.5,217.75,207.949997,214.160004,4441300,208.473389
"2020-11-06",212.589996,212.820007,200.690002,201.470001,3648400,196.120346
"2020-11-09",215.160004,217.210007,206,211.199997,2686300,205.59198
"2020-11-10",212.660004,221.5,210.25,220.199997,2840500,214.352997
"2020-11-11",220.300003,224.960007,220,221.110001,2060100,215.238861
"2020-11-12",219.5,222.479996,217.580002,220.149994,1514100,214.304321
"2020-11-13",220,221.630005,218.220001,219.690002,1480200,213.856552
"2020-11-16",223.110001,223.649994,217.509995,218.300003,1740400,212.503464
"2020-11-17",215.830002,217,208.149994,214.809998,2761800,209.106155
"2020-11-18",215.979996,216.029999,210.679993,210.929993,1665700,205.329147
"2020-11-19",208.639999,210.080002,203.360001,204.740005,2051100,199.303528
"2020-11-20",203.289993,206.330002,201.899994,204.820007,1453400,199.381393
"2020-11-23",206.539993,209.5,205.429993,206.940002,1675500,201.445099
"2020-11-24",208.190002,214.259995,206.75,210.020004,1592500,204.443344
"2020-11-25",209.929993,210.199997,205.100006,207.009995,1615600,201.513245
"2020-11-27",207.279999,213.089996,206.649994,212.5,780900,206.857452
"2020-11-30",210.179993,212.009995,207.75,209.139999,3792800,203.586685
"2020-12-01",213.529999,214.880005,207.399994,207.509995,1797800,201.999954
"2020-12-02",207.509995,213.429993,207.020004,212.009995,1368300,206.380478
"2020-12-03",211,215.220001,211,213.389999,1394800,207.723846
"2020-12-04",213.399994,219.949997,213.399994,217.649994,1629500,211.870728
"2020-12-07",216.270004,219.029999,213.5,218.589996,1533400,212.785767
"2020-12-08",216.460007,219.789993,215.850006,218.669998,1369600,212.863632
"2020-12-09",218.800003,220.380005,215.5,217,1375700,211.237961
"2020-12-10",214.619995,217.520004,211.279999,212.649994,1500500,207.003479
"2020-12-11",211.699997,212.589996,208.270004,209.350006,1334100,203.791122
"2020-12-14",211.759995,211.759995,202.610001,203.149994,2027600,197.755722
"2020-12-15",206.289993,206.830002,202.259995,205.509995,1581000,200.05307
"2020-12-16",204.919998,205.179993,201.699997,202.399994,1583600,197.025665
"2020-12-17",203.309998,205.369995,201.169998,202.630005,2823800,197.249557
"2020-12-18",201.690002,202.699997,194.440002,197.080002,6149100,191.846893
"2020-12-21",193.089996,198.020004,191.529999,197.380005,1339200,192.138977
"2020-12-22",196.039993,197,193.899994,194.970001,1402900,189.792938
"2020-12-23",196.580002,200.539993,196.5,198.979996,1825200,193.696457
"2020-12-24",199.509995,199.559998,197.259995,198.830002,497600,193.550461
"2020-12-28",200.320007,204.25,199.75,202.160004,1259100,196.792023
"2020-12-29",203.929993,206.279999,203.639999,204.050003,1168700,198.631851
"2020-12-30",203.910004,205.570007,203.550003,204.050003,1194800,198.631851
"2020-12-31",204.050003,208.610001,203.419998,208.179993,1233400,202.652176
"2021-01-04",209.139999,210,200.539993,205.720001,2614200,200.257507
"2021-01-05",205.529999,207.399994,203.070007,203.429993,1768400,198.028305
"2021-01-06",194.330002,210.300003,190.880005,209.429993,3488700,203.868973
"2021-01-07",213,220.509995,210.25,220.5,2812200,214.645065
"2021-01-08",220,223.110001,219.039993,220.800003,2346000,214.937088
"2021-01-11",219.259995,222.830002,218.339996,219.919998,1154500,214.080444
"2021-01-12",219.580002,227.25,218.919998,225.220001,2124400,219.239731
"2021-01-13",225.800003,226.779999,223.369995,223.809998,1417600,217.867157
"2021-01-14",224.539993,225.770004,220.070007,220.779999,1175700,214.917603
"2021-01-15",220.059998,220.059998,216.429993,218.899994,1462500,213.08754
"2021-01-19",222.149994,223.940002,218.919998,220.800003,1759100,214.937088
"2021-01-20",221.289993,229.119995,219.029999,228.419998,2021900,222.354752
"2021-01-21",229.110001,230.899994,226.080002,226.190002,2095000,220.183945
"2021-01-22",225.520004,227.419998,223.229996,223.419998,1422900,217.487503
"2021-01-25",221.970001,222.229996,217.160004,220.089996,1858100,214.245926
"2021-01-26",220.110001,221.550003,215.160004,215.759995,1436900,210.030899
"2021-01-27",212.339996,215.649994,209.550003,212.559998,2235400,206.915878
"2021-01-28",215.169998,222.779999,213.410004,218.789993,1542000,212.980469
"2021-01-29",218.300003,220.589996,213.910004,217.050003,1308700,211.286636
"2021-02-01",218.110001,219.050003,213.449997,216.800003,1410500,211.043274
"2021-02-02",219.919998,222.75,217.690002,217.809998,1230800,212.026474
"2021-02-03",217.729996,221.539993,216.289993,219.429993,1532300,213.603455
"2021-02-04",210,216.300003,204.75,205.380005,3797300,199.926544
"2021-02-05",207.490005,209.070007,203.350006,203.429993,2822300,198.028305
"2021-02-08",204.059998,207.130005,203.100006,206.050003,1898400,200.578751
"2021-02-09",207.100006,211.919998,206.589996,210.990005,2050400,205.387573
"2021-02-10",212.320007,215.639999,210.949997,211.169998,1556600,205.56279
"2021-02-11",212.399994,213,207.789993,208.460007,1587200,202.924759
"2021-02-12",209.110001,211.050003,205.869995,206.929993,1696000,201.435364
"2021-02-16",206.839996,207.509995,202.949997,203.270004,2514400,197.872559
"2021-02-17",203.080002,208.919998,202.440002,208.020004,1957400,202.496429
"2021-02-18",207.990005,209.289993,205.509995,205.649994,1449100,200.189346
"2021-02-19",205.649994,206.220001,202.509995,204.259995,1699900,198.836258
"2021-02-22",202.940002,209.889999,201.630005,209.149994,1494100,203.596405
"2021-02-23",210.899994,215.449997,209.690002,212.669998,2443000,207.022949
"2021-02-24",211.639999,215.960007,211.639999,214.940002,1342800,209.232681
"2021-02-25",214.380005,216.649994,208.229996,209.339996,1590600,203.781357
"2021-02-26",210.009995,212.490005,208.119995,209.899994,2724500,204.326508
"2021-03-01",212.369995,216.130005,211.039993,214.949997,1833700,209.242416
"2021-03-02",216.520004,220.470001,215.119995,219.509995,2242400,213.68132
"2021-03-03",218.720001,222.289993,217.399994,220.630005,1428400,214.771606
"2021-03-04",221,227.990005,220.509995,224.580002,2769200,218.616714
"2021-03-05",226.350006,232.449997,224.529999,230.619995,2355000,224.496323
"2021-03-08",231.460007,237.490005,231.199997,235.860001,2316600,229.597198
"2021-03-09",234.259995,242.160004,232.860001,236.610001,2325800,231.307983
"2021-03-10",238.580002,240.839996,235.619995,238.220001,2282700,232.881897
"2021-03-11",237.179993,240.75,236.970001,239.110001,1638600,233.751938
"2021-03-12",240.399994,243.899994,239.190002,243.460007,1259600,238.004486
"2021-03-15",243.369995,247.630005,243.089996,245.490005,1955200,239.988983
"2021-03-16",245.479996,245.479996,241.619995,241.690002,1549700,236.274139
"2021-03-17",242.050003,244.179993,239.660004,241.910004,1772400,236.489227
"2021-03-18",241.940002,248.389999,241.940002,243.820007,2015800,238.35643
"2021-03-19",243.559998,246.759995,242.039993,243.259995,5060200,237.808975
"2021-03-22",243.259995,243.369995,239,242.399994,1433500,236.968231
"2021-03-23",242.600006,244.130005,237.399994,238.440002,1559300,233.09697
"2021-03-24",238.990005,244.020004,238.570007,240.539993,1804500,235.149887
"2021-03-25",240.279999,241.75,235.660004,241.389999,1733900,235.980865
"2021-03-26",243.179993,244,240.360001,243.779999,1649100,238.317307
"2021-03-29",242.160004,248.839996,242.020004,247.550003,1802700,242.002838
"2021-03-30",246.679993,248.520004,243.690002,245.800003,1765700,240.292068
"2021-03-31",244.589996,246.309998,241.360001,241.740005,2151600,236.323029
"2021-04-01",242.350006,243.550003,238.169998,241.830002,1298600,236.410995
"2021-04-05",243.419998,245.210007,241.529999,243.339996,1149800,237.887161
"2021-04-06",242.729996,244.190002,238.710007,239.130005,1391100,233.7715
"2021-04-07",240.240005,241.990005,239.149994,240.220001,1358800,234.837082
"2021-04-08",239.580002,240.970001,237.869995,238.25,1692800,232.911224
"2021-04-09",239.770004,246.149994,238.350006,246.100006,1654600,240.585327
"2021-04-12",245.639999,248.5,245.570007,245.820007,2127200,240.3116
"2021-04-13",246.070007,247.660004,245.199997,245.259995,1423500,239.764145
"2021-04-14",245.610001,250.320007,245.610001,249.440002,1169100,243.850479
"2021-04-15",249.539993,255.889999,249.440002,254.360001,1670000,248.660233
"2021-04-16",254.770004,255.410004,250.399994,252.570007,1542900,246.910355
"2021-04-19",253.5,254.559998,251.270004,252.490005,1321600,246.832138
"2021-04-20",252.119995,254.5,251.169998,253.369995,1049000,247.692413
"2021-04-21",255,256.73999,252.520004,253,1447500,247.330704
"2021-04-22",252,252.970001,248.009995,252.539993,1256600,246.881012
"2021-04-23",253,253.5,249.050003,251.800003,879200,246.157608
"2021-04-26",252.300003,253.389999,248.75,249.380005,1133300,243.791824
"2021-04-27",248.740005,250.970001,247.460007,250.440002,1106600,244.828064
"2021-04-28",251.080002,252.360001,246.679993,247.139999,1213600,241.602005
"2021-04-29",249.110001,251.419998,248.149994,250.240005,1284600,244.632553
"2021-04-30",249.259995,249.75,246.160004,249.009995,1428300,243.430115
"2021-05-03",250.5,254.309998,250,252.050003,1282600,246.401993
"2021-05-04",252.309998,259.51001,251.350006,259.5,1873300,253.685059
"2021-05-05",258.829987,259.980011,256.200012,258.420013,1546700,252.629272
"2021-05-06",258.420013,259.809998,254.880005,256.929993,1709100,251.172623
"2021-05-07",256.929993,263.670013,256.019989,261.179993,1761000,255.327393
"2021-05-10",262.899994,272.809998,262.170013,266.910004,2517300,260.929016
"2021-05-11",265.679993,266.109985,257.929993,260.859985,1381400,255.014603
"2021-05-12",261.100006,262.160004,258.529999,258.720001,1750400,252.922531
"2021-05-13",260.380005,265.769989,259.649994,264,1470500,258.084229
"2021-05-14",264.410004,265,263.23999,263.519989,1103800,257.61499
"2021-05-17",264.070007,265.690002,262.600006,264.720001,813000,258.788086
"2021-05-18",264.320007,265,261.709991,263.170013,710900,257.272827
"2021-05-19",260.329987,262.619995,258.339996,262.420013,869800,256.539642
"2021-05-20",262.73999,263.339996,259.48999,260.660004,917100,254.819077
"2021-05-21",261.649994,265.48999,260.470001,262.23999,1020900,256.363617
"2021-05-24",263.390015,264.059998,261.279999,261.529999,954600,255.669586
"2021-05-25",261.679993,262.179993,259.029999,259.600006,1444700,253.782822
"2021-05-26",259.880005,261.070007,255.529999,259.390015,1245300,253.577515
"2021-05-27",260.26001,260.480011,257.920013,259.5,2578800,253.685059
"2021-05-28",261.040009,261.540009,258.029999,258.850006,1054900,253.049637
"2021-06-01",260.070007,260.630005,255.070007,257.679993,1297900,251.905838
"2021-06-02",259.670013,259.670013,254.550003,255.410004,1259600,249.686707
"2021-06-03",255.190002,259.149994,254.190002,256.970001,1716300,251.211746
"2021-06-04",257.600006,258.429993,252.770004,252.940002,1487500,247.272034
"2021-06-07",254.029999,254.029999,245.259995,247.600006,2593000,243.012466
"2021-06-08",247.330002,247.830002,244.259995,245.919998,1661900,241.363571
"2021-06-09",246.240005,246.710007,241.869995,242.009995,1933200,237.526031
"2021-06-10",242.809998,244.229996,238.720001,239.649994,1679000,235.209747
"2021-06-11",241.639999,243.929993,240.369995,241.850006,1988200,237.369019
"2021-06-14",240.639999,241.509995,238.520004,239.589996,1471500,235.150879
"2021-06-15",240.190002,240.25,235.899994,239.080002,2252100,234.650314
"2021-06-16",239.410004,240.380005,236.100006,236.990005,2040700,232.59906
"2021-06-17",237.339996,237.5,233.369995,236.690002,2592100,232.304611
"2021-06-18",231.990005,234.389999,231.149994,231.970001,4244700,227.672073
"2021-06-21",232.949997,236.869995,232.479996,236.479996,2559500,232.098495
"2021-06-22",237.240005,237.240005,234.630005,236.009995,1816900,231.637192
"2021-06-23",235.240005,235.919998,232.699997,232.929993,1443900,228.614258
"2021-06-24",234.089996,235.759995,233.110001,234.770004,1743900,230.420181
"2021-06-25",235.970001,238.330002,234.259995,237.100006,3411100,232.707001
"2021-06-28",237.029999,241,236.600006,240.039993,1864200,235.592529
"2021-06-29",240.300003,242.5,236.460007,236.690002,1729500,232.304611
"2021-06-30",236.490005,237.990005,236.460007,237.070007,1203400,232.677582
"2021-07-01",238.330002,239.139999,236.850006,238.300003,2525900,233.884781
"2021-07-02",238.5,238.789993,236.619995,238.029999,1475300,233.619781
"2021-07-06",237.199997,238.020004,233.320007,235.240005,2751300,230.88147
"2021-07-07",234.630005,236.380005,233.100006,235.929993,2032600,231.55867
"2021-07-08",234.160004,234.160004,230.5,231.410004,1397800,227.122437
"2021-07-09",233.899994,235.149994,232.720001,234.899994,2193800,230.547775
"2021-07-12",233.220001,235.929993,232,235.220001,2391000,230.861862
"2021-07-13",235.350006,237.169998,234.070007,235.559998,2542100,231.195526
"2021-07-14",236.350006,236.820007,234.100006,236.020004,1297000,231.647018
"2021-07-15",234.360001,235.940002,233.119995,234.910004,1646700,230.557602
"2021-07-16",235.919998,235.919998,233.039993,233.830002,1387000,229.497604
"2021-07-19",231.169998,232.389999,225.179993,227.630005,1707300,223.41246
"2021-07-20",228.789993,233.199997,228.229996,232.020004,2562800,227.72113
"2021-07-21",233.610001,235.139999,232.589996,233.570007,1482400,229.242432
"2021-07-22",234.059998,234.479996,231.25,232.240005,915700,227.937042
"2021-07-23",234,234.119995,232.100006,232.880005,1105400,228.565201
"2021-07-26",232.429993,233.410004,228.050003,228.440002,1675500,224.207474
"2021-07-27",227,229,224.660004,228.880005,3122600,224.639328
"2021-07-28",229.320007,229.320007,225.149994,227.25,1912500,223.039505
"2021-07-29",228.610001,229.949997,227.630005,228.949997,1202800,224.708008
"2021-07-30",228.240005,230.990005,227.440002,229.490005,1782600,225.238007
"2021-08-02",230,230.839996,228.5,229.350006,1389100,225.100601
"2021-08-03",230.820007,234.380005,228.899994,233.960007,1447400,229.625183
"2021-08-04",232.779999,233.490005,230.800003,231.479996,1754700,227.191132
"2021-08-05",216.410004,218.220001,199.660004,206.210007,7961700,202.389343
"2021-08-06",207.149994,211.130005,205.369995,209.300003,3906100,205.422073
"2021-08-09",209.210007,213.130005,208.720001,211.149994,2352700,207.237793
"2021-08-10",211.389999,211.910004,209.339996,210.949997,2370300,207.041504
"2021-08-11",212.639999,213.139999,210.800003,211.300003,1314900,207.38504
"2021-08-12",209.970001,211.550003,209.25,209.679993,1920800,205.795044
"2021-08-13",211.369995,211.949997,209.029999,210.610001,1161300,206.707825
"2021-08-16",209.100006,211.5,208.300003,210.899994,1359800,206.992432
"2021-08-17",210.440002,212.009995,209.100006,210.5,1539000,206.599854
"2021-08-18",209.429993,209.979996,205.410004,205.600006,3367700,201.790649
"2021-08-19",205,206.789993,204.490005,206.179993,2649900,202.359879
"2021-08-20",206.690002,208.910004,205.690002,207.529999,1817900,203.684891
"2021-08-23",208.240005,209.100006,207.199997,207.740005,1201500,203.890991
"2021-08-24",210.190002,213.5,209.5,211.889999,1690600,207.964096
"2021-08-25",211.350006,213.490005,209.270004,211.389999,1740000,207.473358
"2021-08-26",210.25,211.610001,207.610001,207.789993,2072200,203.940063
"2021-08-27",208.649994,211.580002,208.100006,210.679993,1533100,206.77652
"2021-08-30",210.639999,210.899994,207.25,207.470001,1545900,203.625992
"2021-08-31",207,214.520004,206.690002,211.649994,2792000,207.728546
"2021-09-01",212.860001,212.860001,208.539993,211.050003,1598000,207.139664
"2021-09-02",211.520004,219.580002,211.520004,218.210007,2520100,214.167007
"2021-09-03",218.110001,218.240005,213.330002,216.919998,1642700,212.900894
"2021-09-07",216.070007,218.360001,214.619995,216.320007,1841200,213.295303
"2021-09-08",216.029999,217.009995,212.649994,213.360001,1738500,210.376694
"2021-09-09",213,215.300003,212.380005,213.949997,1544900,210.95845
"2021-09-10",208.990005,209.990005,203.199997,204.690002,4442500,201.827927
"2021-09-13",204.929993,211.869995,204.169998,209.100006,2524800,206.17627
"2021-09-14",209.899994,210.789993,203.350006,203.649994,2297000,200.802475
"2021-09-15",203.169998,208.610001,203.160004,206.580002,2666200,203.691498
"2021-09-16",207.279999,209.25,203.5,205.520004,2524900,202.646332
"2021-09-17",205.119995,207.470001,204,205.619995,3717200,202.744919
"2021-09-20",203.059998,204.240005,200.830002,202.529999,2177500,199.69812
"2021-09-21",203.919998,205.25,201.970001,202.389999,1939300,199.560089
"2021-09-22",204.460007,205.169998,201.529999,201.990005,2235000,199.16568
"2021-09-23",202.350006,204.589996,201.619995,202.460007,2370300,199.629105
"2021-09-24",202.300003,205.410004,202.300003,203.889999,1713000,201.039108
"2021-09-27",203.100006,208.289993,203.100006,206.610001,2053100,203.721085
"2021-09-28",206.449997,208.020004,203,203.279999,1994000,200.437637
"2021-09-29",203.690002,205.910004,203.190002,203.929993,1457500,201.078537
"2021-09-30",206.039993,207.550003,200.100006,200.160004,1634000,197.361282
"2021-10-01",201,203.770004,198.860001,202.600006,1786200,199.767151
"2021-10-04",202.5,204.770004,198.699997,199.449997,1751800,196.661194
"2021-10-05",200.059998,203.990005,199.740005,201.399994,1528100,198.583939
"2021-10-06",199.410004,203.389999,197.289993,203.25,1914500,200.408066
"2021-10-07",204.779999,207.369995,204.600006,204.710007,1731500,201.847672
"2021-10-08",207.5,209,204.309998,205.179993,1478900,202.311066
"2021-10-11",204.850006,207.509995,203.559998,203.929993,1048300,201.078537
"2021-10-12",204.199997,205.119995,201.770004,202.100006,1368600,199.274155
"2021-10-13",201.440002,202,197.25,199.470001,1962400,196.680923
"2021-10-14",204.889999,207.220001,202.880005,203.039993,2531600,200.200989
"2021-10-15",204.139999,208.059998,204.009995,206.190002,1439900,203.306946
"2021-10-18",205.460007,205.869995,203.229996,204.570007,1392200,201.709595
"2021-10-19",205.910004,207.130005,204.570007,206.630005,1145300,203.740814
"2021-10-20",208.419998,216,207.330002,214.759995,2807500,211.757111
"2021-10-21",213.389999,216.300003,213.320007,216.229996,1491600,213.206573
"2021-10-22",216.070007,219.119995,214.710007,216.399994,1412500,213.374191
"2021-10-25",216.850006,218.110001,215.419998,215.619995,1710100,212.605087
"2021-10-26",215.759995,216.369995,213.490005,215.669998,1441800,212.654404
"2021-10-27",215.669998,216.5,213.270004,213.399994,1354400,210.416138
"2021-10-28",213.380005,216.149994,212.970001,215.75,1370100,212.733276
"2021-10-29",214.970001,216.070007,213.300003,213.610001,1499200,210.623215
"2021-11-01",213.820007,217.529999,213.779999,216.130005,1636600,213.107971
"2021-11-02",216.929993,217.380005,213.539993,214.710007,1704700,211.707825
"2021-11-03",212.520004,218.339996,209.210007,218.25,2927700,215.198334
"2021-11-04",225.229996,226.759995,210.639999,213.160004,3722300,210.179504
"2021-11-05",214.660004,222.820007,213.690002,214.119995,2521800,211.126068
"2021-11-08",215,219.630005,213.740005,218.160004,1976500,215.109589
"2021-11-09",217.5,218.919998,216.080002,216.199997,1971000,213.176987
"2021-11-10",216.589996,220.899994,216.479996,217.839996,2420700,214.794052
"2021-11-11",217.449997,219.690002,216.979996,217.699997,1134100,214.656006
"2021-11-12",218.440002,219.830002,217.380005,217.729996,1459200,214.685593
"2021-11-15",217.979996,218.419998,215.139999,215.529999,1551100,212.516373
"2021-11-16",216.149994,221.770004,215.539993,217.759995,1701400,214.715164
"2021-11-17",219,220.720001,216.910004,216.979996,1452600,213.946075
"2021-11-18",217.179993,220.25,216.619995,218.75,1918900,215.69133
"2021-11-19",218.399994,218.399994,208.889999,210.509995,2981400,207.566544
"2021-11-22",211.070007,214.949997,210.830002,211.550003,2005700,208.59201
"2021-11-23",211.529999,214.110001,211.220001,213.240005,2441900,210.258377
"2021-11-24",212.369995,214.779999,209.179993,210.580002,1738700,207.635574
"2021-11-26",208.009995,208.350006,200.679993,202.029999,1899300,199.205124
"2021-11-29",203.130005,204.899994,198.910004,199.610001,3474800,196.81897
"2021-11-30",198,198.720001,191.740005,191.899994,3545600,189.216751
"2021-12-01",195.460007,201.479996,192.360001,194.720001,2785600,191.99733
"2021-12-02",194.690002,199.039993,193.630005,197.789993,2226600,195.024399
"2021-12-03",198.789993,201.699997,198.080002,199.860001,2363900,197.06546
"2021-12-06",202.710007,208.559998,201.619995,206.589996,1844600,204.725708
"2021-12-07",206.949997,209.419998,206.619995,207.970001,2028200,206.093246
"2021-12-08",207.860001,209,206.440002,208.309998,1462600,206.430191
"2021-12-09",208.279999,211.369995,207.729996,211.300003,1518700,209.393204
"2021-12-10",212.779999,215.460007,211.970001,214.940002,2176600,213.000366
"2021-12-13",214.949997,216.610001,212.889999,215.149994,1857700,213.20845
"2021-12-14",213.380005,217.850006,212.860001,216.619995,2605500,214.665192
"2021-12-15",217.039993,218.869995,213.649994,217.460007,2513700,215.49762
"2021-12-16",216.539993,220.380005,216.509995,218.669998,2063700,216.696701
"2021-12-17",218.649994,221.089996,216.070007,219.619995,4037000,217.638123
"2021-12-20",216.770004,219.539993,213.029999,217,1843700,215.041779
"2021-12-21",216,221.649994,216,220.240005,1570600,218.252533
"2021-12-22",220,223.139999,219.929993,222.330002,1539800,220.323669
"2021-12-23",223.449997,226.949997,222.270004,225.889999,1286100,223.851547
"2021-12-27",227.589996,228.669998,225.910004,227.860001,932300,225.803772
"2021-12-28",227.779999,230.970001,227.779999,230.539993,864800,228.459564
"2021-12-29",230.600006,232.309998,230.490005,231.649994,821400,229.559555
"2021-12-30",231.470001,232.889999,230.589996,230.75,768200,228.667694
"2021-12-31",231.110001,232.279999,229.600006,229.630005,923800,227.5578
"2022-01-03",229.490005,234.399994,228.649994,234.199997,1434400,232.086548
"2022-01-04",234.110001,236.949997,232.880005,233.300003,1614000,231.194672
"2022-01-05",234.820007,239.600006,233.389999,236.520004,1559300,234.38562
