"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2020-11-04",64.769997,64.849998,61.709999,61.709999,2202000,61.057381
"2020-11-05",62.549999,63.950001,62.200001,62.400002,1790000,61.740082
"2020-11-06",62.23,62.59,60.950001,61.130001,2418600,60.483509
"2020-11-09",66.540001,76.110001,64.870003,68.610001,4953600,67.884407
"2020-11-10",68.93,69.690002,67.989998,69.010002,3502900,68.280182
"2020-11-11",69.540001,69.540001,67.169998,68.110001,1033600,67.389694
"2020-11-12",67.269997,68.470001,67.010002,67.93,1383200,67.330223
"2020-11-13",68.860001,70.089996,68.529999,69.589996,1959300,68.975555
"2020-11-16",72.5,72.900002,70.889999,71.57,2342200,70.938087
"2020-11-17",70.440002,71.800003,69.940002,71.389999,1269300,70.759666
"2020-11-18",71.690002,73.290001,71.269997,72.629997,1678800,71.988724
"2020-11-19",71.970001,72.559998,71.160004,72.349998,1033700,71.711197
"2020-11-20",72.040001,72.279999,70.400002,70.980003,1030500,70.35331
"2020-11-23",71.360001,73.559998,71.300003,73.550003,809000,72.900604
"2020-11-24",74.57,77.220001,74.209999,76.209999,2279900,75.537125
"2020-11-25",75.43,75.610001,73.93,74.089996,720800,73.435837
"2020-11-27",73.730003,74.43,73.25,73.82,701100,73.168221
"2020-11-30",73.300003,73.629997,72.389999,73.300003,1514300,72.652817
"2020-12-01",74.800003,74.839996,72.199997,72.300003,1612700,71.661644
"2020-12-02",72,72.779999,71.739998,72.580002,771000,71.939163
"2020-12-03",73.019997,73.529999,72.519997,73.129997,774600,72.484306
"2020-12-04",73.849998,75.629997,73.849998,75.529999,1034400,74.863129
"2020-12-07",75.480003,75.879997,74.699997,75.68,1551600,75.011803
"2020-12-08",75.559998,76.870003,75.470001,76.510002,1716100,75.834465
"2020-12-09",76.550003,77.169998,75.669998,76.5,1147000,75.824554
"2020-12-10",75.82,76.5,75.209999,75.400002,1161800,74.734283
"2020-12-11",75,75.489998,74.360001,74.849998,731400,74.189117
"2020-12-14",75.480003,76,73.209999,73.260002,1218900,72.613159
"2020-12-15",74.150002,74.989998,73.800003,74.690002,1516100,74.03054
"2020-12-16",74.739998,74.800003,73.190002,73.650002,1078100,72.999718
"2020-12-17",74.379997,74.379997,72.739998,73.529999,1160700,72.880775
"2020-12-18",73.5,73.82,72.510002,73.440002,1773300,72.791588
"2020-12-21",71.739998,73.190002,71.559998,73,902000,72.355453
"2020-12-22",73,73.199997,71.870003,72.209999,789500,71.572433
"2020-12-23",72.489998,73.230003,71.470001,72.860001,952000,72.216698
"2020-12-24",73.300003,73.419998,72.129997,73.309998,218200,72.66272
"2020-12-28",73.730003,74,72.519997,72.589996,627500,71.949074
"2020-12-29",73.029999,73.160004,71.25,72.169998,824400,71.532791
"2020-12-30",72.550003,73.07,72.059998,72.400002,691200,71.760757
"2020-12-31",72.709999,73.449997,71.989998,73.199997,714900,72.553696
"2021-01-04",73.449997,74.220001,72.339996,72.650002,1578100,72.008553
"2021-01-05",72.230003,74.68,72.230003,73.559998,1219000,72.910515
"2021-01-06",74.919998,79.790001,74.699997,79.150002,2063100,78.451172
"2021-01-07",79.190002,82.25,79.150002,81.940002,1738500,81.21653
"2021-01-08",82.110001,82.720001,80.580002,81.230003,1364800,80.512802
"2021-01-11",80.589996,81.93,80.230003,81.669998,1143000,80.948906
"2021-01-12",82.040001,84.309998,81.339996,83.580002,1465000,82.842056
"2021-01-13",83.580002,84.32,82.190002,82.699997,1217800,81.96981
"2021-01-14",83.120003,83.900002,82.5,83.699997,1050500,82.960991
"2021-01-15",83.290001,83.290001,80.480003,81.900002,965100,81.17688
"2021-01-19",82.68,83.599998,81.620003,81.629997,1066200,80.909264
"2021-01-20",82.120003,82.199997,80.980003,81.279999,782700,80.562355
"2021-01-21",80.790001,81.709999,80.410004,80.860001,804500,80.146057
"2021-01-22",80.339996,80.790001,79.519997,80.470001,692500,79.759506
"2021-01-25",80.07,80.639999,78.900002,79.129997,1190800,78.431328
"2021-01-26",79.989998,80.099998,76.639999,76.809998,1047300,76.131821
"2021-01-27",75.43,75.980003,73.440002,74.57,1223400,73.911598
"2021-01-28",75.370003,76.360001,74.349998,74.860001,1067700,74.199028
"2021-01-29",74.75,75.510002,73.410004,74.209999,1106600,73.554771
"2021-02-01",75.279999,76.5,74.779999,76.269997,828800,75.596581
"2021-02-02",76.919998,79.160004,76.75,78.260002,930600,77.569016
"2021-02-03",77.900002,79.480003,77.440002,79.07,779000,78.371872
"2021-02-04",79.440002,81.099998,79.269997,80.470001,1033400,79.759506
