"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2021-04-08",72.800003,72.849998,70.879997,72.190002,4445200,65.69725
"2021-04-09",72.769997,73.510002,71.129997,71.769997,4065700,65.315018
"2021-04-12",72.389999,73.370003,70.099998,70.099998,3403700,63.795216
"2021-04-13",70.110001,71.099998,69.309998,70.400002,2229500,64.068245
"2021-04-14",71.260002,74.879997,71.07,74.120003,4710200,67.453674
"2021-04-15",74.190002,74.330002,72.260002,72.830002,3520900,66.651077
"2021-04-16",72.830002,73.099998,70.440002,70.510002,3574700,64.527893
"2021-04-19",70.699997,72.099998,70.010002,71.290001,2914900,65.241722
"2021-04-20",70.230003,70.599998,67.300003,68.57,3980900,62.752483
"2021-04-21",67.540001,69.68,67.290001,68.959999,3513700,63.109398
"2021-04-22",69.139999,69.190002,67.129997,68.349998,2775800,62.551147
"2021-04-23",68.639999,69.889999,68.279999,69.059998,2181700,63.20092
"2021-04-26",68.900002,70.389999,68.790001,69.830002,2601700,63.905586
"2021-04-27",70.040001,72.029999,69.75,71.68,2808800,65.59864
"2021-04-28",72.220001,75.440002,72.220001,74.980003,4677600,68.618668
"2021-04-29",76.400002,77.050003,74.93,75.93,2863400,69.488068
"2021-04-30",74.43,76.230003,73.519997,73.639999,2467600,67.392342
"2021-05-03",74.620003,76.019997,74.150002,75.970001,3324600,69.524666
"2021-05-04",76.150002,76.690002,74.720001,75.010002,4649200,68.646126
"2021-05-05",76.489998,78.160004,75.5,76.709999,7966700,70.201881
"2021-05-06",76.730003,77.209999,74.669998,76.980003,4740500,70.448982
"2021-05-07",77.330002,83.279999,76.800003,83.099998,7297400,76.049759
"2021-05-10",84.720001,86.599998,83.68,84.550003,5567800,77.376747
"2021-05-11",82.760002,82.980003,80.480003,82.139999,4977900,75.171204
"2021-05-12",83.239998,84.199997,81.07,81.360001,4693900,74.457367
"2021-05-13",80.709999,81.370003,78.080002,79.580002,3427200,72.828384
"2021-05-14",80.550003,83.019997,80.540001,82.599998,4042600,75.592178
"2021-05-17",81.839996,85.129997,81.839996,85.099998,3833000,77.880081
"2021-05-18",85.510002,85.809998,82.82,82.970001,3345800,75.930786
"2021-05-19",80.559998,82.050003,78.830002,80.540001,4041300,73.706955
"2021-05-20",80.599998,81.059998,78.709999,80.519997,3306500,73.688637
"2021-05-21",81.459999,82.230003,79.989998,80.07,2782900,73.276817
"2021-05-24",80.889999,80.940002,78.839996,80.139999,4270800,73.340889
"2021-05-25",80.25,80.870003,78.57,78.68,4786200,72.004745
"2021-05-26",78.93,79.910004,77.940002,79.599998,3877200,72.846695
"2021-05-27",80.540001,81.370003,79.440002,80.330002,6086000,73.514763
"2021-05-28",80.449997,80.989998,79.900002,80.339996,2062200,73.523911
"2021-06-01",82.580002,85.230003,82.559998,84.589996,4135200,77.41333
"2021-06-02",84.830002,86.029999,83.25,85.269997,3547500,78.035652
"2021-06-03",85.419998,87.410004,84.709999,86.809998,3658200,79.444984
"2021-06-04",87.269997,87.900002,85.650002,87.459999,3128600,80.039848
"2021-06-07",87.18,87.989998,86.809998,87.029999,2670200,79.646332
"2021-06-08",85.169998,87.699997,84.339996,87.389999,3018800,79.975792
"2021-06-09",87.5,87.940002,85.760002,85.809998,3154800,78.529831
"2021-06-10",87.370003,87.519997,84.839996,86.169998,3122100,78.859291
"2021-06-11",86.940002,87.699997,85.199997,85.440002,3977200,78.191231
"2021-06-14",86.040001,87.339996,84.07,84.860001,3574100,77.660431
"2021-06-15",85.029999,86.300003,84.480003,85.599998,4392200,78.337646
"2021-06-16",85.480003,86.050003,83.660004,84.709999,3806800,77.523163
"2021-06-17",84.669998,85.470001,79.720001,81.43,4582200,74.521439
"2021-06-18",79.809998,81.300003,78.800003,79.309998,9421200,72.581299
"2021-06-21",80.75,85.080002,80.599998,84.989998,4966500,77.779404
"2021-06-22",84.940002,85.550003,83.400002,84.949997,3187400,77.742798
"2021-06-23",85.879997,87.769997,85.610001,85.699997,2601300,78.429176
"2021-06-24",85.209999,86.129997,84.370003,86.089996,2754800,78.786087
"2021-06-25",86.699997,87.699997,85.57,87.650002,4754600,80.213737
"2021-06-28",87.010002,87.010002,82.489998,82.970001,4471800,75.930786
"2021-06-29",83.480003,84.489998,81.970001,82.309998,2944600,75.326782
"2021-06-30",83.139999,84.410004,82.669998,83.440002,5392400,76.360909
"2021-07-01",85.889999,86.379997,84.599998,85.989998,4409600,78.69455
"2021-07-02",85.599998,86.309998,84.389999,85.769997,2884000,78.493225
"2021-07-06",85.769997,86,83.120003,83.720001,3776900,76.617142
"2021-07-07",83.419998,84.209999,80.639999,81.089996,4430300,74.210274
"2021-07-08",80.110001,81.629997,79.559998,79.889999,6314800,73.112091
"2021-07-09",81.389999,82.769997,79.800003,82.589996,6362100,75.583015
"2021-07-12",81.400002,83.870003,80.910004,83.300003,3387600,76.232788
"2021-07-13",82.709999,83.559998,82.129997,82.730003,3512800,75.711159
"2021-07-14",83.57,84.330002,79.220001,79.660004,3745600,72.901604
"2021-07-15",76.739998,78.639999,75.75,76.190002,6226800,70.98513
"2021-07-16",77.120003,77.339996,73.610001,73.910004,3652400,68.860893
"2021-07-19",71.5,72.440002,69.419998,70.339996,6348300,65.534775
"2021-07-20",70,72.459999,69.300003,71.5,7228100,66.615524
"2021-07-21",73.199997,74.860001,72.419998,74.190002,8755800,69.121758
"2021-07-22",74.349998,74.540001,72.93,73.699997,3059200,68.66523
"2021-07-23",73.43,73.669998,71.580002,72.510002,3889300,67.556526
"2021-07-26",72.779999,74.599998,72.559998,74.169998,4237500,69.103119
"2021-07-27",73.400002,73.400002,71.629997,72.730003,4977300,67.761497
"2021-07-28",73.279999,73.800003,71.699997,73.300003,3546100,68.292557
"2021-07-29",74.160004,74.25,72.800003,73.709999,4442900,68.674538
"2021-07-30",73.169998,73.349998,72.080002,72.860001,4708500,67.882622
"2021-08-02",72.830002,74.389999,71.379997,71.620003,5653200,66.727325
"2021-08-03",71.379997,74.290001,70.879997,73.68,4718300,68.646599
"2021-08-04",71.830002,73.040001,70.5,70.739998,4964400,65.90744
"2021-08-05",71.129997,71.959999,69.760002,70.739998,6534100,65.90744
"2021-08-06",71.830002,72.169998,70.610001,70.93,4560900,66.084457
"2021-08-09",69.599998,70.610001,68.860001,69.379997,3909300,64.640343
"2021-08-10",69.639999,70.32,67.980003,68.730003,16155800,64.034752
"2021-08-11",68.860001,69.879997,68.019997,69.459999,7844900,64.71489
"2021-08-12",69.540001,70,68.699997,69.790001,3905000,65.022339
"2021-08-13",69.830002,69.849998,67.959999,68,2509200,63.354614
"2021-08-16",66.980003,67.400002,65.830002,65.919998,3657800,61.416714
"2021-08-17",65.5,66.839996,65.349998,65.970001,4609300,61.463299
"2021-08-18",65.940002,67.550003,65.230003,65.360001,5504100,60.894974
"2021-08-19",64.330002,65.440002,62.810001,64.260002,5467600,59.870125
"2021-08-20",63.459999,65,63.25,64.470001,3554000,60.065773
"2021-08-23",66.870003,68.040001,66.339996,67.639999,4195000,63.019226
"2021-08-24",68.160004,68.82,67.470001,68.449997,3638900,63.773876
"2021-08-25",68.550003,69.290001,67.769997,68.730003,2362900,64.034752
"2021-08-26",68.019997,68.349998,67.019997,67.43,3247400,62.823555
"2021-08-27",68.400002,70.410004,68.400002,69.629997,3440800,64.873268
"2021-08-30",68.849998,69.360001,67.360001,67.389999,4614000,62.786282
"2021-08-31",67.360001,68.209999,66.669998,67.519997,4744100,62.907421
"2021-09-01",67.720001,68.019997,66.050003,66.360001,3737900,61.826656
"2021-09-02",67,69.519997,66.93,68.360001,3541100,63.690025
"2021-09-03",68.010002,68.550003,67.209999,67.989998,2450200,63.345303
"2021-09-07",67.32,68.32,66.949997,67.669998,2274100,63.047169
"2021-09-08",68.279999,68.559998,66.849998,67.18,2927300,62.590637
"2021-09-09",66.669998,68.199997,66.080002,67.349998,3286600,62.749016
"2021-09-10",68.489998,68.919998,66.970001,67.139999,2768900,62.553371
"2021-09-13",69.139999,71.379997,69.080002,70.089996,5099500,65.301842
"2021-09-14",70.730003,70.949997,69.169998,69.519997,4747900,64.770782
"2021-09-15",71.18,75.529999,71.019997,75.309998,8412500,70.165237
"2021-09-16",74.809998,75.449997,73.400002,73.970001,4326800,68.916786
"2021-09-17",74.040001,74.93,73.489998,74.25,6397200,69.177643
"2021-09-20",71.879997,72.910004,70.410004,71.529999,5227600,66.643456
"2021-09-21",72.5,73.160004,71.379997,72.209999,3871000,67.277023
"2021-09-22",72.760002,75.330002,72.760002,74.599998,4775400,69.503746
"2021-09-23",74.919998,77.050003,74.480003,76.870003,3893800,71.618675
"2021-09-24",76.290001,78.870003,76.019997,78.099998,5126200,72.764641
"2021-09-27",80.449997,82.410004,80.290001,81.809998,5002000,76.221191
"2021-09-28",82.959999,83.480003,81.330002,81.730003,5830500,76.146675
"2021-09-29",81.709999,83.599998,80.480003,82.57,4809400,76.929276
"2021-09-30",82.339996,82.389999,79.910004,80.269997,6709300,74.7864
"2021-10-01",81.099998,84.139999,81.010002,83.910004,5179400,78.17775
"2021-10-04",85,87.790001,84.629997,86.400002,6252600,80.497635
"2021-10-05",87.769997,89.480003,86.75,87.099998,6931000,81.149818
"2021-10-06",85.800003,87.059998,84.07,86.57,5049100,80.656021
