"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2020-12-16",261.839996,262.380005,259.640015,261.119995,1210700,255.920441
"2020-12-17",263.029999,264.640015,261.540009,264.529999,1525000,259.262512
"2020-12-18",265,271.450012,264.559998,270.700012,3274100,265.309692
"2020-12-21",265.920013,272,265.579987,267.75,2147000,262.418427
"2020-12-22",267.579987,270.579987,265.230011,269.26001,1531700,263.898346
"2020-12-23",270.679993,271.380005,267.829987,267.940002,938600,262.604645
"2020-12-24",267.929993,269.579987,267.320007,269.209991,289900,263.849335
"2020-12-28",273.429993,273.559998,267.399994,267.5,691900,262.173401
"2020-12-29",269.170013,269.540009,262.850006,265.339996,892800,260.056396
"2020-12-30",266,268.359985,265.5,266.149994,792800,261.599548
"2020-12-31",266.76001,269.190002,265.450012,269.049988,805300,264.449951
"2021-01-04",271.809998,273.75,263.850006,267.640015,2800000,263.064087
"2021-01-05",267.649994,274.76001,267.450012,274.279999,1829200,269.590576
"2021-01-06",275,292.839996,274.649994,290.359985,2778300,285.39563
"2021-01-07",293.76001,300.559998,293.48999,299.730011,2227300,294.605469
"2021-01-08",297.549988,300.480011,290.390015,293.910004,1781000,288.884949
"2021-01-11",289.480011,295.179993,289,294.920013,1303700,289.877655
"2021-01-12",296.119995,303.559998,293.899994,302.089996,1952300,296.925079
"2021-01-13",301.630005,304,300.609985,301.220001,1203800,296.069977
"2021-01-14",302.899994,306.350006,301.950012,302.850006,1370800,297.672058
"2021-01-15",300.160004,301.130005,293.01001,295.399994,1766300,290.349426
"2021-01-19",298.25,299.769989,294.399994,294.98999,1509600,289.946442
"2021-01-20",296.869995,302.190002,296.01001,300.940002,1327500,295.794739
"2021-01-21",302,306.149994,300,305.5,1931000,300.276794
"2021-01-22",302.890015,306.959991,301.309998,305.170013,1429900,299.952423
"2021-01-25",303.140015,305.5,296.380005,298.200012,1539600,293.101593
"2021-01-26",300.940002,302.160004,295.399994,296.01001,1364200,290.949005
"2021-01-27",289.790009,290.640015,278.950012,280.730011,1769900,275.930328
"2021-01-28",287.279999,297.279999,282.73999,292.959991,1504200,287.951172
"2021-01-29",292.100006,292.950012,285.5,288.799988,1734300,283.862274
"2021-02-01",292.119995,294.019989,289.649994,292.209991,1163400,287.213989
"2021-02-02",296.230011,304.220001,295.720001,302.540009,1637100,297.367401
