"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2021-04-27",129.330002,133.919998,128.270004,132.210007,2571300,129.922699
"2021-04-28",132.940002,134.360001,132.240005,134.009995,1855200,131.691528
"2021-04-29",134.5,136.110001,134.5,135.979996,1681700,133.627441
"2021-04-30",136.029999,137.119995,135.210007,135.699997,2295700,133.352295
"2021-05-03",136.100006,136.350006,134.809998,135.300003,2094800,132.959229
"2021-05-04",134.889999,135.470001,134.110001,135.160004,2003300,132.821671
"2021-05-05",135.369995,137.830002,135.169998,137.660004,1772700,135.278381
"2021-05-06",138.229996,138.380005,137.059998,137.770004,1023400,135.386505
"2021-05-07",137.380005,138.630005,137.139999,137.970001,1623600,135.583038
"2021-05-10",138.240005,139.220001,137.630005,137.789993,1588300,135.406143
"2021-05-11",137.369995,137.550003,134.369995,134.770004,1839100,132.4384
"2021-05-12",134.610001,135.119995,132.630005,132.789993,2695500,130.492645
"2021-05-13",133.039993,135.050003,132.960007,134.589996,2104200,132.261505
"2021-05-14",135.320007,135.419998,134.259995,134.559998,1562200,132.23201
"2021-05-17",134.110001,135.020004,133.440002,134.490005,1649900,132.163239
"2021-05-18",134.710007,134.830002,133.419998,133.789993,1268300,131.475357
"2021-05-19",133.080002,134.289993,131.960007,134.240005,1580300,131.917572
"2021-05-20",134.460007,136.410004,134.080002,135.710007,1430300,133.362137
"2021-05-21",135.970001,137.190002,135.919998,136.179993,1558400,133.824005
"2021-05-24",136.729996,137.509995,136.360001,136.429993,1032600,134.069672
"2021-05-25",136.550003,137.139999,136.309998,136.600006,1218500,134.236755
"2021-05-26",137.339996,137.339996,136.229996,136.5,1381100,134.138458
"2021-05-27",136.869995,137.669998,135.850006,137.279999,1822900,134.904968
"2021-05-28",138.059998,138.619995,137.610001,138.350006,1424800,135.956467
"2021-06-01",139,139.429993,138.050003,138.809998,1704500,136.408508
"2021-06-02",138.759995,139.929993,138.520004,139.330002,2110800,136.919495
"2021-06-03",138.649994,139.919998,137.910004,139.369995,1859000,136.958801
"2021-06-04",139.610001,139.860001,138.660004,139.669998,1531900,137.253586
"2021-06-07",139.809998,139.929993,137.850006,137.970001,1524600,135.583038
"2021-06-08",137.839996,137.899994,136.860001,137.410004,1237900,135.03273
"2021-06-09",137.270004,137.940002,136.779999,137.419998,1031300,135.042557
"2021-06-10",137.880005,139.429993,137.429993,138.490005,1310500,136.09404
"2021-06-11",138.910004,139.190002,138.179993,138.919998,1098100,136.516602
"2021-06-14",138.550003,139.649994,138.130005,139.630005,1054200,137.21431
"2021-06-15",139.899994,141.149994,139.399994,140.630005,1825900,138.197037
"2021-06-16",140.960007,141.399994,139.570007,139.710007,2215400,137.292938
"2021-06-17",139.830002,140.149994,136.130005,136.839996,3256400,134.47258
"2021-06-18",135.490005,135.759995,133.860001,134.309998,4441100,131.986343
"2021-06-21",135.330002,136.380005,134.789993,136.339996,1784200,133.981232
"2021-06-22",136.910004,137.440002,135.979996,136.720001,2195000,134.354645
"2021-06-23",136.729996,137.830002,136.509995,137.490005,1540200,135.111328
"2021-06-24",137.600006,138.460007,137.039993,138.149994,1672700,135.759918
"2021-06-25",138.449997,140.300003,138.110001,139.699997,6749000,137.283096
"2021-06-28",139.940002,139.940002,138.320007,138.949997,2550700,136.546066
"2021-06-29",139.339996,141.410004,139.339996,140.940002,1600900,138.501648
"2021-06-30",140.520004,141.389999,140.160004,140.679993,2048700,138.246155
"2021-07-01",141.149994,142.770004,140.889999,142.339996,1589900,139.877426
"2021-07-02",142.440002,142.940002,142.139999,142.309998,1601700,139.847946
"2021-07-06",142.330002,142.779999,141.5,142.550003,2850800,140.083801
"2021-07-07",142.220001,142.910004,141.830002,142.570007,1568500,140.103455
"2021-07-08",141.279999,142.139999,140.570007,141.520004,2788600,139.071609
"2021-07-09",142.339996,142.789993,141.850006,142.600006,1870600,140.13295
"2021-07-12",142.570007,142.740005,141.470001,141.830002,1526500,139.376251
"2021-07-13",142.020004,142.25,140.929993,141.050003,1379900,138.609756
