"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2020-08-14",68.389999,69.68,68.169998,69.010002,864900,60.065056
"2020-08-17",69.690002,70.480003,67.790001,68.529999,1733900,59.647263
"2020-08-18",68.330002,69.379997,68.260002,68.440002,1126200,59.568939
"2020-08-19",68.07,68.860001,67.260002,67.629997,1569700,58.863918
"2020-08-20",66.660004,67.040001,65.860001,65.949997,1133700,57.401684
"2020-08-21",65.610001,66.349998,65.220001,65.669998,1111700,57.157974
"2020-08-24",66.730003,69.629997,66.25,69.589996,1650800,60.569859
"2020-08-25",70.169998,70.959999,68.209999,68.75,1507300,59.838749
"2020-08-26",68.709999,69.690002,68.010002,69.309998,1363100,60.32616
"2020-08-27",69.339996,69.720001,67.110001,68.919998,1814500,59.986713
"2020-08-28",67.980003,68.410004,66.709999,68.150002,1790900,60.2342
"2020-08-31",68.239998,68.330002,65.440002,65.480003,1914800,57.874329
"2020-09-01",64.580002,68.639999,64.209999,68.459999,3468200,60.508186
"2020-09-02",69.470001,71.589996,68.309998,71.489998,2887600,63.186241
"2020-09-03",71.330002,72.559998,69,70.440002,3169600,62.258205
"2020-09-04",71.410004,72.790001,70.550003,72.059998,2089900,63.690041
"2020-09-08",70.919998,71.949997,69.480003,70.080002,3380700,61.940018
"2020-09-09",70.660004,73.040001,70.660004,72.690002,2221600,64.246864
"2020-09-10",72.800003,72.989998,70.889999,70.940002,1940400,62.70013
"2020-09-11",73.300003,74.980003,71.989998,74.309998,1754900,65.67868
"2020-09-14",74.650002,76.980003,74.290001,76.489998,1883600,67.605484
"2020-09-15",76.849998,77.389999,75.43,76.550003,1773700,67.658516
"2020-09-16",75.040001,78.339996,74.18,76.940002,2807200,68.003212
"2020-09-17",76.110001,80.769997,75.629997,79.900002,3887900,70.619408
"2020-09-18",79.610001,80.050003,78.540001,79,3830800,69.823929
"2020-09-21",76.349998,76.870003,72.029999,73.5,3710700,64.962776
"2020-09-22",74.089996,74.599998,72.970001,73.510002,2481500,64.971626
"2020-09-23",73,73.599998,69.949997,69.989998,2667400,61.860466
"2020-09-24",70.139999,70.709999,68.18,70.220001,3088900,62.063755
"2020-09-25",69.260002,70.589996,68.669998,69.620003,2099500,61.533455
"2020-09-28",71.190002,72.760002,70.970001,71.209999,2032400,62.938759
"2020-09-29",71.010002,71.550003,70.029999,70.279999,1247600,62.116787
"2020-09-30",71.029999,72.339996,70.32,70.489998,2488700,62.302395
"2020-10-01",70.339996,71.150002,67.82,68.139999,2164700,60.225357
"2020-10-02",67.019997,73.040001,66.75,72.239998,2973500,63.849129
"2020-10-05",73.25,76.129997,72.769997,75.400002,2775700,66.642097
"2020-10-06",76.550003,77.980003,75.169998,75.989998,2888800,67.163551
"2020-10-07",77.199997,79.589996,77.199997,79.410004,2761600,70.186317
"2020-10-08",79.900002,80.339996,77.730003,79.260002,1827000,70.053734
"2020-10-09",80.290001,81.209999,79.019997,79.839996,1719600,70.566368
"2020-10-12",79.650002,79.68,76.839996,77.449997,1852000,68.453979
"2020-10-13",77.150002,77.470001,75.43,76.690002,2238600,67.782242
"2020-10-14",76.480003,78.949997,76.480003,78,1793400,68.940102
"2020-10-15",76.419998,77.790001,75.519997,76.989998,2032600,68.047394
"2020-10-16",77.660004,78.389999,76.339996,77.010002,1693100,68.065086
"2020-10-19",77.360001,79.480003,76.779999,77.050003,1256000,68.100449
"2020-10-20",77.82,78.889999,77.580002,77.830002,902500,68.789841
"2020-10-21",77.169998,77.989998,76.199997,76.589996,1285600,67.693863
"2020-10-22",76.959999,77.419998,74.790001,77.080002,1412600,68.126945
"2020-10-23",77.910004,78.57,76.760002,76.900002,993800,67.967857
"2020-10-26",75.699997,76.019997,74.550003,75.43,1751800,66.668602
"2020-10-27",74.720001,75.080002,73.25,73.370003,1768300,64.847878
"2020-10-28",71.139999,72.339996,69.230003,69.330002,2630000,61.277134
"2020-10-29",69.059998,72.529999,68.739998,72.209999,2290200,63.822609
"2020-10-30",70.440002,71.290001,66.720001,68.449997,3708200,60.499348
"2020-11-02",69.330002,72.410004,68.110001,71.910004,2989700,63.557457
"2020-11-03",73.029999,73.370003,71.400002,72.860001,1617100,64.397118
"2020-11-04",72.809998,72.809998,69.470001,69.559998,1523700,61.480412
"2020-11-05",70.720001,75.160004,70.599998,74.209999,1730700,65.590317
"2020-11-06",74.669998,75.57,72.040001,72.669998,2074100,64.229187
"2020-11-09",79.830002,84.230003,77.089996,79.389999,3437400,70.16864
"2020-11-10",80.379997,82.529999,79.510002,81.370003,3638400,71.918663
"2020-11-11",82.349998,82.349998,77.110001,77.160004,3071400,68.197662
"2020-11-12",76.440002,76.980003,73.510002,74.339996,2697900,65.705208
"2020-11-13",73.339996,77.029999,72.949997,76.639999,2499200,67.73806
"2020-11-16",78.849998,79.900002,77.139999,79.669998,1729400,70.416115
"2020-11-17",78.720001,81.050003,77.650002,81.029999,2151200,71.618149
"2020-11-18",81.330002,83.650002,81.040001,82.199997,3018200,72.652252
"2020-11-19",81.360001,82.260002,80.120003,82.230003,2243000,72.678772
"2020-11-20",81.589996,82,80.82,81.650002,2575000,72.166138
"2020-11-23",82.879997,85.660004,82.269997,85.169998,1896300,75.277283
"2020-11-24",87.349998,91.199997,87.059998,90.849998,3862400,80.297523
"2020-11-25",90.059998,90.059998,87.809998,89.330002,1921000,78.954079
"2020-11-27",87.900002,89.059998,86.919998,87.860001,884400,78.578445
"2020-11-30",86.910004,87.449997,84.760002,85.099998,3827000,76.110016
"2020-12-01",87,87,84.949997,85.760002,2237400,76.700294
"2020-12-02",84.949997,86.169998,84.639999,85.919998,1563500,76.843391
"2020-12-03",85.739998,86.440002,85.300003,85.629997,2622700,76.584023
"2020-12-04",86.5,89.580002,86.239998,89.260002,1903400,79.830551
"2020-12-07",89,89,86.940002,87.110001,1640900,77.907669
"2020-12-08",86.699997,88.82,86.25,87.889999,1101800,78.605286
"2020-12-09",88.470001,89.940002,87.470001,88.540001,1177000,79.186615
"2020-12-10",88.279999,88.940002,87.620003,88.209999,2561100,78.891472
"2020-12-11",87.309998,88.849998,86.82,88.5,1786300,79.150848
"2020-12-14",89.949997,89.949997,87.07,87.099998,1327400,77.898735
"2020-12-15",88.43,89.18,87.050003,89.010002,970800,79.606964
"2020-12-16",88.839996,89.510002,87.75,89.080002,1133900,79.669571
"2020-12-17",90,90.470001,89.370003,90.099998,1140800,80.58181
"2020-12-18",90.419998,91.550003,89.949997,90.93,3099900,81.324127
"2020-12-21",88.519997,90.57,87.910004,90.389999,1448100,80.841171
"2020-12-22",90.169998,90.620003,89.290001,89.809998,1161300,80.322441
"2020-12-23",90.620003,92.260002,90.169998,90.629997,902700,81.055824
"2020-12-24",90.720001,90.760002,89.459999,90.610001,255700,81.037949
"2020-12-28",92.239998,92.589996,90.379997,90.599998,794600,81.028999
"2020-12-29",90.720001,91.349998,88.870003,89.489998,734100,80.036247
"2020-12-30",89.440002,91.550003,89.389999,91.07,712300,81.449341
"2020-12-31",91.029999,92.410004,90.459999,91.660004,731500,81.97702
"2021-01-04",92.5,93.260002,89,89.290001,1592000,79.857376
"2021-01-05",89.839996,93.099998,89.629997,92.339996,1888400,82.585182
"2021-01-06",92.040001,97.389999,92.040001,96.769997,2304400,86.547195
"2021-01-07",97.419998,98.550003,97.120003,97.470001,2097900,87.173256
"2021-01-08",97.830002,98.139999,95.889999,96.75,2257500,86.529305
"2021-01-11",95.190002,97.260002,94.519997,96.980003,1983300,86.735016
"2021-01-12",97.199997,99.459999,96.370003,99.209999,2312300,88.729431
"2021-01-13",99.650002,99.860001,97.129997,97.139999,2149000,86.878105
"2021-01-14",97.639999,99.580002,97.040001,98.870003,1777200,88.425354
"2021-01-15",96.669998,97.489998,94.239998,94.910004,2268100,84.883682
"2021-01-19",95.129997,96.449997,93.110001,93.82,1724400,83.908829
"2021-01-20",94.370003,94.68,93.059998,94.379997,1060800,84.409676
"2021-01-21",94.459999,94.879997,92.279999,92.620003,1026400,82.835602
"2021-01-22",91.260002,92.330002,90.360001,91.480003,1392100,81.816025
"2021-01-25",90.43,91.160004,87.660004,89.980003,1565600,80.474495
"2021-01-26",91.099998,91.739998,87.650002,87.889999,1422900,78.605286
"2021-01-27",85.860001,87.529999,84.059998,86.059998,1803700,76.968605
"2021-01-28",87.440002,87.980003,84.629997,87.25,2148100,78.032898
"2021-01-29",88.529999,90.470001,85.059998,85.760002,2014300,76.700294
"2021-02-01",86.639999,87.919998,85.010002,86.75,1270700,77.585716
