"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"2021-03-04",92.919998,95.650002,92.639999,93.440002,2613900,93.440002
"2021-03-05",94.260002,97.419998,92.690002,97.129997,3621200,97.129997
"2021-03-08",96.790001,99.529999,96.410004,97.279999,3837700,97.279999
"2021-03-09",98.779999,100.440002,96.870003,97.07,2402900,97.07
"2021-03-10",98.599998,98.709999,96.169998,96.360001,1565200,96.360001
"2021-03-11",96.989998,98.18,96.720001,96.949997,2070800,96.949997
"2021-03-12",96.440002,97.629997,95.290001,97.550003,1503200,97.550003
"2021-03-15",98.610001,100.410004,98.019997,99.989998,1590700,99.989998
"2021-03-16",100.220001,101.480003,99.860001,100.209999,1548400,100.209999
"2021-03-17",99.739998,100.720001,98.68,100.260002,1218400,100.260002
"2021-03-18",98.959999,99.5,96.769997,98.169998,1903500,98.169998
"2021-03-19",98.5,99.809998,97.720001,99.400002,2516300,99.400002
"2021-03-22",99.800003,101.529999,99.709999,100.190002,1320200,100.190002
"2021-03-23",100.099998,101.440002,99.559998,99.690002,1291200,99.690002
"2021-03-24",100.260002,100.260002,97.940002,98.389999,1760800,98.389999
"2021-03-25",98.139999,100.220001,97.690002,99.540001,1702500,99.540001
"2021-03-26",99,102.779999,98.839996,102.699997,1955100,102.699997
"2021-03-29",102.980003,103.779999,101.949997,103.099998,1553300,103.099998
"2021-03-30",102.050003,102.769997,100.739998,101.18,1514300,101.18
"2021-03-31",101.730003,102.760002,101.25,101.900002,1563500,101.900002
"2021-04-01",102.309998,103.129997,102.07,102.830002,1238900,102.830002
"2021-04-05",102.110001,104.529999,102.110001,103.860001,1256500,103.860001
"2021-04-06",102.769997,104.099998,102.440002,103.739998,1376300,103.739998
"2021-04-07",102.839996,103.470001,102.239998,102.489998,1113800,102.489998
"2021-04-08",103.669998,104.639999,103.059998,104.389999,1797600,104.389999
"2021-04-09",104.269997,104.370003,102.980003,103.870003,1045400,103.870003
