"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2020-08-19",40.953335,41.113335,40.286667,40.419998,852000,38.795925
"2020-08-20",39.966667,40.513332,39.860001,40.106667,772050,38.495174
"2020-08-21",40.093334,40.533333,39.98,40.119999,711000,38.507973
"2020-08-24",40.279999,41.086666,40.253334,41.073334,675750,39.423004
"2020-08-25",41.433334,41.506668,40.880001,41.066666,851700,39.416607
"2020-08-26",40.98,41.366669,40.526669,41.026669,924150,39.378216
"2020-08-27",41.18,42.446667,41.18,42.153332,1289700,40.45961
"2020-08-28",42.486668,42.486668,41.586666,42,838950,40.312439
"2020-08-31",41.866669,41.993332,41.093334,41.366669,1329300,39.704552
"2020-09-01",41.060001,41.779999,41.046665,41.753334,714600,40.075687
"2020-09-02",41.82,42.633331,41.5,42.439999,683700,40.734756
"2020-09-03",42.806667,43.599998,41.633331,41.986668,1471050,40.299637
"2020-09-04",42.740002,43.086666,41.593334,41.959999,1027800,40.27404
"2020-09-08",41.566666,41.953335,40.946667,41.540001,1291500,39.870918
"2020-09-09",41.98,42.766666,41.793331,42.353333,1096800,40.651573
"2020-09-10",42.413334,42.553333,41.5,41.580002,9e+05,39.909317
"2020-09-11",41.746666,42.186668,41.513332,41.919998,668850,40.235645
"2020-09-14",42.073334,42.880001,41.886665,42.566666,947550,40.93446
"2020-09-15",42.766666,42.946667,42.119999,42.226665,683550,40.607491
"2020-09-16",42.313332,43.166668,42.313332,42.700001,823050,41.062679
"2020-09-17",42.52,42.673332,41.906666,42.393333,1300950,40.767765
"2020-09-18",42.213333,42.866669,41.700001,41.766666,1978200,40.165127
"2020-09-21",40.953335,41.200001,39.793331,40.759998,1833450,39.197063
"2020-09-22",40.693333,41.433334,40.606667,40.959999,973350,39.389393
"2020-09-23",41.099998,41.279999,39.700001,39.706669,994050,38.184124
"2020-09-24",39.82,40.613335,39.226665,39.880001,836400,38.350803
"2020-09-25",39.486668,40.439999,39.486668,40.373333,759300,38.825222
"2020-09-28",41.086666,41.526669,40.893333,41.080002,971400,39.504795
"2020-09-29",40.959999,41.173332,40.080002,40.646667,1003200,39.088081
"2020-09-30",40.906666,41.279999,40.413334,40.766666,1288200,39.203472
"2020-10-01",40.853333,41.046665,40.113335,40.526669,767250,38.972679
"2020-10-02",39.939999,41.133331,39.939999,40.846668,560700,39.280411
"2020-10-05",41.286667,41.540001,41.106667,41.360001,651750,39.774055
"2020-10-06",41.560001,41.793331,40.826668,41.026669,810750,39.453506
"2020-10-07",41.266666,41.646667,40.806667,41.206669,691050,39.62661
"2020-10-08",41.439999,42.146667,41.273335,42.119999,517200,40.504917
"2020-10-09",42.406666,42.633331,42,42.013332,990000,40.402344
"2020-10-12",42.066666,43.040001,41.826668,42.946667,592950,41.299881
"2020-10-13",42.546665,42.813332,41.400002,41.553333,621300,39.959976
"2020-10-14",41.5,42.073334,41.133331,41.139999,644550,39.562492
"2020-10-15",40.720001,41.540001,40.466667,41.373333,1004400,39.786873
"2020-10-16",41.446667,41.893333,41.206669,41.366669,965400,39.780468
"2020-10-19",41.526669,42.060001,40.706669,40.806667,972150,39.241936
"2020-10-20",41.246666,42.439999,41.193333,42.146667,1357800,40.530563
"2020-10-21",42.32,43.919998,42.32,43.406666,1880250,41.742245
"2020-10-22",43.386665,44.213333,43.086666,44.006668,1296300,42.319241
"2020-10-23",44.153332,44.360001,43.373333,43.813332,815400,42.133312
"2020-10-26",43.333332,43.373333,42.266666,42.533333,955650,40.902401
"2020-10-27",42.533333,42.593334,40.933334,40.959999,1008900,39.389393
"2020-10-28",40.360001,41.233334,40.360001,40.486668,1194150,38.934212
"2020-10-29",40.360001,41.393333,39.933334,40.693333,1440600,39.132946
"2020-10-30",40.553333,41.046665,39.740002,40.080002,1470750,38.543144
"2020-11-02",40.853333,41.400002,40.493332,41.333332,1467750,39.748409
"2020-11-03",42.086666,42.666668,41.933334,42.360001,1263000,40.73571
"2020-11-04",41.599998,42.786667,41.326668,41.573334,1649100,39.979214
"2020-11-05",41.753334,42.700001,41.673332,41.933334,961050,40.325405
"2020-11-06",42.193333,42.366669,41.326668,41.386665,1006050,39.799698
"2020-11-09",44.353333,46.593334,44.34,46.146667,2110050,44.377182
"2020-11-10",46.333332,47.306667,46.046665,47.060001,1516950,45.255493
"2020-11-11",47.220001,47.220001,46.226665,46.633331,1107150,44.845181
"2020-11-12",46.053333,46.173332,45.086666,45.48,703500,43.736076
"2020-11-13",45.806667,46.266666,45.5,45.913334,700500,44.15279
"2020-11-16",47.080002,47.186668,46.360001,46.986668,754200,45.184971
