"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2020-10-09",168.880005,170.479996,167.949997,169.300003,2015500,159.514557
"2020-10-12",169.470001,170.610001,168.119995,168.649994,1533600,158.902115
"2020-10-13",168.300003,169.449997,166,166.630005,1575300,156.998901
"2020-10-14",167.009995,169.539993,166.789993,168.399994,1435300,158.66658
"2020-10-15",166.050003,169.679993,165.800003,169.080002,1638100,159.307297
"2020-10-16",169.940002,172.070007,169.220001,170.970001,2478600,161.088043
"2020-10-19",171.020004,172.350006,168.869995,169.550003,1909900,159.750137
"2020-10-20",170.5,173.190002,169.990005,170.949997,1813000,161.069199
"2020-10-21",170.339996,172.110001,169.070007,169.169998,1511100,159.392075
"2020-10-22",169.639999,170.990005,168.389999,170.710007,1663200,160.843079
"2020-10-23",171.919998,172.179993,169.020004,169.800003,2137500,159.985687
"2020-10-26",167.679993,168.089996,164.389999,166.160004,3338800,156.556061
"2020-10-27",164.5,164.979996,160.649994,161.029999,3894400,151.722549
"2020-10-28",159.809998,162.850006,158.119995,158.529999,3065100,149.367065
"2020-10-29",158.110001,160.179993,156.130005,158.479996,2680900,149.319946
"2020-10-30",158.330002,159.960007,157,159.960007,2234500,150.714447
"2020-11-02",162.190002,163.419998,160.929993,162.940002,2116600,153.522171
"2020-11-03",164.860001,166.830002,163.740005,165.509995,1896900,155.943634
"2020-11-04",162.75,165.300003,159.899994,160.160004,3140900,150.902863
"2020-11-05",162.160004,164.410004,162.020004,163.199997,2178500,153.767136
"2020-11-06",163.660004,164.300003,161.570007,163.020004,1685000,153.597549
"2020-11-09",174.130005,175.429993,163.149994,163.429993,4418100,153.983856
"2020-11-10",165.190002,169.270004,163.860001,169.139999,3500400,159.3638
"2020-11-11",170.729996,170.740005,167.600006,169.210007,2884400,159.429779
"2020-11-12",168.149994,169.190002,165.580002,167.050003,2216700,157.394623
"2020-11-13",167.919998,170.259995,167.279999,169.789993,1812100,159.976227
"2020-11-16",172.619995,173.889999,170.179993,173.860001,2434300,163.81102
"2020-11-17",173.039993,174.5,170.860001,173.639999,2589900,163.603714
"2020-11-18",174.5,174.699997,171.330002,171.399994,2615800,161.493179
"2020-11-19",170.570007,171.880005,169.300003,171.610001,2986000,163.089767
"2020-11-20",171.5,172.949997,170.960007,172.889999,2656900,164.306213
"2020-11-23",173.759995,174.860001,173.449997,174.139999,2064300,165.494171
"2020-11-24",175,177.220001,174.899994,177.080002,3086000,168.288208
"2020-11-25",176.839996,177.339996,175.449997,177.119995,2052200,168.326218
"2020-11-27",177.820007,179.630005,175.570007,176.889999,1267100,168.107635
"2020-11-30",175.770004,176,172.699997,172.729996,6141300,164.15416
"2020-12-01",174.220001,175.690002,170.009995,170.520004,3859600,162.053925
"2020-12-02",170.259995,172.580002,170.220001,171.850006,2421800,163.317856
"2020-12-03",171.039993,173.389999,171.039993,171.830002,2377800,163.298859
"2020-12-04",172.130005,173.160004,171.539993,172.460007,2663600,163.897614
"2020-12-07",171.720001,172.5,169.179993,170.149994,2526800,161.702286
"2020-12-08",169.740005,172.830002,169.699997,172.460007,1730800,163.897614
"2020-12-09",172.669998,175.639999,171.929993,175.289993,2790900,166.587082
"2020-12-10",174.869995,175.399994,172.690002,173.490005,2228800,164.87645
"2020-12-11",172.300003,174.649994,172.169998,174.020004,1875700,165.380127
"2020-12-14",175.669998,176.199997,172.990005,173.080002,3700100,164.486801
"2020-12-15",174.389999,175.059998,172.550003,174.679993,2270600,166.007339
"2020-12-16",174.610001,175.850006,174.350006,175.410004,1949900,166.701126
