"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2020-11-10",1182.109985,1182.880005,1122.800049,1125.459961,225200,1125.459961
"2020-11-11",1138.060059,1149.97998,1128.23999,1134.400024,186600,1134.400024
"2020-11-12",1137.560059,1163.439941,1132.699951,1157.869995,130600,1157.869995
"2020-11-13",1158.75,1184.890015,1150.02002,1181.380005,128000,1181.380005
"2020-11-16",1186.810059,1188.349976,1168.369995,1187.930054,117300,1187.930054
"2020-11-17",1178.25,1196.619995,1171.920044,1193.359985,135600,1193.359985
"2020-11-18",1190.699951,1190.699951,1139.76001,1144.810059,176600,1144.810059
"2020-11-19",1142.98999,1154.199951,1141.73999,1147.339966,101000,1147.339966
"2020-11-20",1149.280029,1160.48999,1140.630005,1147.599976,223000,1147.599976
"2020-11-23",1148.790039,1155.430054,1130.689941,1138.680054,97200,1138.680054
"2020-11-24",1147.930054,1147.930054,1123.530029,1126.959961,157000,1126.959961
"2020-11-25",1130.680054,1134.119995,1111.699951,1125.160034,132200,1125.160034
"2020-11-27",1125.949951,1132.069946,1120.420044,1126.680054,55900,1126.680054
"2020-11-30",1123.48999,1151.550049,1123.48999,1150.040039,177400,1150.040039
"2020-12-01",1156.800049,1176.589966,1151.329956,1160.089966,202900,1160.089966
"2020-12-02",1157.709961,1161.420044,1132.97998,1139.75,93000,1139.75
"2020-12-03",1146.900024,1156.380005,1129.23999,1132,115000,1132
"2020-12-04",1132.52002,1140.599976,1122.680054,1131.75,173000,1131.75
"2020-12-07",1130.329956,1139.719971,1119.099976,1125.150024,174200,1125.150024
"2020-12-08",1122.829956,1165.930054,1118.949951,1161.329956,124700,1161.329956
"2020-12-09",1157.819946,1163.319946,1142.670044,1150.680054,127200,1150.680054
"2020-12-10",1151.280029,1156.160034,1140.859985,1151.819946,81400,1151.819946
"2020-12-11",1145.619995,1147.390015,1129.780029,1144.869995,119300,1144.869995
"2020-12-14",1148.699951,1168.01001,1137.650024,1139.26001,142700,1139.26001
"2020-12-15",1149.930054,1151.579956,1141.189941,1149.160034,129300,1149.160034
"2020-12-16",1144.079956,1149.550049,1108.790039,1111.26001,156200,1111.26001
"2020-12-17",1119.530029,1140.060059,1113.920044,1130.329956,153100,1130.329956
