"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2021-03-22",221.860001,227.690002,221.330002,225.830002,1917700,218.974289
"2021-03-23",226.589996,231.380005,225.580002,229.850006,1771200,222.872269
"2021-03-24",227.210007,229.259995,223.910004,227,2440800,220.108765
"2021-03-25",227.149994,228.470001,226.039993,227.220001,1859600,220.322098
"2021-03-26",230.869995,239.070007,229.059998,238.820007,2705200,231.569962
"2021-03-29",237.550003,242.820007,236.479996,241.830002,2211800,234.488571
"2021-03-30",240.210007,240.669998,235.630005,237.149994,1657000,229.950638
"2021-03-31",236.399994,240.889999,235.699997,239.059998,2143200,231.802658
"2021-04-01",240.059998,240.5,237.009995,240.059998,1726900,232.772308
"2021-04-05",240.779999,244.940002,240.330002,244.75,1716700,237.319916
"2021-04-06",244.089996,244.130005,241.179993,243.580002,1771800,236.185455
"2021-04-07",243.619995,245.869995,240.949997,244.710007,2143200,237.281158
"2021-04-08",245.270004,246.139999,240.759995,241.110001,1791700,233.790421
"2021-04-09",240.899994,241.449997,239.399994,240.389999,1888200,233.09227
"2021-04-12",240.699997,241.520004,238.800003,241.5,1463200,235.382767
"2021-04-13",241.5,243.410004,240.820007,243.009995,2242200,236.854507
"2021-04-14",243.139999,244.399994,240.860001,241.679993,1637200,235.558212
"2021-04-15",242.029999,247.259995,242.029999,247.160004,2096400,240.899399
"2021-04-16",248.389999,250.020004,245.699997,248.619995,1753000,242.322403
"2021-04-19",248.639999,249.220001,246.369995,248.539993,1209600,242.244446
"2021-04-20",247.740005,253.850006,247.740005,252.669998,1837300,246.269836
"2021-04-21",254.070007,255.029999,251.070007,252.179993,1096400,245.792221
"2021-04-22",250.729996,254.020004,250.089996,251.539993,1222800,245.168442
"2021-04-23",251.669998,255.279999,251.240005,254.039993,1511400,247.605103
"2021-04-26",254.100006,254.960007,252.240005,252.990005,1494400,246.581741
"2021-04-27",253.679993,254.550003,251.630005,252.490005,1324400,246.094376
"2021-04-28",252.580002,254.660004,251.410004,251.949997,1389200,245.568054
"2021-04-29",253,253,245.369995,250.410004,1901900,244.067078
"2021-04-30",249.979996,255,249.600006,254.770004,1816400,248.31662
"2021-05-03",253.949997,254.240005,252.149994,252.419998,1717300,246.026154
"2021-05-04",252.949997,252.949997,247.619995,248.880005,1826700,242.575821
"2021-05-05",244.699997,249.649994,244.029999,248.600006,2663500,242.302933
"2021-05-06",244.270004,246.830002,242.350006,244.020004,5244100,237.838928
"2021-05-07",245.649994,249.029999,245.009995,247.490005,5548400,241.221039
"2021-05-10",249,250.610001,247.369995,248.619995,2134200,242.322403
"2021-05-11",247.470001,248,244,247.320007,1779200,241.055359
"2021-05-12",246.089996,247.029999,241.429993,241.960007,1621400,235.831131
"2021-05-13",243,245.320007,240.869995,244,1474200,237.819443
"2021-05-14",245.169998,247.820007,244.619995,246.759995,1714500,240.509521
"2021-05-17",245,247.5,244.850006,245.889999,1443400,239.661575
"2021-05-18",245.860001,248.139999,241.440002,246.350006,2023000,240.109924
"2021-05-19",244.919998,247.399994,242.929993,246.039993,2177300,239.80777
"2021-05-20",246.619995,251.729996,245.210007,250.820007,1419100,244.466705
"2021-05-21",250.800003,251.479996,248.910004,249.949997,1586400,243.618729
"2021-05-24",250.699997,253.949997,250.240005,252.779999,1170100,246.37706
"2021-05-25",253.350006,254.729996,249.440002,253.369995,1325000,246.952072
"2021-05-26",254.179993,256.570007,252.75,254.460007,1519900,248.014481
"2021-05-27",254.059998,256.140015,252.899994,254.110001,3149500,247.67337
"2021-05-28",256.51001,257.529999,255.460007,255.460007,1494600,248.989151
"2021-06-01",256.640015,258.679993,254.949997,258.570007,1722300,252.020416
"2021-06-02",259,263,258.26001,262.929993,1912700,256.269928
"2021-06-03",262.829987,263.609985,260.76001,263.350006,1544000,256.679291
"2021-06-04",264.589996,265.660004,263.049988,265.279999,1789900,258.560425
"2021-06-07",266.089996,269.119995,265.119995,268.630005,1810700,261.825562
"2021-06-08",269.209991,269.209991,264.350006,266.019989,1424300,259.281647
"2021-06-09",266.959991,268.540009,266.5,267.01001,1239000,260.246613
"2021-06-10",266.350006,270.890015,265.679993,270.820007,1312100,263.960114
"2021-06-11",269.679993,269.790009,266.829987,268.350006,1335800,261.552673
"2021-06-14",268.429993,271,267.359985,270.940002,1152700,264.077087
"2021-06-15",270.859985,271.299988,268.619995,270.470001,1166100,263.618927
"2021-06-16",271.589996,271.809998,265.76001,266.529999,1595700,259.778748
"2021-06-17",264.519989,269.600006,263.779999,269.51001,1360700,263.940918
"2021-06-18",268.76001,269.579987,265.920013,265.940002,2770500,260.444702
"2021-06-21",265.98999,268.149994,264.01001,267.73999,1471000,262.20752
"2021-06-22",267.779999,268.380005,266.480011,266.609985,1156900,261.10083
"2021-06-23",266,266.609985,263.519989,264.220001,1330600,258.760223
"2021-06-24",265.540009,266.149994,262.329987,264.149994,910600,258.691681
"2021-06-25",264.410004,267.459991,263.809998,266.540009,1882700,261.032288
"2021-06-28",268.369995,272,268.369995,271.790009,1808500,266.173798
"2021-06-29",271.410004,273.779999,270.26001,272.790009,1624100,267.153137
"2021-06-30",272.970001,274.809998,270.029999,270.140015,1857900,264.557892
"2021-07-01",268.630005,271.73999,267.649994,270.329987,1537000,264.743988
"2021-07-02",271.299988,273.5,271.299988,272.869995,1207700,267.231476
"2021-07-06",272.869995,275.880005,271.570007,275.730011,1742700,270.03241
"2021-07-07",275.25,279.660004,274.01001,278.170013,1732300,272.421997
"2021-07-08",277.950012,280.209991,276.119995,277.920013,1179400,272.177155
"2021-07-09",277.670013,278.76001,275.320007,278.450012,1151700,272.696198
"2021-07-12",279.170013,280.649994,277.73999,279.98999,1323500,274.204346
"2021-07-13",278.140015,281.619995,277.640015,278.529999,1228200,272.774536
"2021-07-14",278,282.420013,277.01001,281.369995,1198100,275.555847
"2021-07-15",282.100006,283.220001,279.029999,281.279999,1082200,275.467712
"2021-07-16",282.23999,284.109985,281.140015,282.459991,2100700,276.623322
"2021-07-19",282.899994,284.649994,278.559998,280.890015,2166900,275.085785
"2021-07-20",283.109985,284.440002,279.690002,283,1502600,277.152161
"2021-07-21",282.679993,283.140015,279.929993,280.26001,1167000,274.468811
"2021-07-22",279.700012,282.119995,276.890015,281.600006,1152200,275.781097
"2021-07-23",282.25,285.73999,280.730011,285.26001,1144200,279.365448
"2021-07-26",283.369995,284.929993,282.48999,284.609985,1174400,278.728882
"2021-07-27",285.01001,287.5,284.029999,286.880005,1229200,280.951996
"2021-07-28",286.940002,287.299988,283.75,284.980011,1636000,279.091278
"2021-07-29",286,289.51001,282.26001,283,1768200,277.152161
"2021-07-30",284.690002,286.640015,282.730011,282.799988,1762200,276.956299
"2021-08-02",283.5,286.130005,283.170013,283.619995,1219300,277.759369
"2021-08-03",283.700012,285.820007,282.809998,284.350006,1e+06,278.474274
"2021-08-04",284.790009,285.76001,281.709991,284.869995,1315100,278.983521
"2021-08-05",286.429993,286.720001,281.130005,282.76001,1307700,276.917145
"2021-08-06",281.399994,283.440002,281.01001,282.119995,1459900,276.290344
"2021-08-09",282,282.420013,278.950012,280.059998,1093300,274.272919
"2021-08-10",281.549988,281.980011,275,275.299988,1293200,269.611298
"2021-08-11",276.410004,277.700012,275.369995,277.220001,871500,271.491608
"2021-08-12",278,280.480011,276.149994,280.049988,874400,274.263123
"2021-08-13",280.429993,282.950012,279.209991,282.920013,808000,277.073822
"2021-08-16",282.920013,284.559998,281.769989,283.200012,1066600,277.348053
"2021-08-17",281.140015,286.730011,281.140015,286.529999,922500,280.609222
"2021-08-18",285.959991,287.290009,283.329987,283.380005,1146200,277.524292
"2021-08-19",281.589996,289.730011,281.589996,289.140015,1203200,283.165314
"2021-08-20",289.399994,291.820007,287.75,290.820007,1712800,284.810577
"2021-08-23",289.380005,290.329987,287.309998,288.51001,1071400,282.54834
"2021-08-24",289.48999,289.809998,283.390015,284.600006,978000,278.719147
"2021-08-25",284.649994,284.690002,281.720001,282.899994,973400,277.05423
"2021-08-26",282.220001,284.869995,281.720001,283.179993,960900,277.32843
"2021-08-27",284.820007,285.809998,282.209991,285.5,882400,279.600525
"2021-08-30",285.5,291.769989,285.220001,291.679993,1632600,285.652832
"2021-08-31",289.829987,292.730011,288.799988,292.170013,2327100,286.13269
"2021-09-01",292.850006,298.440002,291.98999,297.959991,1658400,291.80304
"2021-09-02",298.100006,300.980011,295.690002,300.890015,1795800,294.672516
"2021-09-03",300.049988,302.299988,297.170013,302.01001,1645300,295.769348
"2021-09-07",300.5,301.940002,295.100006,299.220001,1535200,293.037048
"2021-09-08",298.660004,303.720001,298.369995,303.619995,1512700,297.346069
"2021-09-09",302.5,303.709991,296.690002,296.820007,1243100,290.686615
"2021-09-10",296.48999,297.149994,290.059998,293.880005,1488700,287.807373
"2021-09-13",296.51001,298.420013,293.179993,294.609985,1270100,288.522247
"2021-09-14",295.290009,297.790009,294.809998,296.399994,1109700,290.275299
"2021-09-15",296.619995,297.829987,294.25,297.26001,1044200,291.117523
"2021-09-16",296.790009,298,292.839996,297.140015,906500,291
"2021-09-17",293.839996,297.549988,293.570007,293.75,2994000,287.680054
"2021-09-20",291.540009,294.149994,287.609985,291.190002,2374700,285.172913
"2021-09-21",292.25,294.220001,290.670013,291.869995,1161500,285.838867
"2021-09-22",292.100006,294.920013,290.190002,293.549988,1172900,287.484161
"2021-09-23",293.5,293.5,285.429993,288,1634100,282.048859
"2021-09-24",287.890015,288.429993,281.359985,282.179993,2318700,276.349121
"2021-09-27",280.910004,281.850006,273.670013,274.100006,1776700,269.68808
"2021-09-28",270.799988,271.98999,266.769989,268.75,2317600,264.424194
"2021-09-29",269.899994,271.390015,268.190002,270.01001,1448500,265.66394
"2021-09-30",271.369995,272.369995,265.269989,265.410004,2090800,261.13797
"2021-10-01",267.01001,269.019989,265.089996,266.609985,1784600,262.318634
"2021-10-04",265.910004,267.380005,262.149994,265.230011,1387600,260.960846
"2021-10-05",265.399994,266.920013,262.309998,264.549988,1649200,260.291809
"2021-10-06",263.380005,268.450012,261.109985,267.959991,1421100,263.646912
"2021-10-07",269.200012,271.779999,265.609985,266.109985,1185000,261.82666
"2021-10-08",266.079987,266.140015,261.410004,262.079987,1064300,257.861542
"2021-10-11",261.920013,263.470001,260.519989,261.600006,1074800,257.389313
"2021-10-12",262.769989,265.890015,261.570007,264.549988,1352700,260.291809
"2021-10-13",263.299988,264.390015,259.320007,264.179993,1646600,259.927734
"2021-10-14",265.450012,268.390015,265.070007,267.869995,1370000,263.55835
"2021-10-15",269.790009,271.380005,267.079987,269.329987,3091300,264.994843
"2021-10-18",268.440002,270.25,266.929993,268,1354300,263.686279
"2021-10-19",269.720001,277.459991,269.040009,272.899994,1816900,268.507416
"2021-10-20",274.100006,276.880005,274.100006,276.040009,1109700,271.596863
"2021-10-21",275.790009,279.380005,273.279999,279.040009,1269100,274.548584
"2021-10-22",279.779999,285.309998,279,284.450012,1496300,279.871521
"2021-10-25",284.5,285.679993,280.619995,284.579987,1194700,279.99939
"2021-10-26",286,289.559998,285.399994,286.940002,1742300,282.321411
"2021-10-27",288.220001,291.170013,285.309998,285.420013,1280300,280.825897
"2021-10-28",285.5,289.98999,282.850006,286.01001,1391600,281.406403
"2021-10-29",284.230011,284.929993,279.640015,281.970001,2532000,277.431427
"2021-11-01",282.859985,283.160004,276.410004,282.100006,1520500,277.559326
"2021-11-02",282.809998,285.290009,279.51001,282.649994,1532500,278.100433
"2021-11-03",283.720001,285.420013,276.459991,280.600006,1133500,276.083466
"2021-11-04",281.799988,283.450012,277.640015,278.950012,1381000,274.460022
"2021-11-05",280.940002,281.440002,276.700012,277.829987,1214000,273.358002
"2021-11-08",278.25,279.220001,273.429993,278.76001,1014100,274.273102
"2021-11-09",279.890015,281.609985,278.799988,279.920013,823300,275.414429
"2021-11-10",278.630005,281.480011,275.559998,275.880005,925300,271.439453
"2021-11-11",276.130005,276.700012,270.369995,272.480011,1221800,268.094147
"2021-11-12",274.48999,275.220001,271.600006,272.100006,991200,267.720245
"2021-11-15",267.329987,268.540009,259.140015,260.5,3467600,256.306976
"2021-11-16",262.130005,262.329987,258.630005,259.040009,2783200,254.870499
"2021-11-17",259.100006,260.399994,254.699997,257.529999,3451600,253.384796
"2021-11-18",257.600006,259.769989,253.399994,258.959991,2436700,254.791779
"2021-11-19",260.899994,264.290009,259.609985,260.980011,2036700,256.779297
"2021-11-22",260,261.059998,256.630005,257.630005,1835200,253.483215
"2021-11-23",258.26001,262.209991,256.75,262,2070900,257.782837
"2021-11-24",262.880005,266.01001,260.5,265.480011,1320800,261.206848
"2021-11-26",266.579987,267.5,262.269989,262.869995,1161800,258.638855
"2021-11-29",264.130005,269.309998,261.48999,266.940002,1842900,262.643341
"2021-11-30",264.160004,268.149994,262.359985,262.480011,2759500,258.255157
"2021-12-01",263.980011,267.540009,258.51001,258.950012,2629100,254.781967
"2021-12-02",259.730011,267.73999,259.269989,266.23999,1902600,261.954559
"2021-12-03",265.720001,269.230011,263.459991,266.959991,1804000,262.662994
"2021-12-06",268.529999,272.899994,267.339996,269.570007,1864800,265.230988
"2021-12-07",271.25,277.320007,271.25,276.809998,2133000,272.354462
"2021-12-08",276.390015,277.920013,273.540009,275.850006,1327600,271.409912
"2021-12-09",275.880005,276.98999,270.929993,271.059998,1116100,266.697021
"2021-12-10",270.910004,274.179993,269.450012,272.570007,1352400,268.182739
"2021-12-13",272,277.329987,270.350006,276.019989,1836400,271.577179
"2021-12-14",274.470001,278.100006,271.01001,273.410004,2225100,269.009186
"2021-12-15",274.160004,276.190002,271.119995,274.350006,1932500,269.934052
"2021-12-16",274.799988,279.670013,274.709991,279.470001,1791500,274.971619
"2021-12-17",279.25,283.75,277.820007,278.859985,3248700,274.37149
"2021-12-20",275.850006,279.540009,275.01001,278.459991,1551000,273.977875
"2021-12-21",280.299988,282.040009,276.579987,277.850006,1381900,273.377747
"2021-12-22",278.950012,281.339996,277.709991,281.25,914200,276.722992
"2021-12-23",280,280.459991,276.459991,278.73999,1016000,275.61557
"2021-12-27",280.059998,285.910004,278.459991,285.76001,1235300,282.556885
"2021-12-28",285.76001,288.940002,284.720001,288.48999,1065600,285.256256
"2021-12-29",286.799988,289.5,286.799988,288.880005,1430600,285.641907
"2021-12-30",289.609985,291.98999,287.410004,291.140015,1370200,287.876556
"2021-12-31",291.399994,294.399994,289.940002,292.5,1274100,289.221313
"2022-01-03",292.369995,292.549988,280.279999,286.380005,1597900,283.169952
"2022-01-04",287.190002,288.25,282.459991,282.769989,1813300,279.600403
"2022-01-05",278.970001,279.440002,262.230011,264.570007,4486100,261.604401
