"","DHI.Open","DHI.High","DHI.Low","DHI.Close","DHI.Volume","DHI.Adjusted"
"2020-10-30",67.709999,68.589996,66.129997,66.809998,3353300,65.655586
"2020-11-02",68.660004,69.5,67.980003,69.18,2550500,67.984634
"2020-11-03",70.239998,70.57,68.720001,69.459999,2724000,68.259796
"2020-11-04",71.25,75.540001,70.75,74.75,4198600,73.458397
"2020-11-05",75.139999,75.599998,72.720001,72.910004,3106300,71.6502
"2020-11-06",72.790001,72.940002,69.709999,70.610001,2305200,69.389938
"2020-11-09",71.900002,72.339996,64.82,64.949997,7374200,63.827728
"2020-11-10",66.989998,71.809998,66.360001,70.879997,7652800,69.655266
"2020-11-11",72.220001,72.889999,70.43,72.849998,4285300,71.591225
"2020-11-12",72.540001,73.489998,70.739998,71.419998,2790200,70.185928
"2020-11-13",72.089996,74.139999,71.589996,73.269997,2337200,72.003967
"2020-11-16",73.660004,74.379997,71.949997,74.129997,2251000,72.849121
"2020-11-17",73.849998,75.389999,73.019997,73.470001,2783000,72.200508
"2020-11-18",73.699997,75.5,73.239998,74.540001,2741100,73.252022
"2020-11-19",74.559998,76.489998,74.18,75.099998,3459800,73.802345
"2020-11-20",75.07,75.989998,74.400002,75,2056000,73.704079
"2020-11-23",75.559998,77.57,75.169998,77.279999,1943300,75.944679
"2020-11-24",77.839996,78.25,74,74.290001,3863100,73.00634
"2020-11-25",75.269997,76.529999,74.260002,76.059998,2363100,74.745766
"2020-11-27",75.889999,77.239998,75.57,75.980003,1215100,74.667137
"2020-11-30",76.019997,76.25,73.160004,74.5,6141300,73.2127
"2020-12-01",74.629997,75.300003,71.879997,72.089996,2872800,70.844353
"2020-12-02",71.839996,72.050003,69.040001,69.269997,3830600,68.073082
"2020-12-03",69.379997,72.650002,69.279999,72.339996,2752700,71.295883
"2020-12-04",71.860001,72.129997,70.43,71.269997,2647400,70.241325
"2020-12-07",71.389999,73.889999,70.650002,73.800003,2818800,72.734802
"2020-12-08",73.129997,73.540001,70.43,70.830002,3485800,69.807686
"2020-12-09",72.360001,72.360001,69.139999,69.910004,4876900,68.900963
"2020-12-10",69.279999,70.639999,68.900002,69.970001,2230800,68.960091
"2020-12-11",69.949997,71.25,69.5,69.910004,2028400,68.900963
"2020-12-14",70.900002,71.68,70.339996,70.400002,2662500,69.383896
"2020-12-15",70.760002,71.709999,70.620003,70.949997,2101300,69.925941
"2020-12-16",71.43,71.589996,70.169998,71.18,2001100,70.152618
"2020-12-17",72.099998,74.699997,72.099998,73.470001,4656900,72.409569
"2020-12-18",73.559998,73.760002,72.779999,73.230003,5122200,72.17305
"2020-12-21",72.209999,73.25,71.120003,72.510002,2451100,71.46344
"2020-12-22",72.5,73.099998,71.800003,72.32,1836200,71.276169
"2020-12-23",72.5,72.550003,70.5,70.75,2706800,69.728836
"2020-12-24",70.75,72.220001,70.139999,71.849998,1634400,70.812958
"2020-12-28",72,72.010002,70.209999,70.400002,1984000,69.383896
"2020-12-29",70.769997,71.029999,69.68,69.989998,2593800,68.979805
"2020-12-30",70.010002,71.269997,69.989998,70.120003,1506500,69.107941
"2020-12-31",70,70,68.800003,68.919998,2195300,67.92524
"2021-01-04",69.239998,69.5,65.900002,67.339996,3439300,66.368057
"2021-01-05",67.010002,67.440002,66.190002,66.410004,2583000,65.451485
"2021-01-06",65.379997,66.489998,64.32,65.849998,4355900,64.899567
"2021-01-07",66.07,68.919998,66.07,68.690002,3435100,67.698586
"2021-01-08",69.449997,69.709999,66.550003,66.959999,3091700,65.993538
"2021-01-11",66.599998,68.889999,65.900002,68.059998,2404100,67.077667
"2021-01-12",68.209999,68.589996,67.040001,68.43,3627000,67.442314
"2021-01-13",69.589996,71.449997,68.550003,68.720001,2945300,67.728127
"2021-01-14",69.349998,69.349998,68.379997,69.029999,3462500,68.033661
"2021-01-15",69.139999,70.279999,69.040001,69.360001,2372000,68.358902
"2021-01-19",70.5,71.790001,69.870003,71.309998,3939400,70.280754
"2021-01-20",71.75,76.160004,71.419998,75.110001,4669300,74.025894
"2021-01-21",76.300003,78.160004,75.400002,76.57,3851000,75.464828
"2021-01-22",76,78.050003,75.300003,77.709999,3681600,76.588387
"2021-01-25",78.610001,80.910004,78.300003,78.970001,5327100,77.8302
"2021-01-26",80.519997,83.25,76.769997,77.790001,4990200,76.667229
"2021-01-27",76.769997,78.75,74.199997,74.660004,3849400,73.582397
"2021-01-28",74.699997,77.589996,73.629997,76.800003,3436300,75.691521
"2021-01-29",76.139999,77.650002,75.160004,76.800003,5228200,75.691521
"2021-02-01",77.449997,77.830002,75.900002,77.089996,2717800,75.977318
"2021-02-02",77.379997,77.959999,75.860001,77.419998,2247600,76.302559
"2021-02-03",77.120003,77.800003,76.199997,76.550003,2495400,75.445122
"2021-02-04",76.639999,77.949997,75.529999,77.080002,2838400,75.967476
"2021-02-05",77.760002,80.779999,76.809998,80.019997,2924400,78.865028
"2021-02-08",80.839996,83.059998,80.580002,82.959999,2488000,81.762596
"2021-02-09",83.150002,83.330002,81.349998,81.800003,2669600,80.619354
"2021-02-10",81.760002,83.489998,81.029999,82.559998,2238200,81.36837
"2021-02-11",83.010002,84.410004,82.589996,83.449997,1666000,82.245529
"2021-02-12",82.809998,83.75,81.82,82.18,1779100,80.993866
"2021-02-16",81.610001,81.940002,78.639999,78.959999,3708500,78.010193
"2021-02-17",78.230003,78.970001,76.519997,78.389999,3054900,77.447037
"2021-02-18",78.220001,79.150002,77.860001,78.239998,1887700,77.298843
"2021-02-19",78.68,79.709999,78.339996,79.209999,2609700,78.257179
"2021-02-22",78.800003,79.279999,77.379997,77.459999,2844400,76.528229
"2021-02-23",77.230003,78.360001,75.610001,77.900002,2885800,76.962936
"2021-02-24",77.25,80.099998,75.160004,80.050003,3835900,79.087082
"2021-02-25",79.019997,79.389999,74.120003,74.529999,6323600,73.633476
"2021-02-26",75.660004,77.93,75.160004,76.870003,4991500,75.945335
"2021-03-01",78.410004,78.949997,77.239998,77.639999,2242700,76.70607
"2021-03-02",78,79.300003,76.93,78.779999,3377400,77.832352
"2021-03-03",78.190002,78.43,76.010002,76.040001,2419000,75.125313
"2021-03-04",76,77.910004,72.57,74.809998,4402400,73.91011
"2021-03-05",75.82,79.290001,73.550003,79.010002,4396300,78.059593
"2021-03-08",79.379997,81.699997,78.940002,80.510002,3037600,79.54155
"2021-03-09",81.239998,82.739998,79.529999,79.739998,2770800,78.780792
"2021-03-10",80.510002,82.739998,79.82,82.089996,2850100,81.102531
"2021-03-11",84.949997,85,82.18,83.309998,4141000,82.307861
"2021-03-12",81.449997,82.209999,79.389999,80.690002,4333000,79.719376
"2021-03-15",81.150002,83.75,80.790001,83.720001,2796400,82.712936
"2021-03-16",84.389999,85.809998,83.239998,83.260002,3426100,82.258461
"2021-03-17",82.480003,87.239998,81.580002,86.989998,4342900,85.943588
"2021-03-18",85.699997,85.989998,82.139999,82.68,4208300,81.68544
"2021-03-19",82.699997,84.419998,81.709999,83.629997,4835700,82.624001
"2021-03-22",84.559998,84.989998,82.800003,84.489998,2193900,83.473663
"2021-03-23",84.730003,85.489998,82.75,83.440002,2470300,82.436302
"2021-03-24",83.809998,85.720001,83.449997,83.559998,1968200,82.554848
"2021-03-25",82.139999,86.510002,81.809998,86.050003,2914400,85.0149
"2021-03-26",86.580002,89.980003,85.839996,89.849998,3499900,88.769188
"2021-03-29",89.860001,91.050003,87.589996,87.870003,3228600,86.813019
"2021-03-30",87.110001,89.860001,86.910004,89.239998,2003500,88.166534
"2021-03-31",89.989998,90.330002,88.639999,89.120003,2513200,88.047974
"2021-04-01",90.050003,91.169998,89.339996,91.050003,2443100,89.95475
"2021-04-05",91.699997,92.779999,90.730003,92.639999,2481500,91.52562
"2021-04-06",92.419998,94.199997,92.019997,93.379997,2810800,92.256729
"2021-04-07",93.760002,93.989998,91.5,92.169998,2282100,91.061287
"2021-04-08",92.32,92.519997,91.239998,91.470001,2036500,90.369705
"2021-04-09",91.470001,94.190002,90.900002,93.93,2169800,92.80011
"2021-04-12",93.919998,94.330002,92.919998,93.75,2623700,92.622269
"2021-04-13",93.25,93.589996,91.870003,93.139999,2598300,92.019615
"2021-04-14",92.790001,93.82,92.279999,92.830002,1938600,91.713348
"2021-04-15",94,94.050003,92.839996,93.050003,2771800,91.930702
"2021-04-16",93.589996,96.809998,93.489998,96.370003,4065300,95.210754
"2021-04-19",96.809998,96.910004,94.889999,95.720001,2355900,94.568581
"2021-04-20",95.480003,95.93,90.669998,91.93,2984700,90.824173
"2021-04-21",92.18,93.730003,92.099998,93.300003,2569800,92.177689
"2021-04-22",90.900002,94.970001,89.800003,94.919998,5456800,93.778198
"2021-04-23",95.699997,98.540001,95,98.209999,4052800,97.028633
"2021-04-26",98.510002,100.910004,98.150002,100.410004,3697400,99.202164
"2021-04-27",101.059998,102.599998,100.330002,100.580002,3902700,99.370125
"2021-04-28",100.650002,100.919998,99.330002,99.809998,2618200,98.609383
"2021-04-29",100.690002,101.669998,99.720001,101.470001,2290600,100.249413
"2021-04-30",100.889999,100.889999,98.040001,98.290001,5110400,97.107674
"2021-05-03",99.620003,101.470001,99.010002,100.849998,3174600,99.636864
"2021-05-04",100.379997,101.809998,99.360001,101.660004,2250800,100.437134
"2021-05-05",102.309998,102.470001,100.620003,101.709999,2227800,100.486519
"2021-05-06",102.160004,102.400002,100.019997,101.5,2128300,100.279053
"2021-05-07",101.610001,104.169998,100.709999,103.870003,2438300,102.823158
"2021-05-10",103.580002,106.889999,102.82,104.449997,2652900,103.397301
"2021-05-11",102.860001,103.300003,99.110001,99.599998,3834400,98.596191
"2021-05-12",98.669998,98.68,92.260002,92.349998,7788700,91.419258
"2021-05-13",92.809998,95.639999,92.660004,94.970001,5582600,94.012863
"2021-05-14",96,96.629997,95.150002,96.290001,2226200,95.31955
"2021-05-17",96.080002,96.400002,93,95.650002,3069400,94.685997
"2021-05-18",95.989998,96.120003,92,92.239998,4157900,91.310364
"2021-05-19",90.160004,91.830002,89.040001,91.309998,5975000,90.38974
"2021-05-20",91.239998,92.959999,90.989998,91.510002,3541600,90.587723
"2021-05-21",91.900002,92.800003,89.800003,90.529999,3723600,89.617599
"2021-05-24",91.230003,91.739998,90.800003,91.099998,2294300,90.181854
"2021-05-25",91.68,94.150002,91.68,93.199997,3830700,92.260681
"2021-05-26",93.540001,95.650002,93.32,94.290001,3265600,93.339706
"2021-05-27",94.93,95.940002,94.290001,95.580002,4281400,94.616707
"2021-05-28",96.169998,96.639999,94.669998,95.290001,1700000,94.329628
"2021-06-01",96.650002,96.779999,93.849998,95.050003,2572400,94.092056
"2021-06-02",95.050003,95.32,92.790001,92.959999,3241600,92.023109
"2021-06-03",92.010002,92.199997,89.870003,91.330002,3085800,90.409538
"2021-06-04",91.75,92.730003,90.410004,92.580002,2336600,91.646935
"2021-06-07",92.800003,92.879997,91.529999,92.330002,2104700,91.39946
"2021-06-08",93.599998,93.599998,92.129997,92.889999,1673400,91.953812
"2021-06-09",93.07,93.370003,90.459999,90.68,2051800,89.76609
"2021-06-10",89.910004,89.989998,86.93,87.839996,6815800,86.954704
"2021-06-11",88.449997,89.190002,87.470001,88.730003,3261000,87.835747
"2021-06-14",89.18,89.279999,87.610001,87.980003,3862300,87.0933
"2021-06-15",88.540001,89.25,87.599998,88.660004,2490100,87.766449
"2021-06-16",88.910004,89.160004,86.730003,87.330002,5329900,86.449844
"2021-06-17",86.82,90.029999,86.739998,88.870003,4242500,87.974335
"2021-06-18",87.610001,91.269997,87.360001,89.940002,5397100,89.033554
"2021-06-21",90.300003,91.309998,89.75,90.550003,3232000,89.637405
"2021-06-22",91.129997,91.459999,90.059998,90.980003,2347800,90.063065
"2021-06-23",91.169998,91.18,88.379997,89.660004,2427400,88.756378
"2021-06-24",90.029999,90.040001,88.5,89.32,3470700,88.4198
"2021-06-25",89.209999,89.959999,88.43,88.849998,5722200,87.954529
"2021-06-28",89.449997,89.849998,88.550003,89.580002,2756300,88.677177
"2021-06-29",89.269997,91.68,89.269997,90.510002,2639500,89.597801
"2021-06-30",89.980003,90.769997,89.519997,90.370003,3960700,89.459206
"2021-07-01",90.519997,93.120003,90.190002,92.809998,3265300,91.874619
"2021-07-02",93.400002,93.599998,91.940002,92.360001,1498700,91.429153
"2021-07-06",92.360001,92.690002,89.809998,90.900002,3527700,89.983871
"2021-07-07",91.099998,93.709999,90.889999,92.989998,2481300,92.052803
"2021-07-08",89.300003,90.940002,88.5,89.089996,4112100,88.192116
"2021-07-09",89.870003,90.529999,89.099998,89.57,2290400,88.667267
"2021-07-12",88.699997,89.300003,87.769997,89.029999,2715700,88.132721
"2021-07-13",88.440002,88.660004,86.190002,86.510002,3075900,85.638115
"2021-07-14",87.349998,87.830002,86.239998,86.769997,2233700,85.895493
"2021-07-15",86.220001,87.230003,85.610001,87.040001,2003400,86.162781
"2021-07-16",87.089996,88.150002,86.110001,86.300003,2199500,85.430237
"2021-07-19",85,87.489998,84.790001,86.790001,4129800,85.915291
"2021-07-20",87.190002,89.489998,86.620003,89.059998,3238700,88.162407
"2021-07-21",89.18,91.720001,88.910004,91.470001,3322500,90.548126
"2021-07-22",87.260002,89.940002,86.5,89.639999,5580700,88.736565
"2021-07-23",91.779999,94.019997,90.949997,93.550003,4888300,92.60717
"2021-07-26",94.5,94.919998,91.75,92.519997,3087500,91.587532
"2021-07-27",92.25,93.459999,90.860001,93.139999,1826700,92.201286
"2021-07-28",92.730003,93.290001,90.849998,91.290001,2485700,90.369942
"2021-07-29",92.120003,95.940002,92.080002,95.510002,2633300,94.547409
"2021-07-30",94.620003,96.559998,94.620003,95.43,3389300,94.468216
"2021-08-02",96.57,97.489998,95.870003,96.489998,2580300,95.517532
"2021-08-03",96.730003,97.660004,95.559998,97.550003,1988500,96.566849
"2021-08-04",96.720001,97.860001,95.800003,95.849998,2115900,94.88398
"2021-08-05",96.010002,97.110001,95.720001,96.339996,1879300,95.369041
"2021-08-06",96.449997,97.18,94.349998,94.699997,1762400,93.745575
"2021-08-09",94.300003,95.389999,93.589996,94.209999,1578300,93.457886
"2021-08-10",94.309998,96.980003,94.010002,95.709999,1790300,94.945908
"2021-08-11",95.690002,98.550003,95.419998,98.449997,2430300,97.664032
"2021-08-12",98.400002,98.980003,96.870003,97.379997,1404100,96.602577
"2021-08-13",97.760002,98.139999,96.440002,97.779999,1284900,96.999382
"2021-08-16",97.529999,99.650002,96.800003,98.410004,2575700,97.624359
"2021-08-17",97.199997,97.459999,93.129997,94.580002,2980300,93.824928
"2021-08-18",93.279999,95.25,92.830002,93.440002,2984100,92.694031
"2021-08-19",92.07,93.790001,91.720001,93.239998,2598100,92.495636
"2021-08-20",93,95.489998,92.910004,94.900002,1914100,94.14238
"2021-08-23",95.169998,95.279999,93,94.629997,1828200,93.874535
"2021-08-24",95.040001,97.470001,94.379997,95.959999,1639100,95.193916
"2021-08-25",96.360001,98,96.199997,97.160004,1559500,96.384338
"2021-08-26",96.93,97.379997,94.919998,95.550003,1567500,94.787193
"2021-08-27",95.879997,97.690002,95.57,96.959999,1597700,96.185936
"2021-08-30",97,97.239998,95.879997,96.089996,1852100,95.322868
"2021-08-31",96.809998,96.870003,95.010002,95.620003,3173500,94.856628
"2021-09-01",95.720001,97.150002,95.57,97.010002,1763200,96.235535
"2021-09-02",97.540001,97.699997,96.129997,96.650002,1713300,95.878403
"2021-09-03",96.080002,96.739998,94.150002,94.959999,2419000,94.201904
"2021-09-07",94.279999,95.5,93.410004,93.790001,2847700,93.041237
"2021-09-08",91.510002,93.209999,91.050003,91.400002,4286700,90.670319
"2021-09-09",91.470001,91.57,89.360001,90.239998,4449500,89.519577
"2021-09-10",91.160004,91.690002,89.449997,89.589996,1913600,88.874771
"2021-09-13",90.099998,90.160004,87.589996,89,3646600,88.289474
"2021-09-14",89.75,89.849998,87.220001,87.879997,2454500,87.178413
"2021-09-15",87.5,88.830002,87.080002,88.639999,2948400,87.93235
"2021-09-16",88.379997,91.470001,88.379997,90.300003,3295000,89.579094
"2021-09-17",90,91.07,89.800003,90.800003,4521600,90.075104
"2021-09-20",88.830002,90.25,86.730003,88.080002,3568800,87.376823
"2021-09-21",87.809998,88.790001,87.019997,87.93,2378100,87.22802
"2021-09-22",88.919998,89.769997,88.269997,88.470001,1867000,87.76371
"2021-09-23",88.699997,89.019997,87.230003,87.32,2948600,86.622894
"2021-09-24",87.080002,87.669998,85.919998,87.040001,2061200,86.345131
"2021-09-27",86.389999,87.760002,85.790001,87.330002,2659600,86.632813
"2021-09-28",86.769997,87.040001,84.239998,85.089996,2859100,84.41069
"2021-09-29",85.589996,87.139999,85.589996,86.480003,2429200,85.789604
"2021-09-30",87.139999,87.5,83.940002,83.970001,2854300,83.299637
"2021-10-01",84.290001,84.809998,83.330002,83.75,2096100,83.08139
"2021-10-04",83.349998,84.010002,82.660004,83.010002,2113100,82.347305
"2021-10-05",83.230003,83.809998,82.309998,82.959999,2027700,82.297699
"2021-10-06",82.5,84.150002,82.300003,83.199997,2326900,82.535774
"2021-10-07",83.980003,85.669998,83.980003,84.290001,1691200,83.617081
"2021-10-08",84.57,84.75,83.019997,83.410004,2119900,82.744102
"2021-10-11",83.230003,84.209999,83.099998,83.290001,1994200,82.625069
"2021-10-12",83.540001,84.269997,82.940002,83.720001,1829600,83.051636
"2021-10-13",84.07,85.400002,83.919998,84.830002,2091100,84.152771
"2021-10-14",85.230003,87.559998,85.129997,87.440002,2225400,86.741943
"2021-10-15",88.25,88.639999,86.739998,87.050003,2375800,86.355049
"2021-10-18",86.599998,88.559998,86.470001,88.43,1954600,87.724022
"2021-10-19",88.620003,88.779999,87.510002,88.290001,1243300,87.585144
"2021-10-20",88.75,90.050003,88.410004,89.519997,1718400,88.805328
"2021-10-21",88.730003,89.300003,88.529999,89.220001,1478900,88.507721
"2021-10-22",89.290001,90.489998,88.510002,88.589996,1900700,87.882751
"2021-10-25",88.519997,89.360001,88,88.57,2267900,87.862907
"2021-10-26",88.830002,89.089996,87.589996,88.699997,2349500,87.991875
"2021-10-27",89.129997,92,87.720001,87.769997,3009700,87.06929
"2021-10-28",88.410004,89.669998,87.769997,89.360001,2374500,88.646606
"2021-10-29",89.169998,90.580002,89.010002,89.269997,1727300,88.55732
"2021-11-01",89.330002,90.519997,88.099998,90.300003,2202800,89.579094
"2021-11-02",90.379997,90.57,88.129997,88.5,1792400,87.793465
"2021-11-03",88.139999,90.550003,88.07,88.809998,2511000,88.100998
"2021-11-04",89.559998,92.360001,89.5,90.150002,2633500,89.430298
"2021-11-05",91,93.019997,90.489998,92.5,2228300,91.761528
"2021-11-08",92.639999,93.669998,92.019997,92.720001,2998000,91.979774
"2021-11-09",95.019997,98.32,95,97.519997,4485700,96.741455
"2021-11-10",97.099998,98.239998,94.230003,95.019997,3113100,94.261414
"2021-11-11",95.610001,97.059998,94.919998,96.360001,2578000,95.590721
"2021-11-12",96.790001,97.940002,96.360001,97.790001,1458100,97.009308
"2021-11-15",98,98.389999,97,97.300003,2074700,96.523216
"2021-11-16",97.620003,99.730003,96.879997,99.110001,2711400,98.318771
"2021-11-17",99.900002,101.889999,99.309998,101.540001,3325300,100.72937
"2021-11-18",102.150002,102.650002,101.120003,101.839996,2485400,101.02697
"2021-11-19",101.959999,104.339996,101.940002,102.169998,2404500,101.354332
"2021-11-22",102.510002,103.129997,100.110001,100.169998,3032900,99.3703
"2021-11-23",99.760002,101.900002,98.949997,101.75,2559200,100.937683
"2021-11-24",101.459999,102,100.5,101.089996,1824600,100.282951
"2021-11-26",99,100.470001,97.709999,98.75,2375600,97.961647
"2021-11-29",99.75,100,97.400002,98.760002,2122400,97.971565
"2021-11-30",98.690002,100.779999,96.809998,97.699997,5342500,96.920021
"2021-12-01",97.389999,100.529999,97.389999,97.760002,3887800,96.979546
"2021-12-02",98.919998,103.169998,98.089996,102.779999,3649000,101.959465
"2021-12-03",103.669998,104.050003,101.230003,102.540001,2801600,101.944557
"2021-12-06",104.129997,106.230003,103.650002,105.709999,4196000,105.096146
"2021-12-07",106.5,107.029999,105.230003,106.160004,2452400,105.543541
"2021-12-08",106.93,108.089996,106,106.980003,2448700,106.35878
"2021-12-09",106.769997,108.870003,106.160004,106.959999,2577000,106.33889
"2021-12-10",107.849998,109.760002,107.489998,109.650002,3255500,109.013275
"2021-12-13",109.660004,110.449997,107.760002,108.019997,3637500,107.392738
"2021-12-14",106.389999,106.800003,104.129997,104.739998,4156800,104.131775
"2021-12-15",105.449997,107.599998,104.290001,107.370003,6796500,106.746513
"2021-12-16",106.360001,106.660004,103.709999,104.470001,5464400,103.86335
"2021-12-17",104.190002,104.690002,102.300003,103.019997,4291000,102.421768
"2021-12-20",101.730003,101.93,99.239998,101.379997,2709700,100.79129
"2021-12-21",102.400002,103.57,102.07,103.489998,1839500,102.889038
"2021-12-22",103.5,105.82,103.489998,105.580002,2501900,104.966904
"2021-12-23",106,106.209999,104.5,104.919998,2660800,104.31073
"2021-12-27",105.550003,106.25,105.080002,106.209999,4083300,105.593246
"2021-12-28",106.209999,107.800003,106.120003,106.949997,1524300,106.328941
"2021-12-29",106.760002,108.830002,106.599998,108.360001,1216700,107.730766
"2021-12-30",108.379997,108.879997,107.129997,107.510002,1038000,106.885696
"2021-12-31",107.510002,108.989998,107.07,108.449997,983200,107.820229
"2022-01-03",107.910004,108.639999,104.510002,105.260002,2468600,104.648766
"2022-01-04",105.830002,106.75,104.739998,105.720001,3503000,105.106094
"2022-01-05",105.25,108.099998,102.949997,103.07,3506100,102.471474
"2022-01-06",102.650002,102.830002,100.220001,101.5,3891600,100.910599
