"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2020-11-16",406.76001,414.970001,404.619995,414.529999,325500,405.620514
"2020-11-17",412.470001,412.899994,405.519989,410.459991,245900,401.638031
"2020-11-18",411.48999,420.540009,411.48999,415.01001,310400,406.09024
"2020-11-19",413.059998,424.079987,411.529999,422.859985,290500,413.771484
"2020-11-20",419.339996,419.339996,405.230011,409.299988,417600,400.50296
"2020-11-23",411.350006,416.279999,407.920013,414.850006,241100,405.933685
"2020-11-24",416.369995,423.970001,415.230011,420.549988,324700,411.511139
"2020-11-25",420.140015,421.690002,410.209991,414.579987,507400,405.669464
"2020-11-27",413.829987,418.730011,413.829987,414.579987,140600,405.669464
"2020-11-30",414,418.75,411.579987,418.299988,565500,409.309509
"2020-12-01",424.329987,427.899994,412.769989,413.140015,346800,404.260406
"2020-12-02",411.720001,415.399994,406.089996,407.320007,254300,398.565521
"2020-12-03",405.070007,410.399994,401.660004,402.679993,256400,394.025238
"2020-12-04",402.119995,407.440002,402.119995,404.769989,226400,396.070282
"2020-12-07",402.440002,409.100006,402.309998,405,228000,396.295349
"2020-12-08",403,408.130005,403,406.670013,215300,397.929504
"2020-12-09",410.130005,412.850006,407.809998,411.220001,245800,402.381653
"2020-12-10",408.320007,408.320007,400.5,402.320007,254500,393.672974
"2020-12-11",400,405.880005,400,403.529999,265600,394.856964
"2020-12-14",400,405.890015,400,400.459991,241300,391.852905
"2020-12-15",403.51001,408.079987,401.549988,405.600006,207400,396.882507
"2020-12-16",405.279999,408.320007,402.040009,406.380005,255900,397.645721
"2020-12-17",407.579987,411.079987,407.040009,410.040009,259100,401.22702
"2020-12-18",410.470001,411.709991,404.549988,410.459991,536500,401.638031
"2020-12-21",405,414.01001,401.600006,411.779999,317400,402.929596
"2020-12-22",413.450012,413.73999,410,410.329987,262500,401.510773
"2020-12-23",410.100006,412.380005,403.440002,410.660004,321100,401.833771
"2020-12-24",410.369995,416.040009,410.369995,415.570007,152800,406.638153
"2020-12-28",418.350006,422.559998,413.890015,414.299988,203700,405.395477
"2020-12-29",415.640015,416.649994,405.589996,407.279999,202600,398.526337
"2020-12-30",407.149994,409.769989,402.959991,406.829987,179900,398.086029
"2020-12-31",405.720001,408.850006,402.309998,408.339996,223500,399.563568
"2021-01-04",410.440002,411.48999,391.170013,393.720001,432700,385.257813
"2021-01-05",392.929993,398.75,392.929993,394.859985,381800,386.373291
"2021-01-06",395.899994,401.209991,394.450012,397.170013,377900,388.633667
"2021-01-07",398.25,400.890015,391.399994,400.01001,319900,391.412628
"2021-01-08",403.470001,404.160004,388.329987,396.679993,418400,388.154175
"2021-01-11",393.73999,395.820007,391.079987,391.709991,336600,383.290985
"2021-01-12",393.619995,402.579987,390.839996,401.660004,350600,393.02713
"2021-01-13",401.470001,402.160004,387.410004,388.48999,400400,380.140198
"2021-01-14",389.570007,392.079987,382.01001,383.399994,323100,375.159576
"2021-01-15",382,390.26001,378.369995,388.660004,852500,380.306549
"2021-01-19",391.529999,395.429993,388.660004,394.48999,340300,386.011292
"2021-01-20",396.059998,396.059998,388.329987,392.959991,307900,384.514099
"2021-01-21",392,395.929993,389.720001,391.149994,316600,382.743042
"2021-01-22",389.709991,395.839996,386.570007,393.48999,248400,385.032776
"2021-01-25",393.450012,394.779999,386.690002,387.940002,306500,379.602051
"2021-01-26",388.019989,389.720001,376.51001,376.690002,346300,368.593842
"2021-01-27",373.820007,374.570007,360.970001,370.459991,636400,362.497711
"2021-01-28",371.190002,376.700012,368.809998,371.910004,660000,363.916595
"2021-01-29",369.799988,374,360.940002,364.390015,460800,356.558197
"2021-02-01",367.190002,372.640015,366.279999,370.320007,395500,362.360718
"2021-02-02",374.799988,378.339996,369.980011,373.109985,419400,365.090759
"2021-02-03",368.75,371.950012,356.230011,366.109985,661700,358.241211
"2021-02-04",368.420013,378.359985,366,372,491500,364.004608
"2021-02-05",371.51001,373.079987,364.720001,367.899994,431700,361.479462
"2021-02-08",369.440002,381.920013,369.440002,378.809998,395300,372.199066
"2021-02-09",378,379.220001,372.850006,374.690002,325300,368.151001
"2021-02-10",375.779999,377.809998,373,376.25,357100,369.683777
"2021-02-11",379.160004,381.149994,372.040009,374.149994,207600,367.620392
"2021-02-12",372.440002,375.869995,370.429993,372.079987,206300,365.586487
"2021-02-16",373.619995,374.809998,369.640015,369.649994,222100,363.198914
"2021-02-17",367.809998,373.540009,367,372.179993,209600,365.684784
"2021-02-18",369.660004,377.329987,369.660004,375.790009,200600,369.231781
"2021-02-19",377.320007,383.559998,377.01001,379.399994,228600,372.778778
"2021-02-22",378.899994,381.070007,375.440002,377.339996,191900,370.7547
"2021-02-23",379.359985,380.429993,369.26001,379.579987,284300,372.955597
"2021-02-24",379.869995,387.359985,378.5,385.570007,314700,378.841095
"2021-02-25",385.029999,389.190002,379.160004,379.959991,239400,373.32901
"2021-02-26",381.350006,382.420013,372.709991,372.709991,368900,366.205505
"2021-03-01",376.119995,390.929993,376.119995,387.820007,256900,381.051819
"2021-03-02",386.26001,387.549988,382.649994,385.660004,205200,378.929504
"2021-03-03",386.779999,393.429993,386.190002,387.769989,280700,381.002686
"2021-03-04",390.149994,390.209991,375.5,378.950012,391000,372.33667
"2021-03-05",381.630005,399.980011,377.709991,399.109985,489200,392.144806
"2021-03-08",399.859985,406.200012,397.100006,398.480011,357100,391.525848
"2021-03-09",401.25,402.279999,387.859985,388.450012,404400,381.670868
"2021-03-10",390.769989,398.970001,386.600006,395.910004,299300,389.000641
"2021-03-11",395.910004,395.910004,386.109985,386.670013,338900,379.921936
"2021-03-12",386.869995,395.480011,386.369995,395.01001,298200,388.116333
"2021-03-15",395.100006,400.160004,393.040009,399.73999,230700,392.763794
"2021-03-16",399.190002,399.690002,387.600006,389.459991,285000,382.663177
"2021-03-17",391.200012,400.859985,388.709991,400.049988,320000,393.06839
"2021-03-18",400.369995,408.73999,399.600006,404.609985,316100,397.548828
"2021-03-19",405.529999,405.529999,393.679993,400.540009,680000,393.549866
"2021-03-22",401.570007,401.670013,394.440002,399.709991,312500,392.734314
"2021-03-23",397.589996,402.73999,392.109985,394.309998,215200,387.428558
"2021-03-24",396.390015,400.730011,394.720001,395.390015,236400,388.489746
"2021-03-25",395.679993,399.649994,390.079987,397.589996,222700,390.651306
"2021-03-26",398.869995,400.089996,394.980011,399.369995,378100,392.400269
"2021-03-29",399.160004,404.040009,397.059998,400.170013,229700,393.18631
"2021-03-30",399.25,402.190002,397.670013,398.670013,189400,391.712524
"2021-03-31",398.23999,402.950012,395.040009,400.929993,426700,393.933075
"2021-04-01",402.209991,407.309998,396.220001,406.350006,259300,399.258453
"2021-04-05",407.690002,408.059998,403.140015,407.649994,258300,400.535767
"2021-04-06",406.200012,415.279999,406.200012,408.429993,260900,401.302155
"2021-04-07",410.640015,410.640015,397.75,398.73999,269900,391.78125
"2021-04-08",398.019989,402.269989,396.410004,397.910004,318400,390.965729
"2021-04-09",399.970001,401.619995,396.149994,401.619995,304800,394.610992
"2021-04-12",401.619995,406.980011,401.619995,405.970001,165100,398.885132
"2021-04-13",403.470001,404.410004,397.309998,400.149994,259000,393.166656
"2021-04-14",399.070007,406.149994,398.869995,400.459991,161400,393.471222
"2021-04-15",401.049988,404.559998,399.440002,404.450012,158100,397.391602
"2021-04-16",406.950012,408.26001,401.51001,406.880005,227000,399.779236
