"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2021-04-22",121.480003,121.480003,119.849998,120.889999,759100,118.813889
"2021-04-23",120.860001,121.82,120.230003,121.650002,545700,119.560844
"2021-04-26",121.779999,121.779999,119.510002,119.730003,482700,117.673805
"2021-04-27",119.300003,119.769997,117.779999,118.800003,1217200,116.759789
"2021-04-28",119.120003,119.690002,118.139999,119.330002,996900,117.280678
"2021-04-29",120.419998,121.389999,119.209999,121.25,807300,119.167709
"2021-04-30",121.059998,122.089996,120.480003,120.800003,967000,118.725441
"2021-05-03",121.519997,124.279999,121.510002,123.790001,1302500,121.664093
"2021-05-04",123.949997,125.860001,122.989998,125.849998,1279900,123.688713
"2021-05-05",120.610001,121.550003,115.910004,118.82,4029400,116.779434
"2021-05-06",117.400002,118.18,114.07,117.629997,1650700,115.609871
"2021-05-07",118.150002,121.370003,117.260002,120.860001,1257000,118.784409
"2021-05-10",120.519997,124.849998,120.43,123.25,978300,121.133362
"2021-05-11",122.870003,123.330002,119.510002,120.099998,1032700,118.037453
"2021-05-12",120.040001,120.660004,119.089996,120.089996,1017200,118.027618
"2021-05-13",120.239998,120.879997,119.139999,119.459999,1098500,117.408455
"2021-05-14",119.360001,119.360001,116.410004,116.519997,2472300,114.942299
"2021-05-17",116.309998,118.82,113.870003,118.110001,1144000,116.510773
"2021-05-18",117.410004,118.239998,115.279999,116.949997,1274800,115.366478
"2021-05-19",116.709999,118.93,115.360001,118.739998,1363500,117.132248
"2021-05-20",118.510002,120.639999,118.260002,120.040001,1061800,118.41465
"2021-05-21",120.699997,122.309998,120.050003,120.07,806100,118.444237
"2021-05-24",120.480003,120.809998,118.379997,118.519997,669800,116.915222
"2021-05-25",118.120003,118.550003,114.599998,114.989998,1519500,113.433022
"2021-05-26",114.940002,115.510002,112.68,114.68,1425600,113.127205
"2021-05-27",115.400002,115.440002,113.790001,115.010002,2019400,113.452751
"2021-05-28",115.739998,116,114.300003,114.739998,921300,113.186409
"2021-06-01",114.540001,114.68,113.470001,114.32,799100,112.772087
"2021-06-02",115.25,115.860001,114.139999,115.120003,988500,113.561264
"2021-06-03",115.110001,117.25,114.959999,116.800003,1047800,115.218513
