"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"2021-03-05",148,152.820007,146.369995,151.779999,853500,149.664627
"2021-03-08",152.190002,155,150.220001,151,572300,148.895523
"2021-03-09",152.5,153.990005,148.75,148.889999,523900,146.814896
"2021-03-10",148.559998,151.029999,147.759995,149.470001,353700,147.386841
"2021-03-11",150.179993,151.490005,148.300003,148.660004,386000,146.588104
"2021-03-12",148.75,150.820007,148.279999,150.690002,408200,148.589813
"2021-03-15",151,151.75,149.759995,151.570007,324300,149.457581
"2021-03-16",152.100006,152.110001,149.800003,151.070007,341200,148.964539
"2021-03-17",151,151.220001,148.990005,150.740005,321100,148.639145
"2021-03-18",149.75,150.179993,147.570007,148.399994,478900,146.331741
"2021-03-19",147.580002,149.990005,146.610001,148.130005,1073500,146.065521
"2021-03-22",148.860001,150.5,146.100006,149.229996,402600,147.150146
"2021-03-23",149.130005,152.839996,149.130005,151.830002,416300,149.713943
"2021-03-24",151.529999,155.669998,151.529999,153.919998,593100,151.774796
"2021-03-25",154.550003,154.809998,151.559998,152.779999,561400,150.650696
"2021-03-26",152.020004,155.339996,150.820007,155.190002,677700,153.0271
"2021-03-29",153.990005,158.979996,153.990005,156.410004,540900,154.230103
"2021-03-30",155.720001,156.240005,153.080002,153.399994,574200,151.26207
"2021-03-31",152.949997,154.539993,151.509995,151.720001,509900,149.605469
"2021-04-01",152.210007,154.990005,151.630005,154.589996,383300,152.435471
"2021-04-05",154.179993,157.289993,154.050003,157.25,411400,155.058395
"2021-04-06",156.179993,157.369995,154.75,155.320007,346300,153.155319
"2021-04-07",155.839996,156.529999,153.949997,154.220001,305200,152.070633
"2021-04-08",154.029999,156.5,154.029999,155.550003,248500,153.382111
"2021-04-09",156.259995,156.5,154.809998,155.720001,284800,153.549713
"2021-04-12",155.520004,156.110001,154.410004,155.759995,363300,153.589157
"2021-04-13",155.309998,157.240005,155.309998,155.830002,385900,153.658188
"2021-04-14",155.059998,155.330002,152.479996,153.809998,507700,151.666336
"2021-04-15",154.210007,157.350006,154.080002,156.399994,489700,154.220245
"2021-04-16",157.380005,160.110001,156.539993,158.839996,766200,156.626236
"2021-04-19",159.080002,161.470001,158.679993,161.149994,678800,158.904037
"2021-04-20",162.039993,165.240005,161.600006,163.850006,719200,161.566422
"2021-04-21",164.25,166.550003,163.949997,166.089996,681000,163.775177
"2021-04-22",166.059998,168.520004,164.830002,167.210007,714800,164.879593
"2021-04-23",167.880005,170.360001,167.520004,169.589996,522100,167.226425
"2021-04-26",169.009995,169.690002,167.779999,168.190002,442000,165.845917
"2021-04-27",168.800003,169.580002,163.169998,163.509995,531400,161.23114
"2021-04-28",165.059998,165.119995,163.429993,163.570007,335000,161.290329
"2021-04-29",165,165.979996,163.610001,164.139999,500700,161.852371
"2021-04-30",163.910004,164.600006,161.470001,162.830002,527700,160.560623
"2021-05-03",162.949997,164.880005,162.570007,163.929993,531800,161.645279
"2021-05-04",162.020004,163.160004,156.259995,158.570007,1335500,156.360016
"2021-05-05",160.949997,160.949997,156.550003,157.820007,740900,155.620453
"2021-05-06",158.509995,158.789993,155.880005,158.470001,593700,156.261398
"2021-05-07",158.320007,159.669998,155.380005,156.130005,470400,153.954025
"2021-05-10",157.339996,159.539993,155.860001,158.860001,697000,156.64595
"2021-05-11",157.669998,159.139999,155.910004,156.309998,446800,154.131485
"2021-05-12",155.669998,157.559998,153.899994,155.110001,514400,152.948227
"2021-05-13",155.539993,158.639999,154.309998,157.979996,566600,155.778214
"2021-05-14",158.119995,159.369995,156.830002,157.320007,324000,155.127426
"2021-05-17",157.410004,159.470001,155.309998,156.490005,279500,154.30899
"2021-05-18",156.529999,156.820007,155.039993,155.610001,348200,153.441238
"2021-05-19",155,155.600006,151.869995,153.580002,351800,151.43956
"2021-05-20",154.289993,156.320007,153.600006,155.380005,269300,153.214462
"2021-05-21",155.279999,157.25,155.029999,155.509995,1260000,153.342651
"2021-05-24",156.639999,157.240005,155.520004,156.809998,354500,154.624527
"2021-05-25",157.220001,157.220001,155.820007,156.410004,259800,154.230103
"2021-05-26",156.339996,156.889999,155.589996,156.5,392200,154.318848
"2021-05-27",155.970001,156.699997,154.809998,155.570007,669900,153.854034
"2021-05-28",156.389999,156.75,154.020004,154.149994,394900,152.449692
"2021-06-01",154.419998,154.539993,152.789993,153.850006,362700,152.15303
"2021-06-02",154.050003,155.899994,153.880005,155.520004,332300,153.804596
"2021-06-03",154.009995,156.699997,154,155.800003,477300,154.081512
"2021-06-04",156.070007,157.940002,156,157.800003,415900,156.059433
"2021-06-07",157.630005,157.630005,154.990005,156.199997,498900,154.477081
"2021-06-08",156.419998,158.350006,155.800003,158.229996,501200,156.48468
"2021-06-09",158.949997,160.830002,158.25,159.720001,453400,157.958252
"2021-06-10",160.690002,163.309998,159.75,163.130005,487600,161.330658
"2021-06-11",163.75,163.75,161.639999,162.570007,445800,160.776825
"2021-06-14",162.589996,163.380005,160.869995,163.330002,403300,161.528442
"2021-06-15",163.729996,164.970001,163.009995,163.910004,428400,162.102051
"2021-06-16",164.720001,165.619995,163.130005,164.610001,608900,162.794312
"2021-06-17",164.589996,165.490005,163.110001,163.190002,615800,161.389999
"2021-06-18",162.240005,166.130005,162.169998,164.550003,974600,162.734985
"2021-06-21",165.429993,167.75,163.979996,166.850006,550300,165.009613
"2021-06-22",167.169998,167.369995,165.350006,165.710007,553800,163.882202
"2021-06-23",166.089996,166.089996,163.429993,164.320007,429900,162.507523
"2021-06-24",165.080002,165.809998,163.619995,164.449997,453000,162.636078
"2021-06-25",164.050003,168.610001,163.779999,166.589996,1597900,164.752472
"2021-06-28",167.649994,167.649994,164.029999,165.240005,302900,163.417374
"2021-06-29",165.789993,166.860001,165.270004,165.520004,269900,163.69429
"2021-06-30",165.669998,165.830002,163,163.509995,432000,161.706436
"2021-07-01",163.470001,165.110001,163.160004,164.509995,313100,162.695419
"2021-07-02",165.580002,166.139999,165.050003,165.820007,217700,163.990982
"2021-07-06",165.910004,165.970001,163.880005,164.710007,275200,162.893219
"2021-07-07",165.059998,166.929993,165.059998,166.809998,403300,164.970047
"2021-07-08",165.889999,167.300003,165.110001,166.580002,360500,164.742599
"2021-07-09",167.110001,168.210007,166.199997,167.380005,271800,165.533752
"2021-07-12",167.440002,167.5,166.210007,167.059998,210900,165.2173
"2021-07-13",166.699997,167.809998,165.690002,166.729996,213500,164.89093
"2021-07-14",166.949997,168.350006,166.240005,168.309998,230000,166.453506
"2021-07-15",168.419998,170.919998,167.949997,170.639999,525500,168.757813
"2021-07-16",170.589996,173.139999,169.880005,171.669998,495800,169.776443
"2021-07-19",170.779999,171.259995,169.350006,170.350006,503400,168.471024
"2021-07-20",171.100006,173.880005,171.039993,173.630005,547000,171.714844
"2021-07-21",174.130005,174.850006,172.860001,173.130005,475300,171.220352
"2021-07-22",173.449997,175.860001,173.399994,174.880005,294300,172.951035
"2021-07-23",175.770004,176.740005,174.889999,176.270004,201200,174.325699
"2021-07-26",176.139999,176.990005,174.479996,175.809998,244300,173.870773
"2021-07-27",176.550003,177.100006,174.619995,176.119995,323100,174.177338
"2021-07-28",175.820007,176.279999,171.809998,171.929993,443900,170.033569
"2021-07-29",172.460007,173.830002,172.279999,173.289993,264300,171.378555
"2021-07-30",173.330002,174.820007,172.830002,174.089996,211100,172.169754
"2021-08-02",174.839996,175.570007,173.429993,174.570007,348000,172.64447
"2021-08-03",175.160004,176.380005,173.589996,175.830002,426200,173.890564
"2021-08-04",175.740005,175.960007,173.25,173.589996,271600,171.675262
"2021-08-05",173.779999,174.25,172.429993,173.440002,300600,171.526917
"2021-08-06",173.520004,174.960007,173.130005,173.949997,312700,172.031296
"2021-08-09",174.589996,175.190002,172.789993,172.889999,249500,170.982986
"2021-08-10",172.639999,173.610001,170.710007,172.240005,244200,170.340164
"2021-08-11",173.130005,174.25,172.899994,173.710007,252000,171.793945
"2021-08-12",174.089996,175.160004,170.089996,174.309998,359600,172.387329
"2021-08-13",174.589996,177.130005,173.690002,177.119995,238500,175.166321
"2021-08-16",176.960007,178.589996,175.229996,177.740005,461900,175.779495
"2021-08-17",176.419998,179.210007,176.419998,178.580002,523000,176.610229
"2021-08-18",178.240005,179.979996,168.610001,172.380005,999700,170.478622
"2021-08-19",173.330002,176.320007,171.229996,176.289993,390900,174.34549
"2021-08-20",176.059998,177.779999,175.320007,177.130005,352100,175.176224
"2021-08-23",177.779999,177.960007,176.270004,176.520004,230200,174.572968
"2021-08-24",176.669998,177.070007,173.039993,173.210007,315300,171.299469
