"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2020-12-03",161.110001,162.149994,158.75,158.789993,1576800,155.16069
"2020-12-04",159.619995,164.169998,159.089996,163.990005,2248700,160.241882
"2020-12-07",165.610001,167.270004,164.300003,165.089996,2213400,161.316727
"2020-12-08",164.919998,167.110001,163.809998,166.369995,1329300,162.567444
"2020-12-09",163.960007,164.910004,155.889999,157.320007,3678700,153.724319
"2020-12-10",156.5,160.360001,156.5,158.270004,3002400,154.652618
"2020-12-11",157.5,158.699997,154.570007,157.100006,1442600,153.509354
"2020-12-14",159.669998,159.740005,155.520004,158.460007,2075000,155.20874
"2020-12-15",157.259995,160.690002,156.050003,160.059998,2499500,156.775925
"2020-12-16",161.139999,161.199997,156.610001,157.279999,2195200,154.052963
"2020-12-17",158.479996,158.800003,156.360001,158.059998,1686400,154.816956
"2020-12-18",158.070007,158.919998,154.679993,155.509995,4232000,152.31929
"2020-12-21",153.179993,157.25,152.929993,157.029999,1529500,153.80809
"2020-12-22",157.130005,159.600006,155.759995,156.380005,1489900,153.171417
"2020-12-23",157.940002,158.630005,156.809998,156.860001,1571300,153.641571
"2020-12-24",157.720001,157.929993,156.509995,157.330002,480500,154.101929
"2020-12-28",159.5,161.800003,157.910004,158.169998,1063400,154.924683
"2020-12-29",158.800003,159.529999,154.75,155.910004,1043400,152.71106
"2020-12-30",157.5,159.740005,156.710007,159.389999,888900,156.119659
"2020-12-31",159.860001,160.229996,158.610001,159.009995,839100,155.747452
"2021-01-04",160.330002,165.839996,158.619995,162.039993,2931600,158.715286
"2021-01-05",161.529999,165.970001,161.119995,165.669998,1980600,162.270798
"2021-01-06",164.610001,171.800003,164.610001,168.720001,2686500,165.258224
"2021-01-07",172.089996,176.5,171.929993,174.990005,2485500,171.399582
"2021-01-08",181.380005,182.550003,171.5,175.029999,2827900,171.438766
"2021-01-11",174.389999,176.460007,171.929993,173.210007,3000900,169.656128
"2021-01-12",174.289993,179,173.229996,176.080002,3112100,172.467209
"2021-01-13",177.990005,177.990005,176.179993,177.419998,1750300,173.779724
"2021-01-14",178.619995,181.089996,178.619995,180,2617400,176.306778
"2021-01-15",179.639999,179.839996,168.449997,172.220001,3598600,168.686401
"2021-01-19",177.309998,178.5,174.539993,175,2522300,171.409393
"2021-01-20",178.860001,180.309998,173.710007,174.490005,2590700,170.909851
"2021-01-21",176.639999,176.75,171.729996,173.619995,2187400,170.057678
"2021-01-22",172.570007,175.169998,171.919998,172.300003,1974000,168.764771
"2021-01-25",176.690002,176.75,171.029999,174.419998,2006000,170.841263
"2021-01-26",174.419998,174.460007,168.660004,168.75,2231100,165.287613
"2021-01-27",162.720001,164.429993,156.020004,160.559998,3714500,157.265656
"2021-01-28",166.529999,166.800003,162.380005,164.330002,2484700,160.958328
"2021-01-29",164.149994,167.550003,159.809998,160.470001,3535400,157.177505
"2021-02-01",166.440002,172.440002,166.100006,171.529999,4953000,168.010574
"2021-02-02",180,183,170.699997,177.210007,6621800,173.574036
"2021-02-03",179.990005,181.740005,173.110001,174.100006,3272600,170.527847
"2021-02-04",175.889999,181.449997,175.149994,181.449997,2703100,177.72702
"2021-02-05",182.949997,184.130005,181.059998,181.990005,3031400,178.255966
"2021-02-08",184.699997,188.149994,184,188.119995,2332800,184.260193
"2021-02-09",187.350006,188.399994,184.470001,188.039993,1702800,184.181808
"2021-02-10",191.610001,191.929993,183.389999,187.899994,2839800,184.044693
"2021-02-11",188.399994,194.759995,188.399994,194,2611700,190.019516
"2021-02-12",193.169998,195.889999,190.860001,194.389999,1671700,190.40152
"2021-02-16",199.460007,200.190002,193.690002,195.429993,2177800,191.420197
"2021-02-17",192.580002,194.940002,187.910004,189.690002,2395200,185.797974
"2021-02-18",187.5,188.949997,183.050003,185.880005,2770100,182.066132
"2021-02-19",189.410004,192.759995,188.490005,191.589996,2193900,187.658981
"2021-02-22",190.800003,192.399994,184.970001,185.610001,2407800,181.801682
"2021-02-23",183.869995,183.869995,175.330002,181.080002,5191300,177.364639
"2021-02-24",178,186.820007,176.929993,186.210007,3161700,182.389374
"2021-02-25",186.509995,188,178.050003,178.520004,3366300,174.857162
"2021-02-26",182.039993,184.169998,177.119995,182.550003,2929000,178.804459
"2021-03-01",186.520004,187.899994,183.320007,187.300003,4355200,183.456985
"2021-03-02",189,189.759995,182.059998,182.270004,2770600,178.530212
"2021-03-03",182.600006,184.169998,175.529999,175.990005,2418900,172.379059
"2021-03-04",173.589996,176.679993,164.190002,167.279999,3754500,163.847763
"2021-03-05",174.229996,182.059998,166.039993,180.899994,5076200,177.188324
"2021-03-08",178.820007,183.580002,170.149994,171,3168600,167.491455
"2021-03-09",176.130005,185.240005,175,183.820007,3687700,180.048431
"2021-03-10",186.039993,187.350006,180.229996,180.429993,2240200,176.727966
"2021-03-11",186.690002,189.490005,185.029999,188.5,3206900,184.63237
"2021-03-12",184.889999,186.660004,181.789993,183.470001,2078000,180.243927
"2021-03-15",196.800003,200,194.210007,199.910004,12102100,196.394867
"2021-03-16",201.100006,206.210007,200.639999,202.779999,6890100,199.214401
"2021-03-17",199.559998,209.589996,199,208.339996,7321600,204.67662
"2021-03-18",204.149994,208.25,197.690002,198.589996,8297300,195.098053
"2021-03-19",196.350006,204.529999,193.220001,202.039993,53102200,198.487396
"2021-03-22",203.110001,206.119995,196.649994,200.399994,5876600,196.876236
"2021-03-23",200.110001,200.229996,189.789993,191.619995,4748000,188.250626
"2021-03-24",193.25,194.509995,187.25,187.279999,2893000,183.986954
