"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"2021-06-09",136.399994,139.970001,135.809998,139.440002,2111200,133.937408
"2021-06-10",139.440002,140.740005,138.949997,139.690002,1489200,134.177536
"2021-06-11",140.039993,142.580002,139.449997,142.240005,2524200,136.626892
"2021-06-14",142.929993,143.660004,141.669998,143.25,2670000,137.597046
"2021-06-15",143.309998,144.929993,142.839996,144.059998,1406000,138.375046
"2021-06-16",144.309998,144.75,140.880005,141.160004,1683500,135.589523
"2021-06-17",141.169998,142.080002,140.240005,140.580002,1311000,135.032394
"2021-06-18",139.330002,139.770004,137.720001,137.770004,3227700,132.333298
"2021-06-21",138.470001,139.759995,137,138.460007,1741700,132.996078
"2021-06-22",137.940002,138.289993,136.779999,136.949997,1484900,131.545654
"2021-06-23",136.75,136.75,134.699997,135.559998,1175700,130.21051
"2021-06-24",135.690002,136.470001,135.130005,135.550003,1058500,130.200897
"2021-06-25",135.240005,137.570007,135.210007,137.470001,1545300,132.04512
"2021-06-28",138.009995,138.210007,136.710007,137.279999,1207300,131.86264
"2021-06-29",136.660004,136.660004,132.720001,133.720001,2471700,128.443115
"2021-06-30",132.649994,133.690002,130.979996,132.479996,2715700,127.252037
"2021-07-01",132.509995,134.669998,131.690002,134.089996,2184500,128.798523
"2021-07-02",134.210007,135,132.919998,134.789993,1566300,129.470886
"2021-07-06",133.220001,133.740005,131.259995,133.369995,1270300,129.16098
"2021-07-07",133.190002,133.649994,132.389999,133.449997,1017500,129.238449
"2021-07-08",132.360001,133.300003,131.679993,131.929993,1320000,127.766426
"2021-07-09",132.279999,133.149994,131.309998,132.860001,1536300,128.667084
"2021-07-12",132.509995,133.649994,131.970001,133.440002,946700,129.228775
"2021-07-13",133.339996,133.679993,131.479996,132.119995,847600,127.950424
"2021-07-14",132.419998,133.070007,131.649994,132.169998,1585500,127.998856
"2021-07-15",131.460007,132.619995,131.210007,132.559998,1635000,128.376556
"2021-07-16",132.869995,134.770004,132.330002,134.199997,1722800,129.964798
"2021-07-19",133.529999,134.080002,128.440002,129.820007,1967400,125.723022
"2021-07-20",129.820007,132.210007,129.820007,131.919998,1391100,127.756737
"2021-07-21",132.389999,133.320007,130.089996,130.300003,1064400,126.187889
"2021-07-22",130.199997,130.75,129.029999,129.119995,822600,125.045113
"2021-07-23",129.449997,130.979996,129.339996,130.720001,686100,126.594604
"2021-07-26",130.710007,131.300003,130.130005,130.699997,802000,126.575241
"2021-07-27",130.699997,132.839996,129.770004,132.630005,1223500,128.444351
"2021-07-28",132.699997,133.100006,130.960007,132.779999,1031800,128.5896
"2021-07-29",133.429993,133.429993,131.830002,132.429993,782100,128.250641
"2021-07-30",132.110001,133.229996,130.169998,130.649994,1134000,126.526817
"2021-08-02",131.050003,132.699997,130.710007,131.25,833700,127.107887
"2021-08-03",131.75,132.429993,131.050003,131.979996,739300,127.81485
"2021-08-04",130.929993,131.050003,129.100006,130.860001,998100,126.730194
"2021-08-05",130.509995,132.979996,130.410004,132.940002,951000,128.744537
"2021-08-06",133.220001,133.5,132.149994,132.330002,711100,128.153793
"2021-08-09",132.289993,132.559998,130.389999,131.259995,825800,127.117561
"2021-08-10",131.089996,132.160004,130.75,131.75,648600,127.592125
"2021-08-11",132,132.610001,131.539993,132,1001200,127.834229
"2021-08-12",131.75,132.820007,131.520004,132.419998,607200,128.240982
"2021-08-13",132.820007,133.850006,132.25,133.770004,708300,129.54837
"2021-08-16",134.039993,135.550003,133.229996,133.570007,1130900,129.35466
"2021-08-17",132.839996,134.029999,132.229996,133.889999,736200,129.664581
"2021-08-18",133.830002,133.830002,132.080002,132.589996,773200,128.405609
"2021-08-19",132.570007,134.169998,131.800003,131.970001,1025400,127.805168
"2021-08-20",131.570007,133.649994,130.740005,133.360001,2487000,129.151291
"2021-08-23",133.979996,133.979996,131.660004,131.889999,1207600,127.727684
"2021-08-24",132.059998,132.210007,130.460007,130.970001,1628000,126.836739
"2021-08-25",130.850006,131.830002,130.330002,131.589996,863800,127.437149
"2021-08-26",131.320007,132.490005,131,131.789993,1048400,127.630852
"2021-08-27",132.059998,132.550003,131.440002,131.860001,1048900,127.698631
"2021-08-30",132.419998,132.5,131.679993,131.809998,597600,127.650215
"2021-08-31",131.929993,133.199997,131.360001,132.360001,1736000,128.182861
"2021-09-01",132.949997,134.320007,132.520004,133.600006,1199800,129.383743
"2021-09-02",133.899994,135.080002,133.809998,134.649994,1383100,130.400574
"2021-09-03",134.470001,134.470001,133.339996,133.410004,640800,129.199722
"2021-09-07",133.020004,133.899994,132.199997,132.210007,991300,128.037598
"2021-09-08",132.25,134.979996,132,134,940600,129.771103
"2021-09-09",133.839996,134.559998,133.539993,133.809998,890300,129.587097
"2021-09-10",133.770004,133.830002,132.429993,132.490005,1042500,128.308762
"2021-09-13",133.919998,135.389999,133.470001,134,1245100,129.771103
"2021-09-14",134.5,135.110001,133.270004,133.830002,1281000,129.606476
"2021-09-15",134.529999,136.809998,133.149994,136.759995,1965300,132.443985
"2021-09-16",136.679993,137.610001,134.550003,135.119995,1313800,130.855759
"2021-09-17",135.119995,136.820007,133.25,133.380005,3181800,129.17067
"2021-09-20",132.190002,133.279999,129.490005,131.029999,1620700,126.894836
"2021-09-21",131.789993,132.520004,130.429993,130.470001,1004000,126.352501
"2021-09-22",131.240005,132.119995,130.619995,130.839996,921200,126.710815
"2021-09-23",129.740005,130.960007,128.770004,129.029999,1048300,126.01741
"2021-09-24",129.070007,130.440002,129.070007,129.770004,857300,126.740128
"2021-09-27",130.029999,131.679993,128.580002,128.869995,1009800,125.861137
"2021-09-28",128.520004,128.740005,123.550003,123.620003,2393300,120.733719
"2021-09-29",123.860001,128.119995,123.589996,127.459999,2167300,124.484062
"2021-09-30",128.259995,128.809998,126.459999,126.5,1498900,123.546478
"2021-10-01",127.580002,128.190002,125.360001,125.580002,1167200,122.647957
"2021-10-04",125,127.120003,124.93,126.519997,1234700,123.56601
"2021-10-05",126.629997,127.519997,126.089996,126.639999,1276200,123.683205
"2021-10-06",125.720001,127.959999,124.870003,127.769997,1847800,124.786827
"2021-10-07",128.389999,128.800003,125,125.589996,2171100,122.657722
"2021-10-08",125.779999,126.489998,124.089996,124.620003,1196400,121.710373
"2021-10-11",124.57,124.879997,123.089996,123.129997,1041800,120.255165
"2021-10-12",123.68,124.779999,123.110001,124.410004,1943900,121.50528
"2021-10-13",122.980003,127.059998,122.760002,126.849998,1755700,123.888306
"2021-10-14",127.510002,128.360001,127,128.059998,1314700,125.070061
"2021-10-15",128.350006,129.740005,127.809998,128.410004,1242000,125.411888
"2021-10-18",127.730003,128.619995,126.620003,127.419998,1393700,124.444992
"2021-10-19",128.369995,129.669998,128.199997,129.440002,905300,126.417839
"2021-10-20",130.059998,131.729996,129.889999,131.279999,985400,128.214874
"2021-10-21",131.289993,131.610001,130.149994,130.259995,831400,127.218697
"2021-10-22",130.619995,131.389999,130.309998,131.169998,556200,128.107437
"2021-10-25",131.210007,131.610001,130,130.360001,759800,127.31636
"2021-10-26",131.130005,132.669998,130.809998,131.440002,745800,128.37114
"2021-10-27",131.5,132.130005,129.690002,129.869995,759900,126.837784
"2021-10-28",129.850006,130.929993,129.179993,129.720001,967400,126.691307
"2021-10-29",129.570007,129.960007,126.889999,127.629997,1566100,124.650093
"2021-11-01",127.889999,129.240005,127.629997,128.889999,1017400,125.880676
"2021-11-02",129.259995,129.259995,127.059998,128.029999,1509400,125.040756
"2021-11-03",127.709999,128.869995,126.870003,128.179993,1599100,125.187248
"2021-11-04",128.179993,128.570007,126.410004,127.349998,2117300,124.376633
"2021-11-05",126.860001,129.770004,126.440002,127.349998,1881800,124.376633
"2021-11-08",127.860001,127.910004,125.050003,125.580002,1410500,122.647957
"2021-11-09",125.32,125.709999,124.379997,125.059998,1549000,122.140099
"2021-11-10",125.360001,126.220001,124.07,124.610001,1210800,121.7006
"2021-11-11",124.07,124.690002,121.269997,121.599998,1541300,118.76088
"2021-11-12",121.599998,122.190002,121.410004,122.099998,955600,119.249207
"2021-11-15",122.93,124.980003,122.370003,124.559998,1546000,121.651764
"2021-11-16",124.93,128.360001,124.559998,126,3315600,123.058151
"2021-11-17",125.419998,125.57,124.050003,124.239998,1320100,121.339249
"2021-11-18",124.239998,125.239998,122.599998,122.739998,1423400,119.874268
"2021-11-19",123.349998,123.379997,121.889999,122.760002,1824200,119.893799
"2021-11-22",122.709999,125.559998,122.629997,124.949997,1774500,122.032669
"2021-11-23",125.43,126.739998,124.669998,125.32,1727600,122.394035
"2021-11-24",125.150002,126.489998,124.959999,125.529999,1268600,122.599129
"2021-11-26",123.849998,124.07,121.470001,121.68,1132800,118.83902
"2021-11-29",123.110001,125.309998,122.449997,124.199997,2217300,121.300171
"2021-11-30",123.010002,123.339996,119.690002,119.870003,2876000,117.071281
"2021-12-01",121.07,123.57,119.559998,119.660004,1708700,116.86618
"2021-12-02",119.82,123.349998,119.699997,122.389999,1623000,119.532433
"2021-12-03",123.290001,123.870003,121.589996,123.75,1602400,120.860687
"2021-12-06",125.07,127.279999,124.309998,125.459999,1541700,122.530762
"2021-12-07",125.839996,127.5,125.010002,126.910004,1576300,123.946915
"2021-12-08",126.589996,127.5,125.739998,126.120003,1411300,123.175362
"2021-12-09",126.220001,127.25,124.580002,126.199997,1698800,123.253479
"2021-12-10",127.449997,127.470001,126.099998,126.790001,1307300,123.829704
"2021-12-13",126.269997,127.099998,125.739998,126.290001,1707000,123.341385
"2021-12-14",126.400002,127.599998,125.949997,126.150002,1812600,123.204659
"2021-12-15",126.220001,127.949997,125.650002,127.690002,1422300,124.708702
"2021-12-16",128,130.130005,127.82,128.589996,2386200,125.587677
"2021-12-17",128.020004,128.630005,126.269997,126.870003,3098900,123.907845
"2021-12-20",125.529999,127.940002,124.440002,127.550003,1386000,124.571976
"2021-12-21",128.580002,130.149994,128.320007,128.509995,1582900,125.509544
"2021-12-22",128.009995,129.869995,128,129.160004,1634400,127.233444
"2021-12-23",128.889999,130.339996,128.660004,129.410004,1324100,127.479721
"2021-12-27",129.979996,130.350006,129.210007,130.160004,734200,128.218536
"2021-12-28",130.220001,131.110001,129.990005,130.789993,617500,128.839127
"2021-12-29",130.699997,131.550003,130.160004,131.449997,1444500,129.489288
"2021-12-30",131.600006,132.210007,131.039993,131.770004,733300,129.80452
"2021-12-31",131.410004,132.850006,131.089996,132.279999,730700,130.306915
"2022-01-03",132.5,132.5,130.929993,131.990005,1035300,130.02124
"2022-01-04",132.5,135.600006,132.5,134.369995,2506900,132.365723
"2022-01-05",134.639999,136.889999,134.589996,135.190002,2003800,133.173508
