"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"2020-12-08",50.040001,51.07,50.040001,50.77,1444800,47.999767
"2020-12-09",51.189999,51.369999,50.009998,50.049999,1764600,47.319054
"2020-12-10",49.119999,50.07,49,49.82,1848500,47.101601
"2020-12-11",48.759998,49.529999,48.369999,48.77,1485100,46.108898
"2020-12-14",49.689999,49.98,47.599998,47.82,2074700,45.210732
"2020-12-15",48.400002,48.700001,47.75,48.34,1635300,45.702358
"2020-12-16",48.27,48.43,47.459999,48.220001,1558900,45.588905
"2020-12-17",48.52,48.59,47.709999,48.400002,1617900,45.759087
"2020-12-18",48.240002,48.830002,47.369999,47.950001,4847900,45.333637
"2020-12-21",48.189999,48.189999,46.810001,47.5,1674200,44.908192
"2020-12-22",47.48,48.110001,47.32,47.400002,1486800,44.813652
"2020-12-23",47.91,48.950001,47.889999,48.540001,914500,45.891445
"2020-12-24",48.599998,48.84,47.849998,48.48,415300,45.834721
"2020-12-28",48.669998,49.580002,48.599998,48.68,676500,46.023808
"2020-12-29",49.040001,49.25,48.330002,48.389999,926100,45.74963
"2020-12-30",48.450001,49.220001,48.41,48.779999,668900,46.118351
"2020-12-31",48.599998,49.669998,48.509998,49.610001,928300,46.903065
"2021-01-04",49.650002,50,48.060001,48.310001,1310800,45.673996
"2021-01-05",48.220001,49.029999,47.52,48.810001,1762200,46.146717
"2021-01-06",49.73,51.509998,49.720001,51.099998,1761200,48.31176
"2021-01-07",51.290001,52.09,51.259998,51.740002,1920900,48.916843
"2021-01-08",52.43,52.43,51.049999,51.860001,978700,49.030293
"2021-01-11",51.189999,51.950001,51,51.799999,883100,48.973564
"2021-01-12",52,52.959999,51.880001,52.560001,981500,49.692097
"2021-01-13",52.369999,53.080002,52.09,52.700001,1135800,49.824455
"2021-01-14",53.25,54.029999,52.700001,53.700001,1353600,50.769897
"2021-01-15",52.830002,53.880001,52.490002,53.310001,1255500,50.401176
"2021-01-19",53.459999,54.759998,53.299999,54.32,1851900,51.35606
"2021-01-20",54.360001,54.59,53.560001,53.68,1042500,50.750988
"2021-01-21",53.380001,53.68,52.779999,53.48,1079400,50.561901
"2021-01-22",52.900002,53.700001,52.549999,53.459999,1233600,50.542988
"2021-01-25",52.470001,53.52,52.389999,53.040001,1381300,50.145912
"2021-01-26",53.470001,53.57,52.34,52.369999,804400,49.512463
"2021-01-27",51.41,51.650002,50.860001,51.209999,1740800,48.41576
"2021-01-28",52.02,53.119999,51.869999,52.549999,1713100,49.682644
"2021-01-29",50.759998,51.48,48.880001,49.27,3090400,46.581615
"2021-02-01",49.66,50.209999,49.169998,50.130001,1805700,47.394688
"2021-02-02",50.57,51.32,50.25,50.59,1266300,47.82959
"2021-02-03",50.610001,51.200001,50.389999,51.150002,1043000,48.359039
"2021-02-04",51.299999,52.990002,51.18,52.82,1460500,49.937908
"2021-02-05",53.200001,53.299999,52.48,52.610001,1281100,49.739372
"2021-02-08",52.779999,54.09,52.779999,54.060001,1159800,51.110252
"2021-02-09",54.049999,54.619999,53.709999,54.400002,1236800,51.431702
"2021-02-10",54.84,54.84,53.82,54.220001,1167600,51.261524
"2021-02-11",54.400002,54.779999,53.540001,54.049999,1094100,51.100796
"2021-02-12",53.970001,54.66,53.610001,54.130001,1126400,51.17643
"2021-02-16",54.580002,54.860001,53.900002,54.490002,1077200,51.516788
"2021-02-17",54.360001,54.900002,53.830002,54.27,1555300,51.308792
"2021-02-18",53.790001,54.32,52.860001,53.41,2113700,50.49572
"2021-02-19",53.91,55.23,53.810001,55.099998,1388100,52.093502
"2021-02-22",58,60.52,57.84,59.580002,4418000,56.329056
"2021-02-23",59.310001,59.580002,58.040001,58.68,2987500,55.478161
"2021-02-24",59.16,60.740002,58.169998,60.450001,2256100,57.151592
"2021-02-25",61.09,61.57,58.279999,58.369999,1711400,55.185081
"2021-02-26",55.57,57.650002,55.57,56.580002,2290000,54.010933
"2021-03-01",57.75,59.040001,57.32,58.209999,1553700,55.566921
"2021-03-02",58.02,58.330002,57.5,57.799999,1310600,55.175537
"2021-03-03",57.82,58.900002,57.68,57.91,1807200,55.28054
"2021-03-04",57.84,58.119999,55.27,56.669998,2036700,54.096836
"2021-03-05",57.889999,58.889999,56.349998,58.68,1957400,56.015572
"2021-03-08",59.43,61.299999,59,60.16,2018800,57.428375
"2021-03-09",59.66,60.889999,58.830002,59.779999,1530700,57.065628
"2021-03-10",60,61.73,59.880001,61.27,1209900,58.487972
"2021-03-11",60.529999,61.799999,60.220001,61.099998,1175600,58.325691
"2021-03-12",61.889999,61.950001,61.23,61.549999,1071300,58.75526
"2021-03-15",61.299999,61.490002,59.880001,61.27,1596800,58.487972
"2021-03-16",60.540001,60.669998,59.25,59.720001,1348600,57.008358
"2021-03-17",60.470001,60.669998,59.25,60.27,1500200,57.533382
"2021-03-18",60.720001,61.880001,60.25,60.580002,2486100,57.829308
"2021-03-19",60.09,60.830002,59.240002,60.389999,6096300,57.64793
"2021-03-22",59.869999,59.950001,58.939999,59.57,1821900,56.865166
"2021-03-23",59.290001,59.5,57.740002,57.939999,1576800,55.309177
"2021-03-24",58.799999,59.549999,57.860001,57.950001,2445800,55.318726
"2021-03-25",58.040001,59.939999,57.470001,59.700001,1761200,56.989262
"2021-03-26",60.5,61.09,59.599998,60.630001,1112300,57.877037
"2021-03-29",59.52,60.349998,59.18,59.799999,4476800,57.084717
"2021-03-30",59.959999,60.959999,59.939999,60.639999,907000,57.886578
"2021-03-31",60.029999,60.900002,59.889999,59.959999,1686500,57.237453
"2021-04-01",59.73,60.880001,59.580002,60.860001,1172900,58.096588
"2021-04-05",61.639999,62.040001,61.119999,61.400002,1079400,58.612072
"2021-04-06",61.400002,61.98,61.189999,61.73,1351000,58.927086
"2021-04-07",61.950001,62.310001,61.529999,62,819200,59.184826
"2021-04-08",61.560001,61.75,61.049999,61.41,1422700,58.621616
"2021-04-09",61.810001,62.25,61.389999,61.959999,1504100,59.146641
"2021-04-12",62.049999,63.029999,61.790001,62.880001,924500,60.024876
"2021-04-13",62.970001,62.970001,61.93,62.220001,948700,59.394844
"2021-04-14",61.959999,63.400002,61.849998,63.049999,1380900,60.187145
"2021-04-15",63.299999,63.450001,62.720001,63.150002,1049400,60.282612
"2021-04-16",63.91,64.150002,63.119999,63.220001,1489400,60.34943
"2021-04-19",63.48,63.709999,62.790001,63.259998,1663000,60.387615
"2021-04-20",62.599998,62.93,61.040001,61.5,3022200,58.707531
"2021-04-21",61.25,62.93,61,62.889999,960900,60.034416
"2021-04-22",62.849998,62.869999,61.369999,61.639999,2711600,58.841175
"2021-04-23",62.07,63.049999,61.810001,62.709999,1868200,59.862591
"2021-04-26",62.91,63.57,62.240002,62.34,1304300,59.509388
"2021-04-27",62.580002,62.91,62.299999,62.900002,1699500,60.043961
"2021-04-28",63.599998,64.879997,63.049999,63.689999,1578500,60.798092
"2021-04-29",64.349998,64.669998,63.509998,64.230003,1137500,61.313576
"2021-04-30",64.040001,64.330002,63.32,63.869999,1310400,60.969917
"2021-05-03",64.709999,65.209999,64.019997,64.480003,1388900,61.552223
"2021-05-04",64.379997,64.769997,63.52,64.660004,1429000,61.724049
"2021-05-05",64.870003,65.93,64.389999,65.690002,1424600,62.707283
"2021-05-06",65.93,66.599998,64.970001,66.57,1184200,63.547321
"2021-05-07",63.610001,66.709999,63.610001,66.660004,1136300,63.63324
"2021-05-10",67.120003,67.970001,66.75,66.809998,1607700,63.776424
"2021-05-11",66.400002,66.400002,64.550003,64.809998,1142300,61.867233
"2021-05-12",65.300003,65.669998,63.220001,63.419998,1223000,60.540352
"2021-05-13",63.049999,65.660004,63.040001,65.290001,1731000,62.325443
"2021-05-14",65.559998,67.059998,65.540001,66.830002,890700,63.795513
"2021-05-17",66.400002,67.019997,65.879997,66.870003,844700,63.833698
"2021-05-18",66.769997,67.010002,65.620003,65.68,1523000,62.697735
"2021-05-19",65.029999,65.440002,63.630001,65.080002,1823100,62.124977
"2021-05-20",65.160004,65.410004,64.459999,64.959999,1041600,62.010422
"2021-05-21",65.160004,66.220001,64.889999,65.660004,1060700,62.678642
"2021-05-24",65.860001,65.980003,65.349998,65.760002,969300,62.774105
