"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"2021-11-24",385.779999,390.140015,382.140015,390.049988,401600,390.049988
"2021-11-26",389.600006,399.25,380.839996,382.480011,371500,382.480011
"2021-11-29",386.070007,401.059998,385.149994,397.720001,410300,397.720001
"2021-11-30",397.720001,401.100006,390.390015,391.480011,674700,391.480011
"2021-12-01",396,397.570007,379.649994,380.140015,376000,380.140015
"2021-12-02",380.790009,399.600006,380.790009,395.089996,452900,395.089996
"2021-12-03",395.709991,395.709991,379.230011,385.380005,431200,385.380005
"2021-12-06",387.519989,395.200012,383.01001,394.429993,351000,394.429993
"2021-12-07",398.950012,407.779999,398.950012,403.600006,485900,403.600006
"2021-12-08",405.140015,407.369995,402.769989,404.609985,376400,404.609985
"2021-12-09",402.929993,405.609985,394.019989,394.269989,320100,394.269989
"2021-12-10",399.179993,402.850006,394.450012,398.450012,266000,398.450012
"2021-12-13",398.5,407.170013,397.179993,404.600006,363000,404.600006
"2021-12-14",398.76001,402.26001,387.959991,394.149994,364700,394.149994
"2021-12-15",394.600006,405.769989,392.209991,405.420013,357800,405.420013
"2021-12-16",407.869995,408.630005,393.26001,398.140015,379500,398.140015
"2021-12-17",394.589996,403.73999,392.329987,396.859985,879700,396.859985
"2021-12-20",390.839996,392.5,383.820007,385.929993,532100,385.929993
"2021-12-21",389.630005,396.640015,383.880005,396.459991,507500,396.459991
"2021-12-22",397.339996,401.26001,395.26001,400.640015,225800,400.640015
"2021-12-23",401,404.98999,398.399994,403.589996,178000,403.589996
"2021-12-27",404.679993,411.220001,402.829987,411.220001,183100,411.220001
"2021-12-28",413.220001,413.220001,407.76001,409.920013,204200,409.920013
"2021-12-29",410,411,405.459991,407.059998,222100,407.059998
"2021-12-30",408.089996,409.029999,405.369995,405.679993,192700,405.679993
"2021-12-31",404.899994,405.869995,400.470001,401.119995,317000,401.119995
"2022-01-03",398.950012,403.179993,390.5,395.48999,377200,395.48999
"2022-01-04",394.890015,397.01001,384.290009,391.100006,314600,391.100006
"2022-01-05",390,394.019989,376.630005,376.940002,445500,376.940002
"2022-01-06",366.850006,375.049988,366.529999,368.880005,435600,368.880005
"2022-01-07",367.76001,369.200012,359.059998,362.079987,465000,362.079987
