"","SBNY.Open","SBNY.High","SBNY.Low","SBNY.Close","SBNY.Volume","SBNY.Adjusted"
"2021-08-17",253.279999,253.860001,240.449997,246.179993,622200,243.949066
"2021-08-18",244.990005,251.610001,244.570007,244.830002,296900,242.611328
"2021-08-19",241.419998,244.809998,236.880005,238.449997,305700,236.289124
"2021-08-20",238.570007,245.940002,237.699997,245.929993,345800,243.70134
"2021-08-23",249,254.059998,248.309998,251.619995,349000,249.339783
"2021-08-24",254.100006,259.459991,253.699997,257.76001,306300,255.424179
"2021-08-25",260.230011,263.329987,258.029999,259.470001,278300,257.118652
"2021-08-26",261.200012,265.410004,253.479996,254.550003,470500,252.24324
"2021-08-27",256.230011,264.320007,255.259995,263.130005,392000,260.745483
"2021-08-30",261.220001,264.269989,255.880005,256.570007,304200,254.244949
"2021-08-31",258.029999,260.519989,255.779999,259.329987,444400,256.979889
"2021-09-01",260.350006,260.910004,255.089996,258.600006,372600,256.256561
"2021-09-02",260.01001,267.170013,260.01001,262.519989,415400,260.141022
"2021-09-03",264,265.320007,260.619995,261.850006,232700,259.477112
"2021-09-07",263.690002,269.829987,261.380005,264.190002,686100,261.795898
"2021-09-08",262.040009,266.339996,256.559998,257.640015,347600,255.305237
"2021-09-09",256.730011,262.73999,256.130005,260.700012,341300,258.337494
"2021-09-10",262.529999,265.799988,261.209991,262.799988,539600,260.418457
"2021-09-13",266.640015,270.230011,264.76001,268.709991,533600,266.274933
"2021-09-14",268.980011,272.540009,261.329987,263.609985,524400,261.22113
"2021-09-15",264.320007,267.549988,262.380005,262.660004,488200,260.279755
"2021-09-16",265.940002,266.769989,260.700012,263.589996,393200,261.201324
"2021-09-17",264.369995,266.26001,260.380005,261.679993,1032500,259.308624
"2021-09-20",252.300003,252.800003,246.100006,250.880005,573100,248.606506
"2021-09-21",253.470001,255.460007,249.419998,249.850006,382800,247.585846
"2021-09-22",252.800003,258.25,250.610001,252.759995,404200,250.469452
"2021-09-23",254.699997,263.660004,254.460007,260.980011,502600,258.61496
"2021-09-24",257.040009,263.649994,256.329987,260.790009,511800,258.426697
"2021-09-27",262.720001,277.609985,261.769989,276.640015,970100,274.133087
"2021-09-28",276.459991,280.089996,271.420013,272.350006,618700,269.881958
"2021-09-29",272.959991,278.359985,270.690002,275.649994,402200,273.152039
"2021-09-30",276.890015,278.880005,271.410004,272.279999,461900,269.812561
"2021-10-01",274.700012,286.5,272.01001,286.089996,557500,283.497406
"2021-10-04",287.079987,293.959991,285.480011,289.619995,755700,286.995422
"2021-10-05",292.350006,294.339996,288.480011,289.160004,451000,286.539581
"2021-10-06",285.209991,291.019989,278.730011,290.619995,393300,287.986389
"2021-10-07",296.549988,299.579987,291.559998,292.76001,384300,290.107025
"2021-10-08",291.390015,301.079987,290.480011,299.959991,407800,297.24173
"2021-10-11",301.940002,307.5,293.660004,295.350006,496300,292.673523
"2021-10-12",294.829987,300.470001,294,295.380005,418700,292.703217
"2021-10-13",294.089996,298.089996,291.320007,297.880005,526900,295.180573
"2021-10-14",301.859985,303.130005,296.890015,300.890015,575300,298.16333
"2021-10-15",305.559998,309.839996,303.209991,305.529999,570800,302.761261
"2021-10-18",304.079987,313,303.940002,308.440002,682300,305.644897
"2021-10-19",308.440002,308.950012,289.309998,296.73999,1427600,294.050903
