"","CE.Open","CE.High","CE.Low","CE.Close","CE.Volume","CE.Adjusted"
"2020-10-23",119.239998,120.290001,118.68,120.18,1085100,115.592506
"2020-10-26",117,117.470001,113.790001,115.5,974000,111.667221
"2020-10-27",114.550003,115.669998,111.959999,112.110001,741000,108.389725
"2020-10-28",109.230003,112.980003,109.139999,111.510002,872300,107.809639
"2020-10-29",110.709999,114.879997,110.489998,113.790001,741700,110.013977
"2020-10-30",112.949997,113.879997,111.370003,113.510002,752900,109.743279
"2020-11-02",115.459999,118.260002,114.919998,117.5,1161100,113.600868
"2020-11-03",119.510002,119.510002,117.639999,118.620003,631500,114.683685
"2020-11-04",117.660004,118.389999,115.080002,115.169998,668400,111.348175
"2020-11-05",116.779999,121.309998,116.419998,119.669998,780100,115.698845
"2020-11-06",120.510002,121.339996,119.150002,119.690002,619800,115.718185
"2020-11-09",127.099998,133.949997,124.559998,126.25,1012100,122.060493
"2020-11-10",126.510002,129.869995,126.449997,127.879997,987700,123.636406
"2020-11-11",127.989998,128.880005,126.510002,128.199997,1089800,123.945778
"2020-11-12",127.260002,128,123.269997,124.419998,819500,120.291214
"2020-11-13",125.379997,128.520004,125.040001,128.410004,856000,124.148827
"2020-11-16",130.429993,132.960007,130.179993,132.809998,885200,128.402802
"2020-11-17",131.139999,132.529999,129.710007,132.410004,933400,128.016113
"2020-11-18",132.910004,135.740005,131.929993,133.210007,1228000,128.789536
"2020-11-19",131.929993,134.360001,129,133.550003,1074500,129.118256
"2020-11-20",133.089996,134.440002,131.529999,131.910004,1117000,127.532677
"2020-11-23",133.259995,135.339996,133.259995,134.389999,688800,129.930389
"2020-11-24",136.460007,138.309998,135.860001,137.440002,976000,132.879166
"2020-11-25",136.479996,136.479996,132.910004,133.009995,938300,128.596176
"2020-11-27",133.839996,134.179993,132.839996,133.679993,429600,129.243927
"2020-11-30",131.899994,132.880005,129.089996,129.330002,1864400,125.038292
"2020-12-01",131.789993,133.179993,129.970001,130.320007,993800,125.995461
"2020-12-02",130.009995,131.339996,128.860001,130.649994,1153100,126.314484
"2020-12-03",131.130005,131.490005,129.270004,129.699997,847800,125.396011
"2020-12-04",130.699997,133.539993,130.509995,132.639999,1634100,128.238464
"2020-12-07",132.190002,132.559998,129.550003,129.779999,710200,125.473351
"2020-12-08",129.199997,130.710007,128.990005,130.550003,525600,126.217819
"2020-12-09",131.690002,132.630005,129.229996,130.550003,1038900,126.217819
"2020-12-10",130.279999,131.470001,129.589996,130.970001,1190100,126.623863
"2020-12-11",129.940002,131.229996,128.539993,131,846200,126.652878
"2020-12-14",132.330002,133.190002,128.889999,128.990005,798000,124.709595
"2020-12-15",130.509995,131.339996,128.979996,131.009995,703100,126.662537
"2020-12-16",131.619995,132.229996,129.789993,130.020004,664800,125.705399
"2020-12-17",131.149994,131.630005,129.529999,130.960007,757500,126.614212
"2020-12-18",130.75,132.25,129.589996,131.759995,1946700,127.387642
"2020-12-21",129.589996,130.940002,128.770004,130.759995,524600,126.42083
"2020-12-22",131.229996,131.229996,129.990005,130.210007,557700,125.889084
"2020-12-23",130.979996,132.110001,129.360001,129.389999,574100,125.096298
"2020-12-24",128.809998,130.399994,128.490005,129.850006,195700,125.541061
"2020-12-28",130.649994,130.899994,127.730003,127.769997,518700,123.530052
"2020-12-29",128.460007,129.070007,126.209999,127.510002,435900,123.278694
"2020-12-30",127.540001,130.119995,127.540001,129.600006,690700,125.299347
"2020-12-31",129.820007,130.929993,128.520004,129.940002,424700,125.628052
"2021-01-04",130.860001,130.860001,125.860001,125.93,753800,121.751106
"2021-01-05",127.300003,131.850006,127.129997,131.600006,1815200,127.232971
"2021-01-06",133.669998,140.089996,133.380005,136.550003,1407700,132.018707
"2021-01-07",137.970001,139.889999,136.960007,139.419998,809800,134.793457
"2021-01-08",139.419998,139.649994,135.339996,136.820007,582700,132.279739
"2021-01-11",135.020004,137.720001,134.279999,136.990005,837500,132.444092
"2021-01-12",136.990005,139.029999,135.910004,138.75,834400,134.145691
"2021-01-13",138.660004,139.720001,136.190002,136.800003,732200,132.260406
"2021-01-14",137.449997,139.139999,136.820007,137.570007,567200,133.004852
"2021-01-15",136.259995,136.690002,133.350006,134.080002,759000,129.630661
"2021-01-19",135.020004,136.029999,132.449997,132.539993,694700,128.141754
"2021-01-20",133.589996,133.589996,130.889999,132.369995,633100,127.977409
"2021-01-21",132.839996,134.130005,131.25,132.330002,847500,127.938744
"2021-01-22",131.149994,132,130,131.399994,623300,127.039589
"2021-01-25",130.589996,131.289993,126.910004,128.380005,902000,124.11982
"2021-01-26",129.880005,130.779999,125.370003,125.650002,777100,121.480408
"2021-01-27",123.330002,123.790001,119.059998,119.370003,1515300,115.408806
"2021-01-28",120.709999,123.940002,119.849998,121.68,1373800,117.642143
"2021-01-29",117,123.620003,115.419998,122.150002,1912500,118.096542
"2021-02-01",123.639999,124.669998,120.93,122.669998,1330000,118.599289
"2021-02-02",124.290001,125.739998,122.029999,125.019997,1281200,120.871315
"2021-02-03",124.529999,127.169998,124.43,126.25,1224300,122.060493
"2021-02-04",126.419998,127.75,125.389999,126.059998,981300,121.876808
"2021-02-05",127.370003,128.820007,126.309998,127.32,682900,123.094986
"2021-02-08",127.68,130.279999,127.5,130.039993,680700,126.399811
"2021-02-09",129.710007,130.539993,129.059998,129.380005,631300,125.758301
"2021-02-10",130.300003,130.660004,128.360001,129.149994,783400,125.534721
"2021-02-11",129.729996,131.259995,128.490005,130.470001,850700,126.81778
"2021-02-12",130.550003,132.740005,130.550003,132.729996,696800,129.014511
"2021-02-16",133.550003,134.669998,131,131.119995,690600,127.449585
"2021-02-17",130.580002,132.479996,129.259995,132.419998,797900,128.713211
"2021-02-18",131.309998,132.070007,130.240005,131.399994,648200,127.721733
"2021-02-19",132.210007,135.929993,132.210007,135.220001,695300,131.434799
"2021-02-22",134.559998,139.029999,134.300003,137.520004,849000,133.670425
"2021-02-23",137.520004,137.720001,134.990005,136.960007,795200,133.126129
"2021-02-24",137.75,142.699997,137.220001,141.210007,913100,137.257141
"2021-02-25",141,142.449997,138.059998,138.809998,677200,134.924316
"2021-02-26",139.059998,140.509995,135.779999,138.910004,1143200,135.02153
"2021-03-01",141.550003,144.389999,141.039993,142.509995,729000,138.520737
"2021-03-02",142.399994,144.860001,142.399994,142.720001,775000,138.724854
"2021-03-03",143.149994,145.100006,142.440002,143.580002,693300,139.560791
"2021-03-04",143.339996,145.210007,139.419998,141.789993,859900,137.820908
"2021-03-05",143.570007,148.770004,143.270004,147.860001,811800,143.720978
"2021-03-08",147.380005,152.600006,147.380005,150.100006,955900,145.898285
"2021-03-09",150.100006,150.600006,145.009995,145.360001,1091700,141.290955
"2021-03-10",145.520004,148.589996,145.320007,147.559998,756500,143.429367
"2021-03-11",148.869995,149.490005,146.660004,147,955400,142.885056
"2021-03-12",147.630005,148.789993,147.270004,148,764100,143.857071
"2021-03-15",147.429993,148.210007,143.759995,145.910004,664900,141.825577
"2021-03-16",145.720001,146.160004,142.410004,143.699997,836100,139.677429
"2021-03-17",144.839996,146.559998,143.660004,146.550003,752900,142.447647
"2021-03-18",147.520004,151.100006,147.240005,148.669998,689900,144.508301
"2021-03-19",147.520004,149.149994,144.039993,147.639999,1855900,143.507156
"2021-03-22",147.820007,148.289993,145.479996,146.940002,691700,142.826752
"2021-03-23",145.630005,147.25,140.559998,141.470001,998200,137.509857
"2021-03-24",142.419998,145.860001,142.320007,142.919998,638300,138.91925
"2021-03-25",142.910004,149.929993,142.169998,149.610001,1012400,145.421982
"2021-03-26",153.360001,155.619995,150.880005,152.690002,762400,148.415756
"2021-03-29",151.660004,153.839996,150.899994,152.220001,788500,147.958923
"2021-03-30",152.940002,153.910004,151.169998,151.490005,715000,147.249374
"2021-03-31",151.289993,152.550003,149.490005,149.809998,945300,145.616379
"2021-04-01",150.119995,151.949997,148.190002,151.889999,670400,147.638168
"2021-04-05",153.380005,154.25,151.720001,153.720001,534400,149.416962
"2021-04-06",152.690002,154.899994,152.479996,153.520004,658400,149.222549
"2021-04-07",153.300003,153.300003,150.910004,151,689100,146.773087
"2021-04-08",151,151.5,148.729996,150.100006,927600,145.898285
"2021-04-09",151.449997,152.399994,149.850006,152.330002,666300,148.065857
"2021-04-12",153.660004,154.940002,153.139999,154.539993,1207200,150.213989
"2021-04-13",153.350006,153.589996,151.020004,151.929993,769400,147.677048
"2021-04-14",151.729996,154.720001,151.539993,153.479996,414800,149.18367
"2021-04-15",154.139999,156.589996,152.839996,155.470001,722500,151.117966
"2021-04-16",157.699997,159.309998,157.199997,157.919998,753500,153.499374
"2021-04-19",158.399994,158.970001,157.339996,158.270004,725300,153.839584
"2021-04-20",157.880005,158.210007,153.779999,155.539993,665300,151.185989
"2021-04-21",155.550003,159.320007,155.509995,158.660004,592700,154.218658
"2021-04-22",158.639999,158.740005,153.770004,154.070007,733500,149.757172
"2021-04-23",151.369995,158.869995,148.5,157.300003,1264600,153.574539
"2021-04-26",158.179993,160.779999,157,157.759995,783600,154.023651
"2021-04-27",157.309998,157.309998,155.660004,156.529999,869500,152.822769
"2021-04-28",156.779999,157.449997,155.800003,156.190002,592300,152.490829
"2021-04-29",157.860001,158.199997,155.5,157.789993,578200,154.052933
"2021-04-30",157.119995,158.289993,155.419998,156.649994,773500,152.939926
"2021-05-03",158.5,161.259995,158.429993,159.800003,569400,156.015335
"2021-05-04",158.770004,165.910004,158.460007,165.149994,1167900,161.238617
"2021-05-05",166.020004,168.520004,164.550003,167.490005,910700,163.523224
"2021-05-06",167.660004,168.589996,163.869995,168.389999,667600,164.401917
"2021-05-07",166.550003,168.800003,165.899994,168.630005,520200,164.636215
"2021-05-10",170,171,167.100006,167.199997,615100,163.240082
"2021-05-11",166,168.660004,164.679993,168.199997,469600,164.216385
"2021-05-12",167.580002,168.059998,162.639999,163,527300,159.139557
"2021-05-13",163.589996,167.050003,162.929993,166.649994,603400,162.70311
"2021-05-14",166.759995,168,166.25,167.190002,545900,163.230316
"2021-05-17",166.649994,169.279999,165.729996,169.029999,500100,165.026749
"2021-05-18",168.990005,170.210007,166.919998,167.029999,552800,163.074097
"2021-05-19",164.710007,166.070007,162.759995,164.389999,846100,160.496643
"2021-05-20",164.039993,165.039993,162.899994,164.279999,629200,160.389221
"2021-05-21",165.720001,166.570007,164.080002,164.149994,728300,160.262329
"2021-05-24",165.509995,167.139999,164.399994,165.949997,590900,162.019699
"2021-05-25",166.360001,167.589996,163.520004,163.809998,644000,159.930359
"2021-05-26",163.740005,164.410004,161.850006,163.949997,833000,160.067062
"2021-05-27",166.110001,166.910004,164.600006,165.389999,1350100,161.472946
"2021-05-28",165.619995,165.720001,163.460007,165.449997,673600,161.531525
"2021-06-01",168.240005,169.410004,167.149994,168.429993,1093700,164.440933
"2021-06-02",168.649994,168.949997,165.630005,165.789993,498100,161.863464
"2021-06-03",165.050003,167.179993,163.139999,167.119995,546000,163.161972
"2021-06-04",167.910004,168.25,165.960007,166.339996,640800,162.400452
"2021-06-07",167,167.389999,164.550003,165.300003,567800,161.385086
"2021-06-08",164.179993,166.440002,162.649994,164.990005,557700,161.082443
"2021-06-09",161.729996,163.539993,160.350006,162.279999,511100,158.4366
"2021-06-10",164.360001,164.75,161.059998,161.139999,526000,157.323593
"2021-06-11",162.179993,163.589996,160.070007,160.339996,581900,156.542557
"2021-06-14",159.759995,160.369995,155.699997,156.470001,774500,152.764206
"2021-06-15",156.940002,157.720001,155.419998,156.699997,703700,152.988739
"2021-06-16",155.960007,156.570007,151.929993,152.630005,1195100,149.015152
"2021-06-17",152.399994,152.820007,144.589996,147.839996,1103200,144.338608
"2021-06-18",145.210007,146.979996,145.070007,146.470001,1760700,143.001038
"2021-06-21",148.350006,150.669998,148.350006,149.369995,633500,145.832352
"2021-06-22",149.710007,149.789993,147.490005,148.580002,632400,145.061081
"2021-06-23",149.5,149.800003,147.880005,148.75,659200,145.227036
"2021-06-24",149.800003,151.130005,148.559998,150.009995,623500,146.457184
"2021-06-25",150.940002,152.089996,149.639999,150.190002,1737300,146.632935
"2021-06-28",150.320007,150.320007,147.229996,148.350006,539200,144.836533
"2021-06-29",149.320007,150.320007,146.800003,147.080002,554600,143.596603
"2021-06-30",147,152.199997,146.809998,151.600006,999600,148.009552
"2021-07-01",154.699997,155.25,150.690002,153.139999,940000,149.513077
"2021-07-02",153.279999,155.410004,151.899994,154.729996,846600,151.065414
"2021-07-06",154.350006,154.570007,148.679993,150.179993,705900,146.623169
"2021-07-07",149.050003,152.979996,149.050003,151.470001,449500,147.882629
"2021-07-08",148.860001,150.309998,147.460007,149.729996,666100,146.183838
"2021-07-09",152.580002,154.080002,151.720001,153.529999,730600,149.893829
"2021-07-12",151.729996,154.990005,151.350006,154.380005,673900,150.723709
"2021-07-13",154.389999,154.660004,151.800003,154.169998,673800,150.518677
"2021-07-14",154.630005,156.020004,153.550003,154.130005,573800,150.479645
"2021-07-15",154.080002,158.089996,153.960007,155.960007,1025600,152.266296
"2021-07-16",156.259995,156.740005,151.729996,152.350006,951300,148.741791
"2021-07-19",148.990005,149.570007,144.839996,147.619995,916600,144.123795
"2021-07-20",146.970001,151.059998,145.600006,151,836100,147.423752
"2021-07-21",152.649994,154.580002,151.270004,151.470001,769400,147.882629
"2021-07-22",151.119995,151.75,148.369995,148.880005,887400,145.353973
"2021-07-23",153.460007,155.399994,148.899994,152.809998,1511600,149.875427
"2021-07-26",154.830002,155.350006,151.380005,153.559998,998100,150.611038
"2021-07-27",151.679993,154.929993,149.020004,154.100006,809200,151.140671
"2021-07-28",154.529999,154.639999,152.089996,153.860001,348500,150.905258
"2021-07-29",155,156.649994,154.960007,155.679993,529800,152.690308
"2021-07-30",155.699997,158.210007,154.809998,155.770004,534100,152.778595
"2021-08-02",156.279999,158.570007,153.960007,153.990005,572700,151.032776
"2021-08-03",154.139999,156.399994,151.720001,156.229996,820000,153.229767
"2021-08-04",155.190002,155.779999,152.520004,152.529999,464200,149.600815
"2021-08-05",153.490005,154.610001,152.75,153.050003,835400,150.110809
"2021-08-06",154.220001,156.270004,154.100006,155.460007,541700,152.474564
"2021-08-09",155.009995,157.649994,153.949997,156.5,593000,153.494583
"2021-08-10",156.399994,161,156.399994,160.339996,677400,157.260834
"2021-08-11",161.009995,163.570007,160.149994,163.169998,828500,160.036484
"2021-08-12",163.320007,163.809998,161.229996,162.820007,485600,159.693192
"2021-08-13",162.880005,163.220001,161.449997,162.380005,382800,159.261658
"2021-08-16",160.960007,161,158.25,159.509995,592600,156.446777
"2021-08-17",158.119995,158.25,154.460007,156.740005,469800,153.72998
"2021-08-18",155.979996,157.089996,154.679993,154.830002,473300,151.856644
"2021-08-19",152.089996,153.630005,150.860001,152.360001,517200,149.434067
"2021-08-20",151.929993,154.229996,151.580002,153.809998,670100,150.856216
"2021-08-23",154.979996,156.300003,154.320007,155.449997,424200,152.464737
"2021-08-24",156.25,157.960007,155.630005,157.440002,426000,154.416534
"2021-08-25",156.979996,159.690002,156.259995,159.100006,327400,156.044647
"2021-08-26",158.990005,158.990005,157.419998,158.190002,365700,155.152115
"2021-08-27",158.839996,161.350006,158.619995,160.25,407900,157.172546
"2021-08-30",161.139999,161.160004,159.330002,159.380005,358700,156.31926
"2021-08-31",159,159.479996,157.979996,158.600006,912600,155.554245
"2021-09-01",158.770004,159.199997,156.190002,157.029999,488700,154.014374
