"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2020-10-19",106.330002,107.330002,105.120003,105.339996,1162900,98.830627
"2020-10-20",105.919998,106.980003,105.169998,106.220001,1131200,99.65625
"2020-10-21",105.720001,108.209999,105.709999,106.860001,1186500,100.256706
"2020-10-22",107.010002,108.339996,106.050003,108.040001,983300,101.363777
"2020-10-23",108.75,109.459999,107.809998,108.949997,1124100,102.21756
"2020-10-26",107.889999,109.349998,107.349998,109.010002,1092900,102.273849
"2020-10-27",108.739998,109.230003,107,107.559998,1180200,100.913452
"2020-10-28",105.879997,107.269997,102.589996,102.809998,1863300,96.45697
"2020-10-29",102.339996,102.730003,100.760002,101.480003,1517300,95.209167
"2020-10-30",101.120003,101.82,99.059998,101.220001,1511600,94.965225
"2020-11-02",102.779999,105.529999,101.309998,105.339996,1169900,98.830627
"2020-11-03",106.760002,108.919998,106.059998,108.190002,1943300,101.504524
"2020-11-04",107.349998,109.099998,105.510002,105.75,992300,99.215302
"2020-11-05",106.519997,108.589996,106.480003,106.82,725900,100.219185
"2020-11-06",106.629997,107.559998,104.519997,104.910004,790400,98.427208
"2020-11-09",109.730003,112.709999,108.940002,109.150002,1073800,102.405197
"2020-11-10",108.68,110.279999,108.150002,109.230003,947800,103.380035
"2020-11-11",109.809998,110.129997,108.370003,109.830002,909100,103.947884
"2020-11-12",109.080002,109.639999,106.860001,107.75,912200,101.979294
"2020-11-13",108.150002,109.669998,108.150002,109.18,1229800,103.332703
"2020-11-16",112.089996,112.870003,110.269997,112.769997,1275300,106.730431
"2020-11-17",112.269997,113.110001,111.690002,111.959999,1239800,105.963821
"2020-11-18",112.610001,113.360001,110.099998,110.190002,1323000,104.288612
"2020-11-19",110.220001,110.220001,108.360001,108.970001,1049000,103.133965
"2020-11-20",108.860001,109.889999,108.370003,108.980003,1407200,103.143425
"2020-11-23",109.32,110.220001,108.480003,109.720001,1125900,103.843796
"2020-11-24",110.849998,110.860001,109.739998,110.599998,1230800,104.676659
"2020-11-25",110.800003,112.449997,109.690002,112.25,1169200,106.238297
"2020-11-27",112.370003,112.370003,110.489998,111.510002,812700,105.537926
"2020-11-30",110.980003,110.980003,108.230003,108.849998,2379400,103.020378
"2020-12-01",109.68,111.080002,108.720001,108.849998,1092700,103.020378
"2020-12-02",108.269997,108.779999,106.300003,108.610001,1641300,102.793228
"2020-12-03",108.019997,108.379997,106.18,106.639999,1175600,100.928726
"2020-12-04",106.949997,107.389999,105.639999,106.730003,924100,101.013931
"2020-12-07",105.839996,107.699997,105.389999,106.610001,922600,100.900352
"2020-12-08",105.739998,106.75,105.269997,105.290001,1058900,99.651039
"2020-12-09",105.730003,106.139999,103.75,104.459999,1644400,98.865494
"2020-12-10",104.459999,105.099998,102.970001,103.260002,1480000,97.729767
"2020-12-11",102.940002,103.43,102.099998,102.779999,1130600,97.275467
"2020-12-14",103.190002,104.410004,101.269997,101.410004,1032000,95.978844
"2020-12-15",101.760002,103.050003,100.449997,102.580002,1640200,97.086182
"2020-12-16",102.379997,103.43,100.43,100.5,1533600,95.117584
"2020-12-17",100.980003,101.980003,100.300003,100.559998,1185800,95.17437
"2020-12-18",100.510002,100.879997,99.370003,100.019997,2211500,94.663284
"2020-12-21",99.089996,99.139999,96.580002,97.019997,1284100,91.823952
"2020-12-22",97.209999,97.209999,95.480003,96.010002,1222400,90.86805
"2020-12-23",96.599998,97.360001,95.440002,95.470001,1307400,90.356972
"2020-12-24",95.599998,95.75,94.699997,95.349998,616100,90.243393
"2020-12-28",95.650002,96.220001,95.150002,95.660004,1271800,90.536797
"2020-12-29",96.220001,97.190002,96.199997,96.739998,2265000,91.558945
"2020-12-30",96.620003,98.949997,96.379997,98.639999,1269300,93.357185
"2020-12-31",98.349998,99.970001,97.669998,99.839996,992300,94.49292
"2021-01-04",99.82,100.080002,97.529999,98.010002,1458000,92.760941
"2021-01-05",98.309998,98.699997,96.510002,96.699997,1629200,91.521095
"2021-01-06",97.57,98.809998,96.940002,98.230003,1486700,92.969154
"2021-01-07",98.209999,98.57,94.779999,94.839996,1612600,89.760704
"2021-01-08",94.879997,95.540001,94.120003,95.489998,1333800,90.375893
"2021-01-11",95.010002,95.870003,93.739998,94.389999,1033900,89.334808
"2021-01-12",93.93,94.300003,91.779999,92.699997,1379000,87.735321
"2021-01-13",92.860001,93.760002,92.029999,93.650002,1864500,88.634445
"2021-01-14",94.360001,94.480003,92.830002,94,1885400,88.965698
"2021-01-15",93.75,95.669998,93.059998,95.25,1783700,90.14875
"2021-01-19",95.25,95.93,94.650002,95.120003,1681000,90.025719
"2021-01-20",94.400002,95.220001,94.279999,94.720001,1128300,89.647141
"2021-01-21",94.800003,95.029999,93.629997,93.669998,1171700,88.653366
"2021-01-22",93.309998,94.290001,92.129997,93.970001,1173800,88.937309
"2021-01-25",93.400002,95.5,93.190002,94.75,1734600,89.675514
"2021-01-26",95.040001,95.449997,94.260002,94.690002,1582500,89.618744
"2021-01-27",93.919998,95.080002,92.589996,93.610001,2305500,88.596581
"2021-01-28",93.610001,97.089996,93.610001,95.870003,1938800,90.735542
"2021-01-29",95.279999,96.32,94.389999,95.330002,2573300,90.224464
"2021-02-01",95.309998,96.330002,94.550003,95.150002,1924100,90.054108
"2021-02-02",95.550003,97.480003,94.760002,95.830002,1276200,90.697693
"2021-02-03",95.769997,96.290001,94.790001,94.889999,984100,89.808029
"2021-02-04",95.059998,97.07,94.589996,96.470001,1262000,91.303421
"2021-02-05",97,97.800003,96.470001,96.629997,823900,91.454849
"2021-02-08",96.339996,96.459999,94.309998,94.470001,1150900,89.41053
"2021-02-09",95.160004,95.279999,93.779999,95,780600,89.912132
"2021-02-10",95.769997,96.410004,94.849998,96.010002,1247500,90.86805
"2021-02-11",95.269997,95.589996,94.279999,94.639999,1507100,90.466576
"2021-02-12",94.650002,95.190002,94.080002,94.889999,1107600,90.705544
"2021-02-16",94.889999,95,93.690002,93.75,1152400,89.615814
"2021-02-17",93.970001,94.190002,92.529999,93.190002,811000,89.080505
"2021-02-18",93.389999,94.410004,92.970001,93.93,835000,89.787872
"2021-02-19",94,94.199997,92.900002,93.18,1326700,89.070946
"2021-02-22",93.389999,93.860001,88.709999,89.080002,3412000,85.151756
"2021-02-23",89.730003,91.279999,89.279999,91.160004,1664100,87.14003
"2021-02-24",91.150002,92.550003,89.610001,89.970001,1751100,86.002502
"2021-02-25",89.510002,90.190002,87.129997,88.040001,1449700,84.157616
"2021-02-26",88.279999,89.019997,86.800003,86.809998,1710100,82.98185
"2021-03-01",87.93,89.889999,87.669998,87.760002,1795700,83.889961
"2021-03-02",87.800003,89.370003,87.110001,88.760002,1746800,84.845863
"2021-03-03",88.389999,88.669998,86.379997,87.43,1712100,83.574509
"2021-03-04",87.599998,88.269997,85.779999,87.589996,2269300,83.727448
"2021-03-05",87.57,89.739998,87.209999,89.129997,2132600,85.199539
"2021-03-08",88.830002,90.720001,88.190002,90.160004,2562700,86.18412
"2021-03-09",90.510002,91.190002,89.059998,90.75,1840100,86.7481
"2021-03-10",90.900002,94.610001,90.589996,94.440002,2693800,90.275391
"2021-03-11",93.870003,95.510002,93.339996,93.349998,1573500,89.233459
"2021-03-12",94.110001,95.989998,93.43,95.760002,1090300,91.537178
"2021-03-15",96,98.230003,96,98.129997,1638800,93.802666
"2021-03-16",97.510002,98.980003,97.120003,98.910004,1640900,94.548279
"2021-03-17",98.870003,99.839996,98,98.940002,1485400,94.57695
"2021-03-18",98.949997,99.550003,97.599998,98.050003,1337200,93.726196
"2021-03-19",98.879997,99.660004,96.68,98.440002,4225000,94.098999
"2021-03-22",98.440002,98.440002,96.160004,97.68,1473400,93.372513
"2021-03-23",97.459999,98.779999,96.919998,98.110001,1135000,93.783554
"2021-03-24",97.690002,98.839996,97.370003,97.43,1595900,93.13353
"2021-03-25",98,98.720001,96.800003,98.309998,1309700,93.974724
