"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2020-10-22",100.620003,101.040001,99,99.580002,1144700,95.364479
"2020-10-23",99.800003,100.739998,99.169998,100.540001,945200,96.283836
"2020-10-26",100.32,100.43,98.089996,99.589996,1544000,95.374054
"2020-10-27",99.410004,101.610001,99.260002,100.029999,1626500,95.795418
"2020-10-28",94.43,95.029999,88.349998,88.580002,4192600,84.830147
"2020-10-29",88.010002,91.370003,88,90.080002,2031700,86.266647
"2020-10-30",89.620003,90,86.800003,88.43,2411400,84.686493
"2020-11-02",89.970001,90.040001,86.779999,87.339996,1800200,83.642632
"2020-11-03",88.5,89.599998,87.529999,89.220001,1352300,85.443062
"2020-11-04",89.129997,90.760002,88.010002,88.110001,1173400,84.380051
"2020-11-05",89.68,89.93,87.970001,88.800003,1399200,85.040833
"2020-11-06",88.839996,90.970001,88.029999,90.620003,1362100,86.783783
"2020-11-09",95.230003,95.989998,91.480003,93.919998,2417500,89.944077
"2020-11-10",93.449997,94.720001,92.5,93.889999,1404100,89.915367
"2020-11-11",93.800003,94.550003,91.989998,93.330002,1170400,89.379059
"2020-11-12",93.459999,93.669998,89.809998,90.540001,1359200,86.707176
"2020-11-13",91.190002,92.620003,91.18,91.970001,836700,88.076637
"2020-11-16",93.150002,93.989998,91.669998,92.919998,968200,88.98642
"2020-11-17",92.809998,93.959999,91.300003,93.550003,881500,89.589752
"2020-11-18",93.220001,93.970001,92.239998,92.879997,2039400,88.948112
"2020-11-19",92.400002,94.019997,91.370003,93.769997,1207600,89.80043
"2020-11-20",94.690002,94.860001,91.970001,92.589996,1272000,88.670395
"2020-11-23",92.400002,93.519997,91.190002,92.169998,1211300,88.268166
"2020-11-24",92.870003,95.059998,92.169998,94.419998,1146000,90.422928
"2020-11-25",94.010002,94.209999,92.790001,93.029999,1021300,89.091759
"2020-11-27",92.839996,93.25,91.800003,92.720001,682600,88.794876
"2020-11-30",93.040001,94.040001,92.629997,93.970001,2328700,89.991974
"2020-12-01",94.019997,95.400002,93.559998,93.830002,1716100,89.85791
"2020-12-02",93.559998,93.82,91.25,92.300003,951600,88.39267
"2020-12-03",92.110001,93.529999,92.110001,92.529999,805800,88.612938
"2020-12-04",92.660004,93.349998,92.010002,92.93,965600,88.995995
"2020-12-07",92.849998,93.260002,92.529999,93.220001,656000,89.27372
"2020-12-08",93.050003,94.660004,92.959999,94.279999,826600,90.288849
"2020-12-09",94.309998,95.139999,93.949997,95.080002,1135700,91.054977
"2020-12-10",93.989998,94.93,92.379997,92.720001,1110200,88.794876
"2020-12-11",92.629997,93.660004,92.209999,93.169998,875600,89.71933
"2020-12-14",94.080002,94.349998,91.339996,91.779999,1145000,88.380806
"2020-12-15",92.019997,92.860001,90.209999,90.25,1435700,86.907478
"2020-12-16",90.650002,91.870003,90.449997,91.440002,798100,88.053406
"2020-12-17",91.940002,92.839996,91.349998,92.290001,996900,88.871925
"2020-12-18",91.980003,92.940002,91.230003,92.599998,2250700,89.170441
"2020-12-21",91.949997,94.419998,91.220001,93.480003,946900,90.01786
"2020-12-22",94.129997,94.989998,93.120003,94.389999,1028300,90.89415
"2020-12-23",94.190002,95.199997,93.260002,93.790001,925500,90.31636
"2020-12-24",94.720001,95,93.919998,94.660004,405800,91.154144
"2020-12-28",94.43,95.57,94.260002,94.669998,608100,91.163773
"2020-12-29",94.879997,95.459999,93.300003,93.720001,1162000,90.248962
"2020-12-30",93.82,94.400002,92.769997,93.040001,623600,89.594147
"2020-12-31",93.239998,93.910004,92.760002,93.870003,665200,90.39341
"2021-01-04",93.650002,93.970001,91.800003,92.370003,1138900,88.948959
"2021-01-05",91.93,93.580002,90.580002,91.5,1439800,88.111183
"2021-01-06",92.150002,95.400002,92.150002,95.239998,1509400,91.712662
"2021-01-07",95.489998,96.330002,94.440002,96.160004,1088700,92.598595
"2021-01-08",96.269997,98.650002,96.110001,97.360001,1249700,93.754143
"2021-01-11",97.18,97.199997,94.459999,96.529999,991600,92.954887
"2021-01-12",96.360001,98.18,95.25,97.900002,936800,94.274147
"2021-01-13",97.860001,98.029999,95.480003,95.709999,954000,92.16526
"2021-01-14",96.610001,97.709999,95.839996,97.370003,772900,93.763794
"2021-01-15",97.339996,97.900002,94.690002,95.209999,1505700,91.683769
"2021-01-19",96.059998,97.989998,95.559998,96.440002,1608600,92.868233
"2021-01-20",97.5,100.5,96.580002,98.800003,2013900,95.140816
"2021-01-21",98.440002,99.900002,97.940002,97.949997,1226700,94.322296
"2021-01-22",96.550003,98.370003,96.510002,97.800003,801500,94.177864
"2021-01-25",97.830002,99.989998,97.68,99.32,1377200,95.641563
"2021-01-26",99.169998,100.459999,96.599998,97.5,2526900,93.888969
"2021-01-27",91.660004,95.400002,89.059998,91.519997,3167100,88.130447
"2021-01-28",92.949997,93.529999,88.910004,88.989998,1789600,85.694138
"2021-01-29",88.980003,89.410004,84.769997,85.559998,2347500,82.391182
"2021-02-01",85.559998,86.82,85.300003,86.43,1251800,83.228958
"2021-02-02",87.540001,88.800003,86.389999,86.620003,1289500,83.411919
"2021-02-03",86.610001,87.519997,86.279999,86.93,970200,83.710434
"2021-02-04",87.400002,87.989998,86.239998,87.309998,888400,84.076363
"2021-02-05",87.379997,88.860001,86.879997,88.839996,766000,85.54969
"2021-02-08",89.199997,90.089996,88.849998,89.970001,1025200,86.637848
"2021-02-09",90.279999,91.919998,89.690002,91.870003,931000,88.467491
"2021-02-10",92,92.300003,89.919998,90.959999,897300,87.591179
"2021-02-11",91.529999,91.68,89.07,90.279999,738200,86.936363
"2021-02-12",90.199997,91.470001,90.139999,91.300003,655300,87.918602
"2021-02-16",91.410004,92,88.339996,88.5,1057600,85.22229
"2021-02-17",88.25,90.040001,87.330002,89.949997,883700,86.618591
"2021-02-18",89.510002,91.440002,89.339996,91.239998,713600,87.860802
"2021-02-19",91.419998,92.190002,90.540001,90.779999,941700,87.417854
"2021-02-22",90.730003,90.730003,89.379997,89.82,735400,86.493401
"2021-02-23",89.779999,90.730003,88.360001,89.779999,736000,86.45488
"2021-02-24",89.660004,90.5,89.230003,90.029999,1080400,86.695625
"2021-02-25",90.330002,91.230003,89.760002,90,904600,86.666733
"2021-02-26",90,92.080002,89.790001,90.849998,1404100,87.485252
"2021-03-01",91.470001,93.089996,91.349998,92.220001,849600,88.80452
"2021-03-02",92.209999,94.309998,91.949997,93.120003,1367900,89.671196
"2021-03-03",92.949997,94.93,91.980003,92.970001,1183200,89.526733
"2021-03-04",92.879997,93.330002,91.690002,91.989998,1229400,89.07164
"2021-03-05",92,94.589996,91.43,94.029999,1e+06,91.046936
"2021-03-08",94.879997,95.370003,91.739998,91.809998,1105200,88.897362
"2021-03-09",92.769997,95.160004,92.099998,93.610001,988500,90.640259
"2021-03-10",93.910004,94.849998,93.589996,94.519997,800700,91.521385
