"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume","NTAP.Adjusted"
"2020-09-02",46.84,48.470001,46.650002,48.150002,3340800,45.527405
"2020-09-03",47.66,48.330002,46.009998,46.540001,3174500,44.0051
"2020-09-04",46.709999,47.5,45.900002,46.400002,2705500,43.872715
"2020-09-08",45.209999,45.990002,45.16,45.200001,2120600,42.738079
"2020-09-09",45.959999,46.759998,45.23,46.57,2612600,44.033463
"2020-09-10",46.959999,46.959999,44.369999,44.369999,2395300,41.953281
"2020-09-11",44.91,45.07,43.48,44.09,2340100,41.688538
"2020-09-14",44.389999,45.669998,44.299999,45.380001,2788200,42.908279
"2020-09-15",46.009998,46.09,45.139999,45.380001,3001600,42.908279
"2020-09-16",45.619999,46.529999,45.029999,45.110001,2391400,42.652985
"2020-09-17",44.09,44.240002,42.849998,43.18,3413600,40.82811
"2020-09-18",43.459999,43.52,42.099998,42.610001,3702200,40.289146
"2020-09-21",41.810001,41.810001,40.720001,41.389999,2504300,39.135601
"2020-09-22",41.619999,41.98,41.029999,41.880001,2487900,39.598907
"2020-09-23",42.049999,42.610001,41.07,41.189999,2042900,38.946499
"2020-09-24",40.959999,41.759998,40.459999,41.490002,1711300,39.23016
"2020-09-25",41.110001,42.060001,41.09,41.959999,1605100,39.674561
"2020-09-28",42.689999,43.610001,42.509998,43.599998,2296800,41.225231
"2020-09-29",43.709999,44.27,43.5,43.990002,1743900,41.59399
"2020-09-30",44.07,44.720001,43.43,43.84,2564800,41.45216
"2020-10-01",44.369999,44.369999,42.619999,42.889999,2084800,40.553898
"2020-10-02",42.16,43.509998,42.07,42.759998,1882400,40.430981
"2020-10-05",43.380001,43.650002,43.07,43.349998,2437300,40.988846
"2020-10-06",43.459999,44.59,43.18,43.360001,1662600,40.998306
"2020-10-07",43.889999,44.740002,43.709999,44.59,1674500,42.161308
"2020-10-08",44.419998,46.290001,44.419998,46.259998,2943200,44.216324
"2020-10-09",46.490002,46.689999,45.52,45.869999,1848700,43.843552
"2020-10-12",46.369999,47.189999,45.610001,46.650002,2011800,44.589092
"2020-10-13",47.509998,47.779999,46.27,46.880001,2415600,44.808933
"2020-10-14",46.880001,47.560001,46.439999,46.669998,1557700,44.608212
"2020-10-15",45.889999,47.099998,45.830002,47.049999,1398700,44.97142
"2020-10-16",47.290001,47.66,46.689999,47.150002,1332100,45.067005
"2020-10-19",47.580002,48.939999,47.310001,48,2792800,45.879456
"2020-10-20",48.220001,48.43,47.240002,47.25,2183800,45.16259
"2020-10-21",47.299999,47.459999,46.57,46.799999,1660600,44.732464
"2020-10-22",46.91,47.060001,46.330002,46.700001,1666100,44.636887
"2020-10-23",47.459999,47.459999,46.560001,46.889999,1803500,44.818485
"2020-10-26",46.41,46.689999,44.23,44.93,2416400,42.94508
"2020-10-27",44.759998,45.060001,43.919998,44.049999,1340800,42.103954
"2020-10-28",43,43.389999,41.900002,42.290001,2496900,40.421715
"2020-10-29",42.400002,44.349998,42.200001,44.110001,2725500,42.161308
"2020-10-30",43.450001,44.09,43.07,43.889999,1548200,41.951023
"2020-11-02",44.459999,45,43.919998,44.939999,1576100,42.954639
"2020-11-03",45.509998,46.580002,45.509998,46.290001,1970400,44.244999
"2020-11-04",45.52,46.27,44.900002,45.169998,2129700,43.17448
"2020-11-05",46.080002,46.889999,45.82,46.709999,1406200,44.646439
"2020-11-06",47.080002,47.34,46.34,47.009998,1696600,44.933189
"2020-11-09",48.740002,50.099998,48.380001,49.650002,2895300,47.456562
"2020-11-10",49.099998,50.490002,49.080002,50.009998,2474200,47.800652
"2020-11-11",50.209999,50.490002,48.98,49.27,1506300,47.093342
"2020-11-12",49.040001,49.41,46.740002,47.48,1995500,45.382423
"2020-11-13",47.950001,49.959999,47.709999,49.830002,1444100,47.628609
"2020-11-16",50.18,51.610001,50.18,51.580002,1658000,49.3013
"2020-11-17",50.709999,51.66,50.07,51.400002,1183400,49.129246
"2020-11-18",51.41,52.459999,51.220001,51.540001,2065500,49.263062
"2020-11-19",51.279999,52.040001,50.82,51.98,1176400,49.683624
"2020-11-20",52.150002,52.540001,51.740002,51.889999,1320500,49.597595
"2020-11-23",52.02,53.700001,52.02,53.560001,1603700,51.193829
"2020-11-24",54.189999,55.73,54,55.360001,2638000,52.914307
"2020-11-25",54.650002,55.259998,53.310001,53.52,2576300,51.155586
"2020-11-27",53.529999,54.029999,53.029999,53.259998,739100,50.90707
"2020-11-30",53.209999,53.369999,52.330002,53.310001,4533800,50.954868
"2020-12-01",52.639999,54.43,52.639999,54.16,3997100,51.767311
"2020-12-02",57.860001,60.43,56.889999,59.23,9338800,56.613327
"2020-12-03",59.349998,59.599998,57.919998,58.490002,3475000,55.906029
"2020-12-04",58.650002,60.080002,58.5,59.990002,1894300,57.33976
"2020-12-07",59.799999,60.889999,59.34,60.369999,1910600,57.702965
"2020-12-08",60.169998,61.18,59.91,60.549999,1967900,57.875015
"2020-12-09",60.950001,61.689999,60.290001,60.779999,1409600,58.094849
"2020-12-10",59.490002,61.509998,59.490002,61.119999,1807600,58.419838
"2020-12-11",60.799999,62.189999,60.59,61.82,1877700,59.088909
"2020-12-14",62.220001,62.990002,61.330002,61.669998,2136800,58.945538
"2020-12-15",62.23,62.810001,61.450001,62.650002,1867200,59.882244
"2020-12-16",64.010002,65.040001,63.93,64.07,3128300,61.239513
"2020-12-17",64.290001,64.339996,63.150002,64.120003,2537900,61.287304
"2020-12-18",64.150002,64.93,63.810001,64.82,4568400,61.956379
"2020-12-21",63.580002,64.620003,63.18,64.540001,1695400,61.688747
"2020-12-22",65.790001,66.68,65.510002,66.18,2721700,63.256294
"2020-12-23",66.559998,67.629997,66.120003,66.169998,1421200,63.246738
"2020-12-24",66.110001,66.269997,65.449997,65.800003,509600,62.893085
"2020-12-28",66.690002,67.379997,65.730003,65.900002,1347200,62.988659
"2020-12-29",65.860001,66.269997,64.730003,65.050003,1146000,62.176216
"2020-12-30",65.029999,66.519997,65.029999,65.330002,1349400,62.443844
"2020-12-31",65.269997,66.389999,65.010002,66.239998,1032700,63.313656
"2021-01-04",66.470001,66.720001,64.190002,64.860001,2319900,61.994614
"2021-01-05",64.379997,65.650002,64.339996,65.169998,1860300,62.29092
"2021-01-06",64.739998,66.510002,64.669998,65.230003,2406400,62.34827
"2021-01-07",65.190002,65.970001,64.690002,65.239998,2014900,62.820084
"2021-01-08",65.309998,65.82,64.559998,64.970001,2670800,62.560104
"2021-01-11",64.190002,65.68,64.010002,65.220001,1440400,62.800835
"2021-01-12",65.849998,66.559998,65.410004,66.160004,1550200,63.705971
"2021-01-13",66.019997,66.139999,64.849998,65.199997,981900,62.781567
"2021-01-14",65.389999,66.18,65.010002,65.839996,928200,63.39782
"2021-01-15",65.389999,65.919998,64.440002,64.660004,1475800,62.261608
"2021-01-19",65,65.349998,63.799999,64.279999,1306500,61.895699
"2021-01-20",64.769997,64.93,64.029999,64.510002,1062200,62.117168
"2021-01-21",64.32,65.279999,63.919998,64.970001,980600,62.560104
"2021-01-22",63.93,64.93,63.400002,64.760002,1466600,62.357895
"2021-01-25",64.870003,65.660004,64.25,65.650002,1693600,63.214878
"2021-01-26",65.849998,66.260002,64.93,65.699997,1968300,63.26302
"2021-01-27",65.139999,70.639999,65.110001,68.889999,4425000,66.334702
"2021-01-28",68.769997,70,67.360001,67.400002,2843600,64.899963
"2021-01-29",67.080002,68.080002,65.529999,66.440002,5979700,63.975578
"2021-02-01",66.830002,67.440002,66.040001,66.080002,1955400,63.628937
"2021-02-02",66.699997,66.900002,64.68,65.080002,2336600,62.666016
"2021-02-03",65.349998,67.199997,65.019997,66.660004,1844800,64.187424
"2021-02-04",66.720001,67,65.989998,66.919998,1102500,64.437767
"2021-02-05",67.239998,67.879997,66.650002,67.379997,1447800,64.880714
"2021-02-08",67.940002,69.75,67.690002,69.730003,1105400,67.143539
"2021-02-09",69.730003,70.400002,69.129997,69.870003,1121000,67.278358
"2021-02-10",70,70.309998,68.169998,68.75,1847900,66.19989
"2021-02-11",69.580002,69.839996,68.269997,69.160004,1294200,66.594688
"2021-02-12",68.93,69.910004,68.849998,69.860001,1048600,67.268715
"2021-02-16",69.889999,70.07,68.800003,68.849998,1418900,66.296181
"2021-02-17",68.889999,68.940002,67.419998,68.239998,1490700,65.708817
"2021-02-18",67.830002,68.739998,67.540001,68.07,1319400,65.54512
"2021-02-19",69.580002,71.68,69.459999,71.349998,3231600,68.703453
"2021-02-22",70.559998,71.57,69.93,71.07,2197000,68.433838
"2021-02-23",70.169998,70.769997,67.839996,69.330002,1691100,66.758377
"2021-02-24",68.830002,71.57,68.75,71.57,2222300,68.915291
"2021-02-25",67.949997,67.949997,61.16,61.209999,6272600,58.939568
"2021-02-26",62.349998,63.950001,61.330002,62.599998,4089000,60.278004
"2021-03-01",63,66.150002,62.84,65.230003,3143800,62.810463
"2021-03-02",64.75,65.389999,63.68,63.720001,2083100,61.356472
"2021-03-03",64.25,64.730003,63.09,63.799999,1495100,61.433502
"2021-03-04",63.48,63.990002,60.060001,61.080002,2115500,58.814392
"2021-03-05",62.139999,62.299999,58.830002,61.330002,2175100,59.055122
"2021-03-08",61.900002,63.16,61.48,62.59,2147100,60.268387
"2021-03-09",63.41,65.650002,63.23,64.610001,3685500,62.213455
"2021-03-10",66.139999,68.040001,66.080002,66.660004,3985700,64.187424
"2021-03-11",67.220001,68.870003,67.209999,67.980003,1701500,65.45845
"2021-03-12",67.360001,67.940002,66.93,67.559998,1073500,65.054039
"2021-03-15",67.639999,68.870003,67.029999,68.800003,1674400,66.248032
"2021-03-16",68.68,69.639999,68,69.099998,1458700,66.536903
"2021-03-17",69.050003,71.260002,68.389999,71.160004,1780800,68.520508
"2021-03-18",70.120003,72.029999,69.959999,70.309998,1785300,67.702034
"2021-03-19",70.279999,71.5,69.900002,70.160004,2952400,67.557602
"2021-03-22",70.199997,71.050003,69.309998,70.540001,986200,67.9235
"2021-03-23",70.379997,70.760002,67.910004,68.43,1263400,65.891762
"2021-03-24",69.230003,70.059998,68.410004,68.629997,1269300,66.084335
"2021-03-25",68.209999,70.559998,67.720001,70.269997,1891400,67.663513
"2021-03-26",70.470001,74.839996,70.470001,74.75,1773700,71.977341
"2021-03-29",74.339996,75.580002,71.93,72.400002,2415400,69.714516
"2021-03-30",71.870003,72.220001,71.110001,72.220001,1820800,69.541199
"2021-03-31",72.629997,73.639999,72.449997,72.669998,1659700,69.97448
"2021-04-01",73.730003,73.730003,72.129997,73.650002,1679100,70.918137
"2021-04-05",73.959999,74.949997,72.769997,74.330002,1478000,71.572929
"2021-04-06",73.699997,73.919998,72.43,73.410004,1902700,70.68705
"2021-04-07",73.199997,73.940002,72.75,73.669998,1275200,70.937401
"2021-04-08",74.139999,75.139999,72.809998,73.68,1508000,71.412315
"2021-04-09",73.629997,74.110001,73.18,73.879997,1704800,71.606155
"2021-04-12",73.970001,74.57,73.220001,74.199997,1391600,71.916313
"2021-04-13",74.330002,74.529999,73.260002,74.480003,1319400,72.187706
"2021-04-14",74.589996,76.620003,74.5,76.449997,2352800,74.097061
"2021-04-15",77.290001,77.660004,76.25,76.690002,2046800,74.329674
"2021-04-16",76.07,78.769997,76.07,77.709999,1992400,75.318283
"2021-04-19",77.410004,78.239998,76.919998,77.309998,1611500,74.930603
"2021-04-20",77.019997,77.239998,75.019997,75.190002,1231100,72.875854
"2021-04-21",75,76,74.449997,75.910004,1020900,73.573685
"2021-04-22",75.940002,76.220001,74.970001,75.5,1996500,73.176308
"2021-04-23",75.68,77.290001,75.25,76.940002,984400,74.571983
"2021-04-26",77.139999,77.589996,76.779999,77.150002,854000,74.77552
"2021-04-27",77.239998,77.480003,76.459999,76.669998,950300,74.310303
"2021-04-28",76.879997,76.970001,75.919998,76.599998,1087300,74.242455
"2021-04-29",77.68,77.910004,76.330002,76.870003,1219900,74.504143
"2021-04-30",76.68,76.68,74.43,74.690002,1155400,72.391235
"2021-05-03",74.889999,75.480003,73.889999,74.309998,1265600,72.022926
"2021-05-04",74.080002,75.419998,73.290001,75.379997,1323300,73.060005
"2021-05-05",76.360001,77.050003,74.760002,76.57,1223200,74.213371
"2021-05-06",76.5,77.949997,76.459999,77.870003,1346900,75.473366
"2021-05-07",77.489998,79.690002,77.32,79.519997,1226200,77.072571
"2021-05-10",79.5,79.519997,78.370003,78.860001,1402900,76.432892
"2021-05-11",77.330002,77.860001,76.07,76.739998,1514000,74.378136
"2021-05-12",76.040001,76.709999,73.919998,74.339996,1134500,72.052002
"2021-05-13",74.769997,76.980003,74.769997,76.610001,837100,74.252151
"2021-05-14",77.339996,78.760002,75.919998,78.5,743000,76.083969
"2021-05-17",78.25,78.970001,77.900002,78.440002,2219600,76.025818
"2021-05-18",78.800003,78.910004,77.239998,77.279999,2079700,74.90152
"2021-05-19",76.580002,77.730003,75.839996,77.709999,1093900,75.318283
"2021-05-20",77.699997,78.650002,76.940002,77.489998,1673200,75.105057
"2021-05-21",78.169998,78.970001,77.769997,78.269997,1064700,75.861046
"2021-05-24",78.949997,79.82,78.690002,78.989998,1260300,76.558891
"2021-05-25",79.480003,79.68,78.129997,78.209999,1031200,75.802887
"2021-05-26",78.360001,79.459999,78.290001,79.440002,1211200,76.995041
"2021-05-27",80,80.660004,78.32,78.980003,2779700,76.549202
"2021-05-28",78.709999,79,77.07,77.370003,1548800,74.988754
"2021-06-01",77.07,77.379997,76.150002,76.709999,2641000,74.349068
"2021-06-02",76.57,77.260002,76.129997,77.059998,2965300,74.688278
"2021-06-03",76.75,80.449997,76.620003,78.68,4066200,76.25843
"2021-06-04",77.82,80.760002,77.510002,80.739998,2544900,78.255028
"2021-06-07",80.75,81.620003,80.550003,81.029999,1683600,78.536102
"2021-06-08",81.360001,82.139999,80.910004,81.849998,1812200,79.330872
"2021-06-09",82.279999,82.279999,81.410004,82.010002,1338100,79.485939
"2021-06-10",83.480003,84.190002,83.040001,83.629997,2142800,81.056076
"2021-06-11",83.150002,83.769997,82.809998,83.370003,1506100,80.8041
"2021-06-14",83.230003,83.230003,82.480003,82.989998,1153000,80.435776
"2021-06-15",82.699997,83.889999,82.389999,83.519997,1546100,80.949471
"2021-06-16",83.400002,84.169998,82.57,82.739998,1825600,80.193481
"2021-06-17",82.82,83.330002,80.290001,81.470001,2481900,78.962563
"2021-06-18",80.889999,81,77.620003,78.160004,4457400,75.75444
"2021-06-21",78.650002,80.099998,78.459999,79.43,1697000,76.985352
"2021-06-22",79.059998,80.959999,78.43,80.75,2134100,78.264725
"2021-06-23",80.639999,81.629997,80.370003,80.599998,1118500,78.119331
"2021-06-24",81.32,81.349998,80.32,80.989998,1502400,78.497337
"2021-06-25",82.589996,82.650002,81.309998,82.440002,2536500,79.902718
"2021-06-28",82.379997,82.910004,82.110001,82.459999,1327200,79.922096
"2021-06-29",82.800003,83.440002,82.599998,83.029999,1063400,80.474548
"2021-06-30",83,83,81.580002,81.82,1690200,79.301781
"2021-07-01",82.239998,82.349998,81.440002,81.959999,1075000,79.437485
"2021-07-02",82.470001,83.050003,81.800003,82.989998,1131500,80.435776
"2021-07-06",82.769997,83.18,81.25,81.879997,1265400,79.35994
"2021-07-07",82.279999,83.199997,81.550003,82.519997,1427800,79.980247
"2021-07-08",80.580002,82.029999,79.959999,81.610001,1219800,79.580444
"2021-07-09",82.260002,83,82,82.57,1095300,80.516563
"2021-07-12",82.510002,83.150002,82.139999,82.230003,991900,80.185013
"2021-07-13",81.790001,81.830002,79.970001,80.18,965900,78.185997
"2021-07-14",81,81.279999,79.260002,79.839996,1174000,77.854454
"2021-07-15",79.410004,80.139999,78.389999,79.169998,1715700,77.201118
"2021-07-16",79.379997,79.660004,77.309998,77.370003,1032400,75.445892
"2021-07-19",76.139999,77.32,75.559998,77.300003,1656700,75.377632
"2021-07-20",77.709999,79.099998,77.440002,78.239998,1443000,76.294258
"2021-07-21",78.669998,78.989998,77.779999,78.300003,1472900,76.352768
"2021-07-22",78.589996,78.949997,76,77.129997,4009400,75.211853
"2021-07-23",77.690002,78.019997,77.040001,77.720001,1525700,75.787186
"2021-07-26",78.07,79.480003,77.75,78.550003,1141700,76.596535
"2021-07-27",78.099998,78.269997,76.910004,77.959999,1190900,76.021202
"2021-07-28",78.07,78.610001,77.080002,78.209999,818800,76.264984
"2021-07-29",78.949997,79.580002,78.589996,79.010002,979500,77.045097
"2021-07-30",78.629997,79.980003,78.5,79.589996,1161000,77.610672
"2021-08-02",80,81.190002,79.669998,80.129997,984300,78.137238
"2021-08-03",80.330002,82.040001,79.809998,81.730003,1473700,79.697464
"2021-08-04",81.43,81.82,80.75,81.370003,924500,79.34642
"2021-08-05",81.529999,82.209999,81.389999,81.480003,624000,79.453682
"2021-08-06",81.900002,82.480003,81.529999,82.169998,1014900,80.126503
"2021-08-09",82.169998,83.010002,81.839996,82.25,1220100,80.204521
"2021-08-10",82.529999,83,82.220001,82.580002,826700,80.526321
"2021-08-11",81.470001,83.5,81.290001,82.699997,1538900,80.643333
"2021-08-12",82.970001,83.169998,82.07,83.059998,834800,80.994377
"2021-08-13",83.32,83.339996,82.269997,82.279999,608000,80.233772
"2021-08-16",82,82.199997,81.510002,81.800003,778800,79.765724
"2021-08-17",81.32,81.459999,79.449997,80.510002,864000,78.507805
"2021-08-18",80.080002,81.190002,79.629997,79.669998,1005000,77.688683
"2021-08-19",78.050003,79.440002,78.050003,79.260002,1163200,77.288887
"2021-08-20",79.260002,80.730003,79.25,80.669998,1430000,78.663811
"2021-08-23",80.940002,81.410004,80.269997,80.720001,1375000,78.71257
"2021-08-24",80.860001,81.209999,79.919998,80.779999,1991300,78.771072
"2021-08-25",80.610001,82.589996,80.610001,82.269997,1919700,80.224022
"2021-08-26",87.5,91.290001,85.489998,86.150002,5095700,84.00753
"2021-08-27",85.910004,87.080002,85.199997,87.059998,2295000,84.894905
"2021-08-30",87.080002,88.709999,86.809998,88.370003,1563500,86.172325
"2021-08-31",88.690002,89.099998,87.889999,88.93,2077800,86.718399
"2021-09-01",88.620003,89.879997,88.449997,89.32,1900700,87.098701
"2021-09-02",89.650002,90.110001,88.760002,89.75,1619600,87.518005
"2021-09-03",89.940002,91.529999,89.690002,91.349998,1899400,89.078209
"2021-09-07",90.949997,91.550003,89.919998,90,1715700,87.761787
"2021-09-08",89.919998,90.040001,88.050003,89.519997,1470800,87.293716
"2021-09-09",90.029999,92.199997,89.599998,92.089996,2335700,89.799805
"2021-09-10",92.349998,93.389999,91.910004,92.32,2001700,90.024086
"2021-09-13",92.889999,93,90.889999,91.75,1233700,89.468269
"2021-09-14",92.150002,92.68,91.239998,92.190002,1301600,89.897331
"2021-09-15",92.290001,93.300003,91.360001,93.300003,1234700,90.979729
"2021-09-16",93.18,93.68,92.309998,92.959999,1055000,90.648178
"2021-09-17",92.269997,92.519997,89.800003,90.010002,2367300,87.771538
"2021-09-20",88.5,89.889999,87.760002,88.970001,1645400,86.757408
"2021-09-21",89.550003,89.559998,88.080002,88.089996,1309800,85.899284
"2021-09-22",89.160004,90.480003,88.910004,89.980003,1324000,87.742294
"2021-09-23",90.309998,93.269997,90.059998,92.779999,1714200,90.472656
"2021-09-24",92.160004,93.790001,92.160004,93.639999,788000,91.311272
"2021-09-27",93.220001,94.330002,93.059998,93.860001,867600,91.525795
"2021-09-28",93.110001,93.699997,91.669998,91.809998,1400400,89.526772
"2021-09-29",92.019997,92.540001,90.190002,90.330002,1241100,88.083588
"2021-09-30",91.110001,91.739998,89.400002,89.760002,1364900,87.527756
"2021-10-01",90.099998,91.300003,89.269997,90.580002,1105000,88.32737
"2021-10-04",90.779999,91.099998,89.07,89.540001,1012900,87.313232
"2021-10-05",89.809998,90.779999,88.870003,90.300003,811900,88.054329
"2021-10-06",89.110001,90.25,87.919998,90.160004,1076600,87.917809
"2021-10-07",90.349998,91.940002,90.349998,91.150002,1064900,89.378853
"2021-10-08",91.870003,91.870003,90.919998,91.510002,672300,89.731865
"2021-10-11",91.480003,92.309998,91.269997,91.690002,598400,89.908363
"2021-10-12",91.25,91.669998,90.110001,90.239998,1601700,88.486534
"2021-10-13",90.25,91.120003,90.019997,90.25,861800,88.496338
"2021-10-14",93.349998,93.349998,91.550003,92.349998,1788200,90.555534
"2021-10-15",92.910004,94.690002,92.5,94.419998,2166000,92.585312
"2021-10-18",91.389999,92.139999,89.610001,90.339996,2665800,88.584587
"2021-10-19",91.169998,91.709999,90.260002,90.809998,1328600,89.045464
"2021-10-20",90.849998,91.370003,89.870003,90.699997,1314200,88.937599
"2021-10-21",90.440002,92.779999,90.370003,92.739998,1235900,90.937958
"2021-10-22",92.989998,94.230003,92.720001,93.010002,1922300,91.202713
"2021-10-25",93.220001,94.019997,92.309998,93.099998,930800,91.290962
"2021-10-26",93.150002,93.669998,89.940002,90.660004,1401900,88.898384
"2021-10-27",91.129997,91.220001,88.239998,88.379997,1227400,86.662682
"2021-10-28",88.709999,90.230003,88.5,89.709999,1000300,87.966835
"2021-10-29",89,90.239998,88.599998,89.300003,1118700,87.564804
"2021-11-01",89.32,90.870003,89.139999,90.120003,905700,88.368874
"2021-11-02",90.760002,90.989998,89.959999,90.260002,1503100,88.506149
"2021-11-03",90.510002,90.510002,88.720001,90,2091400,88.251205
"2021-11-04",90.230003,91.900002,89.82,90.699997,1606500,88.937599
"2021-11-05",90.870003,91.910004,90.669998,91.050003,1265600,89.2808
"2021-11-08",91.330002,92.650002,91.260002,91.889999,939900,90.104485
"2021-11-09",91.839996,92.790001,90.839996,91.800003,697400,90.016235
"2021-11-10",91.669998,92.089996,91.089996,91.419998,874900,89.643608
"2021-11-11",91.860001,92.610001,91.580002,91.93,716200,90.143707
"2021-11-12",91.980003,92.190002,89.489998,89.790001,1489100,88.045288
"2021-11-15",90.139999,90.529999,87.620003,88.860001,1815900,87.133362
"2021-11-16",88.879997,89.080002,88.050003,88.739998,1260400,87.015678
"2021-11-17",88.760002,89.870003,87.910004,87.959999,1366000,86.250839
"2021-11-18",88.010002,88.290001,84.129997,87.32,2394700,85.623276
"2021-11-19",87.730003,87.730003,85.959999,86,1899600,84.328926
"2021-11-22",86.260002,87.620003,85.550003,86.190002,2371500,84.515236
"2021-11-23",86.639999,87.220001,85.5,86.760002,1341500,85.074165
"2021-11-24",87.07,89.959999,86.970001,89.779999,2624600,88.035477
"2021-11-26",87.669998,89.18,87.160004,88.32,1084000,86.603844
"2021-11-29",88.730003,92.010002,88.730003,91.519997,2677600,89.741661
"2021-11-30",91.129997,92.349998,88.769997,88.879997,3771300,87.152954
"2021-12-01",89.5,92.620003,84.739998,89.459999,5918600,87.721695
"2021-12-02",89.209999,90.980003,87.959999,90.18,1944500,88.427711
"2021-12-03",90.239998,91.410004,88.959999,90.050003,1897800,88.30024
"2021-12-06",91,91,88,88.199997,1576500,86.486176
"2021-12-07",88.889999,91.010002,88.25,90.669998,1238400,88.908173
"2021-12-08",91.139999,91.139999,89.510002,89.809998,890800,88.064896
"2021-12-09",89.690002,90.580002,88.970001,89.309998,1655400,87.5746
"2021-12-10",90.129997,90.379997,88.040001,89.32,1405300,87.584412
"2021-12-13",90.5,90.839996,87.110001,87.190002,2002100,85.495804
"2021-12-14",87,88.089996,86.400002,86.839996,1302200,85.152596
"2021-12-15",87.650002,88.809998,86.699997,88.699997,1345600,86.976456
"2021-12-16",88.779999,90.279999,88.010002,88.150002,1001300,86.437157
"2021-12-17",87.940002,89.089996,87.220001,88.059998,3205100,86.3489
"2021-12-20",86.779999,87.690002,86.080002,87.529999,1405500,85.829193
"2021-12-21",88.589996,89.93,87.720001,89.900002,1310300,88.153145
"2021-12-22",90,90.230003,89.169998,89.900002,1348700,88.153145
"2021-12-23",90.139999,91.300003,90,90.629997,1583300,88.86895
"2021-12-27",90.650002,93.370003,90.18,93.339996,858200,91.526299
"2021-12-28",93.330002,93.75,92.610001,93.260002,620400,91.447861
"2021-12-29",93.400002,94.129997,93.019997,93.18,1150500,91.369408
"2021-12-30",93.07,93.379997,91.519997,91.690002,618700,89.908363
"2021-12-31",91.790001,92.599998,91.739998,91.989998,671000,90.20253
"2022-01-03",92.059998,92.830002,91.610001,92.389999,1012800,90.594757
"2022-01-04",92.639999,95.230003,92.610001,94.199997,1954500,92.369591
"2022-01-05",94.389999,94.739998,92.599998,92.650002,2026100,90.849709
"2022-01-06",92.610001,93.779999,91.620003,93.239998,1535300,91.924324
"2022-01-07",93.239998,93.900002,92.019997,92.239998,1776300,90.938438
"2022-01-10",91.5,93.300003,90.190002,93.199997,3615400,91.884895
