"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2020-09-02",78.129997,79.790001,78.010002,79.470001,3405200,75.939957
"2020-09-03",79.620003,80.099998,77.080002,77.669998,4486600,74.219925
"2020-09-04",77.529999,78.419998,76.339996,77.209999,3643800,73.780342
"2020-09-08",77.199997,77.32,75.57,75.639999,4816200,72.28009
"2020-09-09",76.459999,78.360001,76.459999,77.57,3128600,74.124359
"2020-09-10",77.110001,77.779999,76.260002,76.410004,4165800,73.015884
"2020-09-11",76.739998,77.260002,76.410004,76.75,2736900,73.340782
"2020-09-14",76.970001,77.690002,76.949997,77.150002,2529300,73.723007
"2020-09-15",77.220001,77.720001,76.919998,76.940002,2093300,73.522339
"2020-09-16",77.230003,77.760002,76.870003,76.910004,2498900,73.493683
"2020-09-17",76.580002,77.209999,76.169998,76.709999,2525300,73.302559
"2020-09-18",76.300003,76.940002,75.279999,75.830002,4563600,72.461647
"2020-09-21",75.32,75.93,74.349998,75.190002,3004500,71.850075
"2020-09-22",75.239998,76.57,75.220001,76.07,2852500,72.690987
"2020-09-23",76.169998,76.230003,75.029999,75.139999,2962100,71.802292
"2020-09-24",75.300003,76.269997,74.959999,75.760002,2385200,72.39476
"2020-09-25",75.389999,76.110001,75.330002,75.949997,2803300,72.576317
"2020-09-28",76.730003,77.510002,76.419998,76.610001,2586300,73.207001
"2020-09-29",76.669998,76.779999,75.849998,76.220001,2076000,72.83432
"2020-09-30",76.580002,77.449997,76.410004,77.150002,3962100,73.723007
"2020-10-01",77.529999,77.730003,76.739998,77.059998,4048600,73.637009
"2020-10-02",76.589996,77.959999,76.459999,77.400002,3540200,73.961906
"2020-10-05",77.5,78.489998,77.43,78.419998,2768600,74.9366
"2020-10-06",78.550003,78.629997,77.199997,77.540001,2640900,74.095688
"2020-10-07",77.830002,78.389999,77.690002,78.129997,1928300,74.659477
"2020-10-08",78.230003,78.839996,78.080002,78.739998,2144500,75.242386
"2020-10-09",79.089996,80.129997,78.889999,79.769997,2870600,76.226631
"2020-10-12",79.690002,80.959999,79.620003,80.629997,2691100,77.048424
"2020-10-13",80.5,80.989998,79.849998,80.260002,3042800,76.694878
"2020-10-14",80.440002,80.629997,79.419998,79.860001,2200100,76.312637
"2020-10-15",79.419998,80.139999,79.279999,79.709999,3375800,76.169296
"2020-10-16",80.120003,80.589996,80.029999,80.309998,2963600,76.742653
"2020-10-19",80.449997,80.900002,79.010002,79.209999,2854800,75.691505
"2020-10-20",80.07,80.760002,79.709999,79.830002,2960900,76.283974
"2020-10-21",79.519997,80.739998,79.519997,80.199997,3591700,76.637527
"2020-10-22",79.379997,79.68,78.68,79.290001,2516400,76.185944
"2020-10-23",79.550003,80,79.32,79.339996,2259400,76.233978
"2020-10-26",78.860001,79.220001,78.120003,78.690002,3886700,75.609428
"2020-10-27",79.220001,79.639999,78.790001,78.849998,2828600,75.763168
"2020-10-28",77.419998,78.18,76.699997,76.860001,4767300,73.851074
"2020-10-29",76.540001,77.440002,75.559998,76.669998,3939600,73.66851
"2020-10-30",79.940002,81.089996,77.68,78.889999,7362900,75.801598
"2020-11-02",80.18,81.019997,79.510002,80.160004,4217700,77.021881
"2020-11-03",80.879997,83.419998,80.830002,83.110001,5327800,79.856392
"2020-11-04",83.349998,85.639999,83.089996,83.860001,5653400,80.577034
"2020-11-05",84.75,84.75,82.980003,83.010002,3914000,79.760307
"2020-11-06",83.080002,83.550003,82.449997,83.029999,3481300,79.779526
"2020-11-09",83.800003,84.57,81.540001,81.779999,6633800,78.578461
"2020-11-10",81.889999,83.760002,81.389999,83.349998,4494500,80.086998
"2020-11-11",84,85.25,83.440002,84.93,3896900,81.605141
"2020-11-12",85,85.120003,84.209999,84.730003,3705200,81.412971
"2020-11-13",84.779999,85.410004,84.690002,85.360001,3742400,82.018311
"2020-11-16",85.379997,85.940002,85.209999,85.93,3701500,82.566002
"2020-11-17",85.389999,86.059998,85.279999,85.349998,3406800,82.00869
"2020-11-18",85.639999,85.940002,84.599998,84.610001,4168500,81.297668
"2020-11-19",84.989998,85.639999,84.699997,85.379997,4400800,82.037514
"2020-11-20",85.519997,86.410004,85.120003,85.160004,3719000,81.826141
"2020-11-23",85.230003,85.230003,83.970001,84.540001,3046000,81.230408
"2020-11-24",84.949997,85.650002,84.120003,84.709999,4223200,81.393753
"2020-11-25",85.139999,85.470001,84.440002,84.75,3135700,81.43219
"2020-11-27",84.949997,85.059998,84.300003,84.900002,2188300,81.576302
"2020-11-30",84.989998,85.660004,84.199997,85.639999,4355900,82.287346
"2020-12-01",85.760002,86.339996,85.379997,86.260002,3372300,82.88308
"2020-12-02",86.07,86.379997,85.25,85.739998,2740100,82.383423
